,회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),유동부채(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별),유동부채(IFRS개별),재고자산대순운전자본비율(개별),재고자산대순운전자본비율(연결)
37,(주)MH에탄올,23150,Dec-12,20566965.0,50009828.0,81625166.0,5306016.0,23099890.0,0.0,22.969875614126302,-65.05375650261908
38,(주)MH에탄올,23150,Dec-13,12486229.0,43178092.0,75260635.0,6094594.0,25868582.0,0.0,23.559830221849808,-38.919075087034095
39,(주)MH에탄올,23150,Dec-14,6986598.0,28731429.0,31619269.0,6986598.0,28019052.0,0.0,24.935169112787968,-241.93161671006703
40,(주)MH에탄올,23150,Dec-15,3603074.0,22500870.0,20538639.0,3603074.0,21758814.0,0.0,16.55914701968591,183.62129637132426
41,(주)MH에탄올,23150,Dec-16,5538540.0,19709368.0,7640748.0,5538540.0,18955978.0,0.0,29.217906878769323,45.89207382451349
42,(주)MH에탄올,23150,Dec-17,5608722.0,84767703.0,189894170.0,5502545.0,18235352.0,0.0,30.175150992423948,-5.335214014183507
43,(주)MH에탄올,23150,Dec-18,6538026.0,29576016.0,141080352.0,6430326.0,18385099.0,0.0,34.97574856681489,-5.863472430345668
44,(주)MH에탄올,23150,Dec-19,8173323.0,32814839.0,282350933.0,8081383.0,18130225.0,0.0,44.57409105513032,-3.2754071240691935
45,(주)SH에너지화학,2360,Dec-11,11114123.0,50355479.0,34076575.0,11114123.0,47641848.0,0.0,23.32848843311032,68.27316507302949
46,(주)SH에너지화학,2360,Dec-12,14210523.0,50509179.0,29499813.0,14210523.0,48762275.0,0.0,29.142452849051853,67.63899015324878
47,(주)SH에너지화학,2360,Dec-13,11944305.0,59051785.0,35131167.0,11944305.0,57773554.0,0.0,20.67434695120193,49.93309537404092
48,(주)SH에너지화학,2360,Dec-14,13898172.0,60325646.0,20681148.0,13898172.0,55486941.0,0.0,25.047644994522223,35.057000847885625
49,(주)SH에너지화학,2360,Dec-15,11899473.0,68213722.0,17080931.0,11416122.0,63737267.0,0.0,17.91121982058001,23.27170640851582
50,(주)SH에너지화학,2360,Dec-16,11572141.0,84222915.0,12512423.0,10801243.0,79584275.0,0.0,13.572081921962598,16.137305263503144
51,(주)SH에너지화학,2360,Dec-17,19985599.0,87597479.0,8284440.0,18561488.0,79139030.0,0.0,23.454277870224086,25.198377532854337
52,(주)SH에너지화학,2360,Dec-18,22253999.0,85758694.0,6658546.0,20857092.0,77591484.0,0.0,26.880645819327288,28.133953681098046
53,(주)SH에너지화학,2360,Dec-19,16753438.0,83558867.0,7524603.0,15888341.0,74793897.0,0.0,21.242830815460785,22.03406348485204
54,(주)SIMPAC,9160,Dec-11,26468261.0,152885455.0,116979241.0,26353233.0,151220422.0,0.0,17.427033102711484,73.71498704931687
55,(주)SIMPAC,9160,Dec-12,25350698.0,152757766.0,108358727.0,25281451.0,150643335.0,0.0,16.78232296171616,57.097402491076444
56,(주)SIMPAC,9160,Dec-13,25646140.0,108635043.0,133795401.0,25606746.0,106534703.0,0.0,24.03606081297284,-101.9307435927581
57,(주)SIMPAC,9160,Dec-14,40715808.0,144850453.0,136708331.0,31897827.0,118044851.0,0.0,27.021785982007806,500.0638408513162
58,(주)SIMPAC,9160,Dec-15,56208760.0,174086524.0,169308019.0,48860928.0,138074968.0,0.0,35.387245572274914,1176.28337733245
59,(주)SIMPAC,9160,Dec-16,45959349.0,176778523.0,155344858.0,41542910.0,138253630.0,0.0,30.04833218484028,214.4259929414778
60,(주)SIMPAC,9160,Dec-17,39255148.0,150671614.0,130651105.0,34297232.0,124800057.0,0.0,27.481743858498398,196.07467522429124
61,(주)SIMPAC,9160,Dec-18,110042965.0,310736335.0,228518804.0,103871365.0,273219151.0,0.0,38.01760038409606,133.84367501865265
62,(주)SIMPAC,9160,Dec-19,88166502.0,289195402.0,219489571.0,69944925.0,224313300.0,0.0,31.181800187505598,126.48368254873827
63,(주)SNT에너지,100840,Dec-11,,,,15421719.0,145463387.0,0.0,10.60178737622822,
64,(주)SNT에너지,100840,Dec-12,,,,17407006.0,161463967.0,0.0,10.780737227891843,
65,(주)SNT에너지,100840,Dec-13,,,,17793150.0,181309369.0,0.0,9.813695838299454,
66,(주)SNT에너지,100840,Dec-14,,,,17747389.0,170494610.0,0.0,10.409354876379963,
67,(주)SNT에너지,100840,Dec-15,,,,10693980.0,184059424.0,0.0,5.810069252417089,
68,(주)SNT에너지,100840,Dec-16,,,,6779276.0,211766053.0,0.0,3.201304413035454,
69,(주)SNT에너지,100840,Dec-17,,,,2324389.0,172919603.0,0.0,1.344202137683603,
70,(주)SNT에너지,100840,Dec-18,,,,5692284.0,155524318.0,0.0,3.660060415760833,
71,(주)SNT에너지,100840,Dec-19,10208805.0,204986584.0,67469967.0,10124894.0,202225767.0,0.0,5.006727950746257,7.423688295066189
72,(주)SNT홀딩스,36530,Dec-11,274834022.0,1041841182.0,597785981.0,0.0,64671576.0,0.0,0.0,61.89185970146986
73,(주)SNT홀딩스,36530,Dec-12,280540811.0,998857779.0,540250663.0,0.0,40740917.0,0.0,0.0,61.172363274014266
74,(주)SNT홀딩스,36530,Dec-13,311174402.0,1070812404.0,569273848.0,0.0,49212139.0,0.0,0.0,62.04396417331473
75,(주)SNT홀딩스,36530,Dec-14,283952471.0,994978341.0,477795324.0,0.0,47079948.0,0.0,0.0,54.90367271669325
76,(주)SNT홀딩스,36530,Dec-15,268780766.0,1140793639.0,433769566.0,0.0,100040105.0,0.0,0.0,38.01578705227481
77,(주)SNT홀딩스,36530,Dec-16,236908975.0,1205349271.0,487107956.0,0.0,97449826.0,0.0,0.0,32.98459306813895
78,(주)SNT홀딩스,36530,Dec-17,215870141.0,1187727595.0,448821933.0,0.0,98229088.0,0.0,0.0,29.214844614358903
79,(주)SNT홀딩스,36530,Dec-18,220256725.0,1168023374.0,381612594.0,0.0,89557460.0,0.0,0.0,28.007846611665215
80,(주)SNT홀딩스,36530,Dec-19,229809615.0,1266526398.0,405603647.0,0.0,31735933.0,0.0,0.0,26.693407130089884
81,(주)STX,11810,Dec-11,315306000.0,1430457000.0,2041868000.0,240418000.0,993206000.0,0.0,24.206257312178945,-51.570220359136485
82,(주)STX,11810,Dec-12,182590000.0,1484305000.0,2363189000.0,108537000.0,856988000.0,0.0,12.664938132155875,-20.77521038043701
83,(주)STX,11810,Dec-13,94076000.0,793607000.0,1278680000.0,47749000.0,640293000.0,0.0,7.457367174090612,-19.394194275913108
84,(주)STX,11810,Dec-14,207648000.0,893610000.0,788697000.0,148535000.0,728283000.0,0.0,20.39523097477217,197.92399416659518
85,(주)STX,11810,Dec-15,316312000.0,902119000.0,866685000.0,143454000.0,663016000.0,0.0,21.636581922608205,892.6793475193317
86,(주)STX,11810,Dec-16,226131000.0,486347000.0,974743000.0,139765000.0,441306000.0,0.0,31.67076812914395,-46.30074775387186
87,(주)STX,11810,Dec-17,181620000.0,475786000.0,553981000.0,103343000.0,349891000.0,0.0,29.53576971113861,-232.26549012085172
88,(주)STX,11810,Dec-18,129417000.0,422861000.0,463598000.0,89120000.0,297842000.0,0.0,29.921904902599366,-317.6890787245011
89,(주)STX,11810,Dec-19,118778000.0,386401000.0,439806000.0,89664000.0,292473000.0,0.0,30.657188868716084,-222.4098867147271
90,(주)TCC스틸,2710,Dec-11,79633257.0,183481284.0,165589918.0,76580688.0,163515113.0,0.0,46.83401221757404,445.093219824579
91,(주)TCC스틸,2710,Dec-12,100648536.0,218440703.0,191715329.0,75866000.0,168674581.0,0.0,44.97773141052,376.602909280147
92,(주)TCC스틸,2710,Dec-13,117184576.0,220034732.0,155751890.0,62722660.0,150092488.0,0.0,41.789339916865124,182.29526317458087
93,(주)TCC스틸,2710,Dec-14,124343812.0,233224033.0,283660429.0,59114758.0,141191905.0,0.0,41.868376235875566,-246.53587857467056
94,(주)TCC스틸,2710,Dec-15,48965898.0,240184174.0,153614700.0,45683627.0,202116240.0,0.0,22.602650336261945,56.56254536096639
95,(주)TCC스틸,2710,Dec-16,51850499.0,120777516.0,94244692.0,44890754.0,97007914.0,0.0,46.275352338779285,195.42020479991123
96,(주)TCC스틸,2710,Dec-17,52771855.0,120243911.0,160048884.0,48077587.0,101914014.0,0.0,47.174657451918236,-132.57603516022985
97,(주)TCC스틸,2710,Dec-18,69197191.0,152165969.0,93172096.0,62280830.0,128625665.0,0.0,48.42022002374098,117.29555542149267
98,(주)TCC스틸,2710,Dec-19,72619098.0,148991647.0,165995910.0,67392895.0,121879909.0,0.0,55.29450715293856,-427.0640721094469
99,(주)가비아,79940,Dec-11,14450.0,28837190.0,13905604.0,14450.0,9245779.0,0.0,0.156287534019578,0.09677471636301731
100,(주)가비아,79940,Dec-12,248459.0,31997486.0,14858349.0,92459.0,9613034.0,0.0,0.9618087276087862,1.4496587546969255
101,(주)가비아,79940,Dec-13,93612.0,37411881.0,14999568.0,81039.0,10360239.0,0.0,0.7822116844987842,0.4176811201949572
102,(주)가비아,79940,Dec-14,0.0,41920706.0,16229926.0,0.0,14916105.0,0.0,0.0,0.0
103,(주)가비아,79940,Dec-15,0.0,52239105.0,13210992.0,0.0,17436488.0,0.0,0.0,0.0
104,(주)가비아,79940,Dec-16,1363738.0,60241586.0,20386590.0,0.0,12237594.0,0.0,0.0,3.4217491829631594
105,(주)가비아,79940,Dec-17,1675464.0,66113388.0,29400833.0,0.0,15116578.0,0.0,0.0,4.563735757426853
106,(주)가비아,79940,Dec-18,1982294.0,78058272.0,29792809.0,0.0,18388749.0,0.0,0.0,4.107065128537149
107,(주)가비아,79940,Dec-19,2643604.0,86880807.0,43098923.0,0.0,13602872.0,0.0,0.0,6.038122982555982
108,(주)강스템바이오텍,217730,Dec-15,,,,334913.0,18896590.0,0.0,1.7723462275468747,
109,(주)강스템바이오텍,217730,Dec-16,,,,582808.0,37966496.0,0.0,1.535058700176071,
110,(주)강스템바이오텍,217730,Dec-17,1725225.0,25246012.0,6368374.0,1725225.0,24316617.0,0.0,7.094839713928956,9.138987621226766
111,(주)강스템바이오텍,217730,Dec-18,1918575.0,48992790.0,20056267.0,501972.0,44071609.0,0.0,1.1389917713238016,6.63028864939993
112,(주)강스템바이오텍,217730,Dec-19,266393.0,55408095.0,20598774.0,34319.0,50136013.0,0.0,0.06845179332469058,0.7652921468936438
113,(주)강원랜드,35250,Dec-11,2245975.0,1163791156.0,440884890.0,2245975.0,1116717650.0,0.0,0.20112290694071147,0.3106868906293309
114,(주)강원랜드,35250,Dec-12,1200611.0,1165450728.0,518388305.0,1200611.0,1117338850.0,0.0,0.10745272125819308,0.1855479405578154
115,(주)강원랜드,35250,Dec-13,1493306.0,1080401909.0,570217325.0,1493306.0,1032979185.0,0.0,0.1445630291185393,0.2926991616038324
116,(주)강원랜드,35250,Dec-14,1204918.0,1371825587.0,624516570.0,1204918.0,1349601870.0,0.0,0.08927951470606661,0.1612342381250834
117,(주)강원랜드,35250,Dec-15,1621646.0,1750420316.0,664599978.0,1621646.0,1736167993.0,0.0,0.09340374932254612,0.1493475433502149
118,(주)강원랜드,35250,Dec-16,1309513.0,1809513458.0,718893173.0,1309513.0,1799026863.0,0.0,0.07279007484170068,0.12007047897518246
119,(주)강원랜드,35250,Dec-17,1299617.0,2164296051.0,681337932.0,1299617.0,2155754572.0,0.0,0.060285944275849594,0.08763679724659844
120,(주)강원랜드,35250,Dec-18,1148805.0,1759033105.0,636028473.0,1143581.0,1749493012.0,0.0,0.06536642285256525,0.10229744092453574
121,(주)강원랜드,35250,Dec-19,3636529.0,1878191161.0,651342607.0,3631307.0,1868365557.0,0.0,0.19435741503556309,0.2964122171512948
122,(주)강원에너지,114190,Nov-11,,,,3989692.0,47950975.0,0.0,8.32035636397383,
123,(주)강원에너지,114190,Dec-12,,,,3808870.0,80491240.0,0.0,4.732030466917891,
124,(주)강원에너지,114190,Dec-13,,,,2086978.0,61556228.0,0.0,3.390360435990327,
125,(주)강원에너지,114190,Dec-14,,,,1736909.0,48800730.0,0.0,3.559186512168978,
126,(주)강원에너지,114190,Dec-15,1233999.0,62927388.0,18860326.0,1233999.0,58744703.0,0.0,2.1006132246510805,2.8002751805872603
127,(주)강원에너지,114190,Dec-16,335220.0,53716336.0,12090212.0,335220.0,49882033.0,0.0,0.6720255367298281,0.8053115875021176
128,(주)강원에너지,114190,Dec-17,361382.0,68068421.0,33693980.0,361382.0,66557788.0,0.0,0.5429597510061482,1.0513101871242068
129,(주)강원에너지,114190,Dec-18,543737.0,70556730.0,43608244.0,543737.0,70097814.0,0.0,0.7756832474119664,2.0176903444594254
130,(주)강원에너지,114190,Dec-19,118784.0,30544232.0,30840573.0,118784.0,30346449.0,0.0,0.39142635766049594,-40.08355239403255
131,(주)갤럭시아에스엠,11420,Dec-11,20209.0,24658098.0,15665609.0,0.0,17322791.0,0.0,0.0,0.22473199578003375
132,(주)갤럭시아에스엠,11420,Dec-12,37487.0,24752609.0,13440442.0,0.0,21665386.0,0.0,0.0,0.33138655042840154
133,(주)갤럭시아에스엠,11420,Dec-13,126351.0,19899780.0,13503615.0,0.0,15680160.0,0.0,0.0,1.9754180825541554
134,(주)갤럭시아에스엠,11420,Dec-14,508736.0,26742964.0,17868979.0,404356.0,21910144.0,0.0,1.8455195912906823,5.732892268805954
135,(주)갤럭시아에스엠,11420,Dec-15,11280.0,44426010.0,16873228.0,0.0,40480215.0,0.0,0.0,0.040939604574231375
136,(주)갤럭시아에스엠,11420,Dec-16,0.0,37929417.0,12464561.0,0.0,33508731.0,0.0,0.0,0.0
137,(주)갤럭시아에스엠,11420,Dec-17,0.0,28750883.0,8744690.0,0.0,25522603.0,0.0,0.0,0.0
138,(주)갤럭시아에스엠,11420,Dec-18,0.0,14251248.0,6670268.0,0.0,14317048.0,0.0,0.0,0.0
139,(주)갤럭시아에스엠,11420,Dec-19,0.0,13644588.0,6311576.0,0.0,13644588.0,0.0,0.0,0.0
140,(주)경농,2100,Dec-11,70194121.0,94363834.0,24871768.0,70007203.0,85897543.0,0.0,81.50082127494613,101.01026640940565
141,(주)경농,2100,Dec-12,102583675.0,142516976.0,102878086.0,69708618.0,88973571.0,0.0,78.34755559041234,258.79552883544414
142,(주)경농,2100,Dec-13,98860077.0,129526582.0,72472377.0,70268926.0,90491612.0,0.0,77.6524193203675,173.27395412835915
143,(주)경농,2100,Dec-14,98308244.0,139646908.0,90426180.0,69968941.0,92163573.0,0.0,75.9182166255642,199.7293579241656
144,(주)경농,2100,Dec-15,115444315.0,161184139.0,114383542.0,84302523.0,110823037.0,0.0,76.06949356567443,246.67274009346505
145,(주)경농,2100,Dec-16,115876266.0,156061222.0,112348070.0,89356248.0,113338004.0,0.0,78.84049907919677,265.08330033029875
146,(주)경농,2100,Dec-17,119704437.0,163437464.0,121066567.0,91796107.0,114661596.0,0.0,80.05828472856771,282.5157017563258
147,(주)경농,2100,Dec-18,120967753.0,169982099.0,128301300.0,91526504.0,124295854.0,0.0,73.63600719940345,290.22417012687305
148,(주)경농,2100,Dec-19,133714688.0,185020093.0,122608005.0,101542875.0,138697201.0,0.0,73.21191362758647,214.24485590035061
149,(주)경동나비엔,9450,Dec-11,60788326.0,129512842.0,81664623.0,41637076.0,109967953.0,0.0,37.86291811760832,127.04407242409587
150,(주)경동나비엔,9450,Dec-12,59527947.0,145371681.0,100189444.0,33893618.0,123218302.0,0.0,27.506967268547495,131.75077409292507
151,(주)경동나비엔,9450,Dec-13,71724409.0,134043087.0,149468556.0,37417214.0,104914630.0,0.0,35.664438791806255,-464.9739272109004
152,(주)경동나비엔,9450,Dec-14,83525372.0,159947056.0,186324883.0,40963230.0,134136648.0,0.0,30.538432718253105,-316.64993481077875
153,(주)경동나비엔,9450,Dec-15,87185691.0,158254944.0,177125715.0,39239496.0,129837058.0,0.0,30.222108082578398,-462.0144614123079
154,(주)경동나비엔,9450,Dec-16,89997026.0,175420277.0,177489101.0,41128987.0,145915928.0,0.0,28.186769987166855,-4350.153807187078
155,(주)경동나비엔,9450,Dec-17,110374505.0,230894567.0,219839746.0,57016736.0,175839342.0,0.0,32.42547165582547,998.4286945939693
156,(주)경동나비엔,9450,Dec-18,150049770.0,287001959.0,275122471.0,74930222.0,209454208.0,0.0,35.77403515330664,1263.0996386376248
157,(주)경동나비엔,9450,Dec-19,138114361.0,274279157.0,270253541.0,66299991.0,214093729.0,0.0,30.96774076927774,3430.8876206771833
158,(주)경동도시가스,267290,Dec-17,1111165.0,376858740.0,334894003.0,1111165.0,374489353.0,0.0,0.29671471060487,2.6478540780560595
159,(주)경동도시가스,267290,Dec-18,1299646.0,444232799.0,375912237.0,1299646.0,441723742.0,0.0,0.2942214502927941,1.9022765064491125
160,(주)경동도시가스,267290,Dec-19,1333402.0,395154174.0,321180745.0,1333402.0,392458231.0,0.0,0.3397564109185418,1.8025418289045383
161,(주)경동인베스트,12320,Dec-11,6238419.0,610411619.0,488755455.0,837931.0,563584969.0,0.0,0.14867873454588176,5.127910329311386
162,(주)경동인베스트,12320,Dec-12,20579836.0,814034002.0,649801248.0,1073025.0,753036515.0,0.0,0.14249309012591507,12.530896242536372
163,(주)경동인베스트,12320,Dec-13,13656418.0,778164231.0,596199441.0,759346.0,724069045.0,0.0,0.10487204296932759,7.504978298274079
164,(주)경동인베스트,12320,Dec-14,18386682.0,766552554.0,550250914.0,1014437.0,631297926.0,0.0,0.1606906910700036,8.500482012064262
165,(주)경동인베스트,12320,Dec-15,8347076.0,571798491.0,392919112.0,958537.0,459634757.0,0.0,0.2085431933512374,4.666315394576588
166,(주)경동인베스트,12320,Dec-16,10949433.0,508994824.0,337654347.0,1016660.0,394847821.0,0.0,0.2574814766421112,6.390453202718701
167,(주)경동인베스트,12320,Dec-17,14232992.0,238339688.0,77526863.0,0.0,110951332.0,0.0,0.0,8.85065727811199
168,(주)경동인베스트,12320,Dec-18,30703229.0,188460289.0,78414333.0,87903.0,44742051.0,0.0,0.1964661834568111,27.90037009628959
169,(주)경동인베스트,12320,Dec-19,30814751.0,236475693.0,84662496.0,176596.0,44653640.0,0.0,0.39547951745927096,20.297807838142027
170,(주)경방,50,Dec-11,72996830.0,138673371.0,406687562.0,71422892.0,123787600.0,0.0,57.6979374347673,-27.23618093789668
171,(주)경방,50,Dec-12,52907652.0,123685731.0,164949423.0,50300747.0,101710997.0,0.0,49.45458060941041,-128.21841535653184
172,(주)경방,50,Dec-13,40216862.0,103410904.0,135215333.0,35601409.0,79482802.0,0.0,44.79133611822089,-126.45050788366615
173,(주)경방,50,Dec-14,37758471.0,101229398.0,409405729.0,34615710.0,83665762.0,0.0,41.37380593031592,-12.252229390063055
174,(주)경방,50,Dec-15,52862910.0,108093423.0,185946014.0,37595998.0,83760073.0,0.0,44.88534531243783,-67.90128539203018
175,(주)경방,50,Dec-16,45810493.0,106002223.0,155435755.0,33656952.0,80538917.0,0.0,41.78967541865506,-92.67088784997196
176,(주)경방,50,Dec-17,31921285.0,90254697.0,319476563.0,22476156.0,71472590.0,0.0,31.44723872466354,-13.925933662890607
177,(주)경방,50,Dec-18,59792825.0,120711492.0,163151849.0,35574579.0,88159568.0,0.0,40.35248788877912,-140.88671544398176
178,(주)경방,50,Dec-19,31308041.0,264861016.0,192380293.0,13959690.0,223798878.0,0.0,6.2376049981805535,43.19498992856349
179,(주)경보제약,214390,Dec-15,,,,49522277.0,105108130.0,0.0,47.11555328783796,
180,(주)경보제약,214390,Dec-16,,,,47568951.0,102226920.0,0.0,46.53270488830144,
181,(주)경보제약,214390,Dec-17,,,,47964422.0,110638039.0,0.0,43.35255978280671,
182,(주)경보제약,214390,Dec-18,,,,53494316.0,128936315.0,0.0,41.4889443676128,
183,(주)경보제약,214390,Dec-19,,,,62312499.0,124176490.0,0.0,50.18059296087367,
184,(주)경인양행,12610,Dec-11,95390048.0,166259207.0,107188765.0,51423188.0,99039937.0,0.0,51.92166873046376,161.48524502322158
185,(주)경인양행,12610,Dec-12,70357744.0,146242797.0,94090486.0,38724208.0,94723927.0,0.0,40.881126053821646,134.90819994534854
186,(주)경인양행,12610,Dec-13,90667397.0,175887375.0,108289018.0,60685132.0,123143650.0,0.0,49.27995231585226,134.12662825518083
187,(주)경인양행,12610,Dec-14,89741323.0,164606526.0,86323503.0,57418066.0,107227115.0,0.0,53.548084362803195,114.63701778609136
188,(주)경인양행,12610,Dec-15,95494779.0,176664098.0,109310448.0,62450588.0,113173448.0,0.0,55.18130719141826,141.78114920275294
189,(주)경인양행,12610,Dec-16,99419770.0,191409058.0,119502456.0,66161603.0,126364739.0,0.0,52.35764622597764,138.26236706331915
