,회사명,거래소코드,회계년도,부채(IFRS연결),자본(IFRS연결),부채(IFRS개별),자본(IFRS개별),부채비율(개별),부채비율(연결)
44,(주)MH에탄올,23150,Dec-19,372085374.0,79389077.0,41581021.0,59477642.0,69.91033874543984,468.6858546044061
45,(주)SH에너지화학,2360,Dec-11,39468414.0,65242326.0,37884515.0,64498684.0,58.73688058503643,60.49510558529136
46,(주)SH에너지화학,2360,Dec-12,38808867.0,64881202.0,37604198.0,64888612.0,57.95192228799716,59.815271301539696
47,(주)SH에너지화학,2360,Dec-13,40889810.0,69599141.0,40202877.0,69781889.0,57.61219361659872,58.750452106872984
48,(주)SH에너지화학,2360,Dec-14,26504210.0,84237197.0,25693965.0,83404299.0,30.806523534236526,31.463784342206925
49,(주)SH에너지화학,2360,Dec-15,23874505.0,91646221.0,23308070.0,90740136.0,25.686615677983998,26.05072499388709
50,(주)SH에너지화학,2360,Dec-16,20399837.0,104088887.0,19873862.0,103083032.0,19.27946977733445,19.59847740518159
51,(주)SH에너지화학,2360,Dec-17,17618682.0,107693472.0,17543581.0,105717970.0,16.59470097657002,16.360027839013306
52,(주)SH에너지화학,2360,Dec-18,17043794.0,105390892.0,16830322.0,104065473.0,16.172820355123932,16.171980022713917
53,(주)SH에너지화학,2360,Dec-19,24415856.0,98999976.0,23740037.0,97386214.0,24.377204970715876,24.662486786865482
54,(주)SIMPAC,9160,Dec-11,141938059.0,168941269.0,141119807.0,155833324.0,90.55817034359094,84.01621453429475
55,(주)SIMPAC,9160,Dec-12,130804553.0,187860952.0,129536202.0,177830482.0,72.84251864087058,69.62838823471948
56,(주)SIMPAC,9160,Dec-13,153154843.0,208831047.0,151936024.0,197900866.0,76.7738045168534,73.33911561531366
57,(주)SIMPAC,9160,Dec-14,162814028.0,219125252.0,125420957.0,203904919.0,61.50952984120997,74.30180981605899
58,(주)SIMPAC,9160,Dec-15,190825603.0,232007841.0,149261391.0,220087525.0,67.81910560355476,82.24963526124964
59,(주)SIMPAC,9160,Dec-16,177448939.0,240416530.0,137286101.0,228959172.0,59.960952776331666,73.80895939226808
60,(주)SIMPAC,9160,Dec-17,140332152.0,240826100.0,119223157.0,223781988.0,53.27647594229076,58.271155825718225
61,(주)SIMPAC,9160,Dec-18,246717950.0,435032869.0,217214665.0,411119510.0,52.83492019145479,56.71248486743653
62,(주)SIMPAC,9160,Dec-19,237950364.0,441195485.0,189477136.0,419215968.0,45.19797680989098,53.933091359717785
63,(주)SNT에너지,100840,Dec-11,,,115915976.0,160595865.0,72.17868031658224,
64,(주)SNT에너지,100840,Dec-12,,,109495724.0,183306309.0,59.73374544353517,
65,(주)SNT에너지,100840,Dec-13,,,113510608.0,198164671.0,57.2809509521503,
66,(주)SNT에너지,100840,Dec-14,,,96799312.0,207712504.0,46.602544447685254,
67,(주)SNT에너지,100840,Dec-15,,,84796156.0,231399939.0,36.64484803515873,
68,(주)SNT에너지,100840,Dec-16,,,118242778.0,229799567.0,51.45474360271531,
69,(주)SNT에너지,100840,Dec-17,,,66449368.0,233817326.0,28.419351609555232,
70,(주)SNT에너지,100840,Dec-18,,,49715044.0,231276490.0,21.495935017000647,
71,(주)SNT에너지,100840,Dec-19,88942325.0,244954910.0,85846184.0,245545053.0,34.96147975744394,36.30967225764121
72,(주)SNT홀딩스,36530,Dec-11,813820784.0,1311007481.0,284900.0,387839074.0,0.0734583024504643,62.07598322621624
73,(주)SNT홀딩스,36530,Dec-12,756881039.0,1318022867.0,352990.0,388611726.0,0.09083359466101133,57.42548615433088
74,(주)SNT홀딩스,36530,Dec-13,774810996.0,1374365240.0,484426.0,396851717.0,0.1220672556646643,56.37591620114024
75,(주)SNT홀딩스,36530,Dec-14,683347926.0,1356040938.0,381380.0,398863036.0,0.09561678209760203,50.392868448931736
76,(주)SNT홀딩스,36530,Dec-15,640062214.0,1529249091.0,8658519.0,421925486.0,2.0521441077394407,41.85467349739952
77,(주)SNT홀딩스,36530,Dec-16,679285814.0,1530892611.0,318763.0,426682947.0,0.07470722751898495,44.37187880580867
