,회사명,거래소코드,회계년도,유동자산(IFRS연결),유동부채(IFRS연결),유동자산(IFRS개별),유동부채(IFRS개별),유동비율(개별),유동비율(연결)
44,(주)MH에탄올,23150,Dec-19,32814839.0,282350933.0,18130225.0,14251549.0,127.21582053992869,11.622004804921257
45,(주)SH에너지화학,2360,Dec-11,50355479.0,34076575.0,47641848.0,32842749.0,145.06047590596026,147.7715380727083
46,(주)SH에너지화학,2360,Dec-12,50509179.0,29499813.0,48762275.0,28724217.0,169.7601539495402,171.21864128426847
47,(주)SH에너지화학,2360,Dec-13,59051785.0,35131167.0,57773554.0,34930123.0,165.3975109105685,168.0894488930584
48,(주)SH에너지화학,2360,Dec-14,60325646.0,20681148.0,55486941.0,20421353.0,271.71040528019864,291.6938943621505
49,(주)SH에너지화학,2360,Dec-15,68213722.0,17080931.0,63737267.0,16794017.0,379.523654168029,399.355995290889
50,(주)SH에너지화학,2360,Dec-16,84222915.0,12512423.0,79584275.0,12205868.0,652.016513696527,673.1143520323761
51,(주)SH에너지화학,2360,Dec-17,87597479.0,8284440.0,79139030.0,8386725.0,943.6225701927748,1057.3735702111428
52,(주)SH에너지화학,2360,Dec-18,85758694.0,6658546.0,77591484.0,6653981.0,1166.0911565572549,1287.949260994818
53,(주)SH에너지화학,2360,Dec-19,83558867.0,7524603.0,74793897.0,7038413.0,1062.6528593874784,1110.4754230887663
54,(주)SIMPAC,9160,Dec-11,152885455.0,116979241.0,151220422.0,116922857.0,129.33349892399568,130.6945178418451
55,(주)SIMPAC,9160,Dec-12,152757766.0,108358727.0,150643335.0,108043478.0,139.42843916964614,140.97412384698836
56,(주)SIMPAC,9160,Dec-13,108635043.0,133795401.0,106534703.0,133732141.0,79.66275138001417,81.19490071261866
57,(주)SIMPAC,9160,Dec-14,144850453.0,136708331.0,118044851.0,116089000.0,101.68478581088647,105.95583454237327
58,(주)SIMPAC,9160,Dec-15,174086524.0,169308019.0,138074968.0,142954454.0,96.5866848751701,102.82237369985413
59,(주)SIMPAC,9160,Dec-16,176778523.0,155344858.0,138253630.0,130874395.0,105.63841001901098,113.79747310335821
60,(주)SIMPAC,9160,Dec-17,150671614.0,130651105.0,124800057.0,114191470.0,109.2901746513991,115.32364307213474
61,(주)SIMPAC,9160,Dec-18,310736335.0,228518804.0,273219151.0,207957388.0,131.38227673834794,135.97845322173137
62,(주)SIMPAC,9160,Dec-19,289195402.0,219489571.0,224313300.0,178141755.0,125.9184293991041,131.75815173468993
63,(주)SNT에너지,100840,Dec-11,,,145463387.0,96002453.0,151.52048979415142,
64,(주)SNT에너지,100840,Dec-12,,,161463967.0,88443397.0,182.56192375785838,
65,(주)SNT에너지,100840,Dec-13,,,181309369.0,91989174.0,197.0985944498208,
66,(주)SNT에너지,100840,Dec-14,,,170494610.0,76613085.0,222.53980504766253,
67,(주)SNT에너지,100840,Dec-15,,,184059424.0,64293369.0,286.28057117367734,
68,(주)SNT에너지,100840,Dec-16,,,211766053.0,102181702.0,207.2445935574649,
69,(주)SNT에너지,100840,Dec-17,,,172919603.0,49128545.0,351.9737924255644,
70,(주)SNT에너지,100840,Dec-18,,,155524318.0,31555307.0,492.86263638632954,
71,(주)SNT에너지,100840,Dec-19,204986584.0,67469967.0,202225767.0,65138557.0,310.45478486727916,303.8190073518192
72,(주)SNT홀딩스,36530,Dec-11,1041841182.0,597785981.0,64671576.0,199700.0,32384.364546820227,174.28330792521547
73,(주)SNT홀딩스,36530,Dec-12,998857779.0,540250663.0,40740917.0,165833.0,24567.436517460337,184.88783955458098
74,(주)SNT홀딩스,36530,Dec-13,1070812404.0,569273848.0,49212139.0,306090.0,16077.669639648468,188.1014572796606
75,(주)SNT홀딩스,36530,Dec-14,994978341.0,477795324.0,47079948.0,245998.0,19138.345840210084,208.24363299963983
76,(주)SNT홀딩스,36530,Dec-15,1140793639.0,433769566.0,100040105.0,8658519.0,1155.3951085630233,262.99531558191427
77,(주)SNT홀딩스,36530,Dec-16,1205349271.0,487107956.0,97449826.0,318763.0,30571.24760401929,247.45013013090676
78,(주)SNT홀딩스,36530,Dec-17,1187727595.0,448821933.0,98229088.0,299279.0,32821.911326888956,264.6322533885616
79,(주)SNT홀딩스,36530,Dec-18,1168023374.0,381612594.0,89557460.0,231691.0,38653.836359634166,306.0756883720667
80,(주)SNT홀딩스,36530,Dec-19,1266526398.0,405603647.0,31735933.0,233270.0,13604.806876152099,312.25715236234055
