,회사명,거래소코드,회계년도,유동자산(IFRS연결),유동부채(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),유동부채(IFRS개별),자산(IFRS개별),순운전자본대총자산(개별),순운전자본대총자산(연결)
35,(주)HJ중공업,97230,Dec-19,1300538000.0,1845223000.0,2470222000.0,1299550000.0,1840367000.0,2465650000.0,-21.934053900594165,-22.050042465818862
36,(주)MH에탄올,23150,Dec-11,45677724.0,78266518.0,134206851.0,26253473.0,66482839.0,135927085.0,-29.59628391942636,-24.282511479238867
37,(주)MH에탄올,23150,Dec-12,50009828.0,81625166.0,134385813.0,23099890.0,67402817.0,139200817.0,-31.826628575032,-23.525800301554153
38,(주)MH에탄올,23150,Dec-13,43178092.0,75260635.0,129697936.0,25868582.0,67842982.0,122520742.0,-34.259015506125486,-24.736355866141153
39,(주)MH에탄올,23150,Dec-14,28731429.0,31619269.0,85534839.0,28019052.0,31619104.0,85253876.0,-4.222742904967746,-3.3762149245408644
40,(주)MH에탄올,23150,Dec-15,22500870.0,20538639.0,78996052.0,21758814.0,20538474.0,78691328.0,1.5507935003968925,2.4839608440178758
41,(주)MH에탄올,23150,Dec-16,19709368.0,7640748.0,72339673.0,18955978.0,7640583.0,72025138.0,15.710341297784117,16.683265903068154
42,(주)MH에탄올,23150,Dec-17,84767703.0,189894170.0,500180086.0,18235352.0,15540676.0,107437079.0,2.508143394330369,-21.017723404525945
43,(주)MH에탄올,23150,Dec-18,29576016.0,141080352.0,440177523.0,18385099.0,13740951.0,109656889.0,4.235163009229635,-25.331674193641184
44,(주)MH에탄올,23150,Dec-19,32814839.0,282350933.0,451474451.0,18130225.0,14251549.0,101058662.0,3.838044085721222,-55.27136551078059
45,(주)SH에너지화학,2360,Dec-11,50355479.0,34076575.0,104710740.0,47641848.0,32842749.0,102383199.0,14.454616718901312,15.546546610214005
