,회사명,거래소코드,회계년도,당기유형자산(IFRS연결),전기유형자산(IFRS연결),당기유형자산(IFRS개별),전기유형자산(IFRS개별),유형자산증가율(개별),유형자산증가율(연결)
53,(주)SH에너지화학,2360,Dec-19,33194337.0,33194337.0,33126165.0,33126165.0,0.0,-0.20537238023462123
54,(주)SIMPAC,9160,Dec-11,72940322.0,72940322.0,62702218.0,62702218.0,0.0,-14.036274750747594
55,(주)SIMPAC,9160,Dec-12,74000157.0,,64182764.0,64182764.0,0.0,
56,(주)SIMPAC,9160,Dec-13,73711642.0,73711642.0,64271295.0,64271295.0,0.0,-12.807131606157952
57,(주)SIMPAC,9160,Dec-14,169381419.0,169381419.0,70604838.0,70604838.0,0.0,-58.31606653383864
58,(주)SIMPAC,9160,Dec-15,180973199.0,180973199.0,75847152.0,75847152.0,0.0,-58.08929033740515
59,(주)SIMPAC,9160,Dec-16,178694040.0,178694040.0,75130388.0,75130388.0,0.0,-57.95585124159709
60,(주)SIMPAC,9160,Dec-17,172659787.0,172659787.0,70402759.0,70402759.0,0.0,-59.22457671049948
61,(주)SIMPAC,9160,Dec-18,357331367.0,257622515.0,156312739.0,156312739.0,0.0,-39.324892080958065
62,(주)SIMPAC,9160,Dec-19,263608239.0,263608239.0,153003014.0,153003014.0,0.0,-41.95818211888286
63,(주)SNT에너지,100840,Dec-11,,,122586108.0,122586108.0,0.0,
64,(주)SNT에너지,100840,Dec-12,,,122289502.0,122289502.0,0.0,
65,(주)SNT에너지,100840,Dec-13,,,120367341.0,120367341.0,0.0,
66,(주)SNT에너지,100840,Dec-14,,,120065551.0,120065551.0,0.0,
67,(주)SNT에너지,100840,Dec-15,,,118714558.0,118714558.0,0.0,
68,(주)SNT에너지,100840,Dec-16,,,118148046.0,118148046.0,0.0,
69,(주)SNT에너지,100840,Dec-17,,,116825424.0,116825424.0,0.0,
70,(주)SNT에너지,100840,Dec-18,,115728393.0,115728393.0,115728393.0,0.0,0.0
71,(주)SNT에너지,100840,Dec-19,123257799.0,123257799.0,116275557.0,116275557.0,0.0,-5.664746617777922
72,(주)SNT홀딩스,36530,Dec-11,989038851.0,989038851.0,150611.0,150611.0,0.0,-99.98477198344153
73,(주)SNT홀딩스,36530,Dec-12,984180010.0,984180010.0,100263.0,100263.0,0.0,-99.98981253439602
74,(주)SNT홀딩스,36530,Dec-13,986231198.0,986231198.0,54602.0,54602.0,0.0,-99.99446356999142
75,(주)SNT홀딩스,36530,Dec-14,933346465.0,933346465.0,75419.0,75419.0,0.0,-99.9919195065468
76,(주)SNT홀딩스,36530,Dec-15,928315887.0,928315887.0,55309.0,55309.0,0.0,-99.99404200652229
77,(주)SNT홀딩스,36530,Dec-16,908800105.0,908800105.0,35654.0,35654.0,0.0,-99.99607680503074
78,(주)SNT홀딩스,36530,Dec-17,880843802.0,880843802.0,19895.0,19895.0,0.0,-99.9977413702685
79,(주)SNT홀딩스,36530,Dec-18,869282994.0,869282994.0,2888.0,2888.0,0.0,-99.99966777217317
80,(주)SNT홀딩스,36530,Dec-19,871104106.0,871104106.0,59663.0,59663.0,0.0,-99.99315087604467
81,(주)STX,11810,Dec-11,818420000.0,818420000.0,72801000.0,72801000.0,0.0,-91.10468952371643
82,(주)STX,11810,Dec-12,1044547000.0,1044547000.0,69598000.0,69598000.0,0.0,-93.33701595045508
83,(주)STX,11810,Dec-13,215510000.0,215510000.0,62152000.0,62152000.0,0.0,-71.16050299290056
84,(주)STX,11810,Dec-14,108080000.0,108080000.0,57120000.0,57120000.0,0.0,-47.15025906735752
85,(주)STX,11810,Dec-15,101700000.0,101700000.0,53714000.0,53714000.0,0.0,-47.18387413962635
86,(주)STX,11810,Dec-16,73715000.0,73715000.0,30798000.0,30798000.0,0.0,-58.22017228515228
87,(주)STX,11810,Dec-17,70760000.0,70760000.0,29631000.0,29631000.0,0.0,-58.12464669304692
88,(주)STX,11810,Dec-18,74249000.0,74249000.0,28464000.0,28464000.0,0.0,-61.6641301566351
89,(주)STX,11810,Dec-19,90288000.0,90288000.0,43245000.0,43245000.0,0.0,-52.10326953748006
90,(주)TCC스틸,2710,Dec-11,84444856.0,84444856.0,75283350.0,75283350.0,0.0,-10.849098967022925
91,(주)TCC스틸,2710,Dec-12,143845835.0,143845835.0,71554979.0,71554979.0,0.0,-50.25578668996569
92,(주)TCC스틸,2710,Dec-13,156557380.0,156557380.0,71255687.0,71255687.0,0.0,-54.48589711963754
93,(주)TCC스틸,2710,Dec-14,151621286.0,151621286.0,68743151.0,68743151.0,0.0,-54.66127955147406
94,(주)TCC스틸,2710,Dec-15,71859909.0,71859909.0,50635593.0,50635593.0,0.0,-29.535684494117575
95,(주)TCC스틸,2710,Dec-16,64693517.0,64693517.0,43730610.0,43730610.0,0.0,-32.40341223062583
96,(주)TCC스틸,2710,Dec-17,58943990.0,58943990.0,45541678.0,45541678.0,0.0,-22.73736813541126
97,(주)TCC스틸,2710,Dec-18,55878504.0,55878504.0,43204124.0,43204124.0,0.0,-22.682031716525557
98,(주)TCC스틸,2710,Dec-19,59322335.0,59322335.0,47129444.0,47129444.0,0.0,-20.553626218522922
99,(주)가비아,79940,Dec-11,22149161.0,22149161.0,7163470.0,7163470.0,0.0,-67.65805260072831
100,(주)가비아,79940,Dec-12,37833915.0,37833915.0,23749485.0,23749485.0,0.0,-37.22699593737524
101,(주)가비아,79940,Dec-13,37047584.0,37047584.0,22732962.0,22732962.0,0.0,-38.63847639835299
102,(주)가비아,79940,Dec-14,37099200.0,37099200.0,22313113.0,22313113.0,0.0,-39.85554135938241
103,(주)가비아,79940,Dec-15,36916970.0,36916970.0,22210592.0,22210592.0,0.0,-39.8363625183757
104,(주)가비아,79940,Dec-16,43221838.0,43221838.0,22429866.0,22429866.0,0.0,-48.10524716695297
105,(주)가비아,79940,Dec-17,45452326.0,45452326.0,22362004.0,22362004.0,0.0,-50.8011889204526
106,(주)가비아,79940,Dec-18,49107084.0,49107084.0,24425180.0,24425180.0,0.0,-50.26139202238113
107,(주)가비아,79940,Dec-19,85359914.0,85359914.0,39724951.0,39724951.0,0.0,-53.46181932657523
108,(주)강스템바이오텍,217730,Dec-15,,,2980005.0,2980005.0,0.0,
109,(주)강스템바이오텍,217730,Dec-16,,4039297.0,4039297.0,4039297.0,0.0,0.0
110,(주)강스템바이오텍,217730,Dec-17,13229478.0,13605815.0,12480829.0,12857166.0,-2.9270602868470377,-8.268420524606583
111,(주)강스템바이오텍,217730,Dec-18,15140205.0,15140205.0,14220013.0,14220013.0,0.0,-6.077804098425361
112,(주)강스템바이오텍,217730,Dec-19,31219524.0,31219524.0,22738650.0,22738650.0,0.0,-27.165289259375
113,(주)강원랜드,35250,Dec-11,1312308962.0,1312308962.0,1302068954.0,1302068954.0,0.0,-0.7803046612128526
114,(주)강원랜드,35250,Dec-12,1357670542.0,1357670542.0,1334113267.0,1334113267.0,0.0,-1.735124558664836
115,(주)강원랜드,35250,Dec-13,1385719165.0,1385719165.0,1327018456.0,1327018456.0,0.0,-4.236118723233503
116,(주)강원랜드,35250,Dec-14,1387584592.0,1387584592.0,1284798892.0,1284798892.0,0.0,-7.407526762159378
117,(주)강원랜드,35250,Dec-15,1353560925.0,1353560925.0,1253601276.0,1253601276.0,0.0,-7.384939026664057
118,(주)강원랜드,35250,Dec-16,1315715882.0,1315715882.0,1254129261.0,1254129261.0,0.0,-4.680844994162655
119,(주)강원랜드,35250,Dec-17,1297980610.0,1297980610.0,1253403658.0,1253403658.0,0.0,-3.4343311183978216
120,(주)강원랜드,35250,Dec-18,1314038393.0,1314038393.0,1299058388.0,1299058388.0,0.0,-1.1399975129950377
121,(주)강원랜드,35250,Dec-19,1370568026.0,1370568026.0,1353732478.0,1353732478.0,0.0,-1.2283628160460296
122,(주)강원에너지,114190,Nov-11,,,3912294.0,3912294.0,0.0,
123,(주)강원에너지,114190,Dec-12,,,4416402.0,4416402.0,0.0,
124,(주)강원에너지,114190,Dec-13,,,4787448.0,4787448.0,0.0,
