,회사명,거래소코드,회계년도,당기재고자산(IFRS연결),전기재고자산(IFRS연결),당기재고자산(IFRS개별),전기재고자산(IFRS개별),재고자산증가율(개별),재고자산증가율(연결)
56,(주)SIMPAC,9160,Dec-13,25646140.0,25646140.0,25606746.0,25606746.0,0.0,-0.15360596175486307
57,(주)SIMPAC,9160,Dec-14,40715808.0,40715808.0,31897827.0,31897827.0,0.0,-21.657389188985263
58,(주)SIMPAC,9160,Dec-15,56208760.0,56208760.0,48860928.0,48860928.0,0.0,-13.072396544595549
59,(주)SIMPAC,9160,Dec-16,45959349.0,45959349.0,41542910.0,41542910.0,0.0,-9.609446382715305
60,(주)SIMPAC,9160,Dec-17,39255148.0,39255148.0,34297232.0,34297232.0,0.0,-12.629976582943968
61,(주)SIMPAC,9160,Dec-18,110042965.0,110042965.0,103871365.0,103871365.0,0.0,-5.608354882113545
62,(주)SIMPAC,9160,Dec-19,88166502.0,88166502.0,69944925.0,69944925.0,0.0,-20.667233684738903
63,(주)SNT에너지,100840,Dec-11,,,15421719.0,15421719.0,0.0,
64,(주)SNT에너지,100840,Dec-12,,,17407006.0,17407006.0,0.0,
65,(주)SNT에너지,100840,Dec-13,,,17793150.0,17793150.0,0.0,
66,(주)SNT에너지,100840,Dec-14,,,17747389.0,17747389.0,0.0,
67,(주)SNT에너지,100840,Dec-15,,,10693980.0,10693980.0,0.0,
68,(주)SNT에너지,100840,Dec-16,,,6779276.0,6779276.0,0.0,
69,(주)SNT에너지,100840,Dec-17,,,2324389.0,2324389.0,0.0,
70,(주)SNT에너지,100840,Dec-18,,5692284.0,5692284.0,5692284.0,0.0,0.0
71,(주)SNT에너지,100840,Dec-19,10208805.0,10208805.0,10124894.0,10124894.0,0.0,-0.8219473288009738
72,(주)SNT홀딩스,36530,Dec-11,274834022.0,274834022.0,0.0,0.0,,-100.0
73,(주)SNT홀딩스,36530,Dec-12,280540811.0,280540811.0,0.0,0.0,,-100.0
74,(주)SNT홀딩스,36530,Dec-13,311174402.0,311174402.0,0.0,0.0,,-100.0
75,(주)SNT홀딩스,36530,Dec-14,283952471.0,283952471.0,0.0,0.0,,-100.0
76,(주)SNT홀딩스,36530,Dec-15,268780766.0,268780766.0,0.0,0.0,,-100.0
77,(주)SNT홀딩스,36530,Dec-16,236908975.0,236908975.0,0.0,0.0,,-100.0
78,(주)SNT홀딩스,36530,Dec-17,215870141.0,215870141.0,0.0,0.0,,-100.0
79,(주)SNT홀딩스,36530,Dec-18,220256725.0,220256725.0,0.0,0.0,,-100.0
80,(주)SNT홀딩스,36530,Dec-19,229809615.0,229809615.0,0.0,0.0,,-100.0
