,회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),유동부채(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별),유동부채(IFRS개별),순운전자본회전율(개별),순운전자본회전율(연결)
0,(주)CMG제약,58820,Dec-11,17751704.0,15341167.0,7633673.0,17751704.0,15264885.0,7620349.0,232.21427696854326,230.31745467463222
1,(주)CMG제약,58820,Dec-12,16255389.0,47109213.0,6793095.0,16255389.0,47073443.0,6665126.0,40.22782983018075,40.31982692381246
2,(주)CMG제약,58820,Dec-13,20402140.0,38209699.0,5500075.0,20322140.0,38258866.0,5498201.0,62.03213518406907,62.37350817606463
3,(주)CMG제약,58820,Dec-14,22752584.0,28300941.0,8719202.0,22752584.0,28359823.0,8713579.0,115.81136832058077,116.1928672422812
4,(주)CMG제약,58820,Dec-15,27041894.0,26271614.0,8849994.0,27041894.0,26330765.0,8843328.0,154.6361196326254,155.22031820232561
5,(주)CMG제약,58820,Dec-16,32969825.0,78772201.0,9136755.0,32969825.0,78772201.0,9136755.0,47.34632560549695,47.34632560549695
6,(주)CMG제약,58820,Dec-17,41535588.0,81227330.0,10884321.0,41535588.0,81227330.0,10884321.0,59.04721533876949,59.04721533876949
7,(주)CMG제약,58820,Dec-18,49864782.0,81370415.0,8495060.0,49864782.0,81370415.0,8495060.0,68.42475347118378,68.42475347118378
8,(주)CMG제약,58820,Dec-19,58622681.0,150584066.0,9306387.0,58622681.0,150584066.0,9306387.0,41.49465181969757,41.49465181969757
9,(주)DB하이텍,990,Dec-11,552216245.0,279725559.0,794704783.0,534317238.0,265976810.0,796794129.0,-100.65934529163319,-107.23078121691371
10,(주)DB하이텍,990,Dec-12,590786488.0,309144147.0,555433290.0,583901597.0,303296307.0,563352691.0,-224.5288456367985,-239.87516493977162
11,(주)DB하이텍,990,Dec-13,493752028.0,222960700.0,476867874.0,493752028.0,222316934.0,476710357.0,-194.08993447130115,-194.46162950874321
12,(주)DB하이텍,990,Dec-14,567718224.0,247582371.0,376436760.0,567718224.0,246306720.0,376149526.0,-437.2350240181963,-440.58896899507243
13,(주)DB하이텍,990,Dec-15,666594987.0,337757266.0,244044785.0,666594987.0,334045125.0,242109386.0,725.0662193513232,711.3193246905927
14,(주)DB하이텍,990,Dec-16,773140180.0,368924211.0,274231115.0,773140180.0,364126852.0,271946015.0,838.7211541591881,816.4694287744061
15,(주)DB하이텍,990,Dec-17,679737744.0,353662841.0,145225195.0,679737744.0,348507961.0,143100665.0,330.9219084408764,326.11083316494563
16,(주)DB하이텍,990,Dec-18,669279136.0,383378937.0,156796450.0,669279136.0,380098326.0,156793407.0,299.7153573674747,295.3799055087607
17,(주)DB하이텍,990,Dec-19,807416423.0,426263421.0,219715556.0,807416423.0,422531166.0,219572033.0,397.8221679730963,390.9100793658651
18,(주)ES큐브,50120,Dec-11,53379952.0,34078195.0,14801430.0,41700477.0,18786276.0,4839823.0,299.00417690433545,276.9134343859045
19,(주)ES큐브,50120,Dec-12,55971147.0,22707006.0,4802996.0,44178050.0,15631243.0,3228112.0,356.1846601475063,312.6179386629029
20,(주)ES큐브,50120,Dec-13,58597361.0,38357211.0,3630549.0,45823196.0,32518902.0,2690545.0,153.62293001924309,168.73882378905293
21,(주)ES큐브,50120,Dec-14,44459581.0,46214758.0,6002775.0,37188072.0,21477612.0,3055060.0,201.8616747560273,110.563015507094
22,(주)ES큐브,50120,Dec-15,42152967.0,41180599.0,5378364.0,36887119.0,22590313.0,1792096.0,177.35712152633084,117.7383674510823
23,(주)ES큐브,50120,Dec-16,34289385.0,50885945.0,3406254.0,34818205.0,43388800.0,4569554.0,89.69315117557925,72.21905677524313
24,(주)ES큐브,50120,Dec-17,35745794.0,51038158.0,3702478.0,37104908.0,44761949.0,4085637.0,91.21994147355346,75.51553922960439
25,(주)ES큐브,50120,Dec-18,33763508.0,45061626.0,37613190.0,31308873.0,29054833.0,37696219.0,-362.3130942189135,453.2966115302595
26,(주)ES큐브,50120,Dec-19,43708239.0,359030693.0,230135454.0,28527284.0,24298462.0,54789915.0,-93.558296483936,33.90989406521058
