,회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),재고자산(IFRS개별),운전자본회전비율(개별),운전자본회전비율(연결)
37,(주)MH에탄올,23150,Dec-12,59768175.0,10118103.0,20566965.0,45488675.0,10109892.0,5306016.0,295.07619661456204,194.77934674937006
38,(주)MH에탄올,23150,Dec-13,62199887.0,10691393.0,12486229.0,46298516.0,10664555.0,6094594.0,276.25815606747096,268.36181468487143
39,(주)MH에탄올,23150,Dec-14,48983781.0,10379733.0,6986598.0,48983781.0,10379733.0,6986598.0,282.061772287998,282.061772287998
40,(주)MH에탄올,23150,Dec-15,50386203.0,11080407.0,3603074.0,50386203.0,11080407.0,3603074.0,343.1488963686472,343.1488963686472
41,(주)MH에탄올,23150,Dec-16,48897025.0,9965259.0,5538540.0,48897025.0,9965259.0,5538540.0,315.3873769906331,315.3873769906331
42,(주)MH에탄올,23150,Dec-17,51977132.0,10887252.0,5608722.0,48270464.0,10589508.0,5502545.0,299.9646098605318,315.0898031240835
43,(주)MH에탄올,23150,Dec-18,72795863.0,10529867.0,6538026.0,46943080.0,10266287.0,6430326.0,281.1533093568139,426.50761286117745
44,(주)MH에탄올,23150,Dec-19,80879342.0,9499084.0,8173323.0,46992295.0,9124637.0,8081383.0,273.1154270423956,457.65889162693003
45,(주)SH에너지화학,2360,Dec-11,173209351.0,29083550.0,11114123.0,172752632.0,28469011.0,11114123.0,436.4298996638316,430.89397488257595
46,(주)SH에너지화학,2360,Dec-12,193950102.0,30307562.0,14210523.0,191907628.0,29170923.0,14210523.0,442.3725940347862,435.6658692753743
47,(주)SH에너지화학,2360,Dec-13,231912218.0,33797271.0,11944305.0,229783541.0,33105701.0,11944305.0,510.06328611809727,507.00530738162587
48,(주)SH에너지화학,2360,Dec-14,230912587.0,33429222.0,13898172.0,226971465.0,32478430.0,13898172.0,489.40943323100726,487.90471539590794
