,회사명,거래소코드,회계년도,이자비용(IFRS연결),장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),이자비용(IFRS개별),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별),차입금평균이자율(개별),차입금평균이자율(연결)
46,(주)SH에너지화학,2360,Dec-12,0.0,4000000.0,24066914.0,0.0,0.0,4000000.0,24066914.0,0.0,0.0,0.0
47,(주)SH에너지화학,2360,Dec-13,0.0,500000.0,26982012.0,0.0,0.0,500000.0,26982012.0,0.0,0.0,0.0
48,(주)SH에너지화학,2360,Dec-14,0.0,0.0,9568698.0,0.0,0.0,0.0,9568698.0,0.0,0.0,0.0
49,(주)SH에너지화학,2360,Dec-15,0.0,0.0,6881833.0,0.0,0.0,0.0,6823233.0,0.0,0.0,0.0
50,(주)SH에너지화학,2360,Dec-16,0.0,0.0,3560425.0,0.0,0.0,0.0,3500000.0,0.0,0.0,0.0
51,(주)SH에너지화학,2360,Dec-17,0.0,0.0,3553570.0,0.0,0.0,0.0,3500000.0,0.0,0.0,0.0
52,(주)SH에너지화학,2360,Dec-18,0.0,0.0,3500000.0,0.0,0.0,0.0,3500000.0,0.0,0.0,0.0
53,(주)SH에너지화학,2360,Dec-19,0.0,4800000.0,3500000.0,0.0,0.0,4800000.0,3500000.0,0.0,0.0,0.0
54,(주)SIMPAC,9160,Dec-11,0.0,10000000.0,33556016.0,0.0,0.0,10000000.0,33556016.0,0.0,0.0,0.0
55,(주)SIMPAC,9160,Dec-12,0.0,10000000.0,30338486.0,0.0,0.0,10000000.0,30338486.0,0.0,0.0,0.0
56,(주)SIMPAC,9160,Dec-13,0.0,6666640.0,57162310.0,0.0,0.0,6666640.0,57162310.0,0.0,0.0,0.0
57,(주)SIMPAC,9160,Dec-14,0.0,2499990.0,35004397.0,0.0,0.0,2499990.0,25004397.0,0.0,0.0,0.0
58,(주)SIMPAC,9160,Dec-15,0.0,220000.0,50481896.0,0.0,0.0,0.0,40000000.0,0.0,0.0,0.0
59,(주)SIMPAC,9160,Dec-16,0.0,220000.0,24590628.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0
60,(주)SIMPAC,9160,Dec-17,0.0,178750.0,20000000.0,0.0,0.0,0.0,15000000.0,0.0,0.0,0.0
61,(주)SIMPAC,9160,Dec-18,0.0,123750.0,105000000.0,0.0,0.0,0.0,95000000.0,0.0,0.0,0.0
62,(주)SIMPAC,9160,Dec-19,0.0,68750.0,126700000.0,0.0,0.0,0.0,102000000.0,0.0,0.0,0.0
63,(주)SNT에너지,100840,Dec-11,,,,,0.0,0.0,20000000.0,0.0,0.0,
64,(주)SNT에너지,100840,Dec-12,,,,,0.0,0.0,0.0,0.0,0.0,
65,(주)SNT에너지,100840,Dec-13,,,,,0.0,0.0,0.0,0.0,0.0,
66,(주)SNT에너지,100840,Dec-14,,,,,0.0,0.0,0.0,0.0,0.0,
67,(주)SNT에너지,100840,Dec-15,,,,,0.0,0.0,0.0,0.0,0.0,
68,(주)SNT에너지,100840,Dec-16,,,,,0.0,0.0,0.0,0.0,0.0,
69,(주)SNT에너지,100840,Dec-17,,,,,0.0,0.0,0.0,0.0,0.0,
70,(주)SNT에너지,100840,Dec-18,,,,,0.0,0.0,0.0,0.0,0.0,
71,(주)SNT에너지,100840,Dec-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,(주)SNT홀딩스,36530,Dec-11,0.0,627000.0,83747208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,(주)SNT홀딩스,36530,Dec-12,0.0,1230693.0,61474637.0,457844.0,0.0,0.0,0.0,0.0,0.0,0.0
74,(주)SNT홀딩스,36530,Dec-13,0.0,741141.0,74400885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,(주)SNT홀딩스,36530,Dec-14,0.0,496019.0,27084000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,(주)SNT홀딩스,36530,Dec-15,0.0,241477.0,6947267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,(주)SNT홀딩스,36530,Dec-16,0.0,0.0,6890307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,(주)SNT홀딩스,36530,Dec-17,0.0,0.0,6520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,(주)SNT홀딩스,36530,Dec-18,0.0,0.0,6460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,(주)SNT홀딩스,36530,Dec-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,(주)STX,11810,Dec-11,0.0,453951000.0,867790000.0,0.0,0.0,115350000.0,657305000.0,0.0,0.0,0.0
82,(주)STX,11810,Dec-12,0.0,523076000.0,974176000.0,0.0,0.0,97993000.0,749942000.0,0.0,0.0,0.0
83,(주)STX,11810,Dec-13,0.0,391286000.0,542454000.0,0.0,0.0,391256000.0,474021000.0,0.0,0.0,0.0
84,(주)STX,11810,Dec-14,0.0,214556000.0,512227000.0,0.0,0.0,214533000.0,488720000.0,0.0,0.0,0.0
85,(주)STX,11810,Dec-15,0.0,165235000.0,578844000.0,0.0,0.0,165217000.0,500659000.0,0.0,0.0,0.0
