,회사명,거래소코드,회계년도,부채(IFRS연결),자산(IFRS연결),부채(IFRS개별),자산(IFRS개별),타인자본구성비율(개별),타인자본구성비율(연결)
44,(주)MH에탄올,23150,Dec-19,372085374.0,451474451.0,41581021.0,101058662.0,41.145429968190165,82.41559919411696
45,(주)SH에너지화학,2360,Dec-11,39468414.0,104710740.0,37884515.0,102383199.0,37.00266779122617,37.692804004632194
46,(주)SH에너지화학,2360,Dec-12,38808867.0,103690070.0,37604198.0,102492810.0,36.689596079959166,37.42775658266987
47,(주)SH에너지화학,2360,Dec-13,40889810.0,110488951.0,40202877.0,109984767.0,36.55313194417187,37.00805341160312
48,(주)SH에너지화학,2360,Dec-14,26504210.0,110741407.0,25693965.0,109098264.0,23.55121342719074,23.933423565767047
49,(주)SH에너지화학,2360,Dec-15,23874505.0,115520726.0,23308070.0,114048206.0,20.437033441806175,20.66685851679983
50,(주)SH에너지화학,2360,Dec-16,20399837.0,124488724.0,19873862.0,122956894.0,16.163275887564303,16.386895410704025
51,(주)SH에너지화학,2360,Dec-17,17618682.0,125312154.0,17543581.0,123261552.0,14.23280878371546,14.059834930297344
52,(주)SH에너지화학,2360,Dec-18,17043794.0,122434685.0,16830322.0,120895795.0,13.92134606501409,13.920723526997273
53,(주)SH에너지화학,2360,Dec-19,24415856.0,123415832.0,23740037.0,121126250.0,19.5994154859083,19.783406718839768
54,(주)SIMPAC,9160,Dec-11,141938059.0,310879328.0,141119807.0,296953131.0,47.522585980075085,45.65696275565804
55,(주)SIMPAC,9160,Dec-12,130804553.0,318665505.0,129536202.0,307366684.0,42.143865533585284,41.04760350512366
56,(주)SIMPAC,9160,Dec-13,153154843.0,361985890.0,151936024.0,349836891.0,43.43053231627307,42.30961681959482
57,(주)SIMPAC,9160,Dec-14,162814028.0,381939281.0,125420957.0,329325876.0,38.08414890544465,42.62824906977819
58,(주)SIMPAC,9160,Dec-15,190825603.0,422833445.0,149261391.0,369348917.0,40.41202887837356,45.13020558248414
