,회사명,거래소코드,회계년도,유동부채(IFRS연결),부채(IFRS연결),유동부채(IFRS개별),부채(IFRS개별),유동부채(개별),유동부채(연결)
44,(주)MH에탄올,23150,Dec-19,282350933.0,372085374.0,14251549.0,41581021.0,34.274168015258695,75.88337320670927
45,(주)SH에너지화학,2360,Dec-11,34076575.0,39468414.0,32842749.0,37884515.0,86.69174991417997,86.33885060595543
46,(주)SH에너지화학,2360,Dec-12,29499813.0,38808867.0,28724217.0,37604198.0,76.38566577061422,76.01307453783693
47,(주)SH에너지화학,2360,Dec-13,35131167.0,40889810.0,34930123.0,40202877.0,86.88463514688264,85.91667948567137
48,(주)SH에너지화학,2360,Dec-14,20681148.0,26504210.0,20421353.0,25693965.0,79.47918120072165,78.02967151256348
49,(주)SH에너지화학,2360,Dec-15,17080931.0,23874505.0,16794017.0,23308070.0,72.05237070250776,71.5446498262477
50,(주)SH에너지화학,2360,Dec-16,12512423.0,20399837.0,12205868.0,19873862.0,61.41668891532003,61.33589694858836
51,(주)SH에너지화학,2360,Dec-17,8284440.0,17618682.0,8386725.0,17543581.0,47.805091788272875,47.020770339120716
52,(주)SH에너지화학,2360,Dec-18,6658546.0,17043794.0,6653981.0,16830322.0,39.535672579526405,39.06727574858039
53,(주)SH에너지화학,2360,Dec-19,7524603.0,24415856.0,7038413.0,23740037.0,29.647860279240508,30.818509906021724
54,(주)SIMPAC,9160,Dec-11,116979241.0,141938059.0,116922857.0,141119807.0,82.85361175416006,82.41569725847808
55,(주)SIMPAC,9160,Dec-12,108358727.0,130804553.0,108043478.0,129536202.0,83.40794027603187,82.84017988272932
56,(주)SIMPAC,9160,Dec-13,133795401.0,153154843.0,133732141.0,151936024.0,88.01871832581324,87.35956263557398
57,(주)SIMPAC,9160,Dec-14,136708331.0,162814028.0,116089000.0,125420957.0,92.55949147318339,83.96594119027631
58,(주)SIMPAC,9160,Dec-15,169308019.0,190825603.0,142954454.0,149261391.0,95.77456905784832,88.72395335755863
59,(주)SIMPAC,9160,Dec-16,155344858.0,177448939.0,130874395.0,137286101.0,95.32967579871759,87.54341326323738
60,(주)SIMPAC,9160,Dec-17,130651105.0,140332152.0,114191470.0,119223157.0,95.77960597034014,93.10133361312666
61,(주)SIMPAC,9160,Dec-18,228518804.0,246717950.0,207957388.0,217214665.0,95.73818968438434,92.62350145175898
62,(주)SIMPAC,9160,Dec-19,219489571.0,237950364.0,178141755.0,189477136.0,94.01754679255866,92.2417462660406
63,(주)SNT에너지,100840,Dec-11,,,96002453.0,115915976.0,82.82072610940186,
64,(주)SNT에너지,100840,Dec-12,,,88443397.0,109495724.0,80.77337978969845,
65,(주)SNT에너지,100840,Dec-13,,,91989174.0,113510608.0,81.04015617641657,
66,(주)SNT에너지,100840,Dec-14,,,76613085.0,96799312.0,79.14631149444533,
67,(주)SNT에너지,100840,Dec-15,,,64293369.0,84796156.0,75.82108910691659,
68,(주)SNT에너지,100840,Dec-16,,,102181702.0,118242778.0,86.41686513826663,
69,(주)SNT에너지,100840,Dec-17,,,49128545.0,66449368.0,73.93380325302718,
70,(주)SNT에너지,100840,Dec-18,,,31555307.0,49715044.0,63.47235054242334,
71,(주)SNT에너지,100840,Dec-19,67469967.0,88942325.0,65138557.0,85846184.0,75.8782207488687,75.85811029788124
72,(주)SNT홀딩스,36530,Dec-11,597785981.0,813820784.0,199700.0,284900.0,70.0947700947701,73.45425341213699
73,(주)SNT홀딩스,36530,Dec-12,540250663.0,756881039.0,165833.0,352990.0,46.97951783336639,71.3785436762672
74,(주)SNT홀딩스,36530,Dec-13,569273848.0,774810996.0,306090.0,484426.0,63.186121306453416,73.47260827981331
75,(주)SNT홀딩스,36530,Dec-14,477795324.0,683347926.0,245998.0,381380.0,64.50207142482563,69.91977378153335
76,(주)SNT홀딩스,36530,Dec-15,433769566.0,640062214.0,8658519.0,8658519.0,100.0,67.76990681721449
77,(주)SNT홀딩스,36530,Dec-16,487107956.0,679285814.0,318763.0,318763.0,100.0,71.70883683432847
78,(주)SNT홀딩스,36530,Dec-17,448821933.0,626881784.0,299279.0,299279.0,100.0,71.59594431603391
79,(주)SNT홀딩스,36530,Dec-18,381612594.0,610559077.0,231691.0,231691.0,100.0,62.50215718273565
80,(주)SNT홀딩스,36530,Dec-19,405603647.0,610745978.0,233270.0,233270.0,100.0,66.41118592843193
81,(주)STX,11810,Dec-11,2041868000.0,3318233000.0,1568777000.0,2137600000.0,73.38964258982035,61.53479879200767
82,(주)STX,11810,Dec-12,2363189000.0,3560390000.0,1821548000.0,2103344000.0,86.60247681786717,66.37444212572218
83,(주)STX,11810,Dec-13,1278680000.0,1852183000.0,1071743000.0,1608657000.0,66.62346292590652,69.03637491543762
84,(주)STX,11810,Dec-14,788697000.0,1161340000.0,671976000.0,1015539000.0,66.16939378989876,67.912669846901
85,(주)STX,11810,Dec-15,866685000.0,1194882000.0,677923000.0,985227000.0,68.80881258836796,72.53310368722602
86,(주)STX,11810,Dec-16,974743000.0,1038305000.0,914419000.0,956569000.0,95.59362680580283,93.87829202401991
87,(주)STX,11810,Dec-17,553981000.0,584982000.0,453983000.0,475683000.0,95.43813842411858,94.70052069978222
88,(주)STX,11810,Dec-18,463598000.0,490033000.0,361935000.0,384545000.0,94.12032401929554,94.60546534621137
89,(주)STX,11810,Dec-19,439806000.0,503816000.0,377150000.0,412118000.0,91.51505151437209,87.29496482842943
90,(주)TCC스틸,2710,Dec-11,165589918.0,228887542.0,143961450.0,202126588.0,71.22341074693252,72.34553552067067
