,회사명,거래소코드,회계년도,당기순이익(IFRS연결),전기순이익(IFRS연결),당기순이익(IFRS개별),전기순이익(IFRS개별),순이익증가율(개별),순이익증가율(연결)
54,(주)SIMPAC,9160,Dec-11,24976613.0,24976613.0,21196377.0,21196377.0,0.0,-15.13510258576693
55,(주)SIMPAC,9160,Dec-12,19285856.0,,22517068.0,22517068.0,0.0,
56,(주)SIMPAC,9160,Dec-13,20043596.0,20043596.0,19196136.0,19196136.0,0.0,-4.228083623317886
57,(주)SIMPAC,9160,Dec-14,14312319.0,14312319.0,10218575.0,10218575.0,0.0,-28.602939886960314
58,(주)SIMPAC,9160,Dec-15,16449973.0,16449973.0,19448583.0,19448583.0,0.0,18.22866213822965
59,(주)SIMPAC,9160,Dec-16,16183843.0,16183843.0,16444650.0,16444650.0,0.0,1.6115270025790522
60,(주)SIMPAC,9160,Dec-17,12895699.0,12895699.0,7133940.0,7133940.0,0.0,-44.679695144869626
61,(주)SIMPAC,9160,Dec-18,69198558.0,69198558.0,62381304.0,62381304.0,0.0,-9.851728413184574
62,(주)SIMPAC,9160,Dec-19,9487516.0,9487516.0,11507259.0,11507259.0,0.0,21.288427866682895
63,(주)SNT에너지,100840,Dec-11,,,-4155767.0,-4155767.0,0.0,
64,(주)SNT에너지,100840,Dec-12,,,9087721.0,9087721.0,0.0,
65,(주)SNT에너지,100840,Dec-13,,,16189688.0,16189688.0,0.0,
66,(주)SNT에너지,100840,Dec-14,,,11264253.0,11264253.0,0.0,
67,(주)SNT에너지,100840,Dec-15,,,27029932.0,27029932.0,0.0,
68,(주)SNT에너지,100840,Dec-16,,,1659742.0,1659742.0,0.0,
69,(주)SNT에너지,100840,Dec-17,,,4581777.0,4581777.0,0.0,
70,(주)SNT에너지,100840,Dec-18,,1825479.0,1825479.0,1917555.0,-4.801739715418847,0.0
71,(주)SNT에너지,100840,Dec-19,15452273.0,15452273.0,14578960.0,14578960.0,0.0,-5.651679853184049
72,(주)SNT홀딩스,36530,Dec-11,87196578.0,87196578.0,5766277.0,5766277.0,0.0,-93.38703750507274
73,(주)SNT홀딩스,36530,Dec-12,63253909.0,63253909.0,9011145.0,9011145.0,0.0,-85.75401087069575
74,(주)SNT홀딩스,36530,Dec-13,53763061.0,53763061.0,8018313.0,8018313.0,0.0,-85.08583244544056
75,(주)SNT홀딩스,36530,Dec-14,66985248.0,66985248.0,6891599.0,6891599.0,0.0,-89.71176608915444
76,(주)SNT홀딩스,36530,Dec-15,116419931.0,116419931.0,27765789.0,27765789.0,0.0,-76.15031312808458
77,(주)SNT홀딩스,36530,Dec-16,10146568.0,10146568.0,6923176.0,6923176.0,0.0,-31.76829840395294
78,(주)SNT홀딩스,36530,Dec-17,25863066.0,25863066.0,4172419.0,4172419.0,0.0,-83.8672684823988
79,(주)SNT홀딩스,36530,Dec-18,73732317.0,73732317.0,6218079.0,6218079.0,0.0,-91.56668438888201
80,(주)SNT홀딩스,36530,Dec-19,124509305.0,124509305.0,9244252.0,9244252.0,0.0,-92.57545289486598
81,(주)STX,11810,Dec-11,222363000.0,222363000.0,84657000.0,84657000.0,0.0,-61.92846831532224
82,(주)STX,11810,Dec-12,-490928000.0,-490928000.0,-23863000.0,-23863000.0,0.0,0.0
83,(주)STX,11810,Dec-13,-1595630000.0,-1595630000.0,-1646014000.0,-1646014000.0,0.0,0.0
84,(주)STX,11810,Dec-14,380584000.0,380584000.0,334488000.0,386662000.0,-13.493438713915523,-12.11191221911588
85,(주)STX,11810,Dec-15,-48982000.0,-48982000.0,-53449000.0,-53449000.0,0.0,0.0
86,(주)STX,11810,Dec-16,-457446000.0,-457446000.0,-456150000.0,-456150000.0,0.0,0.0
87,(주)STX,11810,Dec-17,334386000.0,334386000.0,336179000.0,336179000.0,0.0,0.5362066593697108
88,(주)STX,11810,Dec-18,9107000.0,9107000.0,5024000.0,5024000.0,0.0,-44.833644449324694
89,(주)STX,11810,Dec-19,-33218000.0,-33218000.0,-37142000.0,-37142000.0,0.0,0.0
90,(주)TCC스틸,2710,Dec-11,4557868.0,4557868.0,6828699.0,6828699.0,0.0,49.82221951140312
91,(주)TCC스틸,2710,Dec-12,124581.0,124581.0,4206491.0,4206491.0,0.0,3276.510864417528
92,(주)TCC스틸,2710,Dec-13,-19955830.0,-19955830.0,391783.0,391783.0,0.0,-101.96325083947899
93,(주)TCC스틸,2710,Dec-14,-15813610.0,-15813610.0,1022624.0,1022624.0,0.0,-106.46673340242994
94,(주)TCC스틸,2710,Dec-15,-110218983.0,-110218983.0,-140083396.0,-140083396.0,0.0,0.0
95,(주)TCC스틸,2710,Dec-16,16948843.0,14475061.0,15468493.0,12994711.0,19.03683737175841,6.863059160856039
96,(주)TCC스틸,2710,Dec-17,1503708.0,1503708.0,-2328706.0,-2328706.0,0.0,-254.86424225980045
97,(주)TCC스틸,2710,Dec-18,9755131.0,9755131.0,7565000.0,7565000.0,0.0,-22.45106703333866
98,(주)TCC스틸,2710,Dec-19,5037267.0,5037267.0,1996130.0,1996130.0,0.0,-60.37275768784938
99,(주)가비아,79940,Dec-11,7014899.0,7014899.0,3262397.0,3262397.0,0.0,-53.49331472912154
100,(주)가비아,79940,Dec-12,9419144.0,9419144.0,5737877.0,5737877.0,0.0,-39.082818990770285
101,(주)가비아,79940,Dec-13,9505713.0,9505713.0,3786937.0,3786937.0,0.0,-60.16146290130998
102,(주)가비아,79940,Dec-14,6752737.0,6752737.0,3076978.0,3076978.0,0.0,-54.433617065198895
103,(주)가비아,79940,Dec-15,8530281.0,8530281.0,4288423.0,4288423.0,0.0,-49.72706057397171
104,(주)가비아,79940,Dec-16,10177685.0,10177685.0,3544032.0,3544032.0,0.0,-65.17840746692396
105,(주)가비아,79940,Dec-17,9669613.0,9669613.0,2493743.0,2493743.0,0.0,-74.21051907661662
106,(주)가비아,79940,Dec-18,15340647.0,15340647.0,2762732.0,2762732.0,0.0,-81.99077261865162
107,(주)가비아,79940,Dec-19,21102390.0,21102390.0,4654769.0,4654769.0,0.0,-77.9419819271656
108,(주)강스템바이오텍,217730,Dec-15,,,-5754141.0,-5754141.0,0.0,
109,(주)강스템바이오텍,217730,Dec-16,,-8300375.0,-8300375.0,-8300375.0,0.0,0.0
110,(주)강스템바이오텍,217730,Dec-17,-11531949.0,-15614199.0,-10855842.0,-14938092.0,0.0,0.0
111,(주)강스템바이오텍,217730,Dec-18,-14294032.0,-14294032.0,-13500909.0,-13500909.0,0.0,0.0
112,(주)강스템바이오텍,217730,Dec-19,-26394472.0,-26394472.0,-25001590.0,-25001590.0,0.0,0.0
113,(주)강원랜드,35250,Dec-11,381175313.0,381175313.0,393401121.0,393401121.0,0.0,3.207397641725038
114,(주)강원랜드,35250,Dec-12,306228988.0,306228988.0,296503993.0,296503993.0,0.0,-3.1757264599653183
115,(주)강원랜드,35250,Dec-13,297596347.0,297596347.0,293129468.0,293129468.0,0.0,-1.5009858303132972
116,(주)강원랜드,35250,Dec-14,359348568.0,359348568.0,363815729.0,363815729.0,0.0,1.2431275362700234
117,(주)강원랜드,35250,Dec-15,441629101.0,441629101.0,430459518.0,430459518.0,0.0,-2.5291773061848204
118,(주)강원랜드,35250,Dec-16,454533659.0,454533659.0,454998593.0,454998593.0,0.0,0.10228813439753992
119,(주)강원랜드,35250,Dec-17,437540507.0,437540507.0,437096330.0,437096330.0,0.0,-0.10151677225167077
120,(주)강원랜드,35250,Dec-18,297236881.0,297236881.0,297320114.0,297320114.0,0.0,0.028002245118429414
121,(주)강원랜드,35250,Dec-19,334653892.0,334653892.0,335609508.0,335609508.0,0.0,0.28555352943571677
122,(주)강원에너지,114190,Nov-11,,,5754715.0,5754715.0,0.0,
123,(주)강원에너지,114190,Dec-12,,,8974549.0,8974549.0,0.0,
124,(주)강원에너지,114190,Dec-13,,,3922208.0,3922208.0,0.0,
125,(주)강원에너지,114190,Dec-14,,1123194.0,1123194.0,1123194.0,0.0,0.0
126,(주)강원에너지,114190,Dec-15,102482.0,102482.0,885783.0,885783.0,0.0,764.3303214222985
127,(주)강원에너지,114190,Dec-16,-1125371.0,-1125371.0,-762058.0,-762058.0,0.0,0.0
128,(주)강원에너지,114190,Dec-17,-6451819.0,-6451819.0,-6291307.0,-6291307.0,0.0,0.0
129,(주)강원에너지,114190,Dec-18,1708887.0,1708887.0,1977524.0,1977524.0,0.0,15.719997869958632
130,(주)강원에너지,114190,Dec-19,-35647438.0,-35949081.0,-33460765.0,-33762408.0,0.0,0.0
131,(주)갤럭시아에스엠,11420,Dec-11,2909464.0,2909464.0,3000743.0,3000743.0,0.0,3.1373132645738337
132,(주)갤럭시아에스엠,11420,Dec-12,389023.0,389023.0,223810.0,223810.0,0.0,-42.46869722355747
133,(주)갤럭시아에스엠,11420,Dec-13,-1736750.0,-1736750.0,-1420345.0,-1420345.0,0.0,0.0
134,(주)갤럭시아에스엠,11420,Dec-14,-255270.0,-255270.0,-931106.0,-931106.0,0.0,0.0
135,(주)갤럭시아에스엠,11420,Dec-15,1863773.0,1863773.0,2575902.0,1863773.0,38.2089986280518,38.2089986280518
136,(주)갤럭시아에스엠,11420,Dec-16,-1562620.0,-1562620.0,-1562620.0,-1562620.0,0.0,0.0
137,(주)갤럭시아에스엠,11420,Dec-17,-5899738.0,-5899738.0,-5899738.0,-5899738.0,0.0,0.0
138,(주)갤럭시아에스엠,11420,Dec-18,-16003255.0,-16003255.0,-15678085.0,-15678085.0,0.0,0.0
139,(주)갤럭시아에스엠,11420,Dec-19,-1375316.0,,-1375316.0,-1375316.0,0.0,
140,(주)경농,2100,Dec-11,509664.0,509664.0,3154155.0,3154155.0,0.0,518.8694904878508
141,(주)경농,2100,Dec-12,10310339.0,,6590012.0,6590012.0,0.0,
142,(주)경농,2100,Dec-13,13950249.0,13950249.0,13751960.0,13751960.0,0.0,-1.4214011520511178
143,(주)경농,2100,Dec-14,7099305.0,7099305.0,9271741.0,9271741.0,0.0,30.600685560065386
144,(주)경농,2100,Dec-15,6980392.0,6980392.0,6488880.0,6488880.0,0.0,-7.041323753737615
145,(주)경농,2100,Dec-16,6365805.0,6365805.0,5770891.0,5770891.0,0.0,-9.345463770882077
146,(주)경농,2100,Dec-17,10079442.0,10079442.0,11539079.0,11539079.0,0.0,14.481327438562559
147,(주)경농,2100,Dec-18,4878426.0,4878426.0,9613575.0,9613575.0,0.0,97.06304861445065
148,(주)경농,2100,Dec-19,4014664.0,4014664.0,7061857.0,7061857.0,0.0,75.90156984494843
149,(주)경동나비엔,9450,Dec-11,9467023.0,9467023.0,9445090.0,9445090.0,0.0,-0.23167789916639947
150,(주)경동나비엔,9450,Dec-12,9169965.0,,9214927.0,9214927.0,0.0,
151,(주)경동나비엔,9450,Dec-13,11129597.0,11129597.0,9251575.0,9251575.0,0.0,-16.874124013654765
152,(주)경동나비엔,9450,Dec-14,9380054.0,9380054.0,9082312.0,9082312.0,0.0,-3.174203474734796
153,(주)경동나비엔,9450,Dec-15,16752000.0,16752000.0,19320742.0,19320742.0,0.0,15.333942215854819
154,(주)경동나비엔,9450,Dec-16,37469924.0,37469924.0,28636194.0,28636194.0,0.0,-23.575521530281193
155,(주)경동나비엔,9450,Dec-17,27019124.0,27019124.0,16291264.0,16291264.0,0.0,-39.70469212843466
156,(주)경동나비엔,9450,Dec-18,24748538.0,24748538.0,22818064.0,22818064.0,0.0,-7.800355722022857
157,(주)경동나비엔,9450,Dec-19,27852090.0,27852090.0,20474157.0,20474157.0,0.0,-26.48969251499618
158,(주)경동도시가스,267290,Dec-17,17798556.0,17798556.0,17678888.0,17678888.0,0.0,-0.672346678011408
159,(주)경동도시가스,267290,Dec-18,34164798.0,34164798.0,33981432.0,33981432.0,0.0,-0.5367103297376445
160,(주)경동도시가스,267290,Dec-19,24638348.0,24638348.0,24355132.0,24355132.0,0.0,-1.1494926526729756
161,(주)경동인베스트,12320,Dec-11,30327559.0,30327559.0,50053289.0,50053289.0,0.0,65.04226073717308
162,(주)경동인베스트,12320,Dec-12,42879202.0,42879202.0,56917580.0,56917580.0,0.0,32.739363946185364
163,(주)경동인베스트,12320,Dec-13,49841905.0,50084870.0,46253877.0,46253877.0,0.0,-7.649002583015587
164,(주)경동인베스트,12320,Dec-14,75930406.0,75930406.0,44839494.0,44839494.0,0.0,-40.94658996028547
165,(주)경동인베스트,12320,Dec-15,-21251390.0,-21251390.0,-6095609.0,-6095609.0,0.0,0.0
166,(주)경동인베스트,12320,Dec-16,19132415.0,19132415.0,16356641.0,16356641.0,0.0,-14.508225961019562
167,(주)경동인베스트,12320,Dec-17,51930860.0,51930860.0,7248447.0,7248447.0,0.0,-86.042120234481
168,(주)경동인베스트,12320,Dec-18,29827973.0,30560131.0,1574966.0,1574966.0,0.0,-94.84633753696933
169,(주)경동인베스트,12320,Dec-19,8856009.0,8856009.0,-917643.0,-917643.0,0.0,-110.36181196292821
170,(주)경방,50,Dec-11,-1131177.0,-1131177.0,-1822388.0,-1822388.0,0.0,0.0
171,(주)경방,50,Dec-12,-7910168.0,-7910168.0,-7074187.0,-7074187.0,0.0,0.0
172,(주)경방,50,Dec-13,14574395.0,14574395.0,15103835.0,15103835.0,0.0,3.6326722309914032
173,(주)경방,50,Dec-14,11488471.0,11488471.0,14235818.0,14235818.0,0.0,23.91394816594827
174,(주)경방,50,Dec-15,16692163.0,16692163.0,21604723.0,21604723.0,0.0,29.430338057446477
175,(주)경방,50,Dec-16,29474988.0,29474988.0,30977743.0,30977743.0,0.0,5.09840750401662
176,(주)경방,50,Dec-17,25315361.0,25315361.0,25679379.0,25679379.0,0.0,1.4379332769538564
177,(주)경방,50,Dec-18,20189241.0,20189241.0,29198252.0,29198252.0,0.0,44.622831536856694
178,(주)경방,50,Dec-19,43621631.0,43621631.0,22223943.0,22223943.0,0.0,-49.05292972653865
179,(주)경보제약,214390,Dec-15,,,26109623.0,26109623.0,0.0,
180,(주)경보제약,214390,Dec-16,,,12705930.0,12705930.0,0.0,
181,(주)경보제약,214390,Dec-17,,,17963310.0,17963310.0,0.0,
182,(주)경보제약,214390,Dec-18,,,13116049.0,13116049.0,0.0,
183,(주)경보제약,214390,Dec-19,,,5285239.0,5285239.0,0.0,
184,(주)경인양행,12610,Dec-11,2886360.0,2886360.0,2788642.0,2788642.0,0.0,-3.3855097770201894
185,(주)경인양행,12610,Dec-12,2093491.0,2093491.0,4475441.0,4475441.0,0.0,113.77885073305785
186,(주)경인양행,12610,Dec-13,10215710.0,10215710.0,12327177.0,12327177.0,0.0,20.668822822887492
187,(주)경인양행,12610,Dec-14,10148247.0,10148247.0,9090269.0,9090269.0,0.0,-10.425229106071214
188,(주)경인양행,12610,Dec-15,3670895.0,3670895.0,107330.0,107330.0,0.0,-97.07618986650394
189,(주)경인양행,12610,Dec-16,6837522.0,6837522.0,3724987.0,3724987.0,0.0,-45.52138918163627
190,(주)경인양행,12610,Dec-17,4779249.0,4779249.0,531273.0,531273.0,0.0,-88.88375558586715
191,(주)경인양행,12610,Dec-18,13801882.0,13801882.0,7419717.0,7419717.0,0.0,-46.24126622731596
192,(주)경인양행,12610,Dec-19,16372880.0,16372880.0,4797711.0,4797711.0,0.0,-70.69720782171494
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,1003761.0,1003761.0,0.0,
197,(주)고려시멘트,198440,Dec-18,,,4645869.0,4645869.0,0.0,
198,(주)고려시멘트,198440,Dec-19,,,3396444.0,3396444.0,0.0,
199,(주)고영테크놀러지,98460,Dec-11,15634438.0,15634438.0,16580579.0,16580579.0,0.0,6.051647011552319
200,(주)고영테크놀러지,98460,Dec-12,15221925.0,15221925.0,14836215.0,14836215.0,0.0,-2.5339107898639526
201,(주)고영테크놀러지,98460,Dec-13,13933294.0,13933294.0,14816762.0,14816762.0,0.0,6.340697325413487
202,(주)고영테크놀러지,98460,Dec-14,22111066.0,22111066.0,22775832.0,22775832.0,0.0,3.006485530819731
203,(주)고영테크놀러지,98460,Dec-15,23530903.0,23530903.0,23271756.0,23271756.0,0.0,-1.1013049520453961
204,(주)고영테크놀러지,98460,Dec-16,29723733.0,29723733.0,28063238.0,28063238.0,0.0,-5.586428191909803
205,(주)고영테크놀러지,98460,Dec-17,26734105.0,26734105.0,28907302.0,28907302.0,0.0,8.128931191075964
206,(주)고영테크놀러지,98460,Dec-18,42309672.0,42309672.0,42430216.0,42430216.0,0.0,0.28490885015605727
207,(주)고영테크놀러지,98460,Dec-19,29559680.0,29559680.0,34702997.0,34702997.0,0.0,17.39977225734515
208,(주)골드앤에스,35290,Dec-11,1002287.0,1002287.0,1101095.0,1101095.0,0.0,9.85825417270702
209,(주)골드앤에스,35290,Dec-12,-6467495.0,-6467494.0,-6036290.0,-6036290.0,0.0,0.0
210,(주)골드앤에스,35290,Dec-13,-16837473.0,-16837473.0,-16378087.0,-16378087.0,0.0,0.0
211,(주)골드앤에스,35290,Dec-14,-9319175.0,-9319175.0,-8058617.0,-8058617.0,0.0,0.0
212,(주)골드앤에스,35290,Dec-15,-9502547.0,-9502547.0,-9396462.0,-9396462.0,0.0,0.0
213,(주)골드앤에스,35290,Dec-16,390367.0,-971491.0,388207.0,-973651.0,-139.87126804162887,-139.95991728178646
