,회사명,거래소코드,회계년도,당기순이익(IFRS연결),매출액(IFRS연결),당기순이익(IFRS개별),매출액(IFRS개별),매출액순이익률(개별),매출액순이익률(연결)
43,(주)MH에탄올,23150,Dec-18,-12033428.0,72795863.0,6553371.0,46943080.0,13.960249306181016,-16.530373436193756
44,(주)MH에탄올,23150,Dec-19,-7552043.0,80879342.0,-5004935.0,46992295.0,-10.650543881715077,-9.337418941909789
45,(주)SH에너지화학,2360,Dec-11,1800972.0,173209351.0,3164441.0,172752632.0,1.831775853927366,1.0397660343407211
46,(주)SH에너지화학,2360,Dec-12,210854.0,193950102.0,1079738.0,191907628.0,0.5626342273377481,0.10871559118850063
47,(주)SH에너지화학,2360,Dec-13,4606872.0,231912218.0,4841817.0,229783541.0,2.107120892527285,1.9864723125540544
48,(주)SH에너지화학,2360,Dec-14,16733050.0,230912587.0,15569914.0,226971465.0,6.859855268590702,7.246486740889529
49,(주)SH에너지화학,2360,Dec-15,12590617.0,216441364.0,12639344.0,213882181.0,5.90948901909692,5.817102963738484
50,(주)SH에너지화학,2360,Dec-16,18028878.0,218397677.0,17574101.0,214380015.0,8.197639598075408,8.255068573829199
51,(주)SH에너지화학,2360,Dec-17,9879057.0,188114822.0,8905104.0,184672638.0,4.822102557499612,5.251610104386139
52,(주)SH에너지화학,2360,Dec-18,2033570.0,183598766.0,2766802.0,180753289.0,1.530706309858627,1.1076163768987424
53,(주)SH에너지화학,2360,Dec-19,-3090151.0,140852575.0,-3151629.0,138161816.0,-2.281114342040785,-2.193890314039342
54,(주)SIMPAC,9160,Dec-11,24976613.0,215365697.0,21196377.0,213867522.0,9.910984520594951,11.59730326041663
55,(주)SIMPAC,9160,Dec-12,19285856.0,225353321.0,22517068.0,223854758.0,10.058784633918748,8.558052712256234
56,(주)SIMPAC,9160,Dec-13,20043596.0,205751154.0,19196136.0,204527751.0,9.38558992906542,9.74166881221964
57,(주)SIMPAC,9160,Dec-14,14312319.0,263152264.0,10218575.0,227491803.0,4.491843163245755,5.438797592864335
58,(주)SIMPAC,9160,Dec-15,16449973.0,269528038.0,19448583.0,213152303.0,9.124265947996818,6.103251120760951
59,(주)SIMPAC,9160,Dec-16,16183843.0,267074156.0,16444650.0,215839356.0,7.618930256630306,6.059681416722327
60,(주)SIMPAC,9160,Dec-17,12895699.0,230634812.0,7133940.0,203150228.0,3.5116573927743753,5.591393115450412
61,(주)SIMPAC,9160,Dec-18,69198558.0,306150809.0,62381304.0,268863854.0,23.201818716769566,22.602768297763994
62,(주)SIMPAC,9160,Dec-19,9487516.0,430085162.0,11507259.0,391970769.0,2.9357441702495937,2.205962176393335
63,(주)SNT에너지,100840,Dec-11,,,-4155767.0,195318747.0,-2.1276846507724114,
64,(주)SNT에너지,100840,Dec-12,,,9087721.0,230707564.0,3.939065040797709,
65,(주)SNT에너지,100840,Dec-13,,,16189688.0,200750984.0,8.064562214051215,
66,(주)SNT에너지,100840,Dec-14,,,11264253.0,242746888.0,4.640328488989733,
67,(주)SNT에너지,100840,Dec-15,,,27029932.0,260094045.0,10.392368652654081,
68,(주)SNT에너지,100840,Dec-16,,,1659742.0,254089906.0,0.6532105214758118,
69,(주)SNT에너지,100840,Dec-17,,,4581777.0,184091945.0,2.4888525133459805,
70,(주)SNT에너지,100840,Dec-18,,,1825479.0,139516396.0,1.3084333113077262,
71,(주)SNT에너지,100840,Dec-19,15452273.0,213326726.0,14578960.0,202822913.0,7.188024165691773,7.243477312823899
72,(주)SNT홀딩스,36530,Dec-11,87196578.0,1663846065.0,5766277.0,2257851.0,255.3878444591782,5.240663774986901
73,(주)SNT홀딩스,36530,Dec-12,63253909.0,1668749904.0,9011145.0,8718270.0,103.35932472841516,3.790496637535687
74,(주)SNT홀딩스,36530,Dec-13,53763061.0,1576368464.0,8018313.0,8826810.0,90.84043952458475,3.4105643590190473
75,(주)SNT홀딩스,36530,Dec-14,66985248.0,1552374806.0,6891599.0,7701882.0,89.47941555064074,4.315017722595016
