,회사명,거래소코드,회계년도,매출채권(IFRS연결)(천원),매입채무(IFRS연결)(천원),매출채권(IFRS)(천원),매입채무(IFRS)(천원),매출채권대매입채무비율(개별),매출채권대매입채무비율(연결)
46,(주)SH에너지화학,2360,2012/12,30307562.0,2215544.0,29170923.0,2206403.0,1322.1031244065568,1367.9512571178907
47,(주)SH에너지화학,2360,2013/12,33797271.0,2599202.0,33105701.0,2593275.0,1276.5981625550703,1300.2941287364354
48,(주)SH에너지화학,2360,2014/12,33429222.0,2223255.0,32478430.0,2190170.0,1482.9182209600167,1503.6161843783102
49,(주)SH에너지화학,2360,2015/12,32536497.0,1103755.0,31405845.0,1087816.0,2887.054887958993,2947.800644164692
50,(주)SH에너지화학,2360,2016/12,44363775.0,1504713.0,44371296.0,1483508.0,2990.9711305904652,2948.3213742421312
51,(주)SH에너지화학,2360,2017/12,32135522.0,1775928.0,29569635.0,1657856.0,1783.6069598324584,1809.50590339248
52,(주)SH에너지화학,2360,2018/12,28065346.0,969166.0,26954657.0,956145.0,2819.097208059447,2895.8244511260195
53,(주)SH에너지화학,2360,2019/12,19343406.0,1033114.0,18332571.0,1003854.0,1826.218852542302,1872.339935379832
54,(주)SIMPAC,9160,2011/12,61396431.0,37822973.0,61101857.0,37851191.0,161.4265109914243,162.32576693534907
55,(주)SIMPAC,9160,2012/12,64410349.0,37650525.0,63906443.0,37650525.0,169.7358615849314,171.07423867263472
56,(주)SIMPAC,9160,2013/12,70776019.0,38556438.0,70594150.0,38556438.0,183.09302845869735,183.56472400277224
57,(주)SIMPAC,9160,2014/12,85807726.0,46030344.0,65389652.0,39369978.0,166.09014107145296,186.41556534967455
58,(주)SIMPAC,9160,2015/12,92407160.0,53845716.0,63243462.0,44285429.0,142.8087373840276,171.61469261547197
59,(주)SIMPAC,9160,2016/12,82187792.0,46855264.0,49480584.0,41037295.0,120.57467238033111,175.40780903507448
60,(주)SIMPAC,9160,2017/12,92525495.0,29467361.0,69293781.0,25003174.0,277.13993831343174,313.9931499125422
61,(주)SIMPAC,9160,2018/12,83584396.0,43116640.0,58586618.0,37013249.0,158.28553175647994,193.85646933527286
62,(주)SIMPAC,9160,2019/12,70072876.0,32704191.0,47263174.0,25346947.0,186.46495769293242,214.2626796669577
63,(주)SNT에너지,100840,2011/12,,,61985605.0,44474696.0,139.37274579684592,
64,(주)SNT에너지,100840,2012/12,,,55907590.0,39641985.0,141.0312576426231,
65,(주)SNT에너지,100840,2013/12,,,41261252.0,37857624.0,108.9906012062458,
66,(주)SNT에너지,100840,2014/12,,,49187725.0,31040007.0,158.46557315531533,
67,(주)SNT에너지,100840,2015/12,,,64863275.0,29685849.0,218.49897235548156,
68,(주)SNT에너지,100840,2016/12,,,48869506.0,23920463.0,204.30000038042743,
69,(주)SNT에너지,100840,2017/12,,,51310402.0,16893340.0,303.73154154240666,
70,(주)SNT에너지,100840,2018/12,,,29295256.0,13110417.0,223.4502228266271,
71,(주)SNT에너지,100840,2019/12,83894725.0,23420417.0,98456397.0,21255312.0,463.20842996800053,358.21191825918385
72,(주)SNT홀딩스,36530,2011/12,404578388.0,371854324.0,677865.0,0.0,inf,108.80023758981487
