,회사명,거래소코드,회계년도,당기자산(IFRS연결),전기자산(IFRS연결),당기자산(IFRS개별),전기자산(IFRS개별),총자산증가율(개별),총자산증가율(연결)
52,(주)SH에너지화학,2360,Dec-18,122434685.0,122434685.0,120895795.0,120895795.0,0.0,-1.2569068969303885
53,(주)SH에너지화학,2360,Dec-19,123415832.0,123415832.0,121126250.0,121126250.0,0.0,-1.8551768949708247
54,(주)SIMPAC,9160,Dec-11,310879328.0,310879328.0,296953131.0,296953131.0,0.0,-4.47961499710911
55,(주)SIMPAC,9160,Dec-12,318665505.0,,307366684.0,307366684.0,0.0,
56,(주)SIMPAC,9160,Dec-13,361985890.0,361985890.0,349836891.0,349836891.0,0.0,-3.3562078897605687
57,(주)SIMPAC,9160,Dec-14,381939281.0,381939281.0,329325876.0,329325876.0,0.0,-13.775332262826353
58,(주)SIMPAC,9160,Dec-15,422833445.0,422833445.0,369348917.0,369348917.0,0.0,-12.649076990586678
59,(주)SIMPAC,9160,Dec-16,417865468.0,417865468.0,366245273.0,366245273.0,0.0,-12.353304820105407
60,(주)SIMPAC,9160,Dec-17,381158251.0,381158251.0,343005145.0,343005145.0,0.0,-10.009780950537532
61,(주)SIMPAC,9160,Dec-18,681750819.0,681750819.0,628334175.0,628334175.0,0.0,-7.835215229862442
62,(주)SIMPAC,9160,Dec-19,679145850.0,679145850.0,608693104.0,608693104.0,0.0,-10.373728411945677
63,(주)SNT에너지,100840,Dec-11,,,276511841.0,276511841.0,0.0,
64,(주)SNT에너지,100840,Dec-12,,,292802033.0,292802033.0,0.0,
65,(주)SNT에너지,100840,Dec-13,,,311675279.0,311675279.0,0.0,
66,(주)SNT에너지,100840,Dec-14,,,304511816.0,304511816.0,0.0,
67,(주)SNT에너지,100840,Dec-15,,,316196096.0,316196096.0,0.0,
68,(주)SNT에너지,100840,Dec-16,,,348042346.0,348042346.0,0.0,
69,(주)SNT에너지,100840,Dec-17,,,300266693.0,300266693.0,0.0,
70,(주)SNT에너지,100840,Dec-18,,280991534.0,280991534.0,280908125.0,0.029692626370263042,0.0
71,(주)SNT에너지,100840,Dec-19,333897235.0,333897235.0,331391237.0,331391237.0,0.0,-0.7505297251113774
72,(주)SNT홀딩스,36530,Dec-11,2124828265.0,2124828265.0,388123974.0,388123974.0,0.0,-81.73386619553463
73,(주)SNT홀딩스,36530,Dec-12,2074903906.0,2074903906.0,388964716.0,388964716.0,0.0,-81.2538443406834
74,(주)SNT홀딩스,36530,Dec-13,2149176237.0,2149176237.0,397336142.0,397336142.0,0.0,-81.51216567727201
75,(주)SNT홀딩스,36530,Dec-14,2039388864.0,2039388864.0,399244416.0,399244416.0,0.0,-80.42333058458831
76,(주)SNT홀딩스,36530,Dec-15,2169311305.0,2169311305.0,430584006.0,430584006.0,0.0,-80.15111961996621
77,(주)SNT홀딩스,36530,Dec-16,2210178425.0,2210178425.0,427001710.0,427001710.0,0.0,-80.68021544459697
78,(주)SNT홀딩스,36530,Dec-17,2146174938.0,2146174938.0,425435423.0,425435423.0,0.0,-80.17703890455178
79,(주)SNT홀딩스,36530,Dec-18,2113834573.0,2113834573.0,422804813.0,422804813.0,0.0,-79.9982071255488
80,(주)SNT홀딩스,36530,Dec-19,2236679025.0,2236679025.0,417172874.0,417172874.0,0.0,-81.3485587633657
81,(주)STX,11810,Dec-11,5234175000.0,5234175000.0,3302248000.0,3302248000.0,0.0,-36.909866406835846
82,(주)STX,11810,Dec-12,5067029000.0,5067029000.0,3226878000.0,3226878000.0,0.0,-36.316172652653066
83,(주)STX,11810,Dec-13,1342520000.0,1342520000.0,1086567000.0,1086567000.0,0.0,-19.065116348359794
84,(주)STX,11810,Dec-14,1255002000.0,1255002000.0,1070433000.0,1113626000.0,-3.87859119668542,-14.706669790167666
85,(주)STX,11810,Dec-15,1267224000.0,1267224000.0,1057543000.0,1057543000.0,0.0,-16.546482705504317
86,(주)STX,11810,Dec-16,707709000.0,707709000.0,627686000.0,627686000.0,0.0,-11.30733112055944
87,(주)STX,11810,Dec-17,627542000.0,627542000.0,520393000.0,520393000.0,0.0,-17.074395020572325
88,(주)STX,11810,Dec-18,554061000.0,554061000.0,446758000.0,446758000.0,0.0,-19.36664013529196
89,(주)STX,11810,Dec-19,560107000.0,560107000.0,462734000.0,462734000.0,0.0,-17.384713992147923
90,(주)TCC스틸,2710,Dec-11,454329510.0,454329510.0,407743559.0,407743559.0,0.0,-10.253780565563531
91,(주)TCC스틸,2710,Dec-12,547013976.0,547013976.0,438642951.0,438642951.0,0.0,-19.811381382328705
92,(주)TCC스틸,2710,Dec-13,543708595.0,543708595.0,444204925.0,444204925.0,0.0,-18.300919079640437
93,(주)TCC스틸,2710,Dec-14,551000563.0,551000563.0,461297588.0,461297588.0,0.0,-16.280015125864765
94,(주)TCC스틸,2710,Dec-15,376394571.0,376394571.0,330651742.0,330651742.0,0.0,-12.152892874748716
95,(주)TCC스틸,2710,Dec-16,282914735.0,286074924.0,250878191.0,250878191.0,0.0,-12.303326872508407
96,(주)TCC스틸,2710,Dec-17,278692540.0,278692540.0,248896237.0,248896237.0,0.0,-10.691460560802952
97,(주)TCC스틸,2710,Dec-18,304781579.0,304781579.0,268135677.0,268135677.0,0.0,-12.023660393202434
98,(주)TCC스틸,2710,Dec-19,314210087.0,314210087.0,270265082.0,270265082.0,0.0,-13.985867041881434
99,(주)가비아,79940,Dec-11,64954440.0,64954440.0,37295822.0,37295822.0,0.0,-42.58156640254307
100,(주)가비아,79940,Dec-12,85244515.0,85244515.0,51795749.0,51795749.0,0.0,-39.23861376887417
101,(주)가비아,79940,Dec-13,91231294.0,91231294.0,52151784.0,52151784.0,0.0,-42.83564146311461
102,(주)가비아,79940,Dec-14,98544072.0,98544072.0,55984243.0,55984243.0,0.0,-43.18862427361435
103,(주)가비아,79940,Dec-15,105081568.0,105081568.0,57657418.0,57657418.0,0.0,-45.13079781984221
104,(주)가비아,79940,Dec-16,125796754.0,125796754.0,61160981.0,61160981.0,0.0,-51.38111353811244
105,(주)가비아,79940,Dec-17,133382584.0,133382584.0,64986436.0,64986436.0,0.0,-51.27816986961356
106,(주)가비아,79940,Dec-18,151440505.0,151440505.0,69315988.0,69315988.0,0.0,-54.22889800849515
107,(주)가비아,79940,Dec-19,199916131.0,199916131.0,82964911.0,82964911.0,0.0,-58.50014174193877
108,(주)강스템바이오텍,217730,Dec-15,,,24982626.0,24982626.0,0.0,
109,(주)강스템바이오텍,217730,Dec-16,,47441769.0,47441769.0,47441769.0,0.0,0.0
110,(주)강스템바이오텍,217730,Dec-17,47198979.0,45914104.0,44508729.0,43223854.0,2.97260628355815,-3.06087863546243
111,(주)강스템바이오텍,217730,Dec-18,73194018.0,73194018.0,66184838.0,66184838.0,0.0,-9.576165090431303
112,(주)강스템바이오텍,217730,Dec-19,113643697.0,113643697.0,98625925.0,98625925.0,0.0,-13.214786562249898
113,(주)강원랜드,35250,Dec-11,2711401782.0,2711401782.0,2730283806.0,2730283806.0,0.0,0.6963934347668612
114,(주)강원랜드,35250,Dec-12,2906655321.0,2906655321.0,2915385756.0,2915385756.0,0.0,0.30036017469716114
115,(주)강원랜드,35250,Dec-13,3102036846.0,3102036846.0,3105430200.0,3105430200.0,0.0,0.10939115711587988
116,(주)강원랜드,35250,Dec-14,3375127289.0,3375127289.0,3380461682.0,3380461682.0,0.0,0.15805012798733742
117,(주)강원랜드,35250,Dec-15,3690791830.0,3690791830.0,3688060027.0,3688060027.0,0.0,-0.07401671852080938
118,(주)강원랜드,35250,Dec-16,3978987574.0,3978987574.0,3975979890.0,3975979890.0,0.0,-0.07558917800228926
119,(주)강원랜드,35250,Dec-17,4185657487.0,4185657487.0,4182527382.0,4182527382.0,0.0,-0.07478168029089716
120,(주)강원랜드,35250,Dec-18,4231241354.0,4231241354.0,4229630541.0,4229630541.0,0.0,-0.03806951353595878
121,(주)강원랜드,35250,Dec-19,4438119306.0,4438119306.0,4436461953.0,4436461953.0,0.0,-0.03734358825728634
122,(주)강원에너지,114190,Nov-11,,,53719067.0,53719067.0,0.0,
123,(주)강원에너지,114190,Dec-12,,,89258208.0,89258208.0,0.0,
124,(주)강원에너지,114190,Dec-13,,,72441333.0,72441333.0,0.0,
125,(주)강원에너지,114190,Dec-14,,67037639.0,67037639.0,67037639.0,0.0,0.0
126,(주)강원에너지,114190,Dec-15,85457457.0,85457457.0,80939019.0,80939019.0,0.0,-5.287353682897447
127,(주)강원에너지,114190,Dec-16,77186606.0,77186606.0,70850137.0,70850137.0,0.0,-8.209285688763146
128,(주)강원에너지,114190,Dec-17,93179394.0,93179394.0,87781416.0,87781416.0,0.0,-5.793102711099408
129,(주)강원에너지,114190,Dec-18,93845576.0,93845576.0,89619750.0,89619750.0,0.0,-4.50295707066681
130,(주)강원에너지,114190,Dec-19,56602063.0,56300419.0,55106032.0,54804389.0,0.5503993484901315,-2.121453128084184
131,(주)갤럭시아에스엠,11420,Dec-11,45110356.0,45110356.0,40711969.0,40711969.0,0.0,-9.750282174674041
132,(주)갤럭시아에스엠,11420,Dec-12,43979072.0,43979072.0,40169876.0,40169876.0,0.0,-8.661383305222998
133,(주)갤럭시아에스엠,11420,Dec-13,37636664.0,37636664.0,34158874.0,34158874.0,0.0,-9.240431086028238
134,(주)갤럭시아에스엠,11420,Dec-14,45274078.0,45274078.0,40528250.0,40528250.0,0.0,-10.482439863270102
135,(주)갤럭시아에스엠,11420,Dec-15,68686992.0,68686992.0,67196553.0,66270377.0,1.3975716480381521,-2.1698999426266994
136,(주)갤럭시아에스엠,11420,Dec-16,58444606.0,58444606.0,55825556.0,55825556.0,0.0,-4.481251871216301
137,(주)갤럭시아에스엠,11420,Dec-17,49831109.0,49831109.0,48958128.0,48958128.0,0.0,-1.7518795337266084
138,(주)갤럭시아에스엠,11420,Dec-18,33253331.0,33253331.0,33337692.0,33337692.0,0.0,0.2536918782662667
139,(주)갤럭시아에스엠,11420,Dec-19,28241598.0,,28241598.0,28241598.0,0.0,
140,(주)경농,2100,Dec-11,173774102.0,173774102.0,176741869.0,176741869.0,0.0,1.7078304337892547
141,(주)경농,2100,Dec-12,269412832.0,,203467698.0,203467698.0,0.0,
