,회사명,거래소코드,회계년도,당기유동자산(IFRS연결),전기유동자산(IFRS연결),당기유동자산(IFRS개별),전기유동자산(IFRS개별),유동자산증가율(개별),유동자산증가율(연결)
53,(주)SH에너지화학,2360,Dec-19,83558867.0,83558867.0,74793897.0,74793897.0,0.0,-10.48957497233657
54,(주)SIMPAC,9160,Dec-11,152885455.0,152885455.0,151220422.0,151220422.0,0.0,-1.0890722076864705
55,(주)SIMPAC,9160,Dec-12,152757766.0,,150643335.0,150643335.0,0.0,
56,(주)SIMPAC,9160,Dec-13,108635043.0,108635043.0,106534703.0,106534703.0,0.0,-1.9333908672545022
57,(주)SIMPAC,9160,Dec-14,144850453.0,144850453.0,118044851.0,118044851.0,0.0,-18.505708090536658
58,(주)SIMPAC,9160,Dec-15,174086524.0,174086524.0,138074968.0,138074968.0,0.0,-20.68601013597123
59,(주)SIMPAC,9160,Dec-16,176778523.0,176778523.0,138253630.0,138253630.0,0.0,-21.792745151513685
60,(주)SIMPAC,9160,Dec-17,150671614.0,150671614.0,124800057.0,124800057.0,0.0,-17.17082356335547
61,(주)SIMPAC,9160,Dec-18,310736335.0,310736335.0,273219151.0,273219151.0,0.0,-12.073639215703565
62,(주)SIMPAC,9160,Dec-19,289195402.0,289195402.0,224313300.0,224313300.0,0.0,-22.435385054980927
63,(주)SNT에너지,100840,Dec-11,,,145463387.0,145463387.0,0.0,
64,(주)SNT에너지,100840,Dec-12,,,161463967.0,161463967.0,0.0,
65,(주)SNT에너지,100840,Dec-13,,,181309369.0,181309369.0,0.0,
66,(주)SNT에너지,100840,Dec-14,,,170494610.0,170494610.0,0.0,
67,(주)SNT에너지,100840,Dec-15,,,184059424.0,184059424.0,0.0,
68,(주)SNT에너지,100840,Dec-16,,,211766053.0,211766053.0,0.0,
69,(주)SNT에너지,100840,Dec-17,,,172919603.0,172919603.0,0.0,
70,(주)SNT에너지,100840,Dec-18,,155524318.0,155524318.0,155524318.0,0.0,0.0
71,(주)SNT에너지,100840,Dec-19,204986584.0,204986584.0,202225767.0,202225767.0,0.0,-1.3468281416894996
72,(주)SNT홀딩스,36530,Dec-11,1041841182.0,1041841182.0,64671576.0,64671576.0,0.0,-93.79256866427075
73,(주)SNT홀딩스,36530,Dec-12,998857779.0,998857779.0,40740917.0,40740917.0,0.0,-95.92124946548572
74,(주)SNT홀딩스,36530,Dec-13,1070812404.0,1070812404.0,49212139.0,49212139.0,0.0,-95.40422404371027
75,(주)SNT홀딩스,36530,Dec-14,994978341.0,994978341.0,47079948.0,47079948.0,0.0,-95.26824393456822
76,(주)SNT홀딩스,36530,Dec-15,1140793639.0,1140793639.0,100040105.0,100040105.0,0.0,-91.23065718636953
77,(주)SNT홀딩스,36530,Dec-16,1205349271.0,1205349271.0,97449826.0,97449826.0,0.0,-91.91522089533831
78,(주)SNT홀딩스,36530,Dec-17,1187727595.0,1187727595.0,98229088.0,98229088.0,0.0,-91.72966188429764
79,(주)SNT홀딩스,36530,Dec-18,1168023374.0,1168023374.0,89557460.0,89557460.0,0.0,-92.33256268722582
80,(주)SNT홀딩스,36530,Dec-19,1266526398.0,1266526398.0,31735933.0,31735933.0,0.0,-97.49425412292118
81,(주)STX,11810,Dec-11,1430457000.0,1430457000.0,993206000.0,993206000.0,0.0,-30.567224320619218
82,(주)STX,11810,Dec-12,1484305000.0,1484305000.0,856988000.0,856988000.0,0.0,-42.263348840029515
83,(주)STX,11810,Dec-13,793607000.0,793607000.0,640293000.0,640293000.0,0.0,-19.318630002003516
84,(주)STX,11810,Dec-14,893610000.0,893610000.0,728283000.0,728282000.0,0.000137309448817291,-18.501023936616647
85,(주)STX,11810,Dec-15,902119000.0,902119000.0,663016000.0,663016000.0,0.0,-26.504596400253178
86,(주)STX,11810,Dec-16,486347000.0,486347000.0,441306000.0,441306000.0,0.0,-9.261083136114749
87,(주)STX,11810,Dec-17,475786000.0,475786000.0,349891000.0,349891000.0,0.0,-26.4604254854073
88,(주)STX,11810,Dec-18,422861000.0,422861000.0,297842000.0,297842000.0,0.0,-29.565034372997275
89,(주)STX,11810,Dec-19,386401000.0,386401000.0,292473000.0,292473000.0,0.0,-24.30842570283204
90,(주)TCC스틸,2710,Dec-11,183481284.0,183481284.0,163515113.0,163515113.0,0.0,-10.881857029079868
91,(주)TCC스틸,2710,Dec-12,218440703.0,218440703.0,168674581.0,168674581.0,0.0,-22.782439955798893
92,(주)TCC스틸,2710,Dec-13,220034732.0,220034732.0,150092488.0,150092488.0,0.0,-31.786910804608794
93,(주)TCC스틸,2710,Dec-14,233224033.0,233224033.0,141191905.0,141191905.0,0.0,-39.46082520577971
94,(주)TCC스틸,2710,Dec-15,240184174.0,240184174.0,202116240.0,202116240.0,0.0,-15.849476410548178
95,(주)TCC스틸,2710,Dec-16,120777516.0,120777516.0,97007914.0,97007914.0,0.0,-19.680485894411007
96,(주)TCC스틸,2710,Dec-17,120243911.0,120243911.0,101914014.0,101914014.0,0.0,-15.243929482633007
97,(주)TCC스틸,2710,Dec-18,152165969.0,152165969.0,128625665.0,128625665.0,0.0,-15.470150227873887
98,(주)TCC스틸,2710,Dec-19,148991647.0,148991647.0,121879909.0,121879909.0,0.0,-18.196817436349306
99,(주)가비아,79940,Dec-11,28837190.0,28837190.0,9245779.0,9245779.0,0.0,-67.93800297463102
100,(주)가비아,79940,Dec-12,31997486.0,31997486.0,9613034.0,9613034.0,0.0,-69.95690848962322
101,(주)가비아,79940,Dec-13,37411881.0,37411881.0,10360239.0,10360239.0,0.0,-72.30762334564253
102,(주)가비아,79940,Dec-14,41920706.0,41920708.0,14916105.0,14916105.0,0.0,-64.41828940484498
103,(주)가비아,79940,Dec-15,52239105.0,52239105.0,17436488.0,17436488.0,0.0,-66.6217711808041
104,(주)가비아,79940,Dec-16,60241586.0,60241586.0,12237594.0,12237594.0,0.0,-79.68580375689312
105,(주)가비아,79940,Dec-17,66113388.0,66113388.0,15116578.0,15116578.0,0.0,-77.1353753645177
106,(주)가비아,79940,Dec-18,78058272.0,78058272.0,18388749.0,18388749.0,0.0,-76.44228019805512
107,(주)가비아,79940,Dec-19,86880807.0,86880807.0,13602872.0,13602872.0,0.0,-84.34306440086358
108,(주)강스템바이오텍,217730,Dec-15,,,18896590.0,18896590.0,0.0,
