,회사명,거래소코드,회계년도,기계장치(IFRS연결,기계장치(IFRS),합계_기말인원,기계장비율(개별),기계장비율(연결)
345,(주)글로벌스탠다드테크놀로지,83450,Dec-12,290735.0,255767.0,267.0,957.9288389513108,1088.8951310861423
346,(주)글로벌스탠다드테크놀로지,83450,Dec-13,320734.0,285767.0,306.0,933.8790849673203,1048.1503267973856
347,(주)글로벌스탠다드테크놀로지,83450,Dec-14,320735.0,285767.0,361.0,791.5983379501386,888.4626038781164
348,(주)글로벌스탠다드테크놀로지,83450,Dec-15,187725.0,151766.0,392.0,387.15816326530614,478.890306122449
349,(주)글로벌스탠다드테크놀로지,83450,Dec-16,152473.0,124774.0,435.0,286.8367816091954,350.51264367816094
350,(주)글로벌스탠다드테크놀로지,83450,Dec-17,106145.0,50721.0,584.0,86.85102739726027,181.75513698630138
351,(주)글로벌스탠다드테크놀로지,83450,Dec-18,249876.0,38895.0,605.0,64.2892561983471,413.0181818181818
352,(주)글로벌스탠다드테크놀로지,83450,Dec-19,466508.0,27070.0,594.0,45.572390572390574,785.3670033670033
353,(주)금양,1570,Dec-11,9450861.0,4062791.0,75.0,54170.54666666667,126011.48
354,(주)금양,1570,Dec-12,15113292.0,4545491.0,79.0,57537.86075949367,191307.49367088606
355,(주)금양,1570,Dec-13,15483064.0,4627792.0,85.0,54444.611764705885,182153.69411764707
356,(주)금양,1570,Dec-14,13089932.0,4775743.0,102.0,46821.009803921566,128332.66666666667
357,(주)금양,1570,Dec-15,15912754.0,2267098.0,101.0,22446.51485148515,157552.0198019802
358,(주)금양,1570,Dec-16,20570015.0,7340271.0,114.0,64388.34210526316,180438.72807017545
359,(주)금양,1570,Dec-17,20979223.0,7440067.0,109.0,68257.49541284403,192469.9357798165
360,(주)금양,1570,Dec-18,22091005.0,7899669.0,104.0,75958.35576923077,212413.50961538462
361,(주)금양,1570,Dec-19,22525637.0,11126217.0,96.0,115898.09375,234642.05208333334
362,(주)금호에이치티,214330,Dec-15,42225522.0,34400721.0,555.0,61983.281081081084,76082.02162162162
363,(주)금호에이치티,214330,Dec-16,45288746.0,36357524.0,514.0,70734.48249027238,88110.40077821011
364,(주)금호에이치티,214330,Dec-17,45499207.0,36661014.0,472.0,77671.63983050847,96396.625
365,(주)금호에이치티,214330,Dec-18,47884291.0,37643448.0,512.0,73522.359375,93524.005859375
366,(주)금호에이치티,214330,Dec-19,53060771.0,40331768.0,525.0,76822.41523809524,101068.13523809524
367,(주)금화피에스시,36190,Dec-11,,4472096.0,523.0,8550.85277246654,
368,(주)금화피에스시,36190,Dec-12,,1066158.0,561.0,1900.4598930481284,
369,(주)금화피에스시,36190,Dec-13,1790642.0,1066158.0,615.0,1733.590243902439,2911.613008130081
370,(주)금화피에스시,36190,Dec-14,2122016.0,1127957.0,704.0,1602.2116477272727,3014.2272727272725
371,(주)금화피에스시,36190,Dec-15,1649936.0,1127958.0,776.0,1453.5541237113403,2126.2061855670104
372,(주)금화피에스시,36190,Dec-16,2871313.0,1505958.0,839.0,1794.9439809296782,3422.3039332538738
373,(주)금화피에스시,36190,Dec-17,3297406.0,1702357.0,818.0,2081.1210268948657,4031.0586797066017
374,(주)금화피에스시,36190,Dec-18,4060703.0,1754558.0,1396.0,1256.8467048710602,2908.8130372492838
375,(주)금화피에스시,36190,Dec-19,4211415.0,1372858.0,876.0,1567.189497716895,4807.551369863014
376,(주)기가레인,49080,Dec-13,23657767.0,22062618.0,305.0,72336.4524590164,77566.44918032787
377,(주)기가레인,49080,Dec-14,37425107.0,36759869.0,377.0,97506.28381962865,99270.84084880637
378,(주)기가레인,49080,Dec-15,47392398.0,44896977.0,364.0,123343.34340659341,130198.8956043956
379,(주)기가레인,49080,Dec-16,52266399.0,50653036.0,350.0,144722.96,149332.56857142856
380,(주)기가레인,49080,Dec-17,37528613.0,36203181.0,200.0,181015.905,187643.065
381,(주)기가레인,49080,Dec-18,13508032.0,12699408.0,222.0,57204.54054054054,60846.99099099099
382,(주)기가레인,49080,Dec-19,40724740.0,39418308.0,199.0,198081.94974874373,204646.93467336684
383,(주)기산텔레콤,35460,Dec-11,8203510.0,5914203.0,92.0,64284.815217391304,89168.58695652174
384,(주)기산텔레콤,35460,Dec-12,8081837.0,5909531.0,84.0,70351.55952380953,96212.34523809524
385,(주)기산텔레콤,35460,Dec-13,8355271.0,5977727.0,85.0,70326.2,98297.30588235294
386,(주)기산텔레콤,35460,Dec-14,8556695.0,195149.0,98.0,1991.3163265306123,87313.21428571429
387,(주)기산텔레콤,35460,Dec-15,8792707.0,130497.0,86.0,1517.406976744186,102240.77906976744
388,(주)기산텔레콤,35460,Dec-16,839967.0,110668.0,95.0,1164.9263157894736,8841.757894736842
389,(주)기산텔레콤,35460,Dec-17,1061750.0,75686.0,89.0,850.4044943820224,11929.775280898877
390,(주)기산텔레콤,35460,Dec-18,905427.0,50855.0,85.0,598.2941176470588,10652.082352941177
391,(주)기산텔레콤,35460,Dec-19,942537.0,146366.0,79.0,1852.73417721519,11930.848101265823
392,(주)까뮤이앤씨,13700,Dec-11,,1355152.0,80.0,16939.4,
393,(주)까뮤이앤씨,13700,Dec-12,,1468882.0,80.0,18361.025,
394,(주)까뮤이앤씨,13700,Dec-13,,1588652.0,77.0,20631.844155844155,
395,(주)까뮤이앤씨,13700,Dec-14,,1642652.0,130.0,12635.784615384615,
396,(주)까뮤이앤씨,13700,Dec-15,,2317619.0,159.0,14576.220125786163,
397,(주)까뮤이앤씨,13700,Dec-16,,2495219.0,161.0,15498.254658385093,
