,회사명,거래소코드,회계년도,유동자산(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),자산(IFRS개별),유동자산구성비율(개별),유동자산구성비율(연결)
44,(주)MH에탄올,23150,Dec-19,32814839.0,451474451.0,18130225.0,101058662.0,17.94029788361932,7.268371206236873
45,(주)SH에너지화학,2360,Dec-11,50355479.0,104710740.0,47641848.0,102383199.0,46.53287694204593,48.090080348968975
46,(주)SH에너지화학,2360,Dec-12,50509179.0,103690070.0,48762275.0,102492810.0,47.57628852209243,48.71168377068315
47,(주)SH에너지화학,2360,Dec-13,59051785.0,110488951.0,57773554.0,109984767.0,52.52868699535455,53.44587351544319
48,(주)SH에너지화학,2360,Dec-14,60325646.0,110741407.0,55486941.0,109098264.0,50.859600295748066,54.47433587330166
49,(주)SH에너지화학,2360,Dec-15,68213722.0,115520726.0,63737267.0,114048206.0,55.8862512927209,59.04890348421114
50,(주)SH에너지화학,2360,Dec-16,84222915.0,124488724.0,79584275.0,122956894.0,64.72534594115561,67.6550552482167
51,(주)SH에너지화학,2360,Dec-17,87597479.0,125312154.0,79139030.0,123261552.0,64.20414858965917,69.9034181472932
52,(주)SH에너지화학,2360,Dec-18,85758694.0,122434685.0,77591484.0,120895795.0,64.18046549923427,70.04444369665345
53,(주)SH에너지화학,2360,Dec-19,83558867.0,123415832.0,74793897.0,121126250.0,61.748710126830474,67.70514418279821
54,(주)SIMPAC,9160,Dec-11,152885455.0,310879328.0,151220422.0,296953131.0,50.92400322258263,49.17839213805814
55,(주)SIMPAC,9160,Dec-12,152757766.0,318665505.0,150643335.0,307366684.0,49.010951037230825,47.936712196069045
56,(주)SIMPAC,9160,Dec-13,108635043.0,361985890.0,106534703.0,349836891.0,30.45267830258645,30.010850146672848
57,(주)SIMPAC,9160,Dec-14,144850453.0,381939281.0,118044851.0,329325876.0,35.84438988936296,37.92499494180071
58,(주)SIMPAC,9160,Dec-15,174086524.0,422833445.0,138074968.0,369348917.0,37.38334177923148,41.171417743456885
59,(주)SIMPAC,9160,Dec-16,176778523.0,417865468.0,138253630.0,366245273.0,37.74891860515562,42.30512845344761
60,(주)SIMPAC,9160,Dec-17,150671614.0,381158251.0,124800057.0,343005145.0,36.38431050356402,39.529936346570125
61,(주)SIMPAC,9160,Dec-18,310736335.0,681750819.0,273219151.0,628334175.0,43.48309575871788,45.57916563353626
62,(주)SIMPAC,9160,Dec-19,289195402.0,679145850.0,224313300.0,608693104.0,36.85162498571694,42.58222324409404
63,(주)SNT에너지,100840,Dec-11,,,145463387.0,276511841.0,52.60656703667168,
64,(주)SNT에너지,100840,Dec-12,,,161463967.0,292802033.0,55.14441458813232,
65,(주)SNT에너지,100840,Dec-13,,,181309369.0,311675279.0,58.172521600598294,
66,(주)SNT에너지,100840,Dec-14,,,170494610.0,304511816.0,55.98948909095862,
67,(주)SNT에너지,100840,Dec-15,,,184059424.0,316196096.0,58.21053021476901,
68,(주)SNT에너지,100840,Dec-16,,,211766053.0,348042346.0,60.844910233997794,
69,(주)SNT에너지,100840,Dec-17,,,172919603.0,300266693.0,57.58867268038949,
70,(주)SNT에너지,100840,Dec-18,,,155524318.0,280991534.0,55.348399927237665,
71,(주)SNT에너지,100840,Dec-19,204986584.0,333897235.0,202225767.0,331391237.0,61.02326930268226,61.39211784727717
72,(주)SNT홀딩스,36530,Dec-11,1041841182.0,2124828265.0,64671576.0,388123974.0,16.662607911976085,49.0317829050528
73,(주)SNT홀딩스,36530,Dec-12,998857779.0,2074903906.0,40740917.0,388964716.0,10.474193499854625,48.139953667810964
74,(주)SNT홀딩스,36530,Dec-13,1070812404.0,2149176237.0,49212139.0,397336142.0,12.385517902370935,49.82431806033411
75,(주)SNT홀딩스,36530,Dec-14,994978341.0,2039388864.0,47079948.0,399244416.0,11.792262111438022,48.78806384420857
76,(주)SNT홀딩스,36530,Dec-15,1140793639.0,2169311305.0,100040105.0,430584006.0,23.23358592190719,52.58782528679073
77,(주)SNT홀딩스,36530,Dec-16,1205349271.0,2210178425.0,97449826.0,427001710.0,22.821881907686038,54.536287992223976
78,(주)SNT홀딩스,36530,Dec-17,1187727595.0,2146174938.0,98229088.0,425435423.0,23.089071264289153,55.3416021206003
79,(주)SNT홀딩스,36530,Dec-18,1168023374.0,2113834573.0,89557460.0,422804813.0,21.18175036006508,55.2561391945783
80,(주)SNT홀딩스,36530,Dec-19,1266526398.0,2236679025.0,31735933.0,417172874.0,7.607381730193703,56.62530849727085
81,(주)STX,11810,Dec-11,1430457000.0,5234175000.0,993206000.0,3302248000.0,30.076662927799486,27.329177950679906
82,(주)STX,11810,Dec-12,1484305000.0,5067029000.0,856988000.0,3226878000.0,26.557806027993617,29.293398557616307
83,(주)STX,11810,Dec-13,793607000.0,1342520000.0,640293000.0,1086567000.0,58.92807346440671,59.11323481214432
84,(주)STX,11810,Dec-14,893610000.0,1255002000.0,728283000.0,1070433000.0,68.03629932933683,71.20387059144129
85,(주)STX,11810,Dec-15,902119000.0,1267224000.0,663016000.0,1057543000.0,62.693999203814876,71.18859806948102
86,(주)STX,11810,Dec-16,486347000.0,707709000.0,441306000.0,627686000.0,70.30680945568325,68.72132472527551
87,(주)STX,11810,Dec-17,475786000.0,627542000.0,349891000.0,520393000.0,67.2359159327662,75.81739548906687
88,(주)STX,11810,Dec-18,422861000.0,554061000.0,297842000.0,446758000.0,66.66741278275936,76.32029686261981
89,(주)STX,11810,Dec-19,386401000.0,560107000.0,292473000.0,462734000.0,63.20542687591575,68.9869971273346
90,(주)TCC스틸,2710,Dec-11,183481284.0,454329510.0,163515113.0,407743559.0,40.10243923926705,40.385068537590705
91,(주)TCC스틸,2710,Dec-12,218440703.0,547013976.0,168674581.0,438642951.0,38.45373113040178,39.93329468422942
92,(주)TCC스틸,2710,Dec-13,220034732.0,543708595.0,150092488.0,444204925.0,33.78901933606432,40.469239225471505
93,(주)TCC스틸,2710,Dec-14,233224033.0,551000563.0,141191905.0,461297588.0,30.607553274265115,42.32736745860639
94,(주)TCC스틸,2710,Dec-15,240184174.0,376394571.0,202116240.0,330651742.0,61.126621858232944,63.81180614850048
95,(주)TCC스틸,2710,Dec-16,120777516.0,282914735.0,97007914.0,250878191.0,38.667336372813686,42.69042968016494
96,(주)TCC스틸,2710,Dec-17,120243911.0,278692540.0,101914014.0,248896237.0,40.94638602350585,43.145722881566904
97,(주)TCC스틸,2710,Dec-18,152165969.0,304781579.0,128625665.0,268135677.0,47.97036576374729,49.92623553538319
98,(주)TCC스틸,2710,Dec-19,148991647.0,314210087.0,121879909.0,270265082.0,45.09643202816707,47.41784339978876
99,(주)가비아,79940,Dec-11,28837190.0,64954440.0,9245779.0,37295822.0,24.790388049363813,44.396025891378635
100,(주)가비아,79940,Dec-12,31997486.0,85244515.0,9613034.0,51795749.0,18.55950379248305,37.536122998646896
101,(주)가비아,79940,Dec-13,37411881.0,91231294.0,10360239.0,52151784.0,19.865550524599502,41.0077281157494
102,(주)가비아,79940,Dec-14,41920706.0,98544072.0,14916105.0,55984243.0,26.643398571987483,42.540058624733916
103,(주)가비아,79940,Dec-15,52239105.0,105081568.0,17436488.0,57657418.0,30.24153457582856,49.71290968935675
104,(주)가비아,79940,Dec-16,60241586.0,125796754.0,12237594.0,61160981.0,20.008825561512822,47.88802897092241
105,(주)가비아,79940,Dec-17,66113388.0,133382584.0,15116578.0,64986436.0,23.261127906752726,49.56673204051887
106,(주)가비아,79940,Dec-18,78058272.0,151440505.0,18388749.0,69315988.0,26.528870943886712,51.54385347566029
107,(주)가비아,79940,Dec-19,86880807.0,199916131.0,13602872.0,82964911.0,16.39593393886724,43.458627658215335
108,(주)강스템바이오텍,217730,Dec-15,,,18896590.0,24982626.0,75.63892602803244,
109,(주)강스템바이오텍,217730,Dec-16,,,37966496.0,47441769.0,80.02757232766763,
110,(주)강스템바이오텍,217730,Dec-17,25246012.0,47198979.0,24316617.0,44508729.0,54.633366412237926,53.48847058746758
111,(주)강스템바이오텍,217730,Dec-18,48992790.0,73194018.0,44071609.0,66184838.0,66.58867851274336,66.93551104135314
