,회사명,거래소코드,회계년도,당기순이익(IFRS연결),당기자본(IFRS연결),전기자본(IFRS연결),당기순이익(IFRS개별),당기자본(IFRS개별),전기자본(IFRS개별),총자본순이익률(개별),총자본순이익률(연결)
35,(주)HJ중공업,97230,Dec-19,306169000.0,244994000.0,244994000.0,-73654000.0,247272000.0,247272000.0,-29.78663172538743,124.96999926528814
36,(주)MH에탄올,23150,Dec-11,-4357312.0,42667338.0,42667338.0,3351943.0,56161251.0,56161251.0,5.968426522407772,-10.212289316010294
37,(주)MH에탄올,23150,Dec-12,287369.0,39678259.0,39678259.0,2571700.0,58712944.0,58712944.0,4.380124423670528,0.7242480069501034
38,(주)MH에탄올,23150,Dec-13,7028234.0,45885523.0,45885523.0,-11627211.0,47119925.0,47119925.0,-24.67578418259367,15.316887637959361
39,(주)MH에탄올,23150,Dec-14,-203193.0,52788681.0,52788681.0,4618332.0,52507884.0,52507884.0,8.795502024038903,-0.38491774401410034
40,(주)MH에탄올,23150,Dec-15,7778593.0,57884347.0,57884347.0,7744832.0,57569789.0,57569789.0,13.452944911783504,13.438163170433622
41,(주)MH에탄올,23150,Dec-16,8144684.0,63581883.0,63581883.0,8134873.0,63257513.0,63257513.0,12.859931752296363,12.80975588596519
42,(주)MH에탄올,23150,Dec-17,4308068.0,106837344.0,106837344.0,5903108.0,64698932.0,64698932.0,9.123965137477077,4.032361568254636
43,(주)MH에탄올,23150,Dec-18,-12033428.0,91585473.0,91585473.0,6553371.0,68471529.0,68471529.0,9.570942982739584,-13.139013869590432
44,(주)MH에탄올,23150,Dec-19,-7552043.0,79389077.0,79389077.0,-5004935.0,59477642.0,59477642.0,-8.414817453590375,-9.512697823656522
45,(주)SH에너지화학,2360,Dec-11,1800972.0,65242326.0,65242326.0,3164441.0,64498684.0,64498684.0,4.9062101794200945,2.7604349973665867
46,(주)SH에너지화학,2360,Dec-12,210854.0,64881202.0,64881202.0,1079738.0,64888612.0,64888612.0,1.663986894957778,0.3249847313247988
47,(주)SH에너지화학,2360,Dec-13,4606872.0,69599141.0,69599141.0,4841817.0,69781889.0,69781889.0,6.938500905299367,6.619150658770343
48,(주)SH에너지화학,2360,Dec-14,16733050.0,84237197.0,84237197.0,15569914.0,83404299.0,83404299.0,18.66799935576462,19.86420559553994
49,(주)SH에너지화학,2360,Dec-15,12590617.0,91646221.0,91646221.0,12639344.0,90740136.0,90740136.0,13.929165810375247,13.738282782003635
50,(주)SH에너지화학,2360,Dec-16,18028878.0,104088887.0,104088887.0,17574101.0,103083032.0,103083032.0,17.048490579904556,17.320655950524287
51,(주)SH에너지화학,2360,Dec-17,9879057.0,107693472.0,107693472.0,8905104.0,105717970.0,105717970.0,8.423453458290961,9.173310894833069
52,(주)SH에너지화학,2360,Dec-18,2033570.0,105390892.0,105390892.0,2766802.0,104065473.0,104065473.0,2.6587127509620796,1.929550041193313
53,(주)SH에너지화학,2360,Dec-19,-3090151.0,98999976.0,98999976.0,-3151629.0,97386214.0,97386214.0,-3.236216781155493,-3.1213654031592895
54,(주)SIMPAC,9160,Dec-11,24976613.0,168941269.0,168941269.0,21196377.0,155833324.0,155833324.0,13.601953969742697,14.784198761996986
55,(주)SIMPAC,9160,Dec-12,19285856.0,187860952.0,,22517068.0,177830482.0,177830482.0,12.662096928916833,
56,(주)SIMPAC,9160,Dec-13,20043596.0,208831047.0,208831047.0,19196136.0,197900866.0,197900866.0,9.699874683721697,9.597996221318567
57,(주)SIMPAC,9160,Dec-14,14312319.0,219125252.0,219125252.0,10218575.0,203904919.0,203904919.0,5.0114411413488265,6.531569898662341
58,(주)SIMPAC,9160,Dec-15,16449973.0,232007841.0,232007841.0,19448583.0,220087525.0,220087525.0,8.836749379593414,7.0902659707953575
59,(주)SIMPAC,9160,Dec-16,16183843.0,240416530.0,240416530.0,16444650.0,228959172.0,228959172.0,7.1823503973887535,6.731584970467713
60,(주)SIMPAC,9160,Dec-17,12895699.0,240826100.0,240826100.0,7133940.0,223781988.0,223781988.0,3.1878973208513997,5.354776330306391
61,(주)SIMPAC,9160,Dec-18,69198558.0,435032869.0,435032869.0,62381304.0,411119510.0,411119510.0,15.173520711775513,15.906512572042
62,(주)SIMPAC,9160,Dec-19,9487516.0,441195485.0,441195485.0,11507259.0,419215968.0,419215968.0,2.7449476829088724,2.150410945388528
63,(주)SNT에너지,100840,Dec-11,,,,-4155767.0,160595865.0,160595865.0,-2.587717311401511,
64,(주)SNT에너지,100840,Dec-12,,,,9087721.0,183306309.0,183306309.0,4.957669514801043,
65,(주)SNT에너지,100840,Dec-13,,,,16189688.0,198164671.0,198164671.0,8.169815496527129,
66,(주)SNT에너지,100840,Dec-14,,,,11264253.0,207712504.0,207712504.0,5.42300188148519,
67,(주)SNT에너지,100840,Dec-15,,,,27029932.0,231399939.0,231399939.0,11.681045430180516,
68,(주)SNT에너지,100840,Dec-16,,,,1659742.0,229799567.0,229799567.0,0.7222563652611234,
69,(주)SNT에너지,100840,Dec-17,,,,4581777.0,233817326.0,233817326.0,1.9595541007940531,
70,(주)SNT에너지,100840,Dec-18,,,231276490.0,1825479.0,231276490.0,231193081.0,0.7894482640458954,
71,(주)SNT에너지,100840,Dec-19,15452273.0,244954910.0,244954910.0,14578960.0,245545053.0,245545053.0,5.937386977207804,6.308211172415364
72,(주)SNT홀딩스,36530,Dec-11,87196578.0,1311007481.0,1311007481.0,5766277.0,387839074.0,387839074.0,1.4867705155463526,6.651112160968668
73,(주)SNT홀딩스,36530,Dec-12,63253909.0,1318022867.0,1318022867.0,9011145.0,388611726.0,388611726.0,2.3188041937777246,4.799151106078647
74,(주)SNT홀딩스,36530,Dec-13,53763061.0,1374365240.0,1374365240.0,8018313.0,396851717.0,396851717.0,2.0204808638890177,3.9118466791258486
75,(주)SNT홀딩스,36530,Dec-14,66985248.0,1356040938.0,1356040938.0,6891599.0,398863036.0,398863036.0,1.7278108969716612,4.93976591140348
76,(주)SNT홀딩스,36530,Dec-15,116419931.0,1529249091.0,1529249091.0,27765789.0,421925486.0,421925486.0,6.5807328358448585,7.612882144914089
77,(주)SNT홀딩스,36530,Dec-16,10146568.0,1530892611.0,1530892611.0,6923176.0,426682947.0,426682947.0,1.6225574630241786,0.662787704839213
78,(주)SNT홀딩스,36530,Dec-17,25863066.0,1519293154.0,1519293154.0,4172419.0,425136143.0,425136143.0,0.9814312588332439,1.7023091252604958
79,(주)SNT홀딩스,36530,Dec-18,73732317.0,1503275496.0,1503275496.0,6218079.0,422573122.0,422573122.0,1.4714800057728235,4.904777414132745
80,(주)SNT홀딩스,36530,Dec-19,124509305.0,1625933047.0,1625933047.0,9244252.0,416939604.0,416939604.0,2.2171681249066473,7.657714149406793
81,(주)STX,11810,Dec-11,222363000.0,1915942000.0,1915942000.0,84657000.0,1164648000.0,1164648000.0,7.26889154491314,11.605935879061057
82,(주)STX,11810,Dec-12,-490928000.0,1506639000.0,1506639000.0,-23863000.0,1123534000.0,1123534000.0,-2.123923263559447,-32.584315154459695
83,(주)STX,11810,Dec-13,-1595630000.0,-509663000.0,-509663000.0,-1646014000.0,-522090000.0,-522090000.0,0.0,0.0
84,(주)STX,11810,Dec-14,380584000.0,93662000.0,93662000.0,334488000.0,54894000.0,98087000.0,437.2935201103405,406.3376823044565
85,(주)STX,11810,Dec-15,-48982000.0,72342000.0,72342000.0,-53449000.0,72316000.0,72316000.0,-73.91033796117041,-67.70893809958254
86,(주)STX,11810,Dec-16,-457446000.0,-330596000.0,-330596000.0,-456150000.0,-328883000.0,-328883000.0,0.0,0.0
87,(주)STX,11810,Dec-17,334386000.0,42560000.0,42560000.0,336179000.0,44710000.0,44710000.0,751.9100872288079,785.6813909774436
88,(주)STX,11810,Dec-18,9107000.0,64028000.0,64028000.0,5024000.0,62213000.0,62213000.0,8.075482616173469,14.223464734178798
89,(주)STX,11810,Dec-19,-33218000.0,56291000.0,56291000.0,-37142000.0,50616000.0,50616000.0,-73.3799589062747,-59.01120960721963
90,(주)TCC스틸,2710,Dec-11,4557868.0,225441968.0,225441968.0,6828699.0,205616971.0,205616971.0,3.3210775194232385,2.021747787439471
91,(주)TCC스틸,2710,Dec-12,124581.0,225998781.0,225998781.0,4206491.0,209755733.0,209755733.0,2.0054236133798544,0.055124633614727324
92,(주)TCC스틸,2710,Dec-13,-19955830.0,205738102.0,205738102.0,391783.0,210086242.0,210086242.0,0.18648674766622747,-9.699627733515301
93,(주)TCC스틸,2710,Dec-14,-15813610.0,189038004.0,189038004.0,1022624.0,210093654.0,210093654.0,0.48674673438732236,-8.36530732730335
94,(주)TCC스틸,2710,Dec-15,-110218983.0,86012476.0,86012476.0,-140083396.0,76555951.0,76555951.0,-182.9817201278056,-128.14301846164736
95,(주)TCC스틸,2710,Dec-16,16948843.0,103337634.0,100863852.0,15468493.0,92623510.0,90149728.0,16.92643099095284,16.60011719993066
96,(주)TCC스틸,2710,Dec-17,1503708.0,100915803.0,100915803.0,-2328706.0,89627045.0,89627045.0,-2.5982179820834213,1.4900619677970555
97,(주)TCC스틸,2710,Dec-18,9755131.0,112246210.0,112246210.0,7565000.0,98351707.0,98351707.0,7.691783122788097,8.690833302968537
98,(주)TCC스틸,2710,Dec-19,5037267.0,116843135.0,116843135.0,1996130.0,97501452.0,97501452.0,2.047282331754403,4.311136465141919
99,(주)가비아,79940,Dec-11,7014899.0,48665742.0,48665742.0,3262397.0,24298687.0,24298687.0,13.426227515914748,14.414449901945398
100,(주)가비아,79940,Dec-12,9419144.0,58945247.0,58945247.0,5737877.0,31165211.0,31165211.0,18.41116044425305,15.97948007580662
101,(주)가비아,79940,Dec-13,9505713.0,68600227.0,68600227.0,3786937.0,34822978.0,34822978.0,10.8748223658528,13.856678637521128
102,(주)가비아,79940,Dec-14,6752737.0,75509702.0,75509702.0,3076978.0,38147677.0,38147677.0,8.065964278768533,8.942873327721516
103,(주)가비아,79940,Dec-15,8530281.0,84096148.0,84096148.0,4288423.0,42470259.0,42470259.0,10.097473151741317,10.1434860012851
104,(주)가비아,79940,Dec-16,10177685.0,95951841.0,95951841.0,3544032.0,45413712.0,45413712.0,7.803880907158613,10.60707631446071
105,(주)가비아,79940,Dec-17,9669613.0,99896520.0,99896520.0,2493743.0,47662984.0,47662984.0,5.232032891604101,9.679629480586511
106,(주)가비아,79940,Dec-18,15340647.0,114187490.0,114187490.0,2762732.0,49832912.0,49832912.0,5.543990686315903,13.43461267079257
107,(주)가비아,79940,Dec-19,21102390.0,134959139.0,134959139.0,4654769.0,54084066.0,54084066.0,8.606544115969388,15.636132651972535
108,(주)강스템바이오텍,217730,Dec-15,,,,-5754141.0,21237036.0,21237036.0,-27.094840353427852,
109,(주)강스템바이오텍,217730,Dec-16,,,22976911.0,-8300375.0,22976911.0,22976911.0,-36.12485159558654,
110,(주)강스템바이오텍,217730,Dec-17,-11531949.0,24482163.0,23404899.0,-10855842.0,24668128.0,23590864.0,-44.989924364769166,-48.16310927573715
111,(주)강스템바이오텍,217730,Dec-18,-14294032.0,47581374.0,47581374.0,-13500909.0,47944961.0,47944961.0,-28.15918235912216,-30.041234202274193
112,(주)강스템바이오텍,217730,Dec-19,-26394472.0,68719236.0,68719236.0,-25001590.0,70845209.0,70845209.0,-35.29044568137275,-38.40914645791464
113,(주)강원랜드,35250,Dec-11,381175313.0,2257362696.0,2257362696.0,393401121.0,2278202202.0,2278202202.0,17.26805112621869,16.885869234723987
114,(주)강원랜드,35250,Dec-12,306228988.0,2372026990.0,2372026990.0,296503993.0,2383160603.0,2383160603.0,12.441628676923877,12.910012798800405
115,(주)강원랜드,35250,Dec-13,297596347.0,2517696496.0,2517696496.0,293129468.0,2523962938.0,2523962938.0,11.613857857686181,11.820183547651887
116,(주)강원랜드,35250,Dec-14,359348568.0,2705357485.0,2705357485.0,363815729.0,2716175018.0,2716175018.0,13.39441407821681,13.282849678551816
117,(주)강원랜드,35250,Dec-15,441629101.0,2997755205.0,2997755205.0,430459518.0,2997442337.0,2997442337.0,14.360894042446429,14.731993468425985
118,(주)강원랜드,35250,Dec-16,454533659.0,3252727459.0,3252727459.0,454998593.0,3252738063.0,3252738063.0,13.988171939684404,13.973923875557015
119,(주)강원랜드,35250,Dec-17,437540507.0,3501235933.0,3501235933.0,437096330.0,3500789656.0,3500789656.0,12.485649609106362,12.496744446041877
