,회사명,거래소코드,회계년도,매출액(IFRS연결),부채(IFRS연결),매출액(IFRS개별),부채(IFRS개별),타인자본회전율(개별),타인자본회전율(연결)
43,(주)MH에탄올,23150,Dec-18,72795863.0,348592051.0,46943080.0,41185360.0,1.1398001619993123,0.20882823573048143
44,(주)MH에탄올,23150,Dec-19,80879342.0,372085374.0,46992295.0,41581021.0,1.130138074291153,0.21736770013432455
45,(주)SH에너지화학,2360,Dec-11,173209351.0,39468414.0,172752632.0,37884515.0,4.55998003405877,4.3885561502420645
46,(주)SH에너지화학,2360,Dec-12,193950102.0,38808867.0,191907628.0,37604198.0,5.103356492272485,4.997571869335943
47,(주)SH에너지화학,2360,Dec-13,231912218.0,40889810.0,229783541.0,40202877.0,5.715599433344036,5.671638435101557
48,(주)SH에너지화학,2360,Dec-14,230912587.0,26504210.0,226971465.0,25693965.0,8.833648874356294,8.712298423533468
49,(주)SH에너지화학,2360,Dec-15,216441364.0,23874505.0,213882181.0,23308070.0,9.176314512527206,9.065794830091765
50,(주)SH에너지화학,2360,Dec-16,218397677.0,20399837.0,214380015.0,19873862.0,10.787033491527716,10.705854022264981
51,(주)SH에너지화학,2360,Dec-17,188114822.0,17618682.0,184672638.0,17543581.0,10.526507558519551,10.677008756954692
52,(주)SH에너지화학,2360,Dec-18,183598766.0,17043794.0,180753289.0,16830322.0,10.73974039237039,10.772177016455373
53,(주)SH에너지화학,2360,Dec-19,140852575.0,24415856.0,138161816.0,23740037.0,5.819780988546901,5.768897678623269
54,(주)SIMPAC,9160,Dec-11,215365697.0,141938059.0,213867522.0,141119807.0,1.5155032206074375,1.5173217001649995
55,(주)SIMPAC,9160,Dec-12,225353321.0,130804553.0,223854758.0,129536202.0,1.7281250688514087,1.7228247475452938
56,(주)SIMPAC,9160,Dec-13,205751154.0,153154843.0,204527751.0,151936024.0,1.3461438940905812,1.343419182637274
57,(주)SIMPAC,9160,Dec-14,263152264.0,162814028.0,227491803.0,125420957.0,1.8138260817129628,1.616275128332308
58,(주)SIMPAC,9160,Dec-15,269528038.0,190825603.0,213152303.0,149261391.0,1.4280471431490278,1.4124312134362809
59,(주)SIMPAC,9160,Dec-16,267074156.0,177448939.0,215839356.0,137286101.0,1.5721865099803511,1.5050760940306327
60,(주)SIMPAC,9160,Dec-17,230634812.0,140332152.0,203150228.0,119223157.0,1.7039494097610584,1.643492305312898
61,(주)SIMPAC,9160,Dec-18,306150809.0,246717950.0,268863854.0,217214665.0,1.2377794749723736,1.2408939398207548
62,(주)SIMPAC,9160,Dec-19,430085162.0,237950364.0,391970769.0,189477136.0,2.068696927105759,1.8074574662134157
63,(주)SNT에너지,100840,Dec-11,,,195318747.0,115915976.0,1.6850028248047535,
64,(주)SNT에너지,100840,Dec-12,,,230707564.0,109495724.0,2.1070006715513383,
65,(주)SNT에너지,100840,Dec-13,,,200750984.0,113510608.0,1.7685658418814918,
66,(주)SNT에너지,100840,Dec-14,,,242746888.0,96799312.0,2.5077336086851525,
67,(주)SNT에너지,100840,Dec-15,,,260094045.0,84796156.0,3.0672857977194155,
68,(주)SNT에너지,100840,Dec-16,,,254089906.0,118242778.0,2.148883088656797,
69,(주)SNT에너지,100840,Dec-17,,,184091945.0,66449368.0,2.7704092686028257,
70,(주)SNT에너지,100840,Dec-18,,,139516396.0,49715044.0,2.8063214828895657,
71,(주)SNT에너지,100840,Dec-19,213326726.0,88942325.0,202822913.0,85846184.0,2.3626316692189837,2.398483803970719
72,(주)SNT홀딩스,36530,Dec-11,1663846065.0,813820784.0,2257851.0,284900.0,7.925064935064935,2.0444870636284955
