,회사명,거래소코드,회계년도,[제조]매출원가(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]매출원가(*)(IFRS),[제조]매출액(수익)(*)(IFRS),매출원가대매출액비율(개별),매출원가대매출액비율(연결)
44,(주)MH에탄올,23150,2019/12,54219181.0,80879342.0,35415661.0,46992295.0,75.36482523358352,67.03711931781048
45,(주)SH에너지화학,2360,2011/12,160789710.0,173209351.0,160574493.0,172752632.0,92.950533454101,92.82969370400794
46,(주)SH에너지화학,2360,2012/12,178829327.0,193950102.0,178516652.0,191907628.0,93.02217627326414,92.20378084668396
47,(주)SH에너지화학,2360,2013/12,213952261.0,231912218.0,213397080.0,229783541.0,92.86874032461708,92.25570901141569
48,(주)SH에너지화학,2360,2014/12,197661842.0,230912587.0,196829927.0,226971465.0,86.72012008205525,85.60028908255227
49,(주)SH에너지화학,2360,2015/12,179135051.0,216441364.0,179081363.0,213882181.0,83.72897740368563,82.76377846149593
50,(주)SH에너지화학,2360,2016/12,179759098.0,218397677.0,179726464.0,214380015.0,83.83545639736988,82.30815477034584
51,(주)SH에너지화학,2360,2017/12,161824273.0,188114822.0,161711689.0,184672638.0,87.56667514545387,86.02420121897678
52,(주)SH에너지화학,2360,2018/12,171330094.0,183598766.0,169058462.0,180753289.0,93.52995065002662,93.31767186278366
53,(주)SH에너지화학,2360,2019/12,134184400.0,140852575.0,131861388.0,138161816.0,95.43981963873433,95.26584799745407
54,(주)SIMPAC,9160,2011/12,170409718.0,215365697.0,169699426.0,213867522.0,79.34791800692393,79.12574768116392
55,(주)SIMPAC,9160,2012/12,182861979.0,225353321.0,182101881.0,223854758.0,81.34822892618615,81.14456808914744
56,(주)SIMPAC,9160,2013/12,164405183.0,205751154.0,163875499.0,204527751.0,80.123845394457,79.90486556396179
57,(주)SIMPAC,9160,2014/12,220084616.0,263152264.0,188349315.0,227491803.0,82.79389081988154,83.63394357876398
58,(주)SIMPAC,9160,2015/12,221412942.0,269528038.0,171341851.0,213152303.0,80.38470548450982,82.14838932638244
59,(주)SIMPAC,9160,2016/12,217713888.0,267074156.0,175971604.0,215839356.0,81.5289700919975,81.51814135097369
60,(주)SIMPAC,9160,2017/12,193009825.0,230634812.0,168484356.0,203150228.0,82.93584391153132,83.68633656223588
61,(주)SIMPAC,9160,2018/12,271995017.0,306150809.0,243575353.0,268863854.0,90.59430986212077,88.84347485098431
62,(주)SIMPAC,9160,2019/12,385305111.0,430085162.0,357126998.0,391970769.0,91.11062003707731,89.58809674071016
63,(주)SNT에너지,100840,2011/12,,,181219511.0,195318747.0,92.78142205161699,
64,(주)SNT에너지,100840,2012/12,,,191839172.0,230707564.0,83.15252810696748,
65,(주)SNT에너지,100840,2013/12,,,161808099.0,200750984.0,80.60139769974926,
66,(주)SNT에너지,100840,2014/12,,,203611420.0,242746888.0,83.87807632780033,
67,(주)SNT에너지,100840,2015/12,,,202305297.0,260094045.0,77.7815951149516,
68,(주)SNT에너지,100840,2016/12,,,204980319.0,254089906.0,80.67235815341677,
69,(주)SNT에너지,100840,2017/12,,,146050315.0,184091945.0,79.3355271465028,
70,(주)SNT에너지,100840,2018/12,,,118750224.0,139516396.0,85.11560462040605,
71,(주)SNT에너지,100840,2019/12,177635077.0,213326726.0,170291934.0,202822913.0,83.96089548324355,83.26902134147036
72,(주)SNT홀딩스,36530,2011/12,1449348821.0,1663846065.0,0.0,2257851.0,0.0,87.10834803098206
73,(주)SNT홀딩스,36530,2012/12,1465168699.0,1668749904.0,0.0,8718270.0,0.0,87.80037652664339
74,(주)SNT홀딩스,36530,2013/12,1379201925.0,1576368464.0,0.0,8826810.0,0.0,87.4923570533951
75,(주)SNT홀딩스,36530,2014/12,1380123821.0,1552374806.0,0.0,7701882.0,0.0,88.90403372083584
76,(주)SNT홀딩스,36530,2015/12,1331347191.0,1612746929.0,0.0,8475099.0,0.0,82.55152541667002
77,(주)SNT홀딩스,36530,2016/12,1336617769.0,1537700275.0,0.0,9818190.0,0.0,86.92316641485935
