,회사명,거래소코드,회계년도,당기매출액(IFRS연결),당기매출원가(IFRS연결),당기판관비(IFRS연결),전기매출액(IFRS연결),전기매출원가(IFRS연결),전기판관비(IFRS연결),당기매출액(IFRS개별),당기매출원가(IFRS개별),당기판관비(IFRS개별),전기매출액(IFRS개별),전기매출원가(IFRS개별),전기판관비(IFRS개별),영업이익증가율(개별),영업이익증가율(연결)
38,(주)MH에탄올,23150,Dec-13,62199887.0,54316861.0,4873284.0,46298516.0,33247791.0,3406609.0,46298516.0,33247791.0,3400484.0,46298516.0,33247791.0,3400484.0,-88.3657452161109,-96.37174659417639
39,(주)MH에탄올,23150,Dec-14,48983781.0,37109977.0,3128953.0,48983781.0,37109977.0,3128953.0,48983781.0,37109977.0,3126986.0,48983781.0,37109977.0,3126986.0,-90.19643010374358,-90.19885082846227
40,(주)MH에탄올,23150,Dec-15,50386203.0,36425005.0,2869185.0,50386203.0,36425005.0,2869185.0,50386203.0,36425005.0,2867026.0,50386203.0,36425005.0,2867026.0,-87.62891338828103,-87.63161865269703
41,(주)MH에탄올,23150,Dec-16,48897025.0,33962392.0,3060158.0,48897025.0,33962392.0,3060158.0,48897025.0,33962392.0,3057762.0,48897025.0,33962392.0,3057762.0,-86.17637224797616,-86.17954639556818
42,(주)MH에탄올,23150,Dec-17,51977132.0,37225576.0,6634846.0,51977132.0,37225576.0,6634846.0,48270464.0,34577247.0,3240303.0,48270464.0,34577247.0,3240303.0,-87.85787531351345,-91.53076256516313
43,(주)MH에탄올,23150,Dec-18,72795863.0,53524709.0,18042950.0,72795863.0,53524709.0,18042950.0,46943080.0,34331318.0,3583247.0,46943080.0,34331318.0,3583247.0,-89.3603988185154,-99.14922829328034
44,(주)MH에탄올,23150,Dec-19,80879342.0,54219181.0,18831058.0,80879342.0,54219181.0,18831058.0,46992295.0,35415661.0,3748048.0,46992295.0,35415661.0,3748048.0,-90.91347597783202,-94.91384115441723
45,(주)SH에너지화학,2360,Dec-11,173209351.0,160789710.0,8845210.0,173209351.0,160789710.0,8845210.0,172752632.0,160574493.0,7782885.0,172752632.0,160574493.0,7782885.0,-98.71148489603105,-98.957418483449
46,(주)SH에너지화학,2360,Dec-12,193950102.0,178829327.0,12937591.0,193950102.0,178829327.0,12937591.0,191907628.0,178516652.0,10516392.0,191907628.0,178516652.0,10516392.0,-99.24539850656849,-99.43399334569162
47,(주)SH에너지화학,2360,Dec-13,231912218.0,213952261.0,11535730.0,231912218.0,213952261.0,11535730.0,229783541.0,213397080.0,9183287.0,229783541.0,213397080.0,9183287.0,-98.40765943687974,-98.59549102217397
48,(주)SH에너지화학,2360,Dec-14,230912587.0,197661842.0,11978837.0,230912587.0,197661842.0,11978837.0,226971465.0,196829927.0,9867035.0,226971465.0,196829927.0,9867035.0,-95.32488377347332,-95.17154686125969
49,(주)SH에너지화학,2360,Dec-15,216441364.0,179135051.0,14356137.0,216441364.0,179135051.0,14356137.0,213882181.0,179081363.0,11901196.0,213882181.0,179081363.0,11901196.0,-94.34388334237256,-94.40147509924998
50,(주)SH에너지화학,2360,Dec-16,218397677.0,179759098.0,14537419.0,218397677.0,179759098.0,14537419.0,214380015.0,179726464.0,11053345.0,214380015.0,179726464.0,11053345.0,-94.17508731072999,-94.160043841082
51,(주)SH에너지화학,2360,Dec-17,188114822.0,161824273.0,12108613.0,188114822.0,161824273.0,12108613.0,184672638.0,161711689.0,9771675.0,184672638.0,161711689.0,9771675.0,-96.29677053708616,-96.08285436238695
52,(주)SH에너지화학,2360,Dec-18,183598766.0,171330094.0,10168002.0,183598766.0,171330094.0,10168002.0,180753289.0,169058462.0,8883270.0,180753289.0,169058462.0,8883270.0,-99.21617060862408,-99.42462666249922
53,(주)SH에너지화학,2360,Dec-19,140852575.0,134184400.0,9799303.0,140852575.0,134184400.0,9799303.0,138161816.0,131861388.0,8663622.0,138161816.0,131861388.0,8663622.0,-100.8479747801211,-101.09927289528758
54,(주)SIMPAC,9160,Dec-11,215365697.0,170409718.0,16067582.0,215365697.0,170409718.0,16067582.0,213867522.0,169699426.0,15256714.0,213867522.0,169699426.0,15256714.0,-92.75083583180178,-92.81102390344755
55,(주)SIMPAC,9160,Dec-12,225353321.0,182861979.0,17300065.0,,,,223854758.0,182101881.0,16442981.0,223854758.0,182101881.0,16442981.0,-94.00806847316767,
56,(주)SIMPAC,9160,Dec-13,205751154.0,164405183.0,17746622.0,205751154.0,164405183.0,17746622.0,204527751.0,163875499.0,16910891.0,204527751.0,163875499.0,16910891.0,-93.8384402559469,-93.9161719568115
57,(주)SIMPAC,9160,Dec-14,263152264.0,220084616.0,25725748.0,263152264.0,220084616.0,25725748.0,227491803.0,188349315.0,20405682.0,227491803.0,188349315.0,20405682.0,-95.70499863838543,-96.5926967824443
58,(주)SIMPAC,9160,Dec-15,269528038.0,221412942.0,26874065.0,269528038.0,221412942.0,26874065.0,213152303.0,171341851.0,18179952.0,213152303.0,171341851.0,18179952.0,-94.13160676390748,-95.89795020343605
59,(주)SIMPAC,9160,Dec-16,267074156.0,217713888.0,25794076.0,267074156.0,217713888.0,25794076.0,215839356.0,175971604.0,18461676.0,215839356.0,175971604.0,18461676.0,-94.7824753294051,-95.38444628652488
60,(주)SIMPAC,9160,Dec-17,230634812.0,193009825.0,25927072.0,230634812.0,193009825.0,25927072.0,203150228.0,168484356.0,20694784.0,203150228.0,168484356.0,20694784.0,-96.43893902941265,-97.39798684707716
61,(주)SIMPAC,9160,Dec-18,306150809.0,271995017.0,23965220.0,306150809.0,271995017.0,23965220.0,268863854.0,243575353.0,18072612.0,268863854.0,243575353.0,18072612.0,-98.63982502527432,-98.30752615025102
62,(주)SIMPAC,9160,Dec-19,430085162.0,385305111.0,33638732.0,430085162.0,385305111.0,33638732.0,391970769.0,357126998.0,26405466.0,391970769.0,357126998.0,26405466.0,-98.91189299529329,-98.68775755193428
63,(주)SNT에너지,100840,Dec-11,,,,,,,195318747.0,181219511.0,20812087.0,195318747.0,181219511.0,20812087.0,-101.68940359168431,
64,(주)SNT에너지,100840,Dec-12,,,,,,,230707564.0,191839172.0,23735608.0,230707564.0,191839172.0,23735608.0,-96.6091457115767,
65,(주)SNT에너지,100840,Dec-13,,,,,,,200750984.0,161808099.0,22138474.0,200750984.0,161808099.0,22138474.0,-95.63178640097264,
66,(주)SNT에너지,100840,Dec-14,,,,,,,242746888.0,203611420.0,25357817.0,242746888.0,203611420.0,25357817.0,-97.0792495168572,
67,(주)SNT에너지,100840,Dec-15,,,,,,,260094045.0,202305297.0,23870714.0,260094045.0,202305297.0,23870714.0,-93.02485654185541,
68,(주)SNT에너지,100840,Dec-16,,,,,,,254089906.0,204980319.0,47914443.0,254089906.0,204980319.0,47914443.0,-99.76426427159726,
69,(주)SNT에너지,100840,Dec-17,,,,,,,184091945.0,146050315.0,18839719.0,184091945.0,146050315.0,18839719.0,-94.49773565528437,
70,(주)SNT에너지,100840,Dec-18,,,,139516396.0,118750224.0,22658363.0,139516396.0,118750224.0,22658363.0,139516396.0,118750224.0,22658363.0,-100.67355739592587,
71,(주)SNT에너지,100840,Dec-19,213326726.0,177635077.0,18218102.0,213326726.0,177635077.0,18218102.0,202822913.0,170291934.0,17851276.0,202822913.0,170291934.0,17851276.0,-96.245274939077,-95.7296175138415
72,(주)SNT홀딩스,36530,Dec-11,1663846065.0,1449348821.0,123824178.0,1663846065.0,1449348821.0,122381385.0,2257851.0,0.0,1611687.0,9253628.0,0.0,1611687.0,-94.05296579068347,-97.19762235825841
73,(주)SNT홀딩스,36530,Dec-12,1668749904.0,1465168699.0,117887632.0,1668749904.0,1465168699.0,117887632.0,8718270.0,0.0,2022710.0,8718270.0,0.0,2022710.0,-37.66341618734976,-97.3647392615938
74,(주)SNT홀딩스,36530,Dec-13,1576368464.0,1379201925.0,112368449.0,1523619296.0,1333985340.0,101832541.0,8826810.0,0.0,1903453.0,8826810.0,0.0,1903453.0,-35.47821707631957,-97.1346548371079
75,(주)SNT홀딩스,36530,Dec-14,1552374806.0,1380123821.0,106746009.0,1552374806.0,1380123821.0,106746009.0,7701882.0,0.0,1735761.0,7701882.0,0.0,1735761.0,-36.7837817132943,-97.84469551334927
76,(주)SNT홀딩스,36530,Dec-15,1612746929.0,1331347191.0,119866075.0,1612746929.0,1331347191.0,119866075.0,8475099.0,0.0,1755565.0,8475099.0,0.0,1755565.0,-34.319668791781254,-94.72794511940452
77,(주)SNT홀딩스,36530,Dec-16,1537700275.0,1336617769.0,128799440.0,1537700275.0,1336617769.0,128799440.0,9818190.0,0.0,1818263.0,9818190.0,0.0,1818263.0,-31.25115531339317,-97.59306565976492
78,(주)SNT홀딩스,36530,Dec-17,1508152132.0,1303372403.0,144142589.0,1508152132.0,1303372403.0,144142589.0,7417869.0,0.0,2015960.0,7417869.0,0.0,2015960.0,-42.73895573048865,-97.94844488719224
79,(주)SNT홀딩스,36530,Dec-18,1401307482.0,1221120349.0,107537015.0,1401307482.0,1221120349.0,107537015.0,7292112.0,0.0,1900080.0,7292112.0,0.0,1900080.0,-41.34117303032835,-97.33878924827738
80,(주)SNT홀딩스,36530,Dec-19,1512114565.0,1284171398.0,101666105.0,1512114565.0,1284171398.0,101666105.0,11015928.0,0.0,2024424.0,11015928.0,0.0,2024424.0,-31.04860973078027,-95.64254138657479
81,(주)STX,11810,Dec-11,5967701000.0,5516021000.0,217072000.0,5967701000.0,5516021000.0,217072000.0,4173397000.0,3988988000.0,122698000.0,4173397000.0,3988988000.0,122698000.0,-99.25515531950616,-97.99493948872188
82,(주)STX,11810,Dec-12,6159850000.0,6353608000.0,217053000.0,4876761000.0,5211023000.0,166600000.0,4116767000.0,3997635000.0,101399000.0,4116767000.0,3997635000.0,101399000.0,-99.7841598159449,-104.00619871461807
83,(주)STX,11810,Dec-13,2449401000.0,3140865000.0,270312000.0,2421184000.0,3061002000.0,237540000.0,1895063000.0,1814171000.0,148125000.0,1895063000.0,1814171000.0,148125000.0,-101.742980106337,-116.81507121145313
84,(주)STX,11810,Dec-14,1634606000.0,1513363000.0,85552000.0,1634606000.0,1513363000.0,85552000.0,1291351000.0,1233380000.0,34557000.0,1313192000.0,1252249000.0,34558000.0,-99.09946119210046,-98.89621870400718
85,(주)STX,11810,Dec-15,1630827000.0,1586081000.0,78916000.0,1630827000.0,1586081000.0,78916000.0,1362127000.0,1352181000.0,26282000.0,1362127000.0,1352181000.0,26282000.0,-100.59607602742476,-101.03676652636791
86,(주)STX,11810,Dec-16,1720153000.0,1635394000.0,118928000.0,1720153000.0,1635394000.0,118928000.0,1465561000.0,1494187000.0,77154000.0,1465561000.0,1494187000.0,77154000.0,-103.48315487295935,-100.98342915116672
87,(주)STX,11810,Dec-17,1803878000.0,1718572000.0,41253000.0,1803878000.0,1718572000.0,41253000.0,1595494000.0,1541890000.0,23434000.0,1595494000.0,1541890000.0,23434000.0,-99.04550024708794,-98.76384199244437
88,(주)STX,11810,Dec-18,1502985000.0,1483048000.0,34715000.0,1502985000.0,1483048000.0,34715000.0,1329890000.0,1319737000.0,17055000.0,1329890000.0,1319737000.0,17055000.0,-100.2588235117648,-100.48921657814554
89,(주)STX,11810,Dec-19,1471164000.0,1424697000.0,44719000.0,1463714000.0,1417134000.0,43790000.0,1237876000.0,1225459000.0,26114000.0,1237876000.0,1225459000.0,26114000.0,-100.55020207282817,-99.94023191930079
90,(주)TCC스틸,2710,Dec-11,514424043.0,472273637.0,30600718.0,514424043.0,472273637.0,30415582.0,456928069.0,419062918.0,25079936.0,456928069.0,419062918.0,24929936.0,-98.58087267443783,-98.86446392633901
91,(주)TCC스틸,2710,Dec-12,501337475.0,457927934.0,37475597.0,501337475.0,457927934.0,37475597.0,440568155.0,399338479.0,29554032.0,440568155.0,399338479.0,29554032.0,-98.65713948237423,-99.40466540813712
92,(주)TCC스틸,2710,Dec-13,500832754.0,474104834.0,34473642.0,500832754.0,474104834.0,34473642.0,419483813.0,385343144.0,25792395.0,419483813.0,385343144.0,25792395.0,-98.99493384305354,-100.7673504880662
93,(주)TCC스틸,2710,Dec-14,518995240.0,483588495.0,35062274.0,485473138.0,445494547.0,29120605.0,401323585.0,364984531.0,25470505.0,398613546.0,364229169.0,24764052.0,-98.62005388280267,-99.96412090392228
94,(주)TCC스틸,2710,Dec-15,495795871.0,451936886.0,28003827.0,496149223.0,452097262.0,28130546.0,350074629.0,311691285.0,23812910.0,350427981.0,311851660.0,23939629.0,-97.87670870857357,-98.37612341374303
95,(주)TCC스틸,2710,Dec-16,444453635.0,402898839.0,26203661.0,444453635.0,402898839.0,26203661.0,317235565.0,281559457.0,22384689.0,317235565.0,281559457.0,22384689.0,-97.86029408806624,-98.2426847703382
96,(주)TCC스틸,2710,Dec-17,391370092.0,356978389.0,26285247.0,391370092.0,356978389.0,26285247.0,333762378.0,304470552.0,22532022.0,333762378.0,304470552.0,22532022.0,-98.97697297964436,-98.95351109731179
97,(주)TCC스틸,2710,Dec-18,413176279.0,377890304.0,18205373.0,413176279.0,377890304.0,18205373.0,351301866.0,320798763.0,14196981.0,351301866.0,320798763.0,14196981.0,-97.62404505532228,-97.88938664272706
98,(주)TCC스틸,2710,Dec-19,437173902.0,405618477.0,18699255.0,437173902.0,405618477.0,18699255.0,339334364.0,312320391.0,14356868.0,339334364.0,312320391.0,14356868.0,-98.09956695005006,-98.50768486975231
99,(주)가비아,79940,Dec-11,52838864.0,29173840.0,15470152.0,52838864.0,29173840.0,15470152.0,33792831.0,20761832.0,9105062.0,33792831.0,20761832.0,9105062.0,-93.83293440240277,-91.59352491683255
100,(주)가비아,79940,Dec-12,69058144.0,40302408.0,21135774.0,69058144.0,40302408.0,21135774.0,38482449.0,23494026.0,12039194.0,38482449.0,23494026.0,12039194.0,-96.01539911771926,-94.16078426606431
101,(주)가비아,79940,Dec-13,70675565.0,38882747.0,24759315.0,70675565.0,38882747.0,24759315.0,40507693.0,24558241.0,12914401.0,40507693.0,24558241.0,12914401.0,-96.10792772305993,-94.76352943608809
102,(주)가비아,79940,Dec-14,80432047.0,45275795.0,26773564.0,80432047.0,45275795.0,26773564.0,43906243.0,26874841.0,13580143.0,43906243.0,26874841.0,13580143.0,-95.90895115833248,-94.50248510956149
103,(주)가비아,79940,Dec-15,91648622.0,50078893.0,30220634.0,91648622.0,50078893.0,30220634.0,48446932.0,28806524.0,15108414.0,48446932.0,28806524.0,15108414.0,-95.09321974533431,-93.39969923142354
104,(주)가비아,79940,Dec-16,102178978.0,54998617.0,34631102.0,102178978.0,54998617.0,34631102.0,49430564.0,28802628.0,16646190.0,49430564.0,28802628.0,16646190.0,-95.80336010198718,-93.45740876389979
105,(주)가비아,79940,Dec-17,116217941.0,60313364.0,43192421.0,116217941.0,60313364.0,43192421.0,52365659.0,30561799.0,18627531.0,52365659.0,30561799.0,18627531.0,-96.87230629309605,-94.21448187165731
106,(주)가비아,79940,Dec-18,128728438.0,65751367.0,44788622.0,128728438.0,65751367.0,44788622.0,55197652.0,31654603.0,19436958.0,55197652.0,31654603.0,19436958.0,-96.13686950528084,-92.39830794724955
107,(주)가비아,79940,Dec-19,148306878.0,75650385.0,48919898.0,148306878.0,75650385.0,48919898.0,58254105.0,34532096.0,18832896.0,58254105.0,34532096.0,18832896.0,-95.61982390880657,-91.30136252040529
108,(주)강스템바이오텍,217730,Dec-15,,,,,,,1484593.0,252810.0,6356984.0,1484593.0,252810.0,6356984.0,-163.31796342329568,
109,(주)강스템바이오텍,217730,Dec-16,,,,842805.0,57688.0,9902658.0,842805.0,57688.0,9902658.0,842805.0,57688.0,9902658.0,-184.3970523044619,
110,(주)강스템바이오텍,217730,Dec-17,9132939.0,5874047.0,14996757.0,9132939.0,5874047.0,14996757.0,5394323.0,2402560.0,14124268.0,982672.0,204075.0,10755679.0,-193.21812000342308,-139.1213356280248
111,(주)강스템바이오텍,217730,Dec-18,9165454.0,7988195.0,12871228.0,9165454.0,7988195.0,12871228.0,1001039.0,276617.0,11249767.0,1001039.0,276617.0,11249767.0,-184.01843699218907,-138.947600018478
112,(주)강스템바이오텍,217730,Dec-19,6004584.0,6428945.0,22729347.0,6004584.0,6428945.0,22729347.0,282069.0,141439.0,19551777.0,282069.0,141439.0,19551777.0,-197.1758200195892,-165.84702570972865
113,(주)강원랜드,35250,Dec-11,1265686425.0,538388479.0,237651483.0,1265686425.0,538388479.0,237651483.0,1263651213.0,530019096.0,232036737.0,1263651213.0,530019096.0,232036737.0,-75.23850346522416,-76.01801758954296
114,(주)강원랜드,35250,Dec-12,1296191223.0,647845564.0,243477994.0,1296191223.0,647845564.0,243477994.0,1292896121.0,639097544.0,237009158.0,1292896121.0,639097544.0,237009158.0,-80.78428416134892,-81.49188894554948
115,(주)강원랜드,35250,Dec-13,1361286598.0,726091776.0,247153517.0,1361286598.0,726091776.0,247153517.0,1356906162.0,718286815.0,240055756.0,1356906162.0,718286815.0,240055756.0,-82.7852798138212,-83.378196438611
116,(주)강원랜드,35250,Dec-14,1496541441.0,722297880.0,261071509.0,1496541441.0,722297880.0,261071509.0,1492291312.0,713323703.0,252649920.0,1492291312.0,713323703.0,252649920.0,-78.58987119303315,-79.30683451227156
117,(주)강원랜드,35250,Dec-15,1633716839.0,759645970.0,278670466.0,1633716839.0,759645970.0,278670466.0,1630976696.0,754752007.0,272340184.0,1630976696.0,754752007.0,272340184.0,-77.28108146656923,-77.71732827690927
118,(주)강원랜드,35250,Dec-16,1696532511.0,785177091.0,292739131.0,1696532511.0,785177091.0,292739132.0,1694575212.0,782103726.0,287586131.0,1694575212.0,782103726.0,287586132.0,-77.3941594175699,-77.70309173786305
119,(주)강원랜드,35250,Dec-17,1604470055.0,787533848.0,286038872.0,1547771676.0,730835470.0,286038872.0,1602901764.0,785131415.0,281945764.0,1546203385.0,728433036.0,281945764.0,-79.04137061801516,-79.29939136731188
120,(주)강원랜드,35250,Dec-18,1438059299.0,729593460.0,277765849.0,1438059299.0,729593460.0,277765848.0,1436042435.0,727185671.0,274005028.0,1436042435.0,727185671.0,274005027.0,-82.157975365092,-82.3874739168532
121,(주)강원랜드,35250,Dec-19,1520080449.0,736659054.0,282268243.0,1520080449.0,736659054.0,282268243.0,1517612252.0,734363002.0,280523986.0,1517612252.0,734363002.0,280523986.0,-80.14904580978275,-80.26185021335496
122,(주)강원에너지,114190,Nov-11,,,,,,,50222892.0,37631683.0,6335759.0,50222892.0,37631683.0,6335759.0,-93.35871343231462,
123,(주)강원에너지,114190,Dec-12,,,,,,,106471214.0,85441450.0,9418599.0,106471214.0,85441450.0,9418599.0,-94.23280576151753,
