,회사명,거래소코드,회계년도,부가가치(IFRS연결),기계장치(IFRS연결),부가가치(IFRS개별),기계장치(IFRS개별),기계투자효율(개별),기계투자효율(연결)
53,(주)SH에너지화학,2360,Dec-19,13705.14,33882924.0,12959.9,33882924.0,3.824906020507557,4.044851619063337
54,(주)SIMPAC,9160,Dec-11,53726.56,18666167.0,47745.41,18666167.0,25.578582898138645,28.782856169667824
55,(주)SIMPAC,9160,Dec-12,43772.07,22387797.0,45503.45,22387797.0,20.32511282820726,19.551754020281674
56,(주)SIMPAC,9160,Dec-13,46115.44,24742321.0,44116.55,24742321.0,17.8304007938463,18.63828377297344
57,(주)SIMPAC,9160,Dec-14,51704.11,45051844.0,35041.8,26089830.0,13.431210552157683,11.476580181712428
58,(주)SIMPAC,9160,Dec-15,59958.15,49564682.0,48511.4,29948323.0,16.19836943791477,12.096950405129201
59,(주)SIMPAC,9160,Dec-16,59093.1,55929435.0,45818.17,36313076.0,12.617540304214383,10.56565295179542
60,(주)SIMPAC,9160,Dec-17,43282.91,55792892.0,33411.91,36327651.0,9.197376951237505,7.757782120346082
61,(주)SIMPAC,9160,Dec-18,114254.96,128448700.0,94742.34,109088328.0,8.68491998520685,8.894987648765616
62,(주)SIMPAC,9160,Dec-19,65475.48,126428214.0,50726.3,107745959.0,4.707953826834471,5.178866166692823
63,(주)SNT에너지,100840,Dec-11,,,-5072.93,15414466.0,-3.2910189688050173,
64,(주)SNT에너지,100840,Dec-12,,,-3911.2,16128417.0,-2.4250365054425367,
65,(주)SNT에너지,100840,Dec-13,,,36145.24,14694527.0,24.5977567022062,
66,(주)SNT에너지,100840,Dec-14,,,31921.1,15671342.0,20.3690915557838,
67,(주)SNT에너지,100840,Dec-15,,,53697.45,14376480.0,37.3509023071016,
68,(주)SNT에너지,100840,Dec-16,,,21049.19,14801750.0,14.22074416876383,
69,(주)SNT에너지,100840,Dec-17,,,22693.15,15079150.0,15.049356230291494,
70,(주)SNT에너지,100840,Dec-18,,,16995.59,15107344.0,11.249886148087976,
71,(주)SNT에너지,100840,Dec-19,36695.84,2354165.0,34093.55,1438868.0,236.9470305823745,155.87624486813795
72,(주)SNT홀딩스,36530,Dec-11,316126.05,124938376.0,-3092.48,0.0,-inf,25.302557958653153
73,(주)SNT홀딩스,36530,Dec-12,289200.16,128580882.0,10002.42,0.0,inf,22.491692038634483
74,(주)SNT홀딩스,36530,Dec-13,287320.84,132324383.0,8821.66,0.0,inf,21.713370845643773
75,(주)SNT홀딩스,36530,Dec-14,280175.76,118523741.0,7483.38,0.0,inf,23.63878811418887
76,(주)SNT홀딩스,36530,Dec-15,383575.56,421584082.0,36674.24,0.0,inf,9.098435552412532
77,(주)SNT홀딩스,36530,Dec-16,230370.32,398988190.0,6611.38,0.0,inf,5.773863131136789
78,(주)SNT홀딩스,36530,Dec-17,220383.89,407324218.0,4405.14,0.0,inf,5.410527541969037
79,(주)SNT홀딩스,36530,Dec-18,283495.5,404203037.0,6864.34,0.0,inf,7.0136904983225055
80,(주)SNT홀딩스,36530,Dec-19,320323.23,410419723.0,10601.11,0.0,inf,7.804771848159938
81,(주)STX,11810,Dec-11,524043.0,508781000.0,236828.0,0.0,inf,10.299971893604518
82,(주)STX,11810,Dec-12,-139686.0,540064000.0,92155.0,0.0,inf,-2.586471233039047
83,(주)STX,11810,Dec-13,-1245149.0,143453000.0,-1518511.0,0.0,-inf,-86.79839389904707
84,(주)STX,11810,Dec-14,505161.0,4402000.0,390447.0,0.0,inf,1147.5715583825536
85,(주)STX,11810,Dec-15,79567.0,4402000.0,-7212.0,0.0,-inf,180.7519309404816
86,(주)STX,11810,Dec-16,-345167.0,33000.0,-408612.0,0.0,-inf,-104596.06060606061
87,(주)STX,11810,Dec-17,416114.0,3684000.0,366717.0,0.0,inf,1129.5168295331162
88,(주)STX,11810,Dec-18,83521.0,3676000.0,28236.0,0.0,inf,227.2062023939064
89,(주)STX,11810,Dec-19,51064.0,3834000.0,-15090.0,0.0,-inf,133.18727177882107
90,(주)TCC스틸,2710,Dec-11,50799.6,62501678.0,47387.55,51927686.0,9.125681048063647,8.127717787032854
91,(주)TCC스틸,2710,Dec-12,49856.28,82266123.0,44247.81,54333787.0,8.143700714253544,6.060365820326795
92,(주)TCC스틸,2710,Dec-13,40058.31,101223221.0,37086.29,59805178.0,6.20118378378541,3.9574229711579716
93,(주)TCC스틸,2710,Dec-14,66638.24,106593093.0,38278.43,62490884.0,6.125442232502263,6.251647093118877
94,(주)TCC스틸,2710,Dec-15,46811.29,77061586.0,-113808.25,64663749.0,-17.600008004484863,6.074529792314422
95,(주)TCC스틸,2710,Dec-16,81464.7,72966967.0,53606.1,60524036.0,8.856993608291424,11.16460000317678
96,(주)TCC스틸,2710,Dec-17,61493.36,78686241.0,30346.26,66209010.0,4.5834033766703355,7.815007963082135
97,(주)TCC스틸,2710,Dec-18,75995.51,75812276.0,44068.24,63748365.0,6.912842392114683,10.024169436622637
98,(주)TCC스틸,2710,Dec-19,74428.93,81021563.0,42215.18,68773022.0,6.138334302075601,9.18631130332551
99,(주)가비아,79940,Dec-11,25788.11,1398205.0,15017.54,0.0,inf,184.4372606305942
100,(주)가비아,79940,Dec-12,31058.09,0.0,17319.4,0.0,inf,inf
101,(주)가비아,79940,Dec-13,32828.8,0.0,16859.32,0.0,inf,inf
102,(주)가비아,79940,Dec-14,34179.94,0.0,19430.85,0.0,inf,inf
103,(주)가비아,79940,Dec-15,41698.24,0.0,22440.14,0.0,inf,inf
104,(주)가비아,79940,Dec-16,45412.89,0.0,23132.9,0.0,inf,inf
105,(주)가비아,79940,Dec-17,48683.0,0.0,22812.97,0.0,inf,inf
106,(주)가비아,79940,Dec-18,62241.08,0.0,24805.77,0.0,inf,inf
107,(주)가비아,79940,Dec-19,133089.93,0.0,29591.96,0.0,inf,inf
108,(주)강스템바이오텍,217730,Dec-15,,,-2880.72,0.0,-inf,
