,회사명,거래소코드,회계년도,매출액(IFRS연결),자산(IFRS연결),매출액(IFRS개별),자산(IFRS개별),총자산회전율(개별),총자산회전율(연결)
43,(주)MH에탄올,23150,Dec-18,72795863.0,440177523.0,46943080.0,109656889.0,0.4280905689381722,0.1653784193792194
44,(주)MH에탄올,23150,Dec-19,80879342.0,451474451.0,46992295.0,101058662.0,0.4650001699013193,0.17914489252017496
45,(주)SH에너지화학,2360,Dec-11,173209351.0,104710740.0,172752632.0,102383199.0,1.687314263349009,1.6541698683439732
46,(주)SH에너지화학,2360,Dec-12,193950102.0,103690070.0,191907628.0,102492810.0,1.8724008835351476,1.8704790342990414
47,(주)SH에너지화학,2360,Dec-13,231912218.0,110488951.0,229783541.0,109984767.0,2.0892306022705855,2.098962981375396
48,(주)SH에너지화학,2360,Dec-14,230912587.0,110741407.0,226971465.0,109098264.0,2.080431499808283,2.0851512840179103
49,(주)SH에너지화학,2360,Dec-15,216441364.0,115520726.0,213882181.0,114048206.0,1.8753664656504987,1.873614990958419
50,(주)SH에너지화학,2360,Dec-16,218397677.0,124488724.0,214380015.0,122956894.0,1.7435379833195852,1.7543571014512125
51,(주)SH에너지화학,2360,Dec-17,188114822.0,125312154.0,184672638.0,123261552.0,1.4982176924074426,1.501169806721222
52,(주)SH에너지화학,2360,Dec-18,183598766.0,122434685.0,180753289.0,120895795.0,1.495116426505984,1.499564980299496
53,(주)SH에너지화학,2360,Dec-19,140852575.0,123415832.0,138161816.0,121126250.0,1.1406430563152083,1.1412844909557471
54,(주)SIMPAC,9160,Dec-11,215365697.0,310879328.0,213867522.0,296953131.0,0.7202063210439764,0.6927630035278511
55,(주)SIMPAC,9160,Dec-12,225353321.0,318665505.0,223854758.0,307366684.0,0.7282987052689158,0.7071782714605398
56,(주)SIMPAC,9160,Dec-13,205751154.0,361985890.0,204527751.0,349836891.0,0.5846374589465466,0.5683955084547633
57,(주)SIMPAC,9160,Dec-14,263152264.0,381939281.0,227491803.0,329325876.0,0.6907802258453569,0.6889897873583734
58,(주)SIMPAC,9160,Dec-15,269528038.0,422833445.0,213152303.0,369348917.0,0.5771028238861737,0.6374331103349689
59,(주)SIMPAC,9160,Dec-16,267074156.0,417865468.0,215839356.0,366245273.0,0.5893300798997616,0.639139092488973
60,(주)SIMPAC,9160,Dec-17,230634812.0,381158251.0,203150228.0,343005145.0,0.592265833213668,0.6050893858257315
61,(주)SIMPAC,9160,Dec-18,306150809.0,681750819.0,268863854.0,628334175.0,0.4278994597102728,0.44906555367115736
62,(주)SIMPAC,9160,Dec-19,430085162.0,679145850.0,391970769.0,608693104.0,0.6439546734211071,0.6332736362888767
63,(주)SNT에너지,100840,Dec-11,,,195318747.0,276511841.0,0.7063666651440074,
64,(주)SNT에너지,100840,Dec-12,,,230707564.0,292802033.0,0.7879301985584233,
65,(주)SNT에너지,100840,Dec-13,,,200750984.0,311675279.0,0.6441030056798313,
66,(주)SNT에너지,100840,Dec-14,,,242746888.0,304511816.0,0.7971673847953408,
67,(주)SNT에너지,100840,Dec-15,,,260094045.0,316196096.0,0.8225719681244894,
68,(주)SNT에너지,100840,Dec-16,,,254089906.0,348042346.0,0.7300545721525507,
69,(주)SNT에너지,100840,Dec-17,,,184091945.0,300266693.0,0.6130947897041648,
70,(주)SNT에너지,100840,Dec-18,,,139516396.0,280991534.0,0.49651458894131667,
71,(주)SNT에너지,100840,Dec-19,213326726.0,333897235.0,202822913.0,331391237.0,0.6120346296302337,0.6388993487771769
72,(주)SNT홀딩스,36530,Dec-11,1663846065.0,2124828265.0,2257851.0,388123974.0,0.005817344846623672,0.7830496668397811
73,(주)SNT홀딩스,36530,Dec-12,1668749904.0,2074903906.0,8718270.0,388964716.0,0.022414038192605623,0.8042540665013332
74,(주)SNT홀딩스,36530,Dec-13,1576368464.0,2149176237.0,8826810.0,397336142.0,0.022214968805933592,0.7334756623777057
75,(주)SNT홀딩스,36530,Dec-14,1552374806.0,2039388864.0,7701882.0,399244416.0,0.01929114520164009,0.7611960785915128
76,(주)SNT홀딩스,36530,Dec-15,1612746929.0,2169311305.0,8475099.0,430584006.0,0.019682800294258954,0.7434372951834131
77,(주)SNT홀딩스,36530,Dec-16,1537700275.0,2210178425.0,9818190.0,427001710.0,0.0229933271227415,0.6957358092028249
78,(주)SNT홀딩스,36530,Dec-17,1508152132.0,2146174938.0,7417869.0,425435423.0,0.017435945854466377,0.7027163095126964
79,(주)SNT홀딩스,36530,Dec-18,1401307482.0,2113834573.0,7292112.0,422804813.0,0.017246993827385784,0.6629220185434066
80,(주)SNT홀딩스,36530,Dec-19,1512114565.0,2236679025.0,11015928.0,417172874.0,0.02640614643606957,0.6760534471413483
81,(주)STX,11810,Dec-11,5967701000.0,5234175000.0,4173397000.0,3302248000.0,1.2638048384009923,1.1401416651143685
82,(주)STX,11810,Dec-12,6159850000.0,5067029000.0,4116767000.0,3226878000.0,1.2757739833981947,1.2156729318107318
83,(주)STX,11810,Dec-13,2449401000.0,1342520000.0,1895063000.0,1086567000.0,1.7440829695729763,1.8244800822334117
84,(주)STX,11810,Dec-14,1634606000.0,1255002000.0,1291351000.0,1070433000.0,1.2063819033979708,1.3024728247445023
85,(주)STX,11810,Dec-15,1630827000.0,1267224000.0,1362127000.0,1057543000.0,1.2880109839505345,1.2869287513494063
86,(주)STX,11810,Dec-16,1720153000.0,707709000.0,1465561000.0,627686000.0,2.3348632915183707,2.4305936479541734
87,(주)STX,11810,Dec-17,1803878000.0,627542000.0,1595494000.0,520393000.0,3.0659405487775584,2.874513578374037
88,(주)STX,11810,Dec-18,1502985000.0,554061000.0,1329890000.0,446758000.0,2.9767569914808463,2.7126706265194627
89,(주)STX,11810,Dec-19,1471164000.0,560107000.0,1237876000.0,462734000.0,2.6751351748520746,2.6265767076647855
90,(주)TCC스틸,2710,Dec-11,514424043.0,454329510.0,456928069.0,407743559.0,1.1206260869469675,1.1322708115526108
91,(주)TCC스틸,2710,Dec-12,501337475.0,547013976.0,440568155.0,438642951.0,1.0043890002007578,0.9164984753515695
92,(주)TCC스틸,2710,Dec-13,500832754.0,543708595.0,419483813.0,444204925.0,0.9443475058274061,0.9211418738009834
93,(주)TCC스틸,2710,Dec-14,518995240.0,551000563.0,401323585.0,461297588.0,0.8699884747717346,0.9419141736884215
94,(주)TCC스틸,2710,Dec-15,495795871.0,376394571.0,350074629.0,330651742.0,1.0587412208461917,1.3172237571938836
95,(주)TCC스틸,2710,Dec-16,444453635.0,282914735.0,317235565.0,250878191.0,1.2645003686271,1.5709808646057266
96,(주)TCC스틸,2710,Dec-17,391370092.0,278692540.0,333762378.0,248896237.0,1.340969964122037,1.4043077435800757
97,(주)TCC스틸,2710,Dec-18,413176279.0,304781579.0,351301866.0,268135677.0,1.3101645776141904,1.3556471501842309
98,(주)TCC스틸,2710,Dec-19,437173902.0,314210087.0,339334364.0,270265082.0,1.2555612493070785,1.3913426719492936
99,(주)가비아,79940,Dec-11,52838864.0,64954440.0,33792831.0,37295822.0,0.9060755116216502,0.8134757839494883
100,(주)가비아,79940,Dec-12,69058144.0,85244515.0,38482449.0,51795749.0,0.7429653927776969,0.8101183284343867
101,(주)가비아,79940,Dec-13,70675565.0,91231294.0,40507693.0,52151784.0,0.7767268901098379,0.7746855481409701
102,(주)가비아,79940,Dec-14,80432047.0,98544072.0,43906243.0,55984243.0,0.7842607249329065,0.8162038098040032
103,(주)가비아,79940,Dec-15,91648622.0,105081568.0,48446932.0,57657418.0,0.8402549694472965,0.8721664868952089
104,(주)가비아,79940,Dec-16,102178978.0,125796754.0,49430564.0,61160981.0,0.8082042372734342,0.8122544879019692
105,(주)가비아,79940,Dec-17,116217941.0,133382584.0,52365659.0,64986436.0,0.8057936736213692,0.8713127120104376
106,(주)가비아,79940,Dec-18,128728438.0,151440505.0,55197652.0,69315988.0,0.7963191983933058,0.8500264707912853
107,(주)가비아,79940,Dec-19,148306878.0,199916131.0,58254105.0,82964911.0,0.7021535284959204,0.741845479192472
108,(주)강스템바이오텍,217730,Dec-15,,,1484593.0,24982626.0,0.05942501801051659,
109,(주)강스템바이오텍,217730,Dec-16,,,842805.0,47441769.0,0.017765041602896384,
110,(주)강스템바이오텍,217730,Dec-17,9132939.0,47198979.0,5394323.0,44508729.0,0.12119696790263321,0.19349865597728289
111,(주)강스템바이오텍,217730,Dec-18,9165454.0,73194018.0,1001039.0,66184838.0,0.015124899149862692,0.12522135347180968
112,(주)강스템바이오텍,217730,Dec-19,6004584.0,113643697.0,282069.0,98625925.0,0.002859988385406778,0.052836929442730114
113,(주)강원랜드,35250,Dec-11,1265686425.0,2711401782.0,1263651213.0,2730283806.0,0.46282778743478364,0.4668015022349056
114,(주)강원랜드,35250,Dec-12,1296191223.0,2906655321.0,1292896121.0,2915385756.0,0.4434734300046433,0.44593908800788284
115,(주)강원랜드,35250,Dec-13,1361286598.0,3102036846.0,1356906162.0,3105430200.0,0.436946276235737,0.43883637286750654
116,(주)강원랜드,35250,Dec-14,1496541441.0,3375127289.0,1492291312.0,3380461682.0,0.44144600719659927,0.44340296316451017
117,(주)강원랜드,35250,Dec-15,1633716839.0,3690791830.0,1630976696.0,3688060027.0,0.44223160253893556,0.44264670408138407
118,(주)강원랜드,35250,Dec-16,1696532511.0,3978987574.0,1694575212.0,3975979890.0,0.4262031647247592,0.4263729100552351
119,(주)강원랜드,35250,Dec-17,1604470055.0,4185657487.0,1602901764.0,4182527382.0,0.3832376019576768,0.3833256925544515
120,(주)강원랜드,35250,Dec-18,1438059299.0,4231241354.0,1436042435.0,4229630541.0,0.3395195918602575,0.33986699852054814
121,(주)강원랜드,35250,Dec-19,1520080449.0,4438119306.0,1517612252.0,4436461953.0,0.34207714797909367,0.34250553989050425
122,(주)강원에너지,114190,Nov-11,,,50222892.0,53719067.0,0.9349174288525897,
123,(주)강원에너지,114190,Dec-12,,,106471214.0,89258208.0,1.1928450770600278,
124,(주)강원에너지,114190,Dec-13,,,50660659.0,72441333.0,0.6993336111029321,
125,(주)강원에너지,114190,Dec-14,,,51481321.0,67037639.0,0.7679465113620723,
126,(주)강원에너지,114190,Dec-15,46188664.0,85457457.0,48852892.0,80939019.0,0.6035765271629991,0.5404872274633681
127,(주)강원에너지,114190,Dec-16,42287473.0,77186606.0,44448760.0,70850137.0,0.6273630776465542,0.547860246633982
128,(주)강원에너지,114190,Dec-17,82034829.0,93179394.0,83113029.0,87781416.0,0.9468180485947049,0.8803966786905697
129,(주)강원에너지,114190,Dec-18,85905365.0,93845576.0,85905365.0,89619750.0,0.9585539459773097,0.9153906732907686
130,(주)강원에너지,114190,Dec-19,42549622.0,56602063.0,42549622.0,55106032.0,0.7721409155353447,0.751732706279628
131,(주)갤럭시아에스엠,11420,Dec-11,47331427.0,45110356.0,31931418.0,40711969.0,0.7843250715778448,1.0492363882031877
