,회사명,거래소코드,회계년도,부가가치(IFRS연결),유형자산(IFRS연결),건설중인자산(IFRS연결),부가가치(IFRS개별),유형자산(IFRS개별),건설중인자산(IFRS개별),설비투자효율(개별),설비투자효율(연결)
40,(주)MH에탄올,23150,15-Dec,16454.85,0.0,268000.0,16452.87,36846498.0,268000.0,4.4979621634546065,-613.9869402985074
41,(주)MH에탄올,23150,16-Dec,17091.29,0.0,402993.0,16882.88,37390792.0,402993.0,4.5644456973500915,-424.10885548880503
42,(주)MH에탄올,23150,17-Dec,14202.61,0.0,333000.0,14882.33,39418503.0,333000.0,3.8076342525258022,-426.50480480480485
43,(주)MH에탄올,23150,18-Dec,16853.56,0.0,650107.0,16047.25,40585694.0,51500.0,3.9589414310298117,-259.24286309792086
44,(주)MH에탄올,23150,19-Dec,22570.7,0.0,1085121.0,5096.55,41121323.0,150000.0,1.243931029515449,-208.0016882909832
45,(주)SH에너지화학,2360,11-Dec,14210.0,0.0,1175202.0,14221.3,33115306.0,1175202.0,4.452490198529096,-120.91538305755097
46,(주)SH에너지화학,2360,12-Dec,14518.25,0.0,711970.0,13164.14,32608108.0,711970.0,4.127189316775592,-203.9165976094498
47,(주)SH에너지화학,2360,13-Dec,20836.07,0.0,828543.0,18725.38,31944570.0,828543.0,6.017921246822417,-251.47843865677459
48,(주)SH에너지화학,2360,14-Dec,37108.64,0.0,715481.0,33796.55,31070401.0,715481.0,11.133796432341118,-518.6530459928356
49,(주)SH에너지화학,2360,15-Dec,36388.74,0.0,373549.0,34895.57,32654731.0,373550.0,10.809880220925002,-974.1356555632594
50,(주)SH에너지화학,2360,16-Dec,40893.43,0.0,466709.0,39411.54,31792327.0,466709.0,12.58124899563035,-876.2083011041142
51,(주)SH에너지화학,2360,17-Dec,29127.7,0.0,392095.0,27260.32,30956708.0,392095.0,8.918915479152313,-742.873538300667
52,(주)SH에너지화학,2360,18-Dec,19920.85,0.0,492857.0,19849.37,29913044.0,492857.0,6.746853784443994,-404.19127657718155
53,(주)SH에너지화학,2360,19-Dec,13705.14,0.0,2268097.0,12959.9,33126165.0,2268097.0,4.199841675117185,-60.42572253303099
54,(주)SIMPAC,9160,11-Dec,53726.56,0.0,1103192.0,47745.41,62702218.0,1103192.0,7.75100080316205,-487.0100580859905
55,(주)SIMPAC,9160,12-Dec,43772.07,0.0,0.0,45503.45,64182764.0,0.0,7.0896681856829975,inf
56,(주)SIMPAC,9160,13-Dec,46115.44,0.0,0.0,44116.55,64271295.0,0.0,6.864114065229275,inf
57,(주)SIMPAC,9160,14-Dec,51704.11,0.0,2307507.0,35041.8,70604838.0,2307507.0,5.130771508479592,-224.06913608496097
