,회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별),매출액총이익률(개별),매출액총이익률(연결)
44,(주)MH에탄올,23150,Dec-19,80879342.0,54219181.0,46992295.0,35415661.0,24.635174766416494,32.96288068218953
45,(주)SH에너지화학,2360,Dec-11,173209351.0,160789710.0,172752632.0,160574493.0,7.049466545898994,7.170306295992068
46,(주)SH에너지화학,2360,Dec-12,193950102.0,178829327.0,191907628.0,178516652.0,6.977823726735864,7.796219153316041
47,(주)SH에너지화학,2360,Dec-13,231912218.0,213952261.0,229783541.0,213397080.0,7.13125967538293,7.74429098858431
48,(주)SH에너지화학,2360,Dec-14,230912587.0,197661842.0,226971465.0,196829927.0,13.27987991794475,14.399710917447736
49,(주)SH에너지화학,2360,Dec-15,216441364.0,179135051.0,213882181.0,179081363.0,16.27102259631437,17.236221538504072
50,(주)SH에너지화학,2360,Dec-16,218397677.0,179759098.0,214380015.0,179726464.0,16.164543602630125,17.69184522965416
51,(주)SH에너지화학,2360,Dec-17,188114822.0,161824273.0,184672638.0,161711689.0,12.433324854546129,13.975798781023219
52,(주)SH에너지화학,2360,Dec-18,183598766.0,171330094.0,180753289.0,169058462.0,6.470049349973377,6.682328137216347
53,(주)SH에너지화학,2360,Dec-19,140852575.0,134184400.0,138161816.0,131861388.0,4.560180361265663,4.734152002545924
54,(주)SIMPAC,9160,Dec-11,215365697.0,170409718.0,213867522.0,169699426.0,20.65208199307607,20.87425231883609
55,(주)SIMPAC,9160,Dec-12,225353321.0,182861979.0,223854758.0,182101881.0,18.65177107381385,18.85543191085256
56,(주)SIMPAC,9160,Dec-13,205751154.0,164405183.0,204527751.0,163875499.0,19.87615460554299,20.095134436038204
57,(주)SIMPAC,9160,Dec-14,263152264.0,220084616.0,227491803.0,188349315.0,17.20610918011846,16.366056421236035
58,(주)SIMPAC,9160,Dec-15,269528038.0,221412942.0,213152303.0,171341851.0,19.615294515490174,17.851610673617564
59,(주)SIMPAC,9160,Dec-16,267074156.0,217713888.0,215839356.0,175971604.0,18.471029908002507,18.481858649026304
60,(주)SIMPAC,9160,Dec-17,230634812.0,193009825.0,203150228.0,168484356.0,17.06415608846868,16.313663437764113
61,(주)SIMPAC,9160,Dec-18,306150809.0,271995017.0,268863854.0,243575353.0,9.405690137879226,11.156525149015692
62,(주)SIMPAC,9160,Dec-19,430085162.0,385305111.0,391970769.0,357126998.0,8.889379962922694,10.411903259289842
63,(주)SNT에너지,100840,Dec-11,,,195318747.0,181219511.0,7.218577948383009,
64,(주)SNT에너지,100840,Dec-12,,,230707564.0,191839172.0,16.847471893032516,
65,(주)SNT에너지,100840,Dec-13,,,200750984.0,161808099.0,19.39860230025074,
66,(주)SNT에너지,100840,Dec-14,,,242746888.0,203611420.0,16.12192367219966,
67,(주)SNT에너지,100840,Dec-15,,,260094045.0,202305297.0,22.218404885048407,
68,(주)SNT에너지,100840,Dec-16,,,254089906.0,204980319.0,19.327641846583234,
69,(주)SNT에너지,100840,Dec-17,,,184091945.0,146050315.0,20.6644728534972,
70,(주)SNT에너지,100840,Dec-18,,,139516396.0,118750224.0,14.88439537959395,
71,(주)SNT에너지,100840,Dec-19,213326726.0,177635077.0,202822913.0,170291934.0,16.039104516756446,16.730978658529637
72,(주)SNT홀딩스,36530,Dec-11,1663846065.0,1449348821.0,2257851.0,0.0,100.0,12.89165196901794
73,(주)SNT홀딩스,36530,Dec-12,1668749904.0,1465168699.0,8718270.0,0.0,100.0,12.199623473356617
74,(주)SNT홀딩스,36530,Dec-13,1576368464.0,1379201925.0,8826810.0,0.0,100.0,12.5076429466049
75,(주)SNT홀딩스,36530,Dec-14,1552374806.0,1380123821.0,7701882.0,0.0,100.0,11.095966279164157
76,(주)SNT홀딩스,36530,Dec-15,1612746929.0,1331347191.0,8475099.0,0.0,100.0,17.448474583329993
77,(주)SNT홀딩스,36530,Dec-16,1537700275.0,1336617769.0,9818190.0,0.0,100.0,13.07683358514064
78,(주)SNT홀딩스,36530,Dec-17,1508152132.0,1303372403.0,7417869.0,0.0,100.0,13.578187813747691
79,(주)SNT홀딩스,36530,Dec-18,1401307482.0,1221120349.0,7292112.0,0.0,100.0,12.858500744092938
80,(주)SNT홀딩스,36530,Dec-19,1512114565.0,1284171398.0,11015928.0,0.0,100.0,15.074464083348078
81,(주)STX,11810,Dec-11,5967701000.0,5516021000.0,4173397000.0,3988988000.0,4.418678596836102,7.568743809383212
82,(주)STX,11810,Dec-12,6159850000.0,6353608000.0,4116767000.0,3997635000.0,2.893824207199484,-3.1454986728572933
