,회사명,거래소코드,회계년도,[제조]   금융비용(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]   금융비용(IFRS),[제조]매출액(수익)(*)(IFRS),금융비용부담률(개별),금융비용부담률(연결)
64,(주)SNT에너지,100840,2012/12,,,0.0,230707564.0,0.0,
65,(주)SNT에너지,100840,2013/12,,,0.0,200750984.0,0.0,
66,(주)SNT에너지,100840,2014/12,,,0.0,242746888.0,0.0,
67,(주)SNT에너지,100840,2015/12,,,0.0,260094045.0,0.0,
68,(주)SNT에너지,100840,2016/12,,,0.0,254089906.0,0.0,
69,(주)SNT에너지,100840,2017/12,,,0.0,184091945.0,0.0,
70,(주)SNT에너지,100840,2018/12,,,0.0,139516396.0,0.0,
71,(주)SNT에너지,100840,2019/12,0.0,213326726.0,0.0,202822913.0,0.0,0.0
72,(주)SNT홀딩스,36530,2011/12,0.0,1663846065.0,0.0,2257851.0,0.0,0.0
73,(주)SNT홀딩스,36530,2012/12,0.0,1668749904.0,0.0,8718270.0,0.0,0.0
74,(주)SNT홀딩스,36530,2013/12,0.0,1576368464.0,0.0,8826810.0,0.0,0.0
75,(주)SNT홀딩스,36530,2014/12,0.0,1552374806.0,0.0,7701882.0,0.0,0.0
76,(주)SNT홀딩스,36530,2015/12,0.0,1612746929.0,0.0,8475099.0,0.0,0.0
77,(주)SNT홀딩스,36530,2016/12,0.0,1537700275.0,0.0,9818190.0,0.0,0.0
78,(주)SNT홀딩스,36530,2017/12,0.0,1508152132.0,0.0,7417869.0,0.0,0.0
79,(주)SNT홀딩스,36530,2018/12,0.0,1401307482.0,0.0,7292112.0,0.0,0.0
80,(주)SNT홀딩스,36530,2019/12,0.0,1512114565.0,0.0,11015928.0,0.0,0.0
81,(주)STX,11810,2011/12,0.0,5967701000.0,0.0,4173397000.0,0.0,0.0
82,(주)STX,11810,2012/12,0.0,6159850000.0,0.0,4116767000.0,0.0,0.0
83,(주)STX,11810,2013/12,0.0,2449401000.0,0.0,1895063000.0,0.0,0.0
84,(주)STX,11810,2014/12,0.0,1634606000.0,0.0,1291351000.0,0.0,0.0
85,(주)STX,11810,2015/12,0.0,1630827000.0,0.0,1362127000.0,0.0,0.0
86,(주)STX,11810,2016/12,0.0,1720153000.0,0.0,1465561000.0,0.0,0.0
87,(주)STX,11810,2017/12,0.0,1803878000.0,0.0,1595494000.0,0.0,0.0
88,(주)STX,11810,2018/12,0.0,1502985000.0,0.0,1329890000.0,0.0,0.0
89,(주)STX,11810,2019/12,0.0,1471164000.0,0.0,1237876000.0,0.0,0.0
90,(주)TCC스틸,2710,2011/12,0.0,514424043.0,0.0,456928069.0,0.0,0.0
91,(주)TCC스틸,2710,2012/12,0.0,501337475.0,0.0,440568155.0,0.0,0.0
92,(주)TCC스틸,2710,2013/12,0.0,500832754.0,0.0,419483813.0,0.0,0.0
93,(주)TCC스틸,2710,2014/12,0.0,518995240.0,0.0,401323585.0,0.0,0.0
94,(주)TCC스틸,2710,2015/12,0.0,495795871.0,0.0,350074629.0,0.0,0.0
95,(주)TCC스틸,2710,2016/12,0.0,444453635.0,0.0,317235565.0,0.0,0.0
96,(주)TCC스틸,2710,2017/12,0.0,391370092.0,0.0,333762378.0,0.0,0.0
97,(주)TCC스틸,2710,2018/12,0.0,413176279.0,0.0,351301866.0,0.0,0.0
98,(주)TCC스틸,2710,2019/12,0.0,437173902.0,0.0,339334364.0,0.0,0.0
99,(주)가비아,79940,2011/12,0.0,52838864.0,0.0,33792831.0,0.0,0.0
100,(주)가비아,79940,2012/12,0.0,69058144.0,0.0,38482449.0,0.0,0.0
101,(주)가비아,79940,2013/12,0.0,70675565.0,0.0,40507693.0,0.0,0.0
