,회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),매출채권회전율(개별),매출채권회전율(연결)
44,(주)MH에탄올,23150,Dec-19,80879342.0,9499084.0,46992295.0,9124637.0,5.150045420984966,8.514435918242222
45,(주)SH에너지화학,2360,Dec-11,173209351.0,29083550.0,172752632.0,28469011.0,6.068093900416843,5.955578015751172
46,(주)SH에너지화학,2360,Dec-12,193950102.0,30307562.0,191907628.0,29170923.0,6.5787300593813915,6.399396361871667
47,(주)SH에너지화학,2360,Dec-13,231912218.0,33797271.0,229783541.0,33105701.0,6.940905465194651,6.861862249173905
48,(주)SH에너지화학,2360,Dec-14,230912587.0,33429222.0,226971465.0,32478430.0,6.988375515688412,6.907507060738656
49,(주)SH에너지화학,2360,Dec-15,216441364.0,32536497.0,213882181.0,31405845.0,6.8102667194593876,6.652263886920586
50,(주)SH에너지화학,2360,Dec-16,218397677.0,44363775.0,214380015.0,44371296.0,4.831502217109007,4.92288307295761
51,(주)SH에너지화학,2360,Dec-17,188114822.0,32135522.0,184672638.0,29569635.0,6.245347228668869,5.853796991379197
52,(주)SH에너지화학,2360,Dec-18,183598766.0,28065346.0,180753289.0,26954657.0,6.705827827822109,6.5418315526913515
53,(주)SH에너지화학,2360,Dec-19,140852575.0,19343406.0,138161816.0,18332571.0,7.536412432276957,7.281684259742054
54,(주)SIMPAC,9160,Dec-11,215365697.0,61396431.0,213867522.0,61101857.0,3.5001803954992727,3.5077885390439065
55,(주)SIMPAC,9160,Dec-12,225353321.0,64410349.0,223854758.0,63906443.0,3.5028511600935137,3.498712931985511
56,(주)SIMPAC,9160,Dec-13,205751154.0,70776019.0,204527751.0,70594150.0,2.8972337084588453,2.9070744145697147
57,(주)SIMPAC,9160,Dec-14,263152264.0,85807726.0,227491803.0,65389652.0,3.4790184079890807,3.0667665520002245
58,(주)SIMPAC,9160,Dec-15,269528038.0,92407160.0,213152303.0,63243462.0,3.3703452698399086,2.916744092124463
59,(주)SIMPAC,9160,Dec-16,267074156.0,82187792.0,215839356.0,49480584.0,4.362102031778768,3.249559934643335
60,(주)SIMPAC,9160,Dec-17,230634812.0,92525495.0,203150228.0,69293781.0,2.9317238151573806,2.492662287297139
61,(주)SIMPAC,9160,Dec-18,306150809.0,83584396.0,268863854.0,58586618.0,4.589168366059294,3.6627746762685227
62,(주)SIMPAC,9160,Dec-19,430085162.0,70072876.0,391970769.0,47263174.0,8.293365337672835,6.137683887842708
63,(주)SNT에너지,100840,Dec-11,,,195318747.0,61985605.0,3.1510339699031733,
64,(주)SNT에너지,100840,Dec-12,,,230707564.0,55907590.0,4.126587534894636,
65,(주)SNT에너지,100840,Dec-13,,,200750984.0,41261252.0,4.865363368033525,
66,(주)SNT에너지,100840,Dec-14,,,242746888.0,49187725.0,4.93511110749684,
67,(주)SNT에너지,100840,Dec-15,,,260094045.0,64863275.0,4.0098814776158,
68,(주)SNT에너지,100840,Dec-16,,,254089906.0,48869506.0,5.199354910606218,
69,(주)SNT에너지,100840,Dec-17,,,184091945.0,51310402.0,3.587809446513399,
70,(주)SNT에너지,100840,Dec-18,,,139516396.0,29295256.0,4.762422830508803,
71,(주)SNT에너지,100840,Dec-19,213326726.0,83894725.0,202822913.0,98456397.0,2.060027780622523,2.542790693932187
72,(주)SNT홀딩스,36530,Dec-11,1663846065.0,404578388.0,2257851.0,677865.0,3.330826934566617,4.112543117355048
73,(주)SNT홀딩스,36530,Dec-12,1668749904.0,404874970.0,8718270.0,659958.0,13.210340658041876,4.121642550538503
74,(주)SNT홀딩스,36530,Dec-13,1576368464.0,364300144.0,8826810.0,624553.0,14.133003924406736,4.327114578357126
75,(주)SNT홀딩스,36530,Dec-14,1552374806.0,318803347.0,7701882.0,608494.0,12.657285034856548,4.869380515004442
76,(주)SNT홀딩스,36530,Dec-15,1612746929.0,317287946.0,8475099.0,647243.0,13.094153200575363,5.082912695964819
77,(주)SNT홀딩스,36530,Dec-16,1537700275.0,331347025.0,9818190.0,647920.0,15.15339856772441,4.640754734405719
78,(주)SNT홀딩스,36530,Dec-17,1508152132.0,317573551.0,7417869.0,558857.0,13.273286368426986,4.74898532088398
79,(주)SNT홀딩스,36530,Dec-18,1401307482.0,282698019.0,7292112.0,595784.0,12.239523048621647,4.95690591309025
80,(주)SNT홀딩스,36530,Dec-19,1512114565.0,323871429.0,11015928.0,570175.0,19.320257815582934,4.668872983544343
81,(주)STX,11810,Dec-11,5967701000.0,549558000.0,4173397000.0,433389000.0,9.629679110452734,10.859092215926253
82,(주)STX,11810,Dec-12,6159850000.0,585650000.0,4116767000.0,407542000.0,10.101454574007096,10.517971484675147
83,(주)STX,11810,Dec-13,2449401000.0,318920000.0,1895063000.0,264240000.0,7.171749167423554,7.680299134579204
84,(주)STX,11810,Dec-14,1634606000.0,231173000.0,1291351000.0,240745000.0,5.3639784834576005,7.070920912044227
85,(주)STX,11810,Dec-15,1630827000.0,196846000.0,1362127000.0,192082000.0,7.0913828469091325,8.284786076425226
86,(주)STX,11810,Dec-16,1720153000.0,151385000.0,1465561000.0,225461000.0,6.500286080519469,11.3627704197906
87,(주)STX,11810,Dec-17,1803878000.0,150002000.0,1595494000.0,148268000.0,10.760878948930316,12.025692990760124
88,(주)STX,11810,Dec-18,1502985000.0,168448000.0,1329890000.0,124416000.0,10.689059284979423,8.922545830167174
89,(주)STX,11810,Dec-19,1471164000.0,184444000.0,1237876000.0,149459000.0,8.282378444924696,7.976209581227907
90,(주)TCC스틸,2710,Dec-11,514424043.0,80665225.0,456928069.0,67618018.0,6.757489830595153,6.3772715318156
91,(주)TCC스틸,2710,Dec-12,501337475.0,71112902.0,440568155.0,65092634.0,6.7683258139469356,7.049880695348363
92,(주)TCC스틸,2710,Dec-13,500832754.0,68316114.0,419483813.0,56753518.0,7.391327053945801,7.331107182121044
93,(주)TCC스틸,2710,Dec-14,518995240.0,86970515.0,401323585.0,60593854.0,6.62317311917476,5.967484957401942
94,(주)TCC스틸,2710,Dec-15,495795871.0,67719623.0,350074629.0,42872200.0,8.165539183900057,7.321302881441026
95,(주)TCC스틸,2710,Dec-16,444453635.0,57654611.0,317235565.0,48126701.0,6.591674858411758,7.708900073924703
96,(주)TCC스틸,2710,Dec-17,391370092.0,48408783.0,333762378.0,43217757.0,7.722806576935494,8.084691821316806
97,(주)TCC스틸,2710,Dec-18,413176279.0,42246665.0,351301866.0,41140973.0,8.538978064519767,9.780092203727797
98,(주)TCC스틸,2710,Dec-19,437173902.0,45242999.0,339334364.0,33268239.0,10.199949687748726,9.662796712481416
99,(주)가비아,79940,Dec-11,52838864.0,4866865.0,33792831.0,1964346.0,17.203095075918398,10.856858367758301
100,(주)가비아,79940,Dec-12,69058144.0,6524566.0,38482449.0,2041083.0,18.853936366135038,10.584327601253477
101,(주)가비아,79940,Dec-13,70675565.0,6448247.0,40507693.0,1986939.0,20.38698369703348,10.960430796152815
102,(주)가비아,79940,Dec-14,80432047.0,0.0,43906243.0,2648057.0,16.58055056971961,0.0
103,(주)가비아,79940,Dec-15,91648622.0,8120801.0,48446932.0,2327391.0,20.815983218977816,11.285662830550828
104,(주)가비아,79940,Dec-16,102178978.0,14103577.0,49430564.0,2458491.0,20.10605855380394,7.244898085074446
105,(주)가비아,79940,Dec-17,116217941.0,19164658.0,52365659.0,2897556.0,18.072354425591776,6.064180273918794
106,(주)가비아,79940,Dec-18,128728438.0,20324111.0,55197652.0,2873894.0,19.20657198908519,6.333779519310832
107,(주)가비아,79940,Dec-19,148306878.0,25159207.0,58254105.0,3227148.0,18.051265389749712,5.894735791950835
108,(주)강스템바이오텍,217730,Dec-15,,,1484593.0,298840.0,4.967852362468211,
109,(주)강스템바이오텍,217730,Dec-16,,,842805.0,170110.0,4.954470636646875,
110,(주)강스템바이오텍,217730,Dec-17,9132939.0,440984.0,5394323.0,173608.0,31.071857287682594,20.71036364131125
111,(주)강스템바이오텍,217730,Dec-18,9165454.0,2038576.0,1001039.0,1024620.0,0.9769856141789152,4.496007997739599
112,(주)강스템바이오텍,217730,Dec-19,6004584.0,1209654.0,282069.0,1024806.0,0.2752413627554874,4.96388554082407
113,(주)강원랜드,35250,Dec-11,1265686425.0,6134126.0,1263651213.0,6107094.0,206.91530423471457,206.33525053120852
114,(주)강원랜드,35250,Dec-12,1296191223.0,7667585.0,1292896121.0,6916800.0,186.921137086514,169.0481713603436
115,(주)강원랜드,35250,Dec-13,1361286598.0,7394704.0,1356906162.0,7277032.0,186.46422909779702,184.08939668173332
116,(주)강원랜드,35250,Dec-14,1496541441.0,6582920.0,1492291312.0,6379925.0,233.9042092187604,227.33702384352233
117,(주)강원랜드,35250,Dec-15,1633716839.0,5436891.0,1630976696.0,5366515.0,303.91729008490614,300.4873261207554
118,(주)강원랜드,35250,Dec-16,1696532511.0,5089200.0,1694575212.0,5028255.0,337.01059552468996,333.35937102098563
119,(주)강원랜드,35250,Dec-17,1604470055.0,5442780.0,1602901764.0,5425603.0,295.43292496704976,294.788702648279
120,(주)강원랜드,35250,Dec-18,1438059299.0,10584690.0,1436042435.0,10519131.0,136.51721183052098,135.86220276644852
121,(주)강원랜드,35250,Dec-19,1520080449.0,8657399.0,1517612252.0,8599415.0,176.4785455754839,175.58165552956496
122,(주)강원에너지,114190,Nov-11,,,50222892.0,12650936.0,3.96989535003576,
123,(주)강원에너지,114190,Dec-12,,,106471214.0,42550425.0,2.5022362056313185,
124,(주)강원에너지,114190,Dec-13,,,50660659.0,16589758.0,3.053731042972417,
125,(주)강원에너지,114190,Dec-14,,,51481321.0,26216322.0,1.963712568071143,
126,(주)강원에너지,114190,Dec-15,46188664.0,16786020.0,48852892.0,16786020.0,2.9103320501226615,2.7516149748421603
127,(주)강원에너지,114190,Dec-16,42287473.0,28125754.0,44448760.0,28125754.0,1.580357987913853,1.5035142880080654
128,(주)강원에너지,114190,Dec-17,82034829.0,47160876.0,83113029.0,47160876.0,1.7623300508667397,1.7394678801131684
129,(주)강원에너지,114190,Dec-18,85905365.0,43399528.0,85905365.0,43399528.0,1.979407817522808,1.979407817522808
130,(주)강원에너지,114190,Dec-19,42549622.0,20063616.0,42549622.0,20063616.0,2.120735464634092,2.120735464634092
131,(주)갤럭시아에스엠,11420,Dec-11,47331427.0,7628919.0,31931418.0,6130238.0,5.208838221289287,6.204211501000338
132,(주)갤럭시아에스엠,11420,Dec-12,55049732.0,4791513.0,37398255.0,5251377.0,7.121609246489064,11.489008169235897
133,(주)갤럭시아에스엠,11420,Dec-13,46437304.0,4956683.0,30903637.0,4769683.0,6.479180482224919,9.36862494535156
134,(주)갤럭시아에스엠,11420,Dec-14,43885894.0,6615820.0,33027933.0,6620157.0,4.988995427147724,6.633477633913861
135,(주)갤럭시아에스엠,11420,Dec-15,62472754.0,4611248.0,53784932.0,6445375.0,8.344732773500379,13.54790590313078
136,(주)갤럭시아에스엠,11420,Dec-16,52626331.0,6431047.0,45665676.0,6515454.0,7.0088248646986075,8.183166908903013
137,(주)갤럭시아에스엠,11420,Dec-17,37281280.0,7542791.0,36917656.0,7481985.0,4.934206096376831,4.942637281080703
138,(주)갤럭시아에스엠,11420,Dec-18,22060413.0,5719635.0,22030258.0,5719122.0,3.8520349801945124,3.8569616767503523
