,회사명,거래소코드,회계년도,당기매출액(IFRS연결),전기매출액(IFRS연결),당기매출액(IFRS개별),전기매출액(IFRS개별),매출액증가율(개별),매출액증가율(연결)
54,(주)SIMPAC,9160,Dec-11,215365697.0,215365697.0,213867522.0,213867522.0,0.0,-0.6956423519944366
55,(주)SIMPAC,9160,Dec-12,225353321.0,,223854758.0,223854758.0,0.0,
56,(주)SIMPAC,9160,Dec-13,205751154.0,205751154.0,204527751.0,204527751.0,0.0,-0.5946032263809258
57,(주)SIMPAC,9160,Dec-14,263152264.0,263152264.0,227491803.0,227491803.0,0.0,-13.551265133709805
58,(주)SIMPAC,9160,Dec-15,269528038.0,269528038.0,213152303.0,213152303.0,0.0,-20.91646398583586
59,(주)SIMPAC,9160,Dec-16,267074156.0,267074156.0,215839356.0,215839356.0,0.0,-19.18373562135305
60,(주)SIMPAC,9160,Dec-17,230634812.0,230634812.0,203150228.0,203150228.0,0.0,-11.916927787987191
61,(주)SIMPAC,9160,Dec-18,306150809.0,306150809.0,268863854.0,268863854.0,0.0,-12.179276978490691
62,(주)SIMPAC,9160,Dec-19,430085162.0,430085162.0,391970769.0,391970769.0,0.0,-8.86205718485121
63,(주)SNT에너지,100840,Dec-11,,,195318747.0,195318747.0,0.0,
64,(주)SNT에너지,100840,Dec-12,,,230707564.0,230707564.0,0.0,
65,(주)SNT에너지,100840,Dec-13,,,200750984.0,200750984.0,0.0,
66,(주)SNT에너지,100840,Dec-14,,,242746888.0,242746888.0,0.0,
67,(주)SNT에너지,100840,Dec-15,,,260094045.0,260094045.0,0.0,
68,(주)SNT에너지,100840,Dec-16,,,254089906.0,254089906.0,0.0,
69,(주)SNT에너지,100840,Dec-17,,,184091945.0,184091945.0,0.0,
70,(주)SNT에너지,100840,Dec-18,,139516396.0,139516396.0,139516396.0,0.0,0.0
71,(주)SNT에너지,100840,Dec-19,213326726.0,213326726.0,202822913.0,202822913.0,0.0,-4.92381484352785
72,(주)SNT홀딩스,36530,Dec-11,1663846065.0,1663846065.0,2257851.0,9253628.0,-75.6003699305829,-99.86429928540295
73,(주)SNT홀딩스,36530,Dec-12,1668749904.0,1668749904.0,8718270.0,8718270.0,0.0,-99.47755682387742
74,(주)SNT홀딩스,36530,Dec-13,1576368464.0,1523619296.0,8826810.0,8826810.0,0.0,-99.42066827171503
75,(주)SNT홀딩스,36530,Dec-14,1552374806.0,1552374806.0,7701882.0,7701882.0,0.0,-99.50386453257087
76,(주)SNT홀딩스,36530,Dec-15,1612746929.0,1612746929.0,8475099.0,8475099.0,0.0,-99.47449293825318
77,(주)SNT홀딩스,36530,Dec-16,1537700275.0,1537700275.0,9818190.0,9818190.0,0.0,-99.36150170747678
78,(주)SNT홀딩스,36530,Dec-17,1508152132.0,1508152132.0,7417869.0,7417869.0,0.0,-99.5081484922769
79,(주)SNT홀딩스,36530,Dec-18,1401307482.0,1401307482.0,7292112.0,7292112.0,0.0,-99.47962084741084
80,(주)SNT홀딩스,36530,Dec-19,1512114565.0,1512114565.0,11015928.0,11015928.0,0.0,-99.27148853301337
81,(주)STX,11810,Dec-11,5967701000.0,5967701000.0,4173397000.0,4173397000.0,0.0,-30.066921918507646
82,(주)STX,11810,Dec-12,6159850000.0,4876761000.0,4116767000.0,4116767000.0,0.0,-15.583991095729317
83,(주)STX,11810,Dec-13,2449401000.0,2421184000.0,1895063000.0,1895063000.0,0.0,-21.7299056990299
84,(주)STX,11810,Dec-14,1634606000.0,1634606000.0,1291351000.0,1313192000.0,-1.663199288451338,-20.99924997216455
85,(주)STX,11810,Dec-15,1630827000.0,1630827000.0,1362127000.0,1362127000.0,0.0,-16.476303127186384
86,(주)STX,11810,Dec-16,1720153000.0,1720153000.0,1465561000.0,1465561000.0,0.0,-14.80054390510611
87,(주)STX,11810,Dec-17,1803878000.0,1803878000.0,1595494000.0,1595494000.0,0.0,-11.552000745061477
88,(주)STX,11810,Dec-18,1502985000.0,1502985000.0,1329890000.0,1329890000.0,0.0,-11.516748337475093
89,(주)STX,11810,Dec-19,1471164000.0,1463714000.0,1237876000.0,1237876000.0,0.0,-15.42910705233399
90,(주)TCC스틸,2710,Dec-11,514424043.0,514424043.0,456928069.0,456928069.0,0.0,-11.176766479400342
91,(주)TCC스틸,2710,Dec-12,501337475.0,501337475.0,440568155.0,440568155.0,0.0,-12.121439754728087
92,(주)TCC스틸,2710,Dec-13,500832754.0,500832754.0,419483813.0,419483813.0,0.0,-16.242735793593894
93,(주)TCC스틸,2710,Dec-14,518995240.0,485473138.0,401323585.0,398613546.0,0.6798662582329769,-17.333513723677953
94,(주)TCC스틸,2710,Dec-15,495795871.0,496149223.0,350074629.0,350427981.0,-0.10083441367657997,-29.441665375741195
95,(주)TCC스틸,2710,Dec-16,444453635.0,444453635.0,317235565.0,317235565.0,0.0,-28.62347385234007
96,(주)TCC스틸,2710,Dec-17,391370092.0,391370092.0,333762378.0,333762378.0,0.0,-14.719498290124832
97,(주)TCC스틸,2710,Dec-18,413176279.0,413176279.0,351301866.0,351301866.0,0.0,-14.97530621790608
98,(주)TCC스틸,2710,Dec-19,437173902.0,437173902.0,339334364.0,339334364.0,0.0,-22.38000428488523
99,(주)가비아,79940,Dec-11,52838864.0,52838864.0,33792831.0,33792831.0,0.0,-36.04550052400823
100,(주)가비아,79940,Dec-12,69058144.0,69058144.0,38482449.0,38482449.0,0.0,-44.27529213643506
101,(주)가비아,79940,Dec-13,70675565.0,70675565.0,40507693.0,40507693.0,0.0,-42.68501001725278
102,(주)가비아,79940,Dec-14,80432047.0,80432047.0,43906243.0,43906243.0,0.0,-45.41200350153963
103,(주)가비아,79940,Dec-15,91648622.0,91648622.0,48446932.0,48446932.0,0.0,-47.13839559966324
104,(주)가비아,79940,Dec-16,102178978.0,102178978.0,49430564.0,49430564.0,0.0,-51.623548241009026
105,(주)가비아,79940,Dec-17,116217941.0,116217941.0,52365659.0,52365659.0,0.0,-54.9418458549356
106,(주)가비아,79940,Dec-18,128728438.0,128728438.0,55197652.0,55197652.0,0.0,-57.12085623224916
107,(주)가비아,79940,Dec-19,148306878.0,148306878.0,58254105.0,58254105.0,0.0,-60.72056415347102
108,(주)강스템바이오텍,217730,Dec-15,,,1484593.0,1484593.0,0.0,
109,(주)강스템바이오텍,217730,Dec-16,,842805.0,842805.0,842805.0,0.0,0.0
110,(주)강스템바이오텍,217730,Dec-17,9132939.0,9132939.0,5394323.0,982672.0,448.94440871419965,-40.935519223329976
111,(주)강스템바이오텍,217730,Dec-18,9165454.0,9165454.0,1001039.0,1001039.0,0.0,-89.0781296813011
112,(주)강스템바이오텍,217730,Dec-19,6004584.0,6004584.0,282069.0,282069.0,0.0,-95.3024389366524
113,(주)강원랜드,35250,Dec-11,1265686425.0,1265686425.0,1263651213.0,1263651213.0,0.0,-0.16079906995921078
114,(주)강원랜드,35250,Dec-12,1296191223.0,1296191223.0,1292896121.0,1292896121.0,0.0,-0.2542141885804199
115,(주)강원랜드,35250,Dec-13,1361286598.0,1361286598.0,1356906162.0,1356906162.0,0.0,-0.32178646336750205
116,(주)강원랜드,35250,Dec-14,1496541441.0,1496541441.0,1492291312.0,1492291312.0,0.0,-0.28399674633533323
117,(주)강원랜드,35250,Dec-15,1633716839.0,1633716839.0,1630976696.0,1630976696.0,0.0,-0.16772447553869085
118,(주)강원랜드,35250,Dec-16,1696532511.0,1696532511.0,1694575212.0,1694575212.0,0.0,-0.11537055655045947
119,(주)강원랜드,35250,Dec-17,1604470055.0,1547771676.0,1602901764.0,1546203385.0,3.6669418493091825,3.5619005603252845
120,(주)강원랜드,35250,Dec-18,1438059299.0,1438059299.0,1436042435.0,1436042435.0,0.0,-0.1402490148634712
121,(주)강원랜드,35250,Dec-19,1520080449.0,1520080449.0,1517612252.0,1517612252.0,0.0,-0.16237278767869157
122,(주)강원에너지,114190,Nov-11,,,50222892.0,50222892.0,0.0,
123,(주)강원에너지,114190,Dec-12,,,106471214.0,106471214.0,0.0,
124,(주)강원에너지,114190,Dec-13,,,50660659.0,50660659.0,0.0,
125,(주)강원에너지,114190,Dec-14,,51481321.0,51481321.0,51481321.0,0.0,0.0
126,(주)강원에너지,114190,Dec-15,46188664.0,46188664.0,48852892.0,48852892.0,0.0,5.768142590138552
127,(주)강원에너지,114190,Dec-16,42287473.0,42287473.0,44448760.0,44448760.0,0.0,5.110939119015214
128,(주)강원에너지,114190,Dec-17,82034829.0,82034829.0,83113029.0,83113029.0,0.0,1.314319799459824
129,(주)강원에너지,114190,Dec-18,85905365.0,85905365.0,85905365.0,85905365.0,0.0,0.0
130,(주)강원에너지,114190,Dec-19,42549622.0,42549622.0,42549622.0,42549622.0,0.0,0.0
131,(주)갤럭시아에스엠,11420,Dec-11,47331427.0,47331427.0,31931418.0,31931418.0,0.0,-32.53654067940947
132,(주)갤럭시아에스엠,11420,Dec-12,55049732.0,55049732.0,37398255.0,37398255.0,0.0,-32.06460115010188
133,(주)갤럭시아에스엠,11420,Dec-13,46437304.0,46437304.0,30903637.0,30903637.0,0.0,-33.450837283749294
134,(주)갤럭시아에스엠,11420,Dec-14,43885894.0,43885894.0,33027933.0,33027933.0,0.0,-24.741346274044233
135,(주)갤럭시아에스엠,11420,Dec-15,62472754.0,62472754.0,53784932.0,53784932.0,0.0,-13.906577577802963
136,(주)갤럭시아에스엠,11420,Dec-16,52626331.0,46544660.0,45665676.0,45665676.0,0.0,-1.8884744243485727
137,(주)갤럭시아에스엠,11420,Dec-17,37281280.0,31207760.0,36917656.0,30844136.0,19.69100382646478,18.29639807535048
138,(주)갤럭시아에스엠,11420,Dec-18,22060413.0,22030258.0,22030258.0,22030258.0,0.0,0.0
139,(주)갤럭시아에스엠,11420,Dec-19,28732679.0,,28732679.0,28732679.0,0.0,
140,(주)경농,2100,Dec-11,121253605.0,121253605.0,120728258.0,120728258.0,0.0,-0.43326299453116235
141,(주)경농,2100,Dec-12,136970449.0,,131021366.0,131021366.0,0.0,
142,(주)경농,2100,Dec-13,196358952.0,196358952.0,139237273.0,139237273.0,0.0,-29.09043790374274
143,(주)경농,2100,Dec-14,188483147.0,188483147.0,134806677.0,134806677.0,0.0,-28.478127012597042
144,(주)경농,2100,Dec-15,196418710.0,196418710.0,137609256.0,137609256.0,0.0,-29.94086154012517
145,(주)경농,2100,Dec-16,203984939.0,203984939.0,143209666.0,143209666.0,0.0,-29.794000134490318
146,(주)경농,2100,Dec-17,206534382.0,206534382.0,143175105.0,143175105.0,0.0,-30.677350853864127
147,(주)경농,2100,Dec-18,212654617.0,212654617.0,146216658.0,146216658.0,0.0,-31.242189771031406
148,(주)경농,2100,Dec-19,227510941.0,227510941.0,151342037.0,151342037.0,0.0,-33.47922682979892
149,(주)경동나비엔,9450,Dec-11,341246917.0,341246917.0,318269213.0,318269213.0,0.0,-6.733453946486506
150,(주)경동나비엔,9450,Dec-12,379014259.0,,341339118.0,342711994.0,-0.4005917575210418,
151,(주)경동나비엔,9450,Dec-13,414177562.0,414177562.0,371601179.0,371601179.0,0.0,-10.279741566492689
152,(주)경동나비엔,9450,Dec-14,428985365.0,428985365.0,382392117.0,382392117.0,0.0,-10.861267493356095
153,(주)경동나비엔,9450,Dec-15,512031120.0,512031120.0,448302084.0,448302084.0,0.0,-12.446320840811396
154,(주)경동나비엔,9450,Dec-16,583252904.0,583252904.0,506082201.0,506082201.0,0.0,-13.231087658673701
155,(주)경동나비엔,9450,Dec-17,684660958.0,684660958.0,569819524.0,569819524.0,0.0,-16.773474908729938
156,(주)경동나비엔,9450,Dec-18,726741615.0,726741615.0,618058456.0,618058456.0,0.0,-14.954855585089902
157,(주)경동나비엔,9450,Dec-19,774290704.0,774290704.0,655419303.0,655419303.0,0.0,-15.352296028598573
158,(주)경동도시가스,267290,Dec-17,871548284.0,871548284.0,870828897.0,870828897.0,0.0,-0.08254126744398604
159,(주)경동도시가스,267290,Dec-18,1606531867.0,1606531867.0,1605687067.0,1605687067.0,0.0,-0.052585324782725706
160,(주)경동도시가스,267290,Dec-19,1422707835.0,1422707835.0,1421866212.0,1421866212.0,0.0,-0.059156418436401736
161,(주)경동인베스트,12320,Dec-11,1847666903.0,1847666903.0,1806174764.0,1806174764.0,0.0,-2.2456503892898922
162,(주)경동인베스트,12320,Dec-12,2502642394.0,2502642394.0,2403814656.0,2403814656.0,0.0,-3.9489356624396805
163,(주)경동인베스트,12320,Dec-13,2788264380.0,2788264380.0,2664100017.0,2664100017.0,0.0,-4.4531058062722195
164,(주)경동인베스트,12320,Dec-14,2603059058.0,2603059058.0,2399450987.0,2399450987.0,0.0,-7.821876740531479
165,(주)경동인베스트,12320,Dec-15,1604168482.0,1515369532.0,1352478311.0,1352478311.0,0.0,-10.749273860944967
166,(주)경동인베스트,12320,Dec-16,1181902637.0,159924885.0,1021002691.0,518599.0,196777.1036966905,538.42640312044
167,(주)경동인베스트,12320,Dec-17,195069859.0,195069859.0,612436.0,612436.0,0.0,-99.68604273200403
168,(주)경동인베스트,12320,Dec-18,228644016.0,228644016.0,7460898.0,7460898.0,0.0,-96.73689338976621
169,(주)경동인베스트,12320,Dec-19,271765025.0,271747673.0,8641051.0,8641051.0,0.0,-96.82019319444181
170,(주)경방,50,Dec-11,348136369.0,348136369.0,275746943.0,275746943.0,0.0,-20.79341098660106
171,(주)경방,50,Dec-12,333620804.0,333620804.0,265409209.0,265409209.0,0.0,-20.44584575726877
172,(주)경방,50,Dec-13,347189559.0,347189559.0,264782077.0,264782077.0,0.0,-23.735587624626703
173,(주)경방,50,Dec-14,329036023.0,329036023.0,256979444.0,256979444.0,0.0,-21.899297937964675
174,(주)경방,50,Dec-15,357628146.0,357628146.0,307744480.0,307744480.0,0.0,-13.948473171907452
175,(주)경방,50,Dec-16,377445013.0,377445013.0,313876822.0,313876822.0,0.0,-16.84170907299813
176,(주)경방,50,Dec-17,360788750.0,360788750.0,288103985.0,288103985.0,0.0,-20.146073013640247
177,(주)경방,50,Dec-18,351438926.0,351438926.0,279085217.0,279085217.0,0.0,-20.587847175471964
178,(주)경방,50,Dec-19,343892085.0,343892085.0,253552382.0,214619467.0,18.140439702051808,-26.269782568563627
179,(주)경보제약,214390,Dec-15,,,178032632.0,178032632.0,0.0,
180,(주)경보제약,214390,Dec-16,,,186726170.0,186726170.0,0.0,
181,(주)경보제약,214390,Dec-17,,,191661374.0,191661374.0,0.0,
182,(주)경보제약,214390,Dec-18,,,201343596.0,201343596.0,0.0,
183,(주)경보제약,214390,Dec-19,,,191706189.0,191706189.0,0.0,
184,(주)경인양행,12610,Dec-11,233095049.0,199551808.0,128707611.0,128707611.0,0.0,-35.50165629168342
185,(주)경인양행,12610,Dec-12,218604655.0,218604655.0,141304459.0,141304459.0,0.0,-35.3607273367532
186,(주)경인양행,12610,Dec-13,260808400.0,260808400.0,183106757.0,183106757.0,0.0,-29.792615191841975
187,(주)경인양행,12610,Dec-14,277181095.0,277181095.0,190395047.0,190395047.0,0.0,-31.310233477503218
188,(주)경인양행,12610,Dec-15,263163677.0,263163677.0,175006703.0,175006703.0,0.0,-33.498914061760885
189,(주)경인양행,12610,Dec-16,274873817.0,274873817.0,179267850.0,179267850.0,0.0,-34.78176570015033
190,(주)경인양행,12610,Dec-17,299987729.0,299987729.0,193975818.0,193975818.0,0.0,-35.338749139302294
191,(주)경인양행,12610,Dec-18,331102011.0,331102011.0,222659442.0,222659442.0,0.0,-32.752011584731804
192,(주)경인양행,12610,Dec-19,358802386.0,358802386.0,245244968.0,245244968.0,0.0,-31.649014173501072
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,87660276.0,87660276.0,0.0,
197,(주)고려시멘트,198440,Dec-18,,,85775723.0,70064952.0,22.423152448602266,
198,(주)고려시멘트,198440,Dec-19,,,70921781.0,70921781.0,0.0,
199,(주)고영테크놀러지,98460,Dec-11,86130810.0,86130810.0,80200892.0,80200892.0,0.0,-6.884781415616544
200,(주)고영테크놀러지,98460,Dec-12,107841666.0,107841666.0,100791139.0,100791139.0,0.0,-6.537850592923888
201,(주)고영테크놀러지,98460,Dec-13,111902729.0,111902729.0,103933681.0,103933681.0,0.0,-7.12140630636452
202,(주)고영테크놀러지,98460,Dec-14,142840131.0,142840131.0,135531589.0,135531589.0,0.0,-5.116588698732016
203,(주)고영테크놀러지,98460,Dec-15,145904431.0,145904431.0,138554625.0,138554625.0,0.0,-5.037411098227722
204,(주)고영테크놀러지,98460,Dec-16,171793841.0,171793841.0,153254768.0,153254768.0,0.0,-10.791465451895903
205,(주)고영테크놀러지,98460,Dec-17,203368626.0,203368626.0,188934907.0,188934907.0,0.0,-7.0973184428162455
206,(주)고영테크놀러지,98460,Dec-18,238208865.0,238208865.0,219818022.0,219818022.0,0.0,-7.720469597132748
207,(주)고영테크놀러지,98460,Dec-19,222057035.0,222057035.0,209480760.0,209480760.0,0.0,-5.663533695295897
208,(주)골드앤에스,35290,Dec-11,47522791.0,47522791.0,47522791.0,47522791.0,0.0,0.0
209,(주)골드앤에스,35290,Dec-12,43889087.0,43889087.0,43889087.0,43889087.0,0.0,0.0
210,(주)골드앤에스,35290,Dec-13,39548810.0,39256785.0,36607591.0,36607591.0,0.0,-6.748372287745923
211,(주)골드앤에스,35290,Dec-14,31287203.0,29428881.0,29428881.0,29428881.0,0.0,0.0
212,(주)골드앤에스,35290,Dec-15,22197935.0,22197935.0,22197935.0,22197935.0,0.0,0.0
213,(주)골드앤에스,35290,Dec-16,15893494.0,15893494.0,15893494.0,15893494.0,0.0,0.0
214,(주)골드앤에스,35290,Dec-17,12802035.0,12802035.0,12802035.0,12802035.0,0.0,0.0
215,(주)골드앤에스,35290,Dec-18,8680452.0,8680452.0,8680452.0,8680452.0,0.0,0.0
216,(주)골드앤에스,35290,Dec-19,7642733.0,7642733.0,7642733.0,7642733.0,0.0,0.0
217,(주)골드퍼시픽,38530,Dec-11,,,11236925.0,11236925.0,0.0,
218,(주)골드퍼시픽,38530,Dec-12,,10491048.0,10491048.0,10491048.0,0.0,0.0
219,(주)골드퍼시픽,38530,Dec-13,7167832.0,7167832.0,6488691.0,6488691.0,0.0,-9.474845392581742
220,(주)골드퍼시픽,38530,Dec-14,16486257.0,16486257.0,4855121.0,4855121.0,0.0,-70.55049548238875
221,(주)골드퍼시픽,38530,Dec-15,18635305.0,,6121489.0,18635305.0,-67.15111987702912,
222,(주)골드퍼시픽,38530,Dec-16,,,9588100.0,9588100.0,0.0,
223,(주)골드퍼시픽,38530,Dec-17,,5031439.0,5031439.0,5031439.0,0.0,0.0
