,회사명,거래소코드,회계년도,부가가치(IFRS연결),매출액(IFRS연결),부가가치(IFRS개별),매출액(IFRS개별),부가가치율(개별),부가가치율(연결)
45,(주)SH에너지화학,2360,Dec-11,14210.0,173209351.0,14221.3,172752632.0,0.8232175588502757,0.8203945062989122
46,(주)SH에너지화학,2360,Dec-12,14518.25,193950102.0,13164.14,191907628.0,0.6859623109926615,0.7485559352786523
47,(주)SH에너지화학,2360,Dec-13,20836.07,231912218.0,18725.38,229783541.0,0.8149138932452955,0.8984464113055053
48,(주)SH에너지화학,2360,Dec-14,37108.64,230912587.0,33796.55,226971465.0,1.4890219790404051,1.6070427551010895
49,(주)SH에너지화학,2360,Dec-15,36388.74,216441364.0,34895.57,213882181.0,1.6315323622027214,1.6812285474231259
50,(주)SH에너지화학,2360,Dec-16,40893.43,218397677.0,39411.54,214380015.0,1.8383961769943902,1.8724297145340056
51,(주)SH에너지화학,2360,Dec-17,29127.7,188114822.0,27260.32,184672638.0,1.4761428815458844,1.548400051113463
52,(주)SH에너지화학,2360,Dec-18,19920.85,183598766.0,19849.37,180753289.0,1.0981470992762958,1.085020909127461
53,(주)SH에너지화학,2360,Dec-19,13705.14,140852575.0,12959.9,138161816.0,0.938023281338456,0.9730130954297428
54,(주)SIMPAC,9160,Dec-11,53726.56,215365697.0,47745.41,213867522.0,2.2324759530341405,2.4946665484986683
55,(주)SIMPAC,9160,Dec-12,43772.07,225353321.0,45503.45,223854758.0,2.032722038456739,1.9423751913556224
56,(주)SIMPAC,9160,Dec-13,46115.44,205751154.0,44116.55,204527751.0,2.1569958005356447,2.2413210863449153
57,(주)SIMPAC,9160,Dec-14,51704.11,263152264.0,35041.8,227491803.0,1.5403544012528663,1.9647982203945622
58,(주)SIMPAC,9160,Dec-15,59958.15,269528038.0,48511.4,213152303.0,2.2759031601924566,2.2245607709280324
59,(주)SIMPAC,9160,Dec-16,59093.1,267074156.0,45818.17,215839356.0,2.1227903404233657,2.2126101935523854
60,(주)SIMPAC,9160,Dec-17,43282.91,230634812.0,33411.91,203150228.0,1.6446897613129927,1.8766859011726298
61,(주)SIMPAC,9160,Dec-18,114254.96,306150809.0,94742.34,268863854.0,3.52380353812826,3.7319829522318853
62,(주)SIMPAC,9160,Dec-19,65475.48,430085162.0,50726.3,391970769.0,1.2941347674831334,1.5223840714597823
63,(주)SNT에너지,100840,Dec-11,,,-5072.93,195318747.0,-0.25972570876670636,
64,(주)SNT에너지,100840,Dec-12,,,-3911.2,230707564.0,-0.16953063576190333,
65,(주)SNT에너지,100840,Dec-13,,,36145.24,200750984.0,1.8005012618020344,
66,(주)SNT에너지,100840,Dec-14,,,31921.1,242746888.0,1.3149952307524535,
67,(주)SNT에너지,100840,Dec-15,,,53697.45,260094045.0,2.064539770604898,
68,(주)SNT에너지,100840,Dec-16,,,21049.19,254089906.0,0.8284150414066429,
69,(주)SNT에너지,100840,Dec-17,,,22693.15,184091945.0,1.2327073843453606,
70,(주)SNT에너지,100840,Dec-18,,,16995.59,139516396.0,1.2181786863244375,
71,(주)SNT에너지,100840,Dec-19,36695.84,213326726.0,34093.55,202822913.0,1.6809515993885762,1.7201707769142809
72,(주)SNT홀딩스,36530,Dec-11,316126.05,1663846065.0,-3092.48,2257851.0,-13.696563679357052,1.899971738070613
73,(주)SNT홀딩스,36530,Dec-12,289200.16,1668749904.0,10002.42,8718270.0,11.472941306015986,1.7330347663648462
74,(주)SNT홀딩스,36530,Dec-13,287320.84,1576368464.0,8821.66,8826810.0,9.994165502599467,1.822675640636262
75,(주)SNT홀딩스,36530,Dec-14,280175.76,1552374806.0,7483.38,7701882.0,9.71630050940796,1.8048203237846159
76,(주)SNT홀딩스,36530,Dec-15,383575.56,1612746929.0,36674.24,8475099.0,43.27293403888262,2.3783989484192656
77,(주)SNT홀딩스,36530,Dec-16,230370.32,1537700275.0,6611.38,9818190.0,6.7338073514568375,1.498148395661827
78,(주)SNT홀딩스,36530,Dec-17,220383.89,1508152132.0,4405.14,7417869.0,5.938551894081711,1.4612842121420677
79,(주)SNT홀딩스,36530,Dec-18,283495.5,1401307482.0,6864.34,7292112.0,9.413377084718391,2.023078472366281
80,(주)SNT홀딩스,36530,Dec-19,320323.23,1512114565.0,10601.11,11015928.0,9.623437989064563,2.118379370282701
81,(주)STX,11810,Dec-11,524043.0,5967701000.0,236828.0,4173397000.0,0.5674705761277923,0.878132131619865
82,(주)STX,11810,Dec-12,-139686.0,6159850000.0,92155.0,4116767000.0,0.22385284374850462,-0.2267685089734328
83,(주)STX,11810,Dec-13,-1245149.0,2449401000.0,-1518511.0,1895063000.0,-8.012984264903068,-5.083483676213082
84,(주)STX,11810,Dec-14,505161.0,1634606000.0,390447.0,1291351000.0,3.023554401553102,3.090414448497069
85,(주)STX,11810,Dec-15,79567.0,1630827000.0,-7212.0,1362127000.0,-0.05294660483200172,0.48789356565717884
86,(주)STX,11810,Dec-16,-345167.0,1720153000.0,-408612.0,1465561000.0,-2.788092750830569,-2.0066063890828314
87,(주)STX,11810,Dec-17,416114.0,1803878000.0,366717.0,1595494000.0,2.298454271843078,2.30677462666544
88,(주)STX,11810,Dec-18,83521.0,1502985000.0,28236.0,1329890000.0,0.21231831204084547,0.5557008220308253
89,(주)STX,11810,Dec-19,51064.0,1471164000.0,-15090.0,1237876000.0,-0.12190235532476598,0.3470993036806229
90,(주)TCC스틸,2710,Dec-11,50799.6,514424043.0,47387.55,456928069.0,1.0370899319822702,0.9875043884758707
91,(주)TCC스틸,2710,Dec-12,49856.28,501337475.0,44247.81,440568155.0,1.004335186232423,0.9944654546321317
92,(주)TCC스틸,2710,Dec-13,40058.31,500832754.0,37086.29,419483813.0,0.884093470371883,0.7998340699578128
93,(주)TCC스틸,2710,Dec-14,66638.24,518995240.0,38278.43,401323585.0,0.9538046461934202,1.2839855718137223
94,(주)TCC스틸,2710,Dec-15,46811.29,495795871.0,-113808.25,350074629.0,-3.250971095080415,0.9441645793778706
95,(주)TCC스틸,2710,Dec-16,81464.7,444453635.0,53606.1,317235565.0,1.6897884699655288,1.8329178475500598
96,(주)TCC스틸,2710,Dec-17,61493.36,391370092.0,30346.26,333762378.0,0.9092175152227613,1.571232990383946
97,(주)TCC스틸,2710,Dec-18,75995.51,413176279.0,44068.24,351301866.0,1.2544265847992964,1.8392999274772015
98,(주)TCC스틸,2710,Dec-19,74428.93,437173902.0,42215.18,339334364.0,1.244058500364555,1.7025016740363423
99,(주)가비아,79940,Dec-11,25788.11,52838864.0,15017.54,33792831.0,4.444001746997758,4.880519384368294
100,(주)가비아,79940,Dec-12,31058.09,69058144.0,17319.4,38482449.0,4.500597142349231,4.4973826693054475
101,(주)가비아,79940,Dec-13,32828.8,70675565.0,16859.32,40507693.0,4.1620044864070636,4.645000008135769
102,(주)가비아,79940,Dec-14,34179.94,80432047.0,19430.85,43906243.0,4.425532378163169,4.249542474034013
103,(주)가비아,79940,Dec-15,41698.24,91648622.0,22440.14,48446932.0,4.631901149075858,4.54979454028234
104,(주)가비아,79940,Dec-16,45412.89,102178978.0,23132.9,49430564.0,4.679877818104605,4.444445510112657
105,(주)가비아,79940,Dec-17,48683.0,116217941.0,22812.97,52365659.0,4.356475299967102,4.1889401568386075
106,(주)가비아,79940,Dec-18,62241.08,128728438.0,24805.77,55197652.0,4.493990070447199,4.835068378597121
107,(주)가비아,79940,Dec-19,133089.93,148306878.0,29591.96,58254105.0,5.079806822197337,8.973955341437367
108,(주)강스템바이오텍,217730,Dec-15,,,-2880.72,1484593.0,-19.404106041184352,
109,(주)강스템바이오텍,217730,Dec-16,,,-5090.69,842805.0,-60.40175366781164,
110,(주)강스템바이오텍,217730,Dec-17,-646.49,9132939.0,-2123.85,5394323.0,-3.9371947137759453,-0.7078663286812712
111,(주)강스템바이오텍,217730,Dec-18,-3330.3,9165454.0,-5971.99,1001039.0,-59.657915425872524,-3.6335352291332215
112,(주)강스템바이오텍,217730,Dec-19,-13446.01,6004584.0,-16534.36,282069.0,-586.1813953323477,-22.392908484584446
113,(주)강원랜드,35250,Dec-11,778291.81,1265686425.0,783195.28,1263651213.0,6.197875425930525,6.149167713480059
114,(주)강원랜드,35250,Dec-12,712817.68,1296191223.0,693820.93,1292896121.0,5.366408938278499,5.499325001986994
115,(주)강원랜드,35250,Dec-13,837925.02,1361286598.0,824512.27,1356906162.0,6.076413337122129,6.1553902112242795
116,(주)강원랜드,35250,Dec-14,904075.49,1496541441.0,899930.11,1492291312.0,6.030525694034195,6.041098931386023
117,(주)강원랜드,35250,Dec-15,1021274.04,1633716839.0,1001297.65,1630976696.0,6.139251728462465,6.251230419006534
118,(주)강원랜드,35250,Dec-16,1043222.0,1696532511.0,1037898.56,1694575212.0,6.124830297588467,6.1491424021405034
119,(주)강원랜드,35250,Dec-17,1000137.64,1604470055.0,1011578.3,1602901764.0,6.310918876747833,6.233445347784942
120,(주)강원랜드,35250,Dec-18,833429.97,1438059299.0,846353.62,1436042435.0,5.893653274946572,5.795518798004727
121,(주)강원랜드,35250,Dec-19,908009.0,1520080449.0,906619.21,1517612252.0,5.973984519466043,5.973427265624939
122,(주)강원에너지,114190,Nov-11,,,12844.61,50222892.0,2.557520980671523,
123,(주)강원에너지,114190,Dec-12,,,18760.61,106471214.0,1.7620358869957096,
124,(주)강원에너지,114190,Dec-13,,,12256.79,50660659.0,2.4193901622953624,
125,(주)강원에너지,114190,Dec-14,,,8510.74,51481321.0,1.653170477113437,
126,(주)강원에너지,114190,Dec-15,7820.6,46188664.0,9171.31,48852892.0,1.8773320523173942,1.693186016378391
127,(주)강원에너지,114190,Dec-16,8145.29,42287473.0,8913.55,44448760.0,2.0053540301236747,1.9261709017230704
128,(주)강원에너지,114190,Dec-17,687.17,82034829.0,713.82,83113029.0,0.08588545124495463,0.08376564056713033
129,(주)강원에너지,114190,Dec-18,11600.03,85905365.0,11569.08,85905365.0,1.346723804735595,1.350326606493087
130,(주)강원에너지,114190,Dec-19,-24497.97,42549622.0,-22522.15,42549622.0,-5.293149255238977,-5.757505906867986
131,(주)갤럭시아에스엠,11420,Dec-11,16289.29,47331427.0,14937.6,31931418.0,4.678025886604848,3.441537902501862
132,(주)갤럭시아에스엠,11420,Dec-12,11304.39,55049732.0,9721.11,37398255.0,2.599348552492623,2.0534868362301926
133,(주)갤럭시아에스엠,11420,Dec-13,4540.45,46437304.0,3928.36,30903637.0,1.271164296940195,0.9777591739606588
134,(주)갤럭시아에스엠,11420,Dec-14,5477.95,43885894.0,3400.02,33027933.0,1.0294377186728578,1.2482256827216507
135,(주)갤럭시아에스엠,11420,Dec-15,10705.78,62472754.0,10216.63,53784932.0,1.8995338694487889,1.7136718512521476
136,(주)갤럭시아에스엠,11420,Dec-16,5657.39,52626331.0,5013.27,45665676.0,1.0978201658506053,1.0750112904507823
137,(주)갤럭시아에스엠,11420,Dec-17,-161.81,37281280.0,-275.92,36917656.0,-0.07473930630915462,-0.043402479743184785
138,(주)갤럭시아에스엠,11420,Dec-18,-9771.55,22060413.0,-9601.87,22030258.0,-4.358491852433141,-4.429450164872253
139,(주)갤럭시아에스엠,11420,Dec-19,3529.68,28732679.0,3287.96,28732679.0,1.1443276834714924,1.2284548892917364
140,(주)경농,2100,Dec-11,26483.85,121253605.0,28809.42,120728258.0,2.386302964795533,2.184170111890694
141,(주)경농,2100,Dec-12,39063.56,136970449.0,32641.59,131021366.0,2.4913180954013256,2.85196991651827
142,(주)경농,2100,Dec-13,53114.35,196358952.0,42493.74,139237273.0,3.0518940140403354,2.7049619820745425
143,(주)경농,2100,Dec-14,47327.34,188483147.0,38526.79,134806677.0,2.857928914010691,2.5109587118682817
144,(주)경농,2100,Dec-15,46908.64,196418710.0,36680.28,137609256.0,2.6655387192849878,2.388196114311106
145,(주)경농,2100,Dec-16,48243.41,203984939.0,37693.81,143209666.0,2.632071636840491,2.3650476469735837
146,(주)경농,2100,Dec-17,55717.38,206534382.0,45275.0,143175105.0,3.1622117546203303,2.6977290396133657
147,(주)경농,2100,Dec-18,57945.41,212654617.0,47204.81,146216658.0,3.228415328710358,2.7248601896097084
148,(주)경농,2100,Dec-19,55965.47,227510941.0,43823.04,151342037.0,2.895629057774609,2.4599023569596152
149,(주)경동나비엔,9450,Dec-11,60669.23,341246917.0,50196.09,318269213.0,1.5771582028576543,1.7778689558094967
150,(주)경동나비엔,9450,Dec-12,68423.43,379014259.0,54692.56,341339118.0,1.6022939392490023,1.8052996259436243
151,(주)경동나비엔,9450,Dec-13,79237.85,414177562.0,55874.59,371601179.0,1.503617134648542,1.9131371969397033
152,(주)경동나비엔,9450,Dec-14,80978.36,428985365.0,56282.59,382392117.0,1.4718553939227779,1.8876718556587588
153,(주)경동나비엔,9450,Dec-15,107704.21,512031120.0,76567.87,448302084.0,1.7079525777979654,2.103470000026561
154,(주)경동나비엔,9450,Dec-16,141866.08,583252904.0,91445.07,506082201.0,1.806921283129655,2.4323253090909596
155,(주)경동나비엔,9450,Dec-17,148016.16,684660958.0,88344.03,569819524.0,1.5503861534937509,2.161889885358411
156,(주)경동나비엔,9450,Dec-18,164621.76,726741615.0,103466.23,618058456.0,1.6740524944779658,2.265203431346091
157,(주)경동나비엔,9450,Dec-19,195347.0,774290704.0,119653.32,655419303.0,1.825599573468772,2.522915475942483
158,(주)경동도시가스,267290,Dec-17,,871548284.0,,870828897.0,,
159,(주)경동도시가스,267290,Dec-18,105468.98,1606531867.0,97564.13,1605687067.0,0.6076160916104583,0.6565010141812518
160,(주)경동도시가스,267290,Dec-19,95819.67,1422707835.0,86578.45,1421866212.0,0.6089071480095063,0.67350208976673
161,(주)경동인베스트,12320,Dec-11,92451.05,1847666903.0,95768.55,1806174764.0,0.5302285908806995,0.5003664342847192
162,(주)경동인베스트,12320,Dec-12,135007.2,2502642394.0,107979.21,2403814656.0,0.44919939950644844,0.5394586151168669
163,(주)경동인베스트,12320,Dec-13,140991.69,2788264380.0,93436.7,2664100017.0,0.35072519576505073,0.5056611238565548
164,(주)경동인베스트,12320,Dec-14,81588.6,2603059058.0,93996.69,2399450987.0,0.3917424882161179,0.3134335340923333
165,(주)경동인베스트,12320,Dec-15,-30690.54,1604168482.0,34539.58,1352478311.0,0.2553799178817293,-0.19131743544628502
166,(주)경동인베스트,12320,Dec-16,26071.34,1181902637.0,72056.94,1021002691.0,0.7057468176643621,0.2205878824856197
167,(주)경동인베스트,12320,Dec-17,58509.5,195069859.0,-608.84,612436.0,-9.941283660660053,2.9994126360649083
168,(주)경동인베스트,12320,Dec-18,128174.79,228644016.0,2304.64,7460898.0,3.0889579243678176,5.605866807377981
169,(주)경동인베스트,12320,Dec-19,129681.42,271765025.0,78.98,8641051.0,0.09140091870768961,4.77182153958185
170,(주)경방,50,Dec-11,85127.47,348136369.0,79256.78,275746943.0,2.8742577936757034,2.44523346539528
171,(주)경방,50,Dec-12,80728.78,333620804.0,75544.51,265409209.0,2.8463409496842287,2.419776555661079
172,(주)경방,50,Dec-13,109135.73,347189559.0,99612.08,264782077.0,3.7620401323462693,3.1434047243338905
173,(주)경방,50,Dec-14,105032.79,329036023.0,97566.02,256979444.0,3.7966468633187644,3.1921365035463003
174,(주)경방,50,Dec-15,117114.75,357628146.0,107949.86,307744480.0,3.5077756715571304,3.274763222914787
175,(주)경방,50,Dec-16,125709.78,377445013.0,109992.25,313876822.0,3.5043125930464534,3.3305455277004814
176,(주)경방,50,Dec-17,125830.72,360788750.0,109353.53,288103985.0,3.7956271240052444,3.487656419442125
177,(주)경방,50,Dec-18,98012.24,351438926.0,88599.95,279085217.0,3.174655789812041,2.788884006548552
178,(주)경방,50,Dec-19,127253.44,343892085.0,80679.67,253552382.0,3.1819724730489813,3.700388742590572
179,(주)경보제약,214390,Dec-15,,,64338.21,178032632.0,3.6138436688393174,
180,(주)경보제약,214390,Dec-16,,,62027.13,186726170.0,3.3218230738626517,
181,(주)경보제약,214390,Dec-17,,,70313.62,191661374.0,3.6686380011029245,
182,(주)경보제약,214390,Dec-18,,,68893.82,201343596.0,3.4217040605552715,
183,(주)경보제약,214390,Dec-19,,,63450.36,191706189.0,3.309771078908673,
184,(주)경인양행,12610,Dec-11,55925.52,233095049.0,25633.29,128707611.0,1.9915908469468835,2.39925816699779
185,(주)경인양행,12610,Dec-12,50537.66,218604655.0,29938.88,141304459.0,2.1187498407251253,2.311829087079596
186,(주)경인양행,12610,Dec-13,60639.47,260808400.0,48021.56,183106757.0,2.622599012006968,2.3250581653044917
187,(주)경인양행,12610,Dec-14,73075.28,277181095.0,47119.14,190395047.0,2.4748091267311167,2.636373162462613
188,(주)경인양행,12610,Dec-15,67632.25,263163677.0,35639.84,175006703.0,2.0364842825477374,2.5699690310984673
189,(주)경인양행,12610,Dec-16,75607.0,274873817.0,40282.61,179267850.0,2.2470627053317145,2.750607563324229
190,(주)경인양행,12610,Dec-17,77094.24,299987729.0,39415.23,193975818.0,2.0319661701336402,2.569913118012904
191,(주)경인양행,12610,Dec-18,98776.24,331102011.0,56886.72,222659442.0,2.5548757101439246,2.983257024071654
192,(주)경인양행,12610,Dec-19,111001.57,358802386.0,58827.05,245244968.0,2.3987056892437444,3.093668669193298
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,14885.67,87660276.0,1.698108958726071,
197,(주)고려시멘트,198440,Dec-18,,,19051.09,85775723.0,2.2210351989688273,
198,(주)고려시멘트,198440,Dec-19,,,16208.11,70921781.0,2.285350109862582,
199,(주)고영테크놀러지,98460,Dec-11,28970.09,86130810.0,27718.99,80200892.0,3.4561947266122677,3.36349907774001
200,(주)고영테크놀러지,98460,Dec-12,32628.63,107841666.0,28550.06,100791139.0,2.832596226539319,3.025605149683055
201,(주)고영테크놀러지,98460,Dec-13,31220.69,111902729.0,28707.49,103933681.0,2.7620969183223676,2.789984683930273
202,(주)고영테크놀러지,98460,Dec-14,46699.29,142840131.0,42596.7,135531589.0,3.1429351868662887,3.269339622770298
