,회사명,거래소코드,회계년도,매출액(IFRS연결),유형자산(IFRS연결),매출액(IFRS개별),유형자산(IFRS개별),유형자산회전율(개별),유형자산회전율(연결)
43,(주)MH에탄올,23150,Dec-18,72795863.0,390589052.0,46943080.0,40585694.0,1.1566410568216476,0.18637456074933714
44,(주)MH에탄올,23150,Dec-19,80879342.0,402623574.0,46992295.0,41121323.0,1.1427719628573234,0.20088079094941422
45,(주)SH에너지화학,2360,Dec-11,173209351.0,33220422.0,172752632.0,33115306.0,5.216700458694237,5.213941924036967
46,(주)SH에너지화학,2360,Dec-12,193950102.0,32784916.0,191907628.0,32608108.0,5.885273319138909,5.91583342778734
47,(주)SH에너지화학,2360,Dec-13,231912218.0,32065097.0,229783541.0,31944570.0,7.193195619787651,7.232543784289815
48,(주)SH에너지화학,2360,Dec-14,230912587.0,31132703.0,226971465.0,31070401.0,7.305070346533346,7.417042683380238
49,(주)SH에너지화학,2360,Dec-15,216441364.0,32660706.0,213882181.0,32654731.0,6.549806856470506,6.626965259109831
50,(주)SH에너지화학,2360,Dec-16,218397677.0,31796198.0,214380015.0,31792327.0,6.743136952510586,6.86867269476684
51,(주)SH에너지화학,2360,Dec-17,188114822.0,31096409.0,184672638.0,30956708.0,5.965512805819016,6.049406605116365
52,(주)SH에너지화학,2360,Dec-18,183598766.0,30043406.0,180753289.0,29913044.0,6.042624381523994,6.111116895334703
53,(주)SH에너지화학,2360,Dec-19,140852575.0,33194337.0,138161816.0,33126165.0,4.170776061762658,4.243271224245268
54,(주)SIMPAC,9160,Dec-11,215365697.0,72940322.0,213867522.0,62702218.0,3.4108446052099786,2.9526288216824708
55,(주)SIMPAC,9160,Dec-12,225353321.0,74000157.0,223854758.0,64182764.0,3.4877706108138318,3.0453086876558926
56,(주)SIMPAC,9160,Dec-13,205751154.0,73711642.0,204527751.0,64271295.0,3.1822565734827655,2.791297933642558
57,(주)SIMPAC,9160,Dec-14,263152264.0,169381419.0,227491803.0,70604838.0,3.2220427019462887,1.5536076244585009
58,(주)SIMPAC,9160,Dec-15,269528038.0,180973199.0,213152303.0,75847152.0,2.810287497676907,1.4893257094935919
59,(주)SIMPAC,9160,Dec-16,267074156.0,178694040.0,215839356.0,75130388.0,2.872863587500706,1.4945890528861512
60,(주)SIMPAC,9160,Dec-17,230634812.0,172659787.0,203150228.0,70402759.0,2.8855435622913586,1.3357760715875318
61,(주)SIMPAC,9160,Dec-18,306150809.0,357331367.0,268863854.0,156312739.0,1.7200380194220766,0.856770038326918
62,(주)SIMPAC,9160,Dec-19,430085162.0,263608239.0,391970769.0,153003014.0,2.561849984210115,1.6315315622589475
63,(주)SNT에너지,100840,Dec-11,,,195318747.0,122586108.0,1.593318771487549,
64,(주)SNT에너지,100840,Dec-12,,,230707564.0,122289502.0,1.8865688405534597,
65,(주)SNT에너지,100840,Dec-13,,,200750984.0,120367341.0,1.6678193796770837,
66,(주)SNT에너지,100840,Dec-14,,,242746888.0,120065551.0,2.021786315710157,
67,(주)SNT에너지,100840,Dec-15,,,260094045.0,118714558.0,2.1909195416454317,
68,(주)SNT에너지,100840,Dec-16,,,254089906.0,118148046.0,2.1506060794268236,
69,(주)SNT에너지,100840,Dec-17,,,184091945.0,116825424.0,1.5757866626702763,
70,(주)SNT에너지,100840,Dec-18,,,139516396.0,115728393.0,1.2055502749441962,
71,(주)SNT에너지,100840,Dec-19,213326726.0,123257799.0,202822913.0,116275557.0,1.7443297476528106,1.73073612972758
72,(주)SNT홀딩스,36530,Dec-11,1663846065.0,989038851.0,2257851.0,150611.0,14.991275537643332,1.6822858508719998
73,(주)SNT홀딩스,36530,Dec-12,1668749904.0,984180010.0,8718270.0,100263.0,86.95401095119834,1.6955738655980221
74,(주)SNT홀딩스,36530,Dec-13,1576368464.0,986231198.0,8826810.0,54602.0,161.6572653016373,1.598376189271595
75,(주)SNT홀딩스,36530,Dec-14,1552374806.0,933346465.0,7701882.0,75419.0,102.12124265768573,1.6632353195873517
76,(주)SNT홀딩스,36530,Dec-15,1612746929.0,928315887.0,8475099.0,55309.0,153.23182483863386,1.7372824828107245
77,(주)SNT홀딩스,36530,Dec-16,1537700275.0,908800105.0,9818190.0,35654.0,275.3741515678465,1.692011550768912
78,(주)SNT홀딩스,36530,Dec-17,1508152132.0,880843802.0,7417869.0,19895.0,372.85091731590853,1.712167501860903
