,회사명,거래소코드,회계년도,부가가치(IFRS연결),자산(IFRS연결),부가가치(IFRS개별),자산(IFRS개별),총자본투자효율(개별),총자본투자효율(연결)
44,(주)MH에탄올,23150,Dec-19,22570.7,451474451.0,5096.55,101058662.0,0.5043159981674802,0.49993305158258
45,(주)SH에너지화학,2360,Dec-11,14210.0,104710740.0,14221.3,102383199.0,1.3890267288874223,1.3570718724745905
46,(주)SH에너지화학,2360,Dec-12,14518.25,103690070.0,13164.14,102492810.0,1.2843964371744712,1.4001581829388292
47,(주)SH에너지화학,2360,Dec-13,20836.07,110488951.0,18725.38,109984767.0,1.7025430439835363,1.8858057580798282
48,(주)SH에너지화학,2360,Dec-14,37108.64,110741407.0,33796.55,109098264.0,3.0978082291025277,3.3509272642707164
49,(주)SH에너지화학,2360,Dec-15,36388.74,115520726.0,34895.57,114048206.0,3.059721079698527,3.1499750096792156
50,(주)SH에너지화학,2360,Dec-16,40893.43,124488724.0,39411.54,122956894.0,3.205313562979234,3.2849103666610002
51,(주)SH에너지화학,2360,Dec-17,29127.7,125312154.0,27260.32,123261552.0,2.211583381653348,2.3244114054571274
52,(주)SH에너지화학,2360,Dec-18,19920.85,122434685.0,19849.37,120895795.0,1.6418577668478873,1.6270593582202624
53,(주)SH에너지화학,2360,Dec-19,13705.14,123415832.0,12959.9,121126250.0,1.069949742520717,1.1104847553108097
54,(주)SIMPAC,9160,Dec-11,53726.56,310879328.0,47745.41,296953131.0,1.6078432929538633,1.7282126909383952
55,(주)SIMPAC,9160,Dec-12,43772.07,318665505.0,45503.45,307366684.0,1.4804288287796346,1.3736055303507042
56,(주)SIMPAC,9160,Dec-13,46115.44,361985890.0,44116.55,349836891.0,1.2610605437835314,1.2739568384834006
57,(주)SIMPAC,9160,Dec-14,51704.11,381939281.0,35041.8,329325876.0,1.0640463611793445,1.3537259080717596
58,(주)SIMPAC,9160,Dec-15,59958.15,422833445.0,48511.4,369348917.0,1.3134301406385334,1.418008691341812
59,(주)SIMPAC,9160,Dec-16,59093.1,417865468.0,45818.17,366245273.0,1.2510242009321442,1.4141656711389226
60,(주)SIMPAC,9160,Dec-17,43282.91,381158251.0,33411.91,343005145.0,0.9740935518620283,1.1355627193283557
61,(주)SIMPAC,9160,Dec-18,114254.96,681750819.0,94742.34,628334175.0,1.5078336300902302,1.6759049907353318
62,(주)SIMPAC,9160,Dec-19,65475.48,679145850.0,50726.3,608693104.0,0.8333641315575017,0.9640856967616013
63,(주)SNT에너지,100840,Dec-11,,,-5072.93,276511841.0,-0.18346158275370203,
64,(주)SNT에너지,100840,Dec-12,,,-3911.2,292802033.0,-0.1335783074976122,
65,(주)SNT에너지,100840,Dec-13,,,36145.24,311675279.0,1.159708274457019,
66,(주)SNT에너지,100840,Dec-14,,,31921.1,304511816.0,1.048271309117279,
67,(주)SNT에너지,100840,Dec-15,,,53697.45,316196096.0,1.698232542377753,
68,(주)SNT에너지,100840,Dec-16,,,21049.19,348042346.0,0.6047881886188642,
69,(주)SNT에너지,100840,Dec-17,,,22693.15,300266693.0,0.75576647457199,
70,(주)SNT에너지,100840,Dec-18,,,16995.59,280991534.0,0.6048434896974512,
71,(주)SNT에너지,100840,Dec-19,36695.84,333897235.0,34093.55,331391237.0,1.0288005895581362,1.0990159891560647
72,(주)SNT홀딩스,36530,Dec-11,316126.05,2124828265.0,-3092.48,388123974.0,-0.0796776341365607,1.4877722365011932
73,(주)SNT홀딩스,36530,Dec-12,289200.16,2074903906.0,10002.42,388964716.0,0.25715494461456495,1.3938002582371154
74,(주)SNT홀딩스,36530,Dec-13,287320.84,2149176237.0,8821.66,397336142.0,0.22202007488158476,1.3368882228153915
75,(주)SNT홀딩스,36530,Dec-14,280175.76,2039388864.0,7483.38,399244416.0,0.18743856394975855,1.373822153027114
76,(주)SNT홀딩스,36530,Dec-15,383575.56,2169311305.0,36674.24,430584006.0,0.8517325188339672,1.7681904810798925
77,(주)SNT홀딩스,36530,Dec-16,230370.32,2210178425.0,6611.38,427001710.0,0.15483263521356858,1.042315486361695
78,(주)SNT홀딩스,36530,Dec-17,220383.89,2146174938.0,4405.14,425435423.0,0.10354426927914748,1.026868248705642
79,(주)SNT홀딩스,36530,Dec-18,283495.5,2113834573.0,6864.34,422804813.0,0.16235245647499288,1.3411432645727666
80,(주)SNT홀딩스,36530,Dec-19,320323.23,2236679025.0,10601.11,417172874.0,0.2541179127576737,1.4321376756327386
81,(주)STX,11810,Dec-11,524043.0,5234175000.0,236828.0,3302248000.0,0.7171720597605026,1.0011950307355026
82,(주)STX,11810,Dec-12,-139686.0,5067029000.0,92155.0,3226878000.0,0.28558563416404337,-0.2756763381460813
83,(주)STX,11810,Dec-13,-1245149.0,1342520000.0,-1518511.0,1086567000.0,-13.975309391873672,-9.274714715609452
84,(주)STX,11810,Dec-14,505161.0,1255002000.0,390447.0,1070433000.0,3.6475613139729433,4.025180836365201
85,(주)STX,11810,Dec-15,79567.0,1267224000.0,-7212.0,1057543000.0,-0.06819580858650665,0.6278842572426028
86,(주)STX,11810,Dec-16,-345167.0,707709000.0,-408612.0,627686000.0,-6.509815417262771,-4.8772447432489905
87,(주)STX,11810,Dec-17,416114.0,627542000.0,366717.0,520393000.0,7.046924151554689,6.630854986598507
88,(주)STX,11810,Dec-18,83521.0,554061000.0,28236.0,446758000.0,0.6320200197869987,1.5074332970557394
89,(주)STX,11810,Dec-19,51064.0,560107000.0,-15090.0,462734000.0,-0.3261052786265976,0.9116829462941902
90,(주)TCC스틸,2710,Dec-11,50799.6,454329510.0,47387.55,407743559.0,1.162190032289388,1.1181223953513386
91,(주)TCC스틸,2710,Dec-12,49856.28,547013976.0,44247.81,438642951.0,1.0087432135664254,0.9114260729601541
92,(주)TCC스틸,2710,Dec-13,40058.31,543708595.0,37086.29,444204925.0,0.8348914636639835,0.7367606539308065
93,(주)TCC스틸,2710,Dec-14,66638.24,551000563.0,38278.43,461297588.0,0.8297990493720075,1.2094042089027777
94,(주)TCC스틸,2710,Dec-15,46811.29,376394571.0,-113808.25,330651742.0,-3.4419371061411193,1.2436760146575017
95,(주)TCC스틸,2710,Dec-16,81464.7,282914735.0,53606.1,250878191.0,2.1367381431732344,2.8794788648954603
96,(주)TCC스틸,2710,Dec-17,61493.36,278692540.0,30346.26,248896237.0,1.2192333787673937,2.206494655364654
97,(주)TCC스틸,2710,Dec-18,75995.51,304781579.0,44068.24,268135677.0,1.6435052766215814,2.4934417050185305
98,(주)TCC스틸,2710,Dec-19,74428.93,314210087.0,42215.18,270265082.0,1.5619916449288112,2.3687632281518702
99,(주)가비아,79940,Dec-11,25788.11,64954440.0,15017.54,37295822.0,4.026601156558502,3.970184332279672
100,(주)가비아,79940,Dec-12,31058.09,85244515.0,17319.4,51795749.0,3.3437879235996766,3.6434121303875093
101,(주)가비아,79940,Dec-13,32828.8,91231294.0,16859.32,52151784.0,3.2327408013501513,3.5984143774174684
102,(주)가비아,79940,Dec-14,34179.94,98544072.0,19430.85,55984243.0,3.470771231112297,3.468492757230491
103,(주)가비아,79940,Dec-15,41698.24,105081568.0,22440.14,57657418.0,3.8919779584996332,3.968178320293051
104,(주)가비아,79940,Dec-16,45412.89,125796754.0,23132.9,61160981.0,3.7822970825140954,3.610020811824763
105,(주)가비아,79940,Dec-17,48683.0,133382584.0,22812.97,64986436.0,3.5104202360012478,3.6498768085044744
106,(주)가비아,79940,Dec-18,62241.08,151440505.0,24805.77,69315988.0,3.5786505704859897,4.109936109893453
107,(주)가비아,79940,Dec-19,133089.93,199916131.0,29591.96,82964911.0,3.566804284283509,6.657288200520448
108,(주)강스템바이오텍,217730,Dec-15,,,-2880.72,24982626.0,-1.153089350975354,
