,회사명,거래소코드,회계년도,자산(IFRS연결),자산(IFRS개별),합계_기말인원,자본집약도(개별),자본집약도(연결)
51,(주)SH에너지화학,2360,17-Dec,125312154.0,123261552.0,148.0,832848.3243243244,846703.7432432432
52,(주)SH에너지화학,2360,18-Dec,122434685.0,120895795.0,156.0,774973.0448717949,784837.7243589744
53,(주)SH에너지화학,2360,19-Dec,123415832.0,121126250.0,158.0,766621.835443038,781112.8607594937
54,(주)SIMPAC,9160,11-Dec,310879328.0,296953131.0,257.0,1155459.6536964981,1209647.1906614786
55,(주)SIMPAC,9160,12-Dec,318665505.0,307366684.0,275.0,1117697.0327272727,1158783.6545454545
56,(주)SIMPAC,9160,13-Dec,361985890.0,349836891.0,277.0,1262949.0649819495,1306808.2671480144
57,(주)SIMPAC,9160,14-Dec,381939281.0,329325876.0,305.0,1079756.9704918033,1252259.937704918
58,(주)SIMPAC,9160,15-Dec,422833445.0,369348917.0,296.0,1247800.3952702703,1428491.3682432433
59,(주)SIMPAC,9160,16-Dec,417865468.0,366245273.0,306.0,1196879.977124183,1365573.4248366014
60,(주)SIMPAC,9160,17-Dec,381158251.0,343005145.0,305.0,1124607.0327868853,1249699.1836065573
61,(주)SIMPAC,9160,18-Dec,681750819.0,628334175.0,500.0,1256668.35,1363501.638
62,(주)SIMPAC,9160,19-Dec,679145850.0,608693104.0,491.0,1239700.8228105907,1383189.1038696538
63,(주)SNT에너지,100840,11-Dec,,276511841.0,184.0,1502781.7445652173,
64,(주)SNT에너지,100840,12-Dec,,292802033.0,195.0,1501548.8871794872,
65,(주)SNT에너지,100840,13-Dec,,311675279.0,209.0,1491269.2775119618,
66,(주)SNT에너지,100840,14-Dec,,304511816.0,218.0,1396843.1926605504,
67,(주)SNT에너지,100840,15-Dec,,316196096.0,232.0,1362914.2068965517,
68,(주)SNT에너지,100840,16-Dec,,348042346.0,218.0,1596524.5229357798,
69,(주)SNT에너지,100840,17-Dec,,300266693.0,195.0,1539829.194871795,
70,(주)SNT에너지,100840,18-Dec,,280991534.0,190.0,1478902.8105263158,
71,(주)SNT에너지,100840,19-Dec,333897235.0,331391237.0,191.0,1735032.6544502617,1748153.062827225
72,(주)SNT홀딩스,36530,11-Dec,2124828265.0,388123974.0,9.0,43124886.0,236092029.44444445
73,(주)SNT홀딩스,36530,12-Dec,2074903906.0,388964716.0,9.0,43218301.777777776,230544878.44444445
74,(주)SNT홀딩스,36530,13-Dec,2149176237.0,397336142.0,8.0,49667017.75,268647029.625
75,(주)SNT홀딩스,36530,14-Dec,2039388864.0,399244416.0,8.0,49905552.0,254923608.0
76,(주)SNT홀딩스,36530,15-Dec,2169311305.0,430584006.0,8.0,53823000.75,271163913.125
77,(주)SNT홀딩스,36530,16-Dec,2210178425.0,427001710.0,8.0,53375213.75,276272303.125
78,(주)SNT홀딩스,36530,17-Dec,2146174938.0,425435423.0,7.0,60776489.0,306596419.71428573
79,(주)SNT홀딩스,36530,18-Dec,2113834573.0,422804813.0,10.0,42280481.3,211383457.3
80,(주)SNT홀딩스,36530,19-Dec,2236679025.0,417172874.0,10.0,41717287.4,223667902.5
81,(주)STX,11810,11-Dec,5234175000.0,3302248000.0,392.0,8424102.040816326,13352487.24489796
82,(주)STX,11810,12-Dec,5067029000.0,3226878000.0,375.0,8605008.0,13512077.333333334
83,(주)STX,11810,13-Dec,1342520000.0,1086567000.0,177.0,6138796.610169492,7584858.757062146
84,(주)STX,11810,14-Dec,1255002000.0,1070433000.0,124.0,8632524.193548387,10120983.870967742
85,(주)STX,11810,15-Dec,1267224000.0,1057543000.0,127.0,8327110.2362204725,9978141.732283464
86,(주)STX,11810,16-Dec,707709000.0,627686000.0,120.0,5230716.666666667,5897575.0
87,(주)STX,11810,17-Dec,627542000.0,520393000.0,119.0,4373050.420168067,5273462.18487395
88,(주)STX,11810,18-Dec,554061000.0,446758000.0,110.0,4061436.3636363638,5036918.181818182
89,(주)STX,11810,19-Dec,560107000.0,462734000.0,116.0,3989086.206896552,4828508.620689655
90,(주)TCC스틸,2710,11-Dec,454329510.0,407743559.0,315.0,1294423.9968253968,1442315.9047619049
91,(주)TCC스틸,2710,12-Dec,547013976.0,438642951.0,319.0,1375056.2727272727,1714777.3542319748
92,(주)TCC스틸,2710,13-Dec,543708595.0,444204925.0,311.0,1428311.655948553,1748259.147909968
93,(주)TCC스틸,2710,14-Dec,551000563.0,461297588.0,306.0,1507508.4575163398,1800655.4346405228
94,(주)TCC스틸,2710,15-Dec,376394571.0,330651742.0,281.0,1176696.590747331,1339482.459074733
95,(주)TCC스틸,2710,16-Dec,282914735.0,250878191.0,277.0,905697.440433213,1021352.833935018
96,(주)TCC스틸,2710,17-Dec,278692540.0,248896237.0,283.0,879492.0035335689,984779.2932862191
