,회사명,거래소코드,회계년도,부가가치(IFRS연결),인건비(IFRS연결),부가가치(IFRS개별),인건비(IFRS개별),노동소득분배율(개별),노동소득분배율(연결)
46,(주)SH에너지화학,2360,Dec-12,14518.25,10200.48,13164.14,8845.3,0.00671923878050522,0.007025970760938818
47,(주)SH에너지화학,2360,Dec-13,20836.07,12079.17,18725.38,10610.53,0.005666389680743462,0.005797240074543808
48,(주)SH에너지화학,2360,Dec-14,37108.64,13048.34,33796.55,11801.17,0.0034918268284780543,0.0035162538966666524
49,(주)SH에너지화학,2360,Dec-15,36388.74,16592.48,34895.57,15057.88,0.0043151265332533615,0.004559784153009969
50,(주)SH에너지화학,2360,Dec-16,40893.43,15744.19,39411.54,14750.41,0.0037426626820469336,0.003850053663877058
51,(주)SH에너지화학,2360,Dec-17,29127.7,14667.0,27260.32,13794.92,0.005060439495941354,0.005035413026088569
52,(주)SH에너지화학,2360,Dec-18,19920.85,15291.7,19849.37,14545.38,0.007327879927675286,0.0076762286749812395
53,(주)SH에너지화학,2360,Dec-19,13705.14,15136.04,12959.9,14488.62,0.011179577002908973,0.011044060841406947
54,(주)SIMPAC,9160,Dec-11,53726.56,17977.59,47745.41,17722.3,0.0037118332421901914,0.0033461271296729217
55,(주)SIMPAC,9160,Dec-12,43772.07,18370.81,45503.45,18081.51,0.0039736569424955685,0.004196925116861049
56,(주)SIMPAC,9160,Dec-13,46115.44,17849.27,44116.55,17564.92,0.003981480872824371,0.003870562657539427
57,(주)SIMPAC,9160,Dec-14,51704.11,28207.9,35041.8,20170.0,0.0057559828547620265,0.0054556397934322825
58,(주)SIMPAC,9160,Dec-15,59958.15,31196.2,48511.4,21419.52,0.00441535803955359,0.005202995756206621
59,(주)SIMPAC,9160,Dec-16,59093.1,30407.83,45818.17,21089.3,0.004602824599934916,0.005145749672973664
60,(주)SIMPAC,9160,Dec-17,43282.91,26075.8,33411.91,17775.61,0.00532014182966493,0.006024502511499342
61,(주)SIMPAC,9160,Dec-18,114254.96,31469.15,94742.34,23657.49,0.002497034588759366,0.0027542918049247053
62,(주)SIMPAC,9160,Dec-19,65475.48,37403.36,50726.3,28048.14,0.005529309253779598,0.0057125751502699945
