,회사명,거래소코드,회계년도,당기순이익(IFRS연결),자산(IFRS연결),당기순이익(IFRS개별),자산(IFRS개별),총자산순이익률(개별),총자산순이익률(연결)
42,(주)MH에탄올,23150,Dec-17,4308068.0,500180086.0,5903108.0,107437079.0,5.494479238401484,0.8613033826380685
43,(주)MH에탄올,23150,Dec-18,-12033428.0,440177523.0,6553371.0,109656889.0,5.976251068001756,-2.7337670306259594
44,(주)MH에탄올,23150,Dec-19,-7552043.0,451474451.0,-5004935.0,101058662.0,-4.952504714538968,-1.6727509127642752
45,(주)SH에너지화학,2360,Dec-11,1800972.0,104710740.0,3164441.0,102383199.0,3.0907815255899553,1.7199496441339255
46,(주)SH에너지화학,2360,Dec-12,210854.0,103690070.0,1079738.0,102492810.0,1.0534768243743147,0.20335023401951607
47,(주)SH에너지화학,2360,Dec-13,4606872.0,110488951.0,4841817.0,109984767.0,4.4022614513517135,4.169531847578135
48,(주)SH에너지화학,2360,Dec-14,16733050.0,110741407.0,15569914.0,109098264.0,14.271458984901905,15.110021132384565
49,(주)SH에너지화학,2360,Dec-15,12590617.0,115520726.0,12639344.0,114048206.0,11.082457535544224,10.899011316809073
50,(주)SH에너지화학,2360,Dec-16,18028878.0,124488724.0,17574101.0,122956894.0,14.292896012809173,14.482338175463989
51,(주)SH에너지화학,2360,Dec-17,9879057.0,125312154.0,8905104.0,123261552.0,7.224559366249096,7.883558525376556
52,(주)SH에너지화학,2360,Dec-18,2033570.0,122434685.0,2766802.0,120895795.0,2.288584148025992,1.6609427304035616
53,(주)SH에너지화학,2360,Dec-19,-3090151.0,123415832.0,-3151629.0,121126250.0,-2.6019372349098564,-2.5038529902711346
54,(주)SIMPAC,9160,Dec-11,24976613.0,310879328.0,21196377.0,296953131.0,7.137953699501488,8.034182639509565
55,(주)SIMPAC,9160,Dec-12,19285856.0,318665505.0,22517068.0,307366684.0,7.32579982546189,6.052068924121548
56,(주)SIMPAC,9160,Dec-13,20043596.0,361985890.0,19196136.0,349836891.0,5.487167446843106,5.537120797719491
57,(주)SIMPAC,9160,Dec-14,14312319.0,381939281.0,10218575.0,329325876.0,3.1028764347688247,3.7472759969928306
58,(주)SIMPAC,9160,Dec-15,16449973.0,422833445.0,19448583.0,369348917.0,5.26563964447742,3.8904143450620374
59,(주)SIMPAC,9160,Dec-16,16183843.0,417865468.0,16444650.0,366245273.0,4.49006477689065,3.8729792814562027
60,(주)SIMPAC,9160,Dec-17,12895699.0,381158251.0,7133940.0,343005145.0,2.0798346916924526,3.3832926261381133
61,(주)SIMPAC,9160,Dec-18,69198558.0,681750819.0,62381304.0,628334175.0,9.928045693201392,10.150124660136271
62,(주)SIMPAC,9160,Dec-19,9487516.0,679145850.0,11507259.0,608693104.0,1.8904861784009959,1.3969776889603316
63,(주)SNT에너지,100840,Dec-11,,,-4155767.0,276511841.0,-1.5029255112442002,
64,(주)SNT에너지,100840,Dec-12,,,9087721.0,292802033.0,3.1037082997302825,
65,(주)SNT에너지,100840,Dec-13,,,16189688.0,311675279.0,5.194408761562382,
66,(주)SNT에너지,100840,Dec-14,,,11264253.0,304511816.0,3.6991185261592605,
67,(주)SNT에너지,100840,Dec-15,,,27029932.0,316196096.0,8.548471136088915,
68,(주)SNT에너지,100840,Dec-16,,,1659742.0,348042346.0,0.47687932778156833,
69,(주)SNT에너지,100840,Dec-17,,,4581777.0,300266693.0,1.5259025082745359,
70,(주)SNT에너지,100840,Dec-18,,,1825479.0,280991534.0,0.6496562277210814,
71,(주)SNT에너지,100840,Dec-19,15452273.0,333897235.0,14578960.0,331391237.0,4.399319708022334,4.627852938045444
72,(주)SNT홀딩스,36530,Dec-11,87196578.0,2124828265.0,5766277.0,388123974.0,1.4856791608549282,4.103700023022802
73,(주)SNT홀딩스,36530,Dec-12,63253909.0,2074903906.0,9011145.0,388964716.0,2.3166998520246245,3.0485223347977057
74,(주)SNT홀딩스,36530,Dec-13,53763061.0,2149176237.0,8018313.0,397336142.0,2.0180175303559476,2.5015659523132907
75,(주)SNT홀딩스,36530,Dec-14,66985248.0,2039388864.0,6891599.0,399244416.0,1.7261603979453026,3.284574569492207
76,(주)SNT홀딩스,36530,Dec-15,116419931.0,2169311305.0,27765789.0,430584006.0,6.448402312463042,5.366677006276884
77,(주)SNT홀딩스,36530,Dec-16,10146568.0,2210178425.0,6923176.0,427001710.0,1.6213462002295027,0.4590836597276078
78,(주)SNT홀딩스,36530,Dec-17,25863066.0,2146174938.0,4172419.0,425435423.0,0.9807408538240127,1.205077253585933
79,(주)SNT홀딩스,36530,Dec-18,73732317.0,2113834573.0,6218079.0,422804813.0,1.4706736557419462,3.4880835965965633
80,(주)SNT홀딩스,36530,Dec-19,124509305.0,2236679025.0,9244252.0,417172874.0,2.215928353961001,5.566704189931767
81,(주)STX,11810,Dec-11,222363000.0,5234175000.0,84657000.0,3302248000.0,2.5636172692057047,4.2482912779951
