,회사명,거래소코드,회계년도,매출액(IFRS연결),매입채무(IFRS연결),매출액(IFRS개별),매입채무(IFRS개별),매입채무회전율(개별),매입채무회전율(연결)
45,(주)SH에너지화학,2360,Dec-11,173209351.0,955253.0,172752632.0,940479.0,183.68579415383013,181.32301180943688
46,(주)SH에너지화학,2360,Dec-12,193950102.0,2215544.0,191907628.0,2206403.0,86.9775956613547,87.54062298018003
47,(주)SH에너지화학,2360,Dec-13,231912218.0,2599202.0,229783541.0,2593275.0,88.60747163335937,89.22439194799018
48,(주)SH에너지화학,2360,Dec-14,230912587.0,2223255.0,226971465.0,2190170.0,103.631893871252,103.86239410234094
49,(주)SH에너지화학,2360,Dec-15,216441364.0,1103755.0,213882181.0,1087816.0,196.6161382071968,196.09547771018026
50,(주)SH에너지화학,2360,Dec-16,218397677.0,1504713.0,214380015.0,1483508.0,144.50883648756866,145.14241386895708
51,(주)SH에너지화학,2360,Dec-17,188114822.0,1775928.0,184672638.0,1657856.0,111.3924478362415,105.92480213161795
52,(주)SH에너지화학,2360,Dec-18,183598766.0,969166.0,180753289.0,956145.0,189.04380507140652,189.43995765431308
53,(주)SH에너지화학,2360,Dec-19,140852575.0,1033114.0,138161816.0,1003854.0,137.63138464358363,136.33788236341778
54,(주)SIMPAC,9160,Dec-11,215365697.0,37822973.0,213867522.0,37851191.0,5.650219090860311,5.694044648473297
55,(주)SIMPAC,9160,Dec-12,225353321.0,37650525.0,223854758.0,37650525.0,5.945594596622491,5.985396511735228
56,(주)SIMPAC,9160,Dec-13,205751154.0,38556438.0,204527751.0,38556438.0,5.304632938343526,5.336363125660104
57,(주)SIMPAC,9160,Dec-14,263152264.0,46030344.0,227491803.0,39369978.0,5.778306581730881,5.716930205865939
58,(주)SIMPAC,9160,Dec-15,269528038.0,53845716.0,213152303.0,44285429.0,4.813147525340671,5.005561408079336
59,(주)SIMPAC,9160,Dec-16,267074156.0,46855264.0,215839356.0,41037295.0,5.259590233713016,5.699981884639472
60,(주)SIMPAC,9160,Dec-17,230634812.0,29467361.0,203150228.0,25003174.0,8.124977572847351,7.82678883256631
