,구분,코드,산업명,2011년,2011년.mid,2012년,2012년.mid,2012년 감소율,2013년,2013년.mid,2013년 감소율,2014년,2014년.mid,2014년 감소율,2015년,2015년.mid,2015년 감소율,2016년,2016년.mid,2016년 감소율,2017년,2017년.mid,2017년 감소율,2018년,2018년.mid,2018년 감소율,2019년,2019년.mid,2019년 감소율
23,(주)수젠텍,253840,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,0,54.69,,99.82,57.6,#NAME?
24,(주)쎌바이오텍,49960,  의료용 물질 및 의약품 제조업,37.89,41.73,35.11,41.84,7.34,30.38,43.25,13.47,27.33,44.93,10.04,23.28,48.21,14.82,22.72,52.51,2.41,21.46,52.32,5.55,22.81,54.69,-6.29,25.07,57.6,-9.91
25,(주)아스타,246720,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,71.81,52.32,#NAME?,39.18,54.69,45.44,48.83,57.6,-24.63
26,(주)안트로젠,65660,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,28.46,52.51,#NAME?,39.31,52.32,-38.12,53.23,54.69,-35.41,59.96,57.6,-12.64
27,(주)애드바이오텍,179530,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,0,54.69,,0,57.6,
28,(주)에스텍파마,41910,  의료용 물질 및 의약품 제조업,69.08,41.73,65.71,41.84,4.88,69.12,43.25,-5.19,80.36,44.93,-16.26,81.35,48.21,-1.23,73.12,52.51,10.12,71.03,52.32,2.86,75.6,54.69,-6.43,72.04,57.6,4.71
29,(주)엑세스바이오인코퍼레이션,950130,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,47.93,43.25,#NAME?,52.18,44.93,-8.87,69.19,48.21,-32.6,58.42,52.51,15.57,68.05,52.32,-16.48,61.29,54.69,9.93,78.34,57.6,-27.82
30,(주)엔지켐생명과학,183490,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,86.26,54.69,#NAME?,91.53,57.6,-6.11
31,(주)엔케이맥스,182400,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,32.03,48.21,#NAME?,20.68,52.51,35.44,28.06,52.32,-35.69,24.78,54.69,11.69,25.82,57.6,-4.2
32,(주)엘앤씨바이오,290650,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,35.35,54.69,#NAME?,36.2,57.6,-2.4
33,(주)오리엔트바이오,2630,  의료용 물질 및 의약품 제조업,86.21,41.73,69.27,41.84,19.65,70.64,43.25,-1.98,92.32,44.93,-30.69,78.05,48.21,15.46,86.07,52.51,-10.28,94.07,52.32,-9.29,94.44,54.69,-0.39,98.17,57.6,-3.95
34,(주)오스코텍,39200,  의료용 물질 및 의약품 제조업,71.87,41.73,75.05,41.84,-4.42,79.78,43.25,-6.3,73.88,44.93,7.4,56.06,48.21,24.12,65.27,52.51,-16.43,45.4,52.32,30.44,20.85,54.69,54.07,47.88,57.6,-129.64
35,(주)옵티팜,153710,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,60.45,54.69,#NAME?,67.03,57.6,-10.89
36,(주)유유제약,220,  의료용 물질 및 의약품 제조업,39.5,41.73,40.86,41.84,-3.44,39.51,43.25,3.3,42.43,44.93,-7.39,43.36,48.21,-2.19,49.1,52.51,-13.24,48.84,52.32,0.53,47.39,54.69,2.97,44.96,57.6,5.13
37,(주)유틸렉스,263050,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,0,54.69,,0,57.6,
38,(주)유한양행,100,  의료용 물질 및 의약품 제조업,62.75,41.73,68.89,41.84,-9.78,69.58,43.25,-1,69.94,44.93,-0.52,71.49,48.21,-2.22,72.81,52.51,-1.85,72.21,52.32,0.82,72.89,54.69,-0.94,70.42,57.6,3.39
39,(주)이글벳,44960,  의료용 물질 및 의약품 제조업,62.99,41.73,65.43,41.84,-3.87,65.1,43.25,0.5,63.6,44.93,2.3,64.11,48.21,-0.8,70.58,52.51,-10.09,69.53,52.32,1.49,72.06,54.69,-3.64,73.1,57.6,-1.44
40,(주)이수앱지스,86890,  의료용 물질 및 의약품 제조업,45.79,41.73,56.78,41.84,-24,41.22,43.25,27.4,43.77,44.93,-6.19,46.94,48.21,-7.24,38.93,52.51,17.06,47.59,52.32,-22.25,54.57,54.69,-14.67,64.26,57.6,-17.76
41,(주)인트론바이오테크놀로지,48530,  의료용 물질 및 의약품 제조업,47.97,41.73,56.81,41.84,-18.43,51.64,43.25,9.1,44.6,44.93,13.63,34.05,48.21,23.65,50.79,52.51,-49.16,54.09,52.32,-6.5,26.32,54.69,51.34,54.48,57.6,-106.99
42,(주)제노포커스,187420,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,59.99,48.21,#NAME?,53.74,52.51,10.42,57.36,52.32,-6.74,81.99,54.69,-42.94,88.49,57.6,-7.93
43,(주)제일바이오,52670,  의료용 물질 및 의약품 제조업,86.46,41.73,89.76,41.84,-3.82,90.65,43.25,-0.99,88.48,44.93,2.39,82.54,48.21,6.71,81.5,52.51,1.26,77.56,52.32,4.83,79.33,54.69,-2.28,78.78,57.6,0.69
44,(주)제테마,216080,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,0,54.69,,53.93,57.6,#NAME?
45,(주)종근당,185750,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,46.44,43.25,#NAME?,48.48,44.93,-4.39,50.01,48.21,-3.16,59.75,52.51,-19.48,59.34,52.32,0.69,60.25,54.69,-1.53,62.59,57.6,-3.88
46,(주)종근당바이오,63160,  의료용 물질 및 의약품 제조업,78.39,41.73,79.86,41.84,-1.88,85.35,43.25,-6.87,91.46,44.93,-7.16,80.77,48.21,11.69,76.65,52.51,5.1,78.94,52.32,-2.99,81.19,54.69,-2.85,73.63,57.6,9.31
47,(주)종근당홀딩스,1630,  의료용 물질 및 의약품 제조업,39.37,41.73,45.3,41.84,-15.06,0,43.25,100,0,44.93,,0,48.21,,0,52.51,,0,52.32,,0,54.69,,1.07,57.6,#NAME?
48,(주)중앙백신연구소,72020,  의료용 물질 및 의약품 제조업,48.29,41.73,41.84,41.84,13.36,49.71,43.25,-18.81,57.29,44.93,-15.25,64.71,48.21,-12.95,55.47,52.51,14.28,52.49,52.32,5.37,58.77,54.69,-11.96,57.6,57.6,1.99
49,(주)지노믹트리,228760,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,0,54.69,,260.16,57.6,#NAME?
50,(주)케어젠,214370,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,22.79,48.21,#NAME?,26.71,52.51,-17.2,26.63,52.32,0.3,25.87,54.69,2.85,16.74,57.6,35.29
51,(주)코미팜,41960,  의료용 물질 및 의약품 제조업,57.33,41.73,59.55,41.84,-3.87,65.06,43.25,-9.25,65.92,44.93,-1.32,69.71,48.21,-5.75,70.88,52.51,-1.68,67.92,52.32,4.18,72.06,54.69,-6.1,66.33,57.6,7.95
