회사명,거래소코드,회계년도,자본증가율여부(개별),자본증가율여부(연결),차입전략
(주)경동인베스트,12320,18-Dec,#DIV/0!,#DIV/0!,0
(주)경동인베스트,12320,19-Dec,#DIV/0!,#DIV/0!,1
(주)경방,50,11-Dec,#DIV/0!,#DIV/0!,0
(주)경방,50,12-Dec,#DIV/0!,#DIV/0!,0
(주)경방,50,13-Dec,#DIV/0!,#DIV/0!,0
(주)경방,50,14-Dec,#DIV/0!,#DIV/0!,0
(주)경방,50,15-Dec,#DIV/0!,#DIV/0!,0
(주)경방,50,16-Dec,#DIV/0!,#DIV/0!,0
(주)경방,50,17-Dec,#DIV/0!,#DIV/0!,0
(주)경방,50,18-Dec,#DIV/0!,#DIV/0!,0
(주)경방,50,19-Dec,#DIV/0!,#DIV/0!,0
(주)골드앤에스,35290,11-Dec,#DIV/0!,#DIV/0!,0
(주)골드앤에스,35290,12-Dec,#DIV/0!,#DIV/0!,0
(주)골드앤에스,35290,13-Dec,#DIV/0!,#DIV/0!,0
(주)골드앤에스,35290,14-Dec,#DIV/0!,#DIV/0!,0
(주)골드앤에스,35290,15-Dec,#DIV/0!,#DIV/0!,0
(주)골드앤에스,35290,16-Dec,#DIV/0!,#DIV/0!,0
(주)골드앤에스,35290,17-Dec,#DIV/0!,#DIV/0!,0
(주)골드앤에스,35290,18-Dec,#DIV/0!,#DIV/0!,0
(주)골드앤에스,35290,19-Dec,#DIV/0!,#DIV/0!,1
(주)골드퍼시픽,38530,11-Dec,#DIV/0!,#DIV/0!,0
(주)골드퍼시픽,38530,12-Dec,#DIV/0!,#DIV/0!,1
(주)골드퍼시픽,38530,13-Dec,#DIV/0!,#DIV/0!,0
(주)골드퍼시픽,38530,14-Dec,#DIV/0!,#DIV/0!,0
(주)골드퍼시픽,38530,15-Dec,#DIV/0!,#DIV/0!,0
(주)골드퍼시픽,38530,16-Dec,#DIV/0!,#DIV/0!,1
(주)골드퍼시픽,38530,17-Dec,#DIV/0!,#DIV/0!,0
(주)골드퍼시픽,38530,18-Dec,#DIV/0!,#DIV/0!,0
