,회사,코드,년도,2012년 감소율여부,2013년 감소율여부,2014년 감소율여부,2015년 감소율여부,2016년 감소율여부,2017년 감소율여부,2018년 감소율여부,2019년 감소율여부
60,(주)나무가,190510,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,1,1,0,1
61,(주)나스미디어,89600,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
62,(주)나이벡,138610,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
63,(주)나이스디앤비,130580,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
64,(주)나이스홀딩스,34310,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,1,1,1,0
65,(주)나인테크,267320,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
66,(주)남선알미늄,8350,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
67,(주)남성,4270,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
68,(주)내츄럴엔도텍,168330,      비유동금융부채(*)(IFRS)(천원),0,1,0,0,0,0,0,1
69,(주)네오리진,94860,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
70,(주)네오셈,253590,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
71,(주)네오오토,212560,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
72,(주)네오위즈,95660,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
73,(주)네오위즈홀딩스,42420,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
74,(주)네오이뮨텍,950220,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
75,(주)네오크레마,311390,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
76,(주)네오티스,85910,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
77,(주)네오팜,92730,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
78,(주)네오펙트,290660,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
79,(주)네온테크,306620,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
80,(주)네이블커뮤니케이션즈,153460,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
81,(주)네이처셀,7390,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
82,(주)네패스,33640,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,1,1,0,0
83,(주)네패스아크,330860,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
84,(주)넥센,5720,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
85,(주)넥스턴바이오사이언스,89140,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
86,(주)넥스트아이,137940,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
87,(주)넥스트엔터테인먼트월드,160550,      비유동금융부채(*)(IFRS)(천원),0,0,0,1,0,0,0,1
88,(주)넥스틴,348210,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
89,(주)넥슨게임즈,225570,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
90,(주)넵튠,217270,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
91,(주)노랑풍선,104620,      비유동금융부채(*)(IFRS)(천원),0,0,0,1,0,0,0,1
92,(주)노루페인트,90350,      비유동금융부채(*)(IFRS)(천원),0,0,0,1,0,0,0,1
93,(주)노루홀딩스,320,      비유동금융부채(*)(IFRS)(천원),0,0,0,1,0,0,1,1
94,(주)노바렉스,194700,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
95,(주)노바텍,285490,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
