,회사명,거래소코드,회계년도,이자보상배율,부실기업
128,골드앤에스,35290,Dec-18,-4.56,1.0
129,골드앤에스,35290,Dec-19,-1.46,1.0
130,골드퍼시픽,38530,Dec-11,14.16,0.0
131,골드퍼시픽,38530,Dec-12,2.66,
132,골드퍼시픽,38530,Dec-13,-11.34,
133,골드퍼시픽,38530,Dec-14,-4.33,1.0
134,골드퍼시픽,38530,Dec-15,-9.59,1.0
135,골드퍼시픽,38530,Dec-16,-17.43,1.0
136,골드퍼시픽,38530,Dec-17,0.62,1.0
137,골드퍼시픽,38530,Dec-18,-0.68,1.0
138,골드퍼시픽,38530,Dec-19,-0.89,1.0
139,골프존뉴딘홀딩스,121440,Dec-11,1101.46,0.0
140,골프존뉴딘홀딩스,121440,Dec-12,31.08,
141,골프존뉴딘홀딩스,121440,Dec-13,25.98,
142,골프존뉴딘홀딩스,121440,Dec-14,22.05,
143,골프존뉴딘홀딩스,121440,Dec-15,-1.54,
144,골프존뉴딘홀딩스,121440,Dec-16,5.22,
145,골프존뉴딘홀딩스,121440,Dec-17,2.81,
146,골프존뉴딘홀딩스,121440,Dec-18,0.15,
147,골프존뉴딘홀딩스,121440,Dec-19,-0.36,1.0
148,광림,14200,Dec-11,4.55,0.0
149,광림,14200,Dec-12,1.71,
150,광림,14200,Dec-13,6.18,
151,광림,14200,Dec-14,0.7,
152,광림,14200,Dec-15,0.43,1.0
153,광림,14200,Dec-16,0.16,1.0
154,광림,14200,Dec-17,-3.19,1.0
155,광림,14200,Dec-18,-0.23,1.0
156,광림,14200,Dec-19,-2.3,1.0
157,광명전기,17040,Dec-11,0.38,0.0
158,광명전기,17040,Dec-12,3.63,
159,광명전기,17040,Dec-13,11.84,
160,광명전기,17040,Dec-14,19.42,
161,광명전기,17040,Dec-15,20.92,
162,광명전기,17040,Dec-16,10.52,
163,광명전기,17040,Dec-17,5.78,
164,광명전기,17040,Dec-18,3.61,
165,광명전기,17040,Dec-19,21.67,
166,광무,29480,Dec-11,-3.01,0.0
167,광무,29480,Dec-12,-2.69,1.0
168,광무,29480,Dec-13,-8.2,0.0
169,광무,29480,Dec-14,1.12,
170,광무,29480,Dec-15,-0.8,
171,광무,29480,Dec-16,1.93,
172,광무,29480,Dec-17,0.32,
173,광무,29480,Dec-18,-3.19,1.0
174,광무,29480,Dec-19,-2.9,1.0
175,구영테크,53270,Dec-11,0.96,0.0
176,구영테크,53270,Dec-12,1.29,
177,구영테크,53270,Dec-13,1.39,
178,구영테크,53270,Dec-14,1.38,
179,구영테크,53270,Dec-15,1.97,
180,구영테크,53270,Dec-16,1.65,
181,구영테크,53270,Dec-17,2.37,
182,구영테크,53270,Dec-18,1.47,
183,구영테크,53270,Dec-19,1.33,
184,국동,5320,Dec-11,0.5,0.0
185,국동,5320,Dec-12,3.42,0.0
186,국동,5320,Dec-13,3.64,0.0
187,국동,5320,Dec-14,5.32,0.0
188,국동,5320,Dec-15,4.08,0.0
189,국동,5320,Dec-16,5.25,0.0
190,국동,5320,Dec-17,-2.28,0.0
191,국동,5320,Dec-18,2.53,0.0
192,국동,5320,Dec-19,-1.78,0.0
193,국보,1140,Dec-11,0.75,1.0
194,국보,1140,Dec-12,0.64,0.0
195,국보,1140,Dec-13,0.36,1.0
196,국보,1140,Dec-14,-1.31,1.0
197,국보,1140,Dec-15,-1.55,1.0
198,국보,1140,Dec-16,0.14,1.0
199,국보,1140,Dec-17,-2.66,1.0
200,국보,1140,Dec-18,-4.03,1.0
201,국보,1140,Dec-19,-0.35,1.0
202,국순당,43650,Dec-11,167.22,0.0
203,국순당,43650,Dec-12,172.69,
204,국순당,43650,Dec-13,9.21,
205,국순당,43650,Dec-14,9.17,
206,국순당,43650,Dec-15,-334.84,
207,국순당,43650,Dec-16,-327.25,1.0
208,국순당,43650,Dec-17,-12.28,1.0
209,국순당,43650,Dec-18,-7.85,1.0
210,국순당,43650,Dec-19,-4.32,1.0
211,국영지앤엠,6050,Dec-11,-170.81,0.0
212,국영지앤엠,6050,Dec-12,-4.57,1.0
213,국영지앤엠,6050,Dec-13,2.35,1.0
214,국영지앤엠,6050,Dec-14,5.13,1.0
215,국영지앤엠,6050,Dec-15,-15.79,1.0
216,국영지앤엠,6050,Dec-16,3.4,1.0
217,국영지앤엠,6050,Dec-17,17.57,1.0
218,국영지앤엠,6050,Dec-18,-18.31,1.0
219,국영지앤엠,6050,Dec-19,15.75,1.0
220,그래디언트,35080,Dec-11,-48.06,0.0
221,그래디언트,35080,Dec-12,1.38,
222,그래디언트,35080,Dec-13,7.5,
223,그래디언트,35080,Dec-14,14.81,
224,그래디언트,35080,Dec-15,26.27,
225,그래디언트,35080,Dec-16,13.02,
226,그래디언트,35080,Dec-17,13.33,
227,그래디언트,35080,Dec-18,8.44,
228,그래디언트,35080,Dec-19,10.13,
229,금호에이치티,214330,Dec-15,20.53,0.0
230,금호에이치티,214330,Dec-16,11.57,0.0
231,금호에이치티,214330,Dec-17,7.78,0.0
232,금호에이치티,214330,Dec-18,3.66,0.0
233,금호에이치티,214330,Dec-19,0.35,0.0
234,기가레인,49080,Dec-13,5.72,0.0
235,기가레인,49080,Dec-14,7.6,0.0
236,기가레인,49080,Dec-15,-13.79,0.0
237,기가레인,49080,Dec-16,-4.14,1.0
238,기가레인,49080,Dec-17,1.96,0.0
239,기가레인,49080,Dec-18,-0.71,
240,기가레인,49080,Dec-19,-8.09,1.0
241,기산텔레콤,35460,Dec-11,-3.73,0.0
242,기산텔레콤,35460,Dec-12,0.71,1.0
243,기산텔레콤,35460,Dec-13,4.99,1.0
244,기산텔레콤,35460,Dec-14,2.53,1.0
245,기산텔레콤,35460,Dec-15,2.72,1.0
246,기산텔레콤,35460,Dec-16,-5.83,1.0
247,기산텔레콤,35460,Dec-17,-6.37,1.0
248,기산텔레콤,35460,Dec-18,-5.52,1.0
249,기산텔레콤,35460,Dec-19,6.63,1.0
250,까뮤이앤씨,13700,Dec-11,-14.28,0.0
251,까뮤이앤씨,13700,Dec-12,0.46,1.0
252,까뮤이앤씨,13700,Dec-13,-0.14,1.0
253,까뮤이앤씨,13700,Dec-14,0.4,1.0
254,까뮤이앤씨,13700,Dec-15,1.65,1.0
255,까뮤이앤씨,13700,Dec-16,1.92,1.0
