,회사명
(주)비씨월드제약,6
(주)오이솔루션,6
(주)캐스텍코리아,6
(주)오킨스전자,6
(주)서연이화,6
(주)티피씨메카트로닉스,6
(주)케이사인,6
(주)에스엘바이오닉스,5
(주)이큐셀,5
(주)펩트론,5
(주)멕아이씨에스,5
(주)동운아나텍,5
아이쓰리시스템(주),5
(주)육일씨엔에쓰,5
(주)리드,5
코아스템(주),5
아진산업(주),5
커머스마이너 (주),5
(주)베셀,5
(주)금호에이치티,5
(주)나무가,5
(주)매직마이크로,5
(주)픽셀플러스,5
(주)아이티센,4
에스티팜(주),4
(주)엔지스테크널러지,4
(주)장원테크,4
일양약품(주),4
(주)핸디소프트,4
일동제약(주),4
(주)아이윈플러스,4
(주)팬젠,4
(주)퓨쳐켐,4
(주)힘스,3
에스트래픽(주),3
에프엔에스테크(주),3
모트렉스(주),3
(주)필옵틱스,3
(주)케이피에스,3
(주)유바이오로직스,3
현대일렉트릭앤에너지시스템(주),3
제일약품(주),3
영화테크(주),3
알에스오토메이션(주),3
