,회사명,거래소코드,회계년도,이자보상배율,부실기업,이보배2,회생기업2
96,갤럭시아에스엠,11420,13-Dec,1.9,0,-0.88,
97,갤럭시아에스엠,11420,14-Dec,-0.88,0,5.69,
98,갤럭시아에스엠,11420,15-Dec,5.69,0,-18.76,
99,갤럭시아에스엠,11420,16-Dec,-18.76,0,-35.52,
100,갤럭시아에스엠,11420,17-Dec,-35.52,1,-157.86,
101,갤럭시아에스엠,11420,18-Dec,-157.86,1,-8.95,
102,갤럭시아에스엠,11420,19-Dec,-8.95,1,,
103,경동인베스트,12320,11-Dec,11.03,0,17.71,
104,경동인베스트,12320,12-Dec,17.71,0,27.91,
105,경동인베스트,12320,13-Dec,27.91,0,20.25,
106,경동인베스트,12320,14-Dec,20.25,0,-4.35,
107,경동인베스트,12320,15-Dec,-4.35,0,7.92,
108,경동인베스트,12320,16-Dec,7.92,0,9.05,
109,경동인베스트,12320,17-Dec,9.05,0,10.67,
110,경동인베스트,12320,18-Dec,10.67,0,5.29,
111,경동인베스트,12320,19-Dec,5.29,0,,
112,경방,50,11-Dec,1.15,0,0.36,
113,경방,50,12-Dec,0.36,0,2.58,
114,경방,50,13-Dec,2.58,0,2.47,
115,경방,50,14-Dec,2.47,0,3.9,
116,경방,50,15-Dec,3.9,0,5.54,
117,경방,50,16-Dec,5.54,0,6.35,
118,경방,50,17-Dec,6.35,0,5.13,
119,경방,50,18-Dec,5.13,0,3.59,
120,경방,50,19-Dec,3.59,0,,
121,골드앤에스,35290,11-Dec,1.13,0,-1.91,
122,골드앤에스,35290,12-Dec,-1.91,0,-3.83,
123,골드앤에스,35290,13-Dec,-3.83,1,-1.41,
124,골드앤에스,35290,14-Dec,-1.41,1,1.99,
125,골드앤에스,35290,15-Dec,1.99,0,2.42,
126,골드앤에스,35290,16-Dec,2.42,0,-26.15,
127,골드앤에스,35290,17-Dec,-26.15,0,-4.56,
128,골드앤에스,35290,18-Dec,-4.56,1,-1.46,
129,골드앤에스,35290,19-Dec,-1.46,1,,
130,골드퍼시픽,38530,11-Dec,14.16,0,2.66,
131,골드퍼시픽,38530,12-Dec,2.66,0,-11.34,
132,골드퍼시픽,38530,13-Dec,-11.34,0,-4.33,
133,골드퍼시픽,38530,14-Dec,-4.33,1,-9.59,
134,골드퍼시픽,38530,15-Dec,-9.59,1,-17.43,
135,골드퍼시픽,38530,16-Dec,-17.43,1,0.62,
136,골드퍼시픽,38530,17-Dec,0.62,1,-0.68,
137,골드퍼시픽,38530,18-Dec,-0.68,1,-0.89,
138,골드퍼시픽,38530,19-Dec,-0.89,1,,
139,골프존뉴딘홀딩스,121440,11-Dec,1101.46,0,31.08,
140,골프존뉴딘홀딩스,121440,12-Dec,31.08,0,25.98,
141,골프존뉴딘홀딩스,121440,13-Dec,25.98,0,22.05,
142,골프존뉴딘홀딩스,121440,14-Dec,22.05,0,-1.54,
143,골프존뉴딘홀딩스,121440,15-Dec,-1.54,0,5.22,
144,골프존뉴딘홀딩스,121440,16-Dec,5.22,0,2.81,
145,골프존뉴딘홀딩스,121440,17-Dec,2.81,0,0.15,
146,골프존뉴딘홀딩스,121440,18-Dec,0.15,0,-0.36,
147,골프존뉴딘홀딩스,121440,19-Dec,-0.36,1,,
148,광림,14200,11-Dec,4.55,0,1.71,
149,광림,14200,12-Dec,1.71,0,6.18,
