,회사명,거래소코드,회계년도,이자보상배율,부실기업,이보배2,회생기업2
1506,상보,27580,11-Dec,3.65,0,2.2,
1507,상보,27580,12-Dec,2.2,0,3.44,
1508,상보,27580,13-Dec,3.44,0,0.38,
1509,상보,27580,14-Dec,0.38,0,-0.53,
1510,상보,27580,15-Dec,-0.53,1,-3.63,
1511,상보,27580,16-Dec,-3.63,1,-1.13,
1512,상보,27580,17-Dec,-1.13,1,0.62,
1513,상보,27580,18-Dec,0.62,1,-1.17,
1514,상보,27580,19-Dec,-1.17,1,,
1515,상상인인더스트리,101000,11-Dec,-11.5,0,-2.67,
1516,상상인인더스트리,101000,12-Dec,-2.67,1,1.2,
1517,상상인인더스트리,101000,13-Dec,1.2,0,2.04,
1518,상상인인더스트리,101000,14-Dec,2.04,0,3.7,
1519,상상인인더스트리,101000,15-Dec,3.7,0,9.6,
1520,상상인인더스트리,101000,16-Dec,9.6,0,-1.21,
1521,상상인인더스트리,101000,17-Dec,-1.21,0,-7.37,
1522,상상인인더스트리,101000,18-Dec,-7.37,1,-0.79,
1523,상상인인더스트리,101000,19-Dec,-0.79,1,,
1524,상지카일룸,42940,11-Dec,-3.08,0,-5.95,
1525,상지카일룸,42940,12-Dec,-5.95,1,-4.34,
1526,상지카일룸,42940,13-Dec,-4.34,1,-10.95,
1527,상지카일룸,42940,14-Dec,-10.95,1,0.3,
1528,상지카일룸,42940,15-Dec,0.3,1,-4.81,
1529,상지카일룸,42940,16-Dec,-4.81,1,-6.78,
1530,상지카일룸,42940,17-Dec,-6.78,1,1.05,
1531,상지카일룸,42940,18-Dec,1.05,0,0.09,
1532,상지카일룸,42940,19-Dec,0.09,0,,
1533,새로닉스,42600,11-Dec,0.11,0,4.17,
1534,새로닉스,42600,12-Dec,4.17,0,5.44,
1535,새로닉스,42600,13-Dec,5.44,0,16.93,
1536,새로닉스,42600,14-Dec,16.93,0,17.1,
1537,새로닉스,42600,15-Dec,17.1,0,9.77,
1538,새로닉스,42600,16-Dec,9.77,0,0.28,
1539,새로닉스,42600,17-Dec,0.28,0,5.93,
1540,새로닉스,42600,18-Dec,5.93,0,0.1,
1541,새로닉스,42600,19-Dec,0.1,0,,
1542,서부티엔디,6730,11-Dec,0.88,0,0.7,
1543,서부티엔디,6730,12-Dec,0.7,1,0.9,
1544,서부티엔디,6730,13-Dec,0.9,1,1.05,
1545,서부티엔디,6730,14-Dec,1.05,0,1.31,
1546,서부티엔디,6730,15-Dec,1.31,0,1.39,
1547,서부티엔디,6730,16-Dec,1.39,0,-1.03,
1548,서부티엔디,6730,17-Dec,-1.03,0,0,
1549,서부티엔디,6730,18-Dec,0,0,0.48,
1550,서부티엔디,6730,19-Dec,0.48,0,,
1551,서산,79650,11-Dec,1245.89,0,7777,
1552,서산,79650,12-Dec,7777,0,1866.89,
1553,서산,79650,13-Dec,1866.89,0,1458.11,
1554,서산,79650,14-Dec,1458.11,0,1929.46,
1555,서산,79650,15-Dec,1929.46,0,1935.53,
1556,서산,79650,16-Dec,1935.53,0,1899.36,
1557,서산,79650,17-Dec,1899.36,0,-7777,
1558,서산,79650,18-Dec,-7777,0,-2188.81,
1559,서산,79650,19-Dec,-2188.81,1,,
1560,서연,7860,11-Dec,46.87,0,6.4,
1561,서연,7860,12-Dec,6.4,0,12.61,
1562,서연,7860,13-Dec,12.61,0,12.92,
1563,서연,7860,14-Dec,12.92,0,7.82,
1564,서연,7860,15-Dec,7.82,0,5.61,
1565,서연,7860,16-Dec,5.61,0,-0.8,
1566,서연,7860,17-Dec,-0.8,0,0.2,
1567,서연,7860,18-Dec,0.2,1,1.35,
1568,서연,7860,19-Dec,1.35,0,,
1569,서연이화,200880,14-Dec,12.56,0,10.74,
1570,서연이화,200880,15-Dec,10.74,0,7.92,
1571,서연이화,200880,16-Dec,7.92,0,-0.83,
1572,서연이화,200880,17-Dec,-0.83,0,0.6,
1573,서연이화,200880,18-Dec,0.6,1,1.13,
1574,서연이화,200880,19-Dec,1.13,0,,
1575,서연탑메탈,19770,11-Dec,45.3,0,43.53,
1576,서연탑메탈,19770,12-Dec,43.53,0,22.14,
1577,서연탑메탈,19770,13-Dec,22.14,0,32.12,
1578,서연탑메탈,19770,14-Dec,32.12,0,3.91,
1579,서연탑메탈,19770,15-Dec,3.91,0,3.35,
1580,서연탑메탈,19770,16-Dec,3.35,0,2.39,
1581,서연탑메탈,19770,17-Dec,2.39,0,-0.47,
1582,서연탑메탈,19770,18-Dec,-0.47,0,0.15,
1583,서연탑메탈,19770,19-Dec,0.15,1,,
1584,서울리거,43710,11-Dec,7777,0,61.31,
1585,서울리거,43710,12-Dec,61.31,0,-15.81,
1586,서울리거,43710,13-Dec,-15.81,0,-19.41,
1587,서울리거,43710,14-Dec,-19.41,1,-20.21,
1588,서울리거,43710,15-Dec,-20.21,1,-5.07,
1589,서울리거,43710,16-Dec,-5.07,1,-7777,
1590,서울리거,43710,17-Dec,-7777,1,-1.01,
1591,서울리거,43710,18-Dec,-1.01,1,-4.74,
1592,서울리거,43710,19-Dec,-4.74,1,,
1593,서울옥션,63170,11-Dec,-6.08,0,3.86,
1594,서울옥션,63170,12-Dec,3.86,0,6.1,
1595,서울옥션,63170,13-Dec,6.1,0,13.56,
1596,서울옥션,63170,14-Dec,13.56,0,33.52,
1597,서울옥션,63170,15-Dec,33.52,0,10.95,
1598,서울옥션,63170,16-Dec,10.95,0,6.01,
1599,서울옥션,63170,17-Dec,6.01,0,5.95,
1600,서울옥션,63170,18-Dec,5.95,0,-1.82,
1601,서울옥션,63170,19-Dec,-1.82,0,,
1602,서울제약,18680,11-Dec,2.73,0,7.16,
1603,서울제약,18680,12-Dec,7.16,0,3.46,
1604,서울제약,18680,13-Dec,3.46,0,3.16,
1605,서울제약,18680,14-Dec,3.16,0,0.64,
1606,서울제약,18680,15-Dec,0.64,0,-0.95,
1607,서울제약,18680,16-Dec,-0.95,1,-3.14,
1608,서울제약,18680,17-Dec,-3.14,1,-3.37,
1609,서울제약,18680,18-Dec,-3.37,1,2.58,
1610,서울제약,18680,19-Dec,2.58,0,,
1611,서원,21050,11-Dec,0.95,0,0.58,
1612,서원,21050,12-Dec,0.58,1,-0.32,
1613,서원,21050,13-Dec,-0.32,1,0.83,
1614,서원,21050,14-Dec,0.83,1,-1.44,
1615,서원,21050,15-Dec,-1.44,1,1.9,
1616,서원,21050,16-Dec,1.9,0,2.22,
1617,서원,21050,17-Dec,2.22,0,1.71,
1618,서원,21050,18-Dec,1.71,0,1.67,
1619,서원,21050,19-Dec,1.67,0,,
1620,서전기전,189860,14-Dec,234.85,0,-6436.21,
1621,서전기전,189860,15-Dec,-6436.21,0,324.07,
1622,서전기전,189860,16-Dec,324.07,0,8671.27,
1623,서전기전,189860,17-Dec,8671.27,0,131.25,
1624,서전기전,189860,18-Dec,131.25,0,5.98,
1625,서전기전,189860,19-Dec,5.98,0,,
1626,서한,11370,11-Dec,-5.42,0,5.2,
1627,서한,11370,12-Dec,5.2,0,8.57,
1628,서한,11370,13-Dec,8.57,0,50.39,
1629,서한,11370,14-Dec,50.39,0,15.2,
1630,서한,11370,15-Dec,15.2,0,29.1,
1631,서한,11370,16-Dec,29.1,0,59.42,
1632,서한,11370,17-Dec,59.42,0,80.02,
1633,서한,11370,18-Dec,80.02,0,16.1,
1634,서한,11370,19-Dec,16.1,0,,
1635,서희건설,35890,11-Dec,0.76,0,0.47,
1636,서희건설,35890,12-Dec,0.47,1,1.07,
1637,서희건설,35890,13-Dec,1.07,0,2.93,
1638,서희건설,35890,14-Dec,2.93,0,3.07,
1639,서희건설,35890,15-Dec,3.07,0,8.36,
1640,서희건설,35890,16-Dec,8.36,0,7.7,
1641,서희건설,35890,17-Dec,7.7,0,6.49,
1642,서희건설,35890,18-Dec,6.49,0,11.26,
1643,서희건설,35890,19-Dec,11.26,0,,
1644,선앤엘,2820,11-Dec,2.31,0,-0.99,
1645,선앤엘,2820,12-Dec,-0.99,0,1.01,
1646,선앤엘,2820,13-Dec,1.01,0,0.64,
1647,선앤엘,2820,14-Dec,0.64,0,2.74,
1648,선앤엘,2820,15-Dec,2.74,0,3.22,
1649,선앤엘,2820,16-Dec,3.22,0,0.43,
1650,선앤엘,2820,17-Dec,0.43,0,-1.08,
1651,선앤엘,2820,18-Dec,-1.08,1,-2.47,
1652,선앤엘,2820,19-Dec,-2.47,1,,
1653,성광벤드,14620,11-Dec,22.95,0,26.14,
1654,성광벤드,14620,12-Dec,26.14,0,60.45,
1655,성광벤드,14620,13-Dec,60.45,0,94.05,
1656,성광벤드,14620,14-Dec,94.05,0,25.71,
1657,성광벤드,14620,15-Dec,25.71,0,35.12,
1658,성광벤드,14620,16-Dec,35.12,0,-418.08,
1659,성광벤드,14620,17-Dec,-418.08,0,-49.86,
1660,성광벤드,14620,18-Dec,-49.86,1,10.6,
1661,성광벤드,14620,19-Dec,10.6,0,,
1662,성안,11300,11-Dec,2.1,0,0.9,
1663,성안,11300,12-Dec,0.9,0,0.46,
1664,성안,11300,13-Dec,0.46,1,-5.1,
1665,성안,11300,14-Dec,-5.1,1,-0.06,
1666,성안,11300,15-Dec,-0.06,1,-1.72,
1667,성안,11300,16-Dec,-1.72,1,-1.19,
1668,성안,11300,17-Dec,-1.19,1,-2.25,
1669,성안,11300,18-Dec,-2.25,1,-1.85,
1670,성안,11300,19-Dec,-1.85,1,,
1671,성창오토텍,80470,11-Dec,31.8,0,18.39,
1672,성창오토텍,80470,12-Dec,18.39,0,4.05,
1673,성창오토텍,80470,13-Dec,4.05,0,1.03,
1674,성창오토텍,80470,14-Dec,1.03,0,1.56,
1675,성창오토텍,80470,15-Dec,1.56,0,2.75,
1676,성창오토텍,80470,16-Dec,2.75,0,1.07,
1677,성창오토텍,80470,17-Dec,1.07,0,0.21,
1678,성창오토텍,80470,18-Dec,0.21,0,-0.41,
1679,성창오토텍,80470,19-Dec,-0.41,1,,
1680,세동,53060,11-Dec,0.6,0,0.96,
1681,세동,53060,12-Dec,0.96,1,0.82,
1682,세동,53060,13-Dec,0.82,1,-0.82,
1683,세동,53060,14-Dec,-0.82,1,-1.34,
1684,세동,53060,15-Dec,-1.34,1,-1.69,
1685,세동,53060,16-Dec,-1.69,1,-2.32,
1686,세동,53060,17-Dec,-2.32,1,-0.88,
1687,세동,53060,18-Dec,-0.88,1,-0.09,
1688,세동,53060,19-Dec,-0.09,1,,
1689,세보엠이씨,11560,11-Dec,237.8,0,179.09,
1690,세보엠이씨,11560,12-Dec,179.09,0,56.09,
1691,세보엠이씨,11560,13-Dec,56.09,0,91.06,
1692,세보엠이씨,11560,14-Dec,91.06,0,149.74,
1693,세보엠이씨,11560,15-Dec,149.74,0,1282.12,
1694,세보엠이씨,11560,16-Dec,1282.12,0,104.18,
1695,세보엠이씨,11560,17-Dec,104.18,0,71.15,
1696,세보엠이씨,11560,18-Dec,71.15,0,-10.75,
1697,세보엠이씨,11560,19-Dec,-10.75,0,,
1698,세원물산,24830,11-Dec,7.3,0,-0.86,
1699,세원물산,24830,12-Dec,-0.86,0,-9.4,
1700,세원물산,24830,13-Dec,-9.4,1,-3485.18,
1701,세원물산,24830,14-Dec,-3485.18,1,434.68,
1702,세원물산,24830,15-Dec,434.68,0,169.74,
1703,세원물산,24830,16-Dec,169.74,0,151.82,
1704,세원물산,24830,17-Dec,151.82,0,10.77,
1705,세원물산,24830,18-Dec,10.77,0,78.2,
1706,세원물산,24830,19-Dec,78.2,0,,
1707,세진티에스,67770,11-Dec,7777,0,-7777,
1708,세진티에스,67770,12-Dec,-7777,0,-7777,
1709,세진티에스,67770,13-Dec,-7777,1,7777,
1710,세진티에스,67770,14-Dec,7777,0,-7777,
1711,세진티에스,67770,15-Dec,-7777,0,-65749.58,
1712,세진티에스,67770,16-Dec,-65749.58,1,-26064.25,
1713,세진티에스,67770,17-Dec,-26064.25,1,-7777,
1714,세진티에스,67770,18-Dec,-7777,1,-6.7,
1715,세진티에스,67770,19-Dec,-6.7,1,,
1716,세코닉스,53450,11-Dec,3.65,0,8.41,
1717,세코닉스,53450,12-Dec,8.41,0,12.39,
1718,세코닉스,53450,13-Dec,12.39,0,10.93,
1719,세코닉스,53450,14-Dec,10.93,0,8.02,
1720,세코닉스,53450,15-Dec,8.02,0,6.62,
1721,세코닉스,53450,16-Dec,6.62,0,0.56,
1722,세코닉스,53450,17-Dec,0.56,0,1.76,
1723,세코닉스,53450,18-Dec,1.76,0,0.2,
1724,세코닉스,53450,19-Dec,0.2,0,,
1725,센트럴인사이트,12600,11-Dec,-15.07,0,-5.87,
1726,센트럴인사이트,12600,12-Dec,-5.87,1,-6.5,
1727,센트럴인사이트,12600,13-Dec,-6.5,1,-3.23,
1728,센트럴인사이트,12600,14-Dec,-3.23,1,-1.92,
1729,센트럴인사이트,12600,15-Dec,-1.92,1,-1.85,
1730,센트럴인사이트,12600,16-Dec,-1.85,1,-2.46,
1731,센트럴인사이트,12600,17-Dec,-2.46,1,-2.23,
1732,센트럴인사이트,12600,18-Dec,-2.23,1,-1.84,
1733,센트럴인사이트,12600,19-Dec,-1.84,1,,
1734,셀루메드,49180,11-Dec,-5.37,0,1.01,
1735,셀루메드,49180,12-Dec,1.01,0,0.59,
1736,셀루메드,49180,13-Dec,0.59,0,-4.65,
1737,셀루메드,49180,14-Dec,-4.65,1,-2.57,
1738,셀루메드,49180,15-Dec,-2.57,1,-7.76,
1739,셀루메드,49180,16-Dec,-7.76,1,-0.56,
1740,셀루메드,49180,17-Dec,-0.56,1,-7.57,
1741,셀루메드,49180,18-Dec,-7.57,1,-4.04,
1742,셀루메드,49180,19-Dec,-4.04,1,,
1743,셀리드,299660,17-Dec,-1249.1,0,-627.75,
1744,셀리드,299660,19-Dec,-627.75,1,,
1745,셀리버리,268600,18-Dec,-2.29,0,-2083.78,
1746,셀리버리,268600,19-Dec,-2083.78,1,,
1747,셀바스에이아이,108860,11-Dec,7.36,0,146.71,
1748,셀바스에이아이,108860,12-Dec,146.71,0,156.7,
1749,셀바스에이아이,108860,13-Dec,156.7,0,-2.47,
1750,셀바스에이아이,108860,14-Dec,-2.47,0,-1.15,
1751,셀바스에이아이,108860,15-Dec,-1.15,1,-13.49,
1752,셀바스에이아이,108860,16-Dec,-13.49,1,0.5,
1753,셀바스에이아이,108860,17-Dec,0.5,1,-12.46,
1754,셀바스에이아이,108860,18-Dec,-12.46,1,-3.95,
1755,셀바스에이아이,108860,19-Dec,-3.95,1,,
1756,셀트리온제약,68760,11-Dec,9.86,0,5.73,
1757,셀트리온제약,68760,12-Dec,5.73,0,5.19,
1758,셀트리온제약,68760,13-Dec,5.19,0,2.71,
1759,셀트리온제약,68760,14-Dec,2.71,0,0.95,
1760,셀트리온제약,68760,15-Dec,0.95,0,-1.77,
1761,셀트리온제약,68760,16-Dec,-1.77,1,1.58,
1762,셀트리온제약,68760,17-Dec,1.58,0,0.6,
1763,셀트리온제약,68760,18-Dec,0.6,0,2.81,
1764,셀트리온제약,68760,19-Dec,2.81,0,,
1765,셀트리온헬스케어,91990,17-Dec,6.83,0,-56.39,
1766,셀트리온헬스케어,91990,18-Dec,-56.39,0,12.1,
1767,셀트리온헬스케어,91990,19-Dec,12.1,0,,
1768,셀피글로벌,68940,11-Dec,20.86,0,27.17,
1769,셀피글로벌,68940,12-Dec,27.17,0,1.78,
1770,셀피글로벌,68940,13-Dec,1.78,0,-9.29,
1771,셀피글로벌,68940,14-Dec,-9.29,0,0.59,
1772,셀피글로벌,68940,15-Dec,0.59,1,0.76,
1773,셀피글로벌,68940,16-Dec,0.76,1,-25.4,
1774,셀피글로벌,68940,17-Dec,-25.4,1,-7.34,
1775,셀피글로벌,68940,18-Dec,-7.34,1,-0.36,
1776,셀피글로벌,68940,19-Dec,-0.36,1,,
1777,소프트센,32680,13-Dec,1.13,0,4.09,
1778,소프트센,32680,14-Dec,4.09,0,-37.73,
1779,소프트센,32680,15-Dec,-37.73,0,5.07,
1780,소프트센,32680,16-Dec,5.07,0,0.34,
1781,소프트센,32680,17-Dec,0.34,0,1.09,
1782,소프트센,32680,18-Dec,1.09,0,0.5,
1783,소프트센,32680,19-Dec,0.5,0,,
1784,손오공,66910,11-Dec,1.07,0,0.93,
1785,손오공,66910,12-Dec,0.93,0,-5.71,
1786,손오공,66910,13-Dec,-5.71,1,-3.04,
1787,손오공,66910,14-Dec,-3.04,1,11.6,
1788,손오공,66910,15-Dec,11.6,0,10.96,
1789,손오공,66910,16-Dec,10.96,0,-35.96,
1790,손오공,66910,17-Dec,-35.96,0,3.44,
1791,손오공,66910,18-Dec,3.44,0,-4.2,
1792,손오공,66910,19-Dec,-4.2,0,,
1793,솔고바이오메디칼,43100,11-Dec,-2.22,0,-4.55,
1794,솔고바이오메디칼,43100,12-Dec,-4.55,1,-3.34,
1795,솔고바이오메디칼,43100,13-Dec,-3.34,1,-0.59,
1796,솔고바이오메디칼,43100,14-Dec,-0.59,1,-6.2,
1797,솔고바이오메디칼,43100,15-Dec,-6.2,1,-14.58,
1798,솔고바이오메디칼,43100,16-Dec,-14.58,1,-11.31,
1799,솔고바이오메디칼,43100,17-Dec,-11.31,1,-22.21,
1800,솔고바이오메디칼,43100,18-Dec,-22.21,1,-10.2,
1801,솔고바이오메디칼,43100,19-Dec,-10.2,1,,
1802,솔루에타,154040,13-Dec,20.51,0,17.56,
1803,솔루에타,154040,14-Dec,17.56,0,182.05,
1804,솔루에타,154040,15-Dec,182.05,0,-0.05,
1805,솔루에타,154040,16-Dec,-0.05,0,0.58,
1806,솔루에타,154040,17-Dec,0.58,1,1.3,
1807,솔루에타,154040,18-Dec,1.3,0,1.65,
1808,솔루에타,154040,19-Dec,1.65,0,,
1809,솔본,35610,11-Dec,0.01,0,-5.31,
1810,솔본,35610,12-Dec,-5.31,1,0.75,
1811,솔본,35610,13-Dec,0.75,1,-6.08,
1812,솔본,35610,14-Dec,-6.08,1,11.12,
1813,솔본,35610,15-Dec,11.12,0,5.72,
1814,솔본,35610,16-Dec,5.72,0,29.91,
1815,솔본,35610,17-Dec,29.91,0,150.13,
1816,솔본,35610,18-Dec,150.13,0,2.2,
1817,솔본,35610,19-Dec,2.2,0,,
1818,쇼박스,86980,11-Dec,-268.21,0,7777,
1819,쇼박스,86980,12-Dec,7777,0,162.67,
1820,쇼박스,86980,13-Dec,162.67,0,7777,
1821,쇼박스,86980,14-Dec,7777,0,7777,
1822,쇼박스,86980,15-Dec,7777,0,7777,
1823,쇼박스,86980,16-Dec,7777,0,826.22,
1824,쇼박스,86980,17-Dec,826.22,0,293.4,
1825,쇼박스,86980,18-Dec,293.4,0,14.47,
1826,쇼박스,86980,19-Dec,14.47,0,,
1827,스마트솔루션즈,136510,11-Dec,2095.51,0,-5394.33,
1828,스마트솔루션즈,136510,12-Dec,-5394.33,0,9425.81,
1829,스마트솔루션즈,136510,13-Dec,9425.81,0,-7777,
1830,스마트솔루션즈,136510,14-Dec,-7777,0,7777,
1831,스마트솔루션즈,136510,15-Dec,7777,0,1708.51,
1832,스마트솔루션즈,136510,16-Dec,1708.51,0,21.88,
1833,스마트솔루션즈,136510,17-Dec,21.88,0,-3.68,
1834,스마트솔루션즈,136510,18-Dec,-3.68,0,-30.14,
1835,스마트솔루션즈,136510,19-Dec,-30.14,1,,
1836,스맥,99440,11-Dec,3.09,0,2.82,
1837,스맥,99440,12-Dec,2.82,0,1.5,
1838,스맥,99440,13-Dec,1.5,0,1.96,
1839,스맥,99440,14-Dec,1.96,0,1.53,
1840,스맥,99440,15-Dec,1.53,0,1.29,
1841,스맥,99440,16-Dec,1.29,0,1.52,
1842,스맥,99440,17-Dec,1.52,0,-0.23,
1843,스맥,99440,18-Dec,-0.23,0,-3.97,
1844,스맥,99440,19-Dec,-3.97,1,,
1845,스카이문스테크놀로지,33790,11-Dec,-2052578,0,-7777,
1846,스카이문스테크놀로지,33790,12-Dec,-7777,1,-7777,
1847,스카이문스테크놀로지,33790,13-Dec,-7777,1,745.68,
1848,스카이문스테크놀로지,33790,14-Dec,745.68,0,-9.89,
1849,스카이문스테크놀로지,33790,15-Dec,-9.89,0,-115.37,
1850,스카이문스테크놀로지,33790,16-Dec,-115.37,1,-8.45,
1851,스카이문스테크놀로지,33790,17-Dec,-8.45,1,-5.76,
1852,스카이문스테크놀로지,33790,18-Dec,-5.76,1,-39.7,
1853,스카이문스테크놀로지,33790,19-Dec,-39.7,1,,
1854,스킨앤스킨,159910,12-Dec,83.42,0,-25.32,
1855,스킨앤스킨,159910,13-Dec,-25.32,0,-12.45,
1856,스킨앤스킨,159910,14-Dec,-12.45,1,-3.74,
1857,스킨앤스킨,159910,15-Dec,-3.74,1,0.29,
1858,스킨앤스킨,159910,16-Dec,0.29,1,-4.57,
1859,스킨앤스킨,159910,17-Dec,-4.57,1,-2.83,
1860,스킨앤스킨,159910,18-Dec,-2.83,1,-19.61,
1861,스킨앤스킨,159910,19-Dec,-19.61,1,,
1862,스타플렉스,115570,11-Dec,-1.11,0,0.45,
1863,스타플렉스,115570,12-Dec,0.45,1,1.79,
1864,스타플렉스,115570,13-Dec,1.79,0,2.03,
1865,스타플렉스,115570,14-Dec,2.03,0,3.7,
1866,스타플렉스,115570,15-Dec,3.7,0,6.57,
1867,스타플렉스,115570,16-Dec,6.57,0,1.47,
1868,스타플렉스,115570,17-Dec,1.47,0,0.03,
1869,스타플렉스,115570,18-Dec,0.03,0,0.54,
1870,스타플렉스,115570,19-Dec,0.54,1,,
1871,스페코,13810,11-Dec,-0.41,0,1.12,
1872,스페코,13810,12-Dec,1.12,0,0.4,
1873,스페코,13810,13-Dec,0.4,0,4.09,
1874,스페코,13810,14-Dec,4.09,0,8.48,
1875,스페코,13810,15-Dec,8.48,0,4.99,
1876,스페코,13810,16-Dec,4.99,0,1.26,
1877,스페코,13810,17-Dec,1.26,0,-3.62,
1878,스페코,13810,18-Dec,-3.62,0,7.29,
1879,스페코,13810,19-Dec,7.29,0,,
1880,승일,49830,11-Dec,27.91,0,68.11,
1881,승일,49830,12-Dec,68.11,0,191.35,
1882,승일,49830,13-Dec,191.35,0,7777,
1883,승일,49830,14-Dec,7777,0,189.04,
1884,승일,49830,15-Dec,189.04,0,21.41,
1885,승일,49830,16-Dec,21.41,0,15.17,
1886,승일,49830,17-Dec,15.17,0,11.35,
1887,승일,49830,18-Dec,11.35,0,-13.35,
1888,승일,49830,19-Dec,-13.35,0,,
1889,시공테크,20710,11-Dec,2775.91,0,319.62,
1890,시공테크,20710,12-Dec,319.62,0,7777,
1891,시공테크,20710,13-Dec,7777,0,7777,
1892,시공테크,20710,14-Dec,7777,0,-7777,
1893,시공테크,20710,15-Dec,-7777,0,-22700.81,
1894,시공테크,20710,16-Dec,-22700.81,1,13885.14,
1895,시공테크,20710,17-Dec,13885.14,0,-493.44,
1896,시공테크,20710,18-Dec,-493.44,0,72.76,
1897,시공테크,20710,19-Dec,72.76,0,,
1898,시너지이노베이션,48870,11-Dec,-0.98,0,-1.24,
1899,시너지이노베이션,48870,12-Dec,-1.24,1,-5.02,
1900,시너지이노베이션,48870,13-Dec,-5.02,1,-2.24,
1901,시너지이노베이션,48870,14-Dec,-2.24,1,-7.01,
1902,시너지이노베이션,48870,15-Dec,-7.01,1,-0.81,
1903,시너지이노베이션,48870,16-Dec,-0.81,1,-0.26,
1904,시너지이노베이션,48870,17-Dec,-0.26,1,0.74,
1905,시너지이노베이션,48870,18-Dec,0.74,1,0.26,
1906,시너지이노베이션,48870,19-Dec,0.26,1,,
1907,시노펙스,25320,11-Dec,2.02,0,0.47,
1908,시노펙스,25320,12-Dec,0.47,0,1.75,
1909,시노펙스,25320,13-Dec,1.75,0,1.06,
1910,시노펙스,25320,14-Dec,1.06,0,-8.05,
1911,시노펙스,25320,15-Dec,-8.05,0,5.02,
1912,시노펙스,25320,16-Dec,5.02,0,13.68,
1913,시노펙스,25320,17-Dec,13.68,0,1.19,
1914,시노펙스,25320,18-Dec,1.19,0,6.58,
1915,시노펙스,25320,19-Dec,6.58,0,,
1916,시디즈,134790,11-Dec,4.05,0,7777,
1917,시디즈,134790,12-Dec,7777,0,-7777,
1918,시디즈,134790,13-Dec,-7777,0,-7777,
1919,시디즈,134790,14-Dec,-7777,1,-7777,
1920,시디즈,134790,15-Dec,-7777,1,-7777,
1921,시디즈,134790,16-Dec,-7777,1,-7777,
1922,시디즈,134790,17-Dec,-7777,1,7777,
1923,시디즈,134790,18-Dec,7777,0,7777,
1924,시디즈,134790,19-Dec,7777,0,,
1925,시큐브,131090,11-Dec,90.89,0,46.42,
1926,시큐브,131090,12-Dec,46.42,0,17.54,
1927,시큐브,131090,13-Dec,17.54,0,-24.71,
1928,시큐브,131090,14-Dec,-24.71,0,1407.18,
1929,시큐브,131090,15-Dec,1407.18,0,7777,
1930,시큐브,131090,16-Dec,7777,0,7777,
1931,시큐브,131090,17-Dec,7777,0,7777,
1932,시큐브,131090,18-Dec,7777,0,798.55,
1933,시큐브,131090,19-Dec,798.55,0,,
1934,시티랩스,139050,11-Dec,8.98,0,14.69,
1935,시티랩스,139050,12-Dec,14.69,0,128.17,
1936,시티랩스,139050,13-Dec,128.17,0,605.11,
1937,시티랩스,139050,14-Dec,605.11,0,-4,
1938,시티랩스,139050,15-Dec,-4,0,-3.19,
1939,시티랩스,139050,16-Dec,-3.19,1,-17.05,
1940,시티랩스,139050,17-Dec,-17.05,1,-2.29,
1941,시티랩스,139050,18-Dec,-2.29,1,-0.43,
1942,시티랩스,139050,19-Dec,-0.43,1,,
1943,신성이엔지,11930,11-Dec,-1.67,0,-3.08,
1944,신성이엔지,11930,12-Dec,-3.08,1,-1.04,
1945,신성이엔지,11930,13-Dec,-1.04,1,-0.28,
1946,신성이엔지,11930,14-Dec,-0.28,1,0.78,
1947,신성이엔지,11930,15-Dec,0.78,1,-1.15,
1948,신성이엔지,11930,16-Dec,-1.15,1,-0.52,
1949,신성이엔지,11930,17-Dec,-0.52,1,-0.36,
1950,신성이엔지,11930,18-Dec,-0.36,1,0.87,
1951,신성이엔지,11930,19-Dec,0.87,1,,
1952,신원,9270,11-Dec,0.22,0,0.08,
1953,신원,9270,12-Dec,0.08,1,1.14,
1954,신원,9270,13-Dec,1.14,0,2.02,
1955,신원,9270,14-Dec,2.02,0,2.27,
1956,신원,9270,15-Dec,2.27,0,2.14,
1957,신원,9270,16-Dec,2.14,0,0.11,
1958,신원,9270,17-Dec,0.11,0,0.23,
1959,신원,9270,18-Dec,0.23,1,1.69,
1960,신원,9270,19-Dec,1.69,0,,1
1961,신화다이나믹스,1770,11-Dec,1.69,0,2.27,
1962,신화다이나믹스,1770,12-Dec,2.27,0,-0.56,
1963,신화다이나믹스,1770,13-Dec,-0.56,0,1.27,
1964,신화다이나믹스,1770,14-Dec,1.27,0,3.32,
1965,신화다이나믹스,1770,15-Dec,3.32,0,0.99,
1966,신화다이나믹스,1770,16-Dec,0.99,0,-3.14,
1967,신화다이나믹스,1770,17-Dec,-3.14,1,5.83,
1968,신화다이나믹스,1770,18-Dec,5.83,0,2.15,
1969,신화다이나믹스,1770,19-Dec,2.15,0,,
1970,신화콘텍,187270,14-Dec,17.71,0,-2.13,
1971,신화콘텍,187270,15-Dec,-2.13,0,1.33,
1972,신화콘텍,187270,16-Dec,1.33,0,13.15,
1973,신화콘텍,187270,17-Dec,13.15,0,-0.51,
1974,신화콘텍,187270,18-Dec,-0.51,0,-0.82,
1975,신화콘텍,187270,19-Dec,-0.82,1,,
1976,신흥,4080,11-Dec,2.87,0,0.58,
1977,신흥,4080,12-Dec,0.58,0,1.53,
1978,신흥,4080,13-Dec,1.53,0,5.73,
1979,신흥,4080,14-Dec,5.73,0,6.24,
1980,신흥,4080,15-Dec,6.24,0,4.32,
1981,신흥,4080,16-Dec,4.32,0,5.01,
