,회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
84,(주)강스템바이오텍,217730,201812,-12.31,-21.5,1.0,0.0,0.0
85,(주)강스템바이오텍,217730,201912,-21.5,,1.0,0.0,0.0
86,(주)강원에너지,114190,201212,58.37,18.11,0.0,,
87,(주)강원에너지,114190,201312,18.11,39.01,0.0,0.0,0.0
88,(주)강원에너지,114190,201412,39.01,187.51,0.0,0.0,0.0
89,(주)강원에너지,114190,201512,187.51,-241.54,0.0,0.0,0.0
90,(주)강원에너지,114190,201612,-241.54,-26.56,1.0,0.0,0.0
91,(주)강원에너지,114190,201712,-26.56,0.2,1.0,0.0,0.0
92,(주)강원에너지,114190,201812,0.2,-8.38,1.0,0.0,0.0
93,(주)강원에너지,114190,201912,-8.38,,1.0,0.0,0.0
94,(주)갤럭시아에스엠,11420,201112,6.31,3.79,0.0,,
95,(주)갤럭시아에스엠,11420,201212,3.79,1.9,0.0,0.0,0.0
96,(주)갤럭시아에스엠,11420,201312,1.9,-0.88,0.0,0.0,0.0
97,(주)갤럭시아에스엠,11420,201412,-0.88,5.69,1.0,0.0,0.0
98,(주)갤럭시아에스엠,11420,201512,5.69,-18.76,0.0,1.0,0.0
99,(주)갤럭시아에스엠,11420,201612,-18.76,-35.52,1.0,0.0,0.0
100,(주)갤럭시아에스엠,11420,201712,-35.52,-157.86,1.0,0.0,0.0
101,(주)갤럭시아에스엠,11420,201812,-157.86,-8.95,1.0,0.0,0.0
102,(주)갤럭시아에스엠,11420,201912,-8.95,,1.0,0.0,0.0
103,(주)경동인베스트,12320,201112,11.03,17.71,0.0,,
104,(주)경동인베스트,12320,201212,17.71,27.91,0.0,0.0,0.0
105,(주)경동인베스트,12320,201312,27.91,20.25,0.0,0.0,0.0
106,(주)경동인베스트,12320,201412,20.25,-4.35,0.0,0.0,0.0
107,(주)경동인베스트,12320,201512,-4.35,7.92,1.0,0.0,0.0
108,(주)경동인베스트,12320,201612,7.92,9.05,0.0,1.0,0.0
109,(주)경동인베스트,12320,201712,9.05,10.67,0.0,0.0,1.0
110,(주)경동인베스트,12320,201812,10.67,5.29,0.0,0.0,1.0
111,(주)경동인베스트,12320,201912,5.29,,0.0,0.0,1.0
112,(주)경방,50,201112,1.15,0.36,0.0,,
113,(주)경방,50,201212,0.36,2.58,1.0,0.0,0.0
114,(주)경방,50,201312,2.58,2.47,0.0,1.0,0.0
115,(주)경방,50,201412,2.47,3.9,0.0,0.0,1.0
116,(주)경방,50,201512,3.9,5.54,0.0,0.0,1.0
117,(주)경방,50,201612,5.54,6.35,0.0,0.0,1.0
118,(주)경방,50,201712,6.35,5.13,0.0,0.0,1.0
119,(주)경방,50,201812,5.13,3.59,0.0,0.0,1.0
120,(주)경방,50,201912,3.59,,0.0,0.0,1.0
121,(주)골드앤에스,35290,201112,1.13,-1.91,0.0,,
122,(주)골드앤에스,35290,201212,-1.91,-3.83,1.0,0.0,0.0
123,(주)골드앤에스,35290,201312,-3.83,-1.41,1.0,0.0,0.0
124,(주)골드앤에스,35290,201412,-1.41,1.99,1.0,0.0,0.0
125,(주)골드앤에스,35290,201512,1.99,2.42,0.0,0.0,0.0
126,(주)골드앤에스,35290,201612,2.42,-26.15,0.0,0.0,0.0
127,(주)골드앤에스,35290,201712,-26.15,-4.56,1.0,0.0,0.0
128,(주)골드앤에스,35290,201812,-4.56,-1.46,1.0,0.0,0.0
129,(주)골드앤에스,35290,201912,-1.46,,1.0,0.0,0.0
130,(주)골드퍼시픽,38530,201112,14.16,2.66,0.0,,
131,(주)골드퍼시픽,38530,201212,2.66,-11.34,0.0,0.0,0.0
132,(주)골드퍼시픽,38530,201312,-11.34,-4.33,1.0,0.0,0.0
133,(주)골드퍼시픽,38530,201412,-4.33,-9.59,1.0,0.0,0.0
134,(주)골드퍼시픽,38530,201512,-9.59,-17.43,1.0,0.0,0.0
135,(주)골드퍼시픽,38530,201612,-17.43,0.62,1.0,0.0,0.0
136,(주)골드퍼시픽,38530,201712,0.62,-0.68,1.0,0.0,0.0
137,(주)골드퍼시픽,38530,201812,-0.68,-0.89,1.0,0.0,0.0
138,(주)골드퍼시픽,38530,201912,-0.89,,1.0,0.0,0.0
139,(주)골프존뉴딘홀딩스,121440,201112,1101.46,31.08,0.0,,
140,(주)골프존뉴딘홀딩스,121440,201212,31.08,25.98,0.0,0.0,0.0
141,(주)골프존뉴딘홀딩스,121440,201312,25.98,22.05,0.0,0.0,0.0
142,(주)골프존뉴딘홀딩스,121440,201412,22.05,-1.54,0.0,0.0,0.0
143,(주)골프존뉴딘홀딩스,121440,201512,-1.54,5.22,1.0,0.0,0.0
144,(주)골프존뉴딘홀딩스,121440,201612,5.22,2.81,0.0,1.0,0.0
145,(주)골프존뉴딘홀딩스,121440,201712,2.81,0.15,0.0,0.0,1.0
146,(주)골프존뉴딘홀딩스,121440,201812,0.15,-0.36,1.0,0.0,0.0
147,(주)골프존뉴딘홀딩스,121440,201912,-0.36,,1.0,0.0,0.0
148,(주)광림,14200,201112,4.55,1.71,0.0,,
149,(주)광림,14200,201212,1.71,6.18,0.0,0.0,0.0
150,(주)광림,14200,201312,6.18,0.7,0.0,0.0,0.0
151,(주)광림,14200,201412,0.7,0.43,1.0,0.0,0.0
152,(주)광림,14200,201512,0.43,0.16,1.0,0.0,0.0
153,(주)광림,14200,201612,0.16,-3.19,1.0,0.0,0.0
154,(주)광림,14200,201712,-3.19,-0.23,1.0,0.0,0.0
155,(주)광림,14200,201812,-0.23,-2.3,1.0,0.0,0.0
156,(주)광림,14200,201912,-2.3,,1.0,0.0,0.0
157,(주)광명전기,17040,201112,0.38,3.63,1.0,,
158,(주)광명전기,17040,201212,3.63,11.84,0.0,1.0,0.0
159,(주)광명전기,17040,201312,11.84,19.42,0.0,0.0,1.0
160,(주)광명전기,17040,201412,19.42,20.92,0.0,0.0,1.0
161,(주)광명전기,17040,201512,20.92,10.52,0.0,0.0,1.0
162,(주)광명전기,17040,201612,10.52,5.78,0.0,0.0,1.0
163,(주)광명전기,17040,201712,5.78,3.61,0.0,0.0,1.0
164,(주)광명전기,17040,201812,3.61,21.67,0.0,0.0,1.0
165,(주)광명전기,17040,201912,21.67,,0.0,0.0,1.0
166,(주)광무,29480,201112,-3.01,-2.69,1.0,,
167,(주)광무,29480,201212,-2.69,-8.2,1.0,0.0,0.0
168,(주)광무,29480,201312,-8.2,1.12,1.0,0.0,0.0
169,(주)광무,29480,201412,1.12,-0.8,0.0,0.0,0.0
170,(주)광무,29480,201512,-0.8,1.93,1.0,0.0,0.0
171,(주)광무,29480,201612,1.93,0.32,0.0,0.0,0.0
