,회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,매출액증가율,재고자산증가율,자기자본증가율,순이익증가율,정상영업이익증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본정상영업이익율,매출액정상영업이익율,총자본순이익율,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,당좌자산회전률,순운전자본회전률,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,차입금비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,단기차입금_대_총차입금비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율,직원감소율여부
10,DB하이텍,990,12-Dec,-0.31,-3.44,-9.69,10.52,6.98,2.79,-5.57,0,0,16.38,-5.31,-10.47,-1.33,-2.64,-2.66,0.5,7.56,8.08,0.82,28.86,1.97,0.67,2.01,2.73,0.61,55.66,41.39,7.19,298,58.88,7.77,11.39,9.87,25.13,234.33,19.86,26.7,384.99,68.49,190.94,74.87,25.64,0,-21.27,287.76,95.01,498.73,37.03,21.22,41.58,0
11,DB하이텍,990,13-Dec,-0.16,-8.58,-7.2,-27.88,-16.42,-8.69,-29.61,0,0,18.08,-16.82,-33.51,-0.87,-1.95,-7.49,0.45,6.51,7.74,0.75,20.81,1.99,0.57,1.86,2.6,0.63,46.76,31.58,7.39,416.9,62.73,5.99,10.36,7.7,19.35,324.25,14.23,21.07,199.26,58.3,232.89,80.65,32.46,0,-23.99,280.56,79.53,489.96,31.86,18.1,38.8,0
12,DB하이텍,990,14-Dec,0.67,-6.95,-6.96,11.04,14.98,-4.42,-41.05,0,0,24.11,-13.56,-47.32,4.46,8.03,-7.54,0.56,8.02,8.06,0.92,17.22,3.49,0.66,2.41,3.45,0.86,65.77,47.39,10.72,715.95,66.85,4.42,6.73,5.81,12.26,545.5,18.11,25.14,225.55,40.52,311.87,87.74,27.94,0,-13.08,275.62,68.42,501.23,33.99,19.02,33,0
13,DB하이텍,990,15-Dec,2.5,-0.02,-9.91,36.42,17.42,20.64,110.48,0,174.29,34.46,19.01,67.63,12.69,18.75,12.87,0.68,8.73,7.67,1.19,16.56,3.56,0.84,2.28,3.08,1.11,138.4,104.2,44.31,287.57,53.39,13.74,15.06,19.1,25.8,206.91,25.83,34.3,207.92,23.96,96.06,74.2,24.71,89.06,9.52,244.25,83.69,501.83,78.88,39.21,57.93,0
14,DB하이텍,990,16-Dec,4.41,0.22,2.73,9.23,15.98,-8.52,34.58,-30.29,37.98,37.51,11.43,29.65,17.49,22.3,8.96,0.78,9.68,7.64,1.43,17.48,2.59,1.12,2.19,2.83,1.26,134.53,106.69,42.15,188.6,42.8,31.09,25.94,47.48,34.65,123.51,29.65,37.39,249.46,33.11,80.2,65.35,20.69,80.62,9.6,0,0,0,67.56,34.56,44.11,0
15,DB하이텍,990,17-Dec,6.05,0.73,1.44,-4.14,-12.08,-1.74,33.31,24.71,-16.95,37.3,16.21,27.62,14.46,21.07,11.12,0.69,8.98,6.94,1.23,17.41,1.7,1.15,1.88,2.38,1.19,243.53,191.87,74.02,118.07,35.77,40.08,31.74,60.67,45.86,78.01,28.03,35.58,252.94,11.24,31.86,54.14,21.21,35.99,20.97,0,0,0,63.21,33.14,48.46,0
16,DB하이텍,990,18-Dec,6.77,7.3,7.56,8.4,-1.54,-42.83,22.51,-21.19,-21.09,32.17,12.97,17.12,10.97,16.88,8.43,0.65,11.35,7.25,1.16,19.03,1.32,1.28,1.82,2.16,1.29,244.51,217.15,75.96,91,28.6,35.76,27.15,59.59,52.36,54.62,31.92,35.95,271.06,9.05,28.08,47.64,11.19,18.93,21.24,0,0,0,61.13,28.98,46.18,0
17,DB하이텍,990,19-Dec,13.44,2.1,3.18,11.19,20.64,20.86,15.45,20.51,60.45,36.43,12.96,17.4,16.82,22.45,9.71,0.75,17.05,8.04,1.33,24.06,1.34,1.7,1.99,2.26,1.36,194.01,170.41,38.58,68.91,23.21,38.43,21.14,67.56,59.2,39.2,34.39,39.15,332.91,25.48,34.08,40.8,12.16,25.1,18.97,0,0,0,67.3,34.83,46.97,0
18,ES큐브,50120,11-Dec,-245.99,0,0,0,0,0,0,0,0,27.92,-8.99,-12.61,-6.58,-6.84,-8.65,0.96,10.05,4.27,12.37,19.72,1.36,3.29,1.57,1.86,1.09,230.24,194.35,21.35,41.36,0.18,6.82,2.08,1107.72,70.74,0.25,51.85,61.43,461.69,0,37.71,29.26,15.59,27.56,34.75,5.94,0,190.86,279.2,21.71,22.56,0
19,ES큐브,50120,12-Dec,1.72,0,0,0,0,0,0,0,0,28.02,-0.64,0.29,0.19,0.16,-0.78,1.21,11.55,12.19,17.59,36.32,1.4,8.72,2.46,3.13,2.03,472.77,371.91,84.78,16.11,0.33,81.36,9.33,3402.53,86.12,0.39,38.6,49.06,297.97,0,12.05,13.88,21.33,27.06,38.68,5.92,0,189.31,565.49,38.87,32.14,0
20,ES큐브,50120,13-Dec,-37.44,1.85,-31.56,68.92,4.69,29.33,6.4,0,0,24.76,-28.08,-40.47,-2.49,-1.99,-35.23,1.25,10.55,15.18,21.87,47.35,1.43,10.48,1.92,2.35,1.69,1056.51,883.95,278.73,11.25,0.32,82.01,6.67,2558.09,89.89,0.36,68.08,81.37,334.9,0,8.57,10.11,16.33,18.04,73.67,9.15,0,475.1,65.87,3.04,2.45,0
21,ES큐브,50120,14-Dec,22.2,20.1,5.59,20.49,-24.13,-2.89,0.17,0,0,21.42,-1.38,1.15,0.33,0.38,-1.19,0.86,7.2,13.48,19.86,41.31,0.97,7.57,1.05,1.23,0.94,769.89,668.53,425.42,14.07,4.74,39.24,6.16,102.05,87.66,5.41,70.89,81.63,284.54,0,12.1,12.34,13.16,15.13,71.03,23.72,0,1663.49,251.09,10.2,12.98,0
22,ES큐브,50120,15-Dec,-11.86,-1.75,-14.4,-10.89,-5.19,11.49,1.85,0,0,27.8,-5.47,1.56,-7.24,-9.63,-4.11,0.75,6.55,14.27,19.76,35.54,0.85,6.51,0.96,1.13,0.85,765.67,639.55,492.89,12.01,3.47,0.93,0.13,2.88,89.27,3.89,61.84,74.04,211.48,0,10.83,10.73,16.47,18.95,64.37,15.29,0,1208.3,135.68,4.8,6.33,0
23,ES큐브,50120,16-Dec,8.98,89.08,258.91,23.57,-18.65,9.8,68.52,3206.73,0,28.68,62.82,38.07,2.69,6.3,26.79,0.43,4.82,13.3,7.59,31.4,0.57,1.74,0.74,0.88,0.68,1493.9,1275.25,918.41,46.68,28.34,-2.3,-2.24,-2.58,68.18,41.56,41.3,48.39,263.79,4.03,4.75,31.82,14.64,15.69,45.15,155.77,0,3482,380.46,25.56,78.38,0
24,ES큐브,50120,17-Dec,2.86,0.69,64.55,0.3,4.25,12.07,1.56,-92.01,4.05,27.1,4.86,2.41,2.13,6.29,1.65,0.34,4.53,13.8,3.83,31.59,0.49,1.07,0.7,0.83,0.66,1378.49,1153.05,654.97,45.42,27.01,5.37,4.97,6.21,68.77,39.28,40.32,48.2,199.81,4.2,5.08,31.23,16.35,17.63,44.7,0,0,0,64.47,7.08,20.96,0
25,ES큐브,50120,18-Dec,-0.82,6.17,30.79,-11.71,-5.55,10.67,-6.15,-325.15,-153.86,22.89,-18.13,-5.54,-1.11,-3.59,-5.61,0.31,3.84,11.85,2.52,31.55,0.47,0.9,0.7,0.86,0.49,119.8,95.25,71.07,58.92,31.99,1.16,1.43,1.34,62.93,50.84,31.86,40.08,356.25,94.16,53.16,37.07,20.5,124.01,6.62,0,0,0,7.67,1.04,3.45,0
26,ES큐브,50120,19-Dec,-0.68,312.66,14.02,696.75,29.45,-17.2,-18.89,0,0,18.75,-31.5,-21.76,-0.91,-5.99,-4.78,0.15,5.18,0.42,2.69,45.77,0.6,0.2,0.22,0.23,0.13,156.01,152.69,48.38,526.65,14.85,9.52,84.97,53.92,15.96,93.03,75.74,77.38,20592.7,60.81,310.83,84.04,2.13,5.93,27.78,0,0,0,-3.22,-0.12,-1.28,0
27,HJ중공업,97230,11-Dec,0.55,-6.49,-1.53,-13.26,-8.72,23.47,-4.59,0,-9.82,7.85,-3.35,-5.07,1.48,3.73,-1.33,0.4,8.86,10.97,0.91,10.41,1.51,0.54,1.12,1.29,0.52,96.33,81.81,34.4,276.93,48.42,-0.99,-1.77,-1.51,26.53,182.52,28.86,33.99,132.35,32.69,132.98,73.47,15.08,0,-1.29,510.77,33.44,2103.09,15.81,7.02,17.09,0
28,HJ중공업,97230,12-Dec,0.27,-6.42,-7.72,-4.91,-11.83,-37.93,-8.1,0,-50.99,7.49,-2.09,-2.95,0.78,2.08,-0.78,0.37,8.72,9.73,0.84,11.03,1.42,0.51,1.09,1.25,0.53,92.89,83.75,29.88,283.85,56.24,-4.99,-9.54,-6.56,26.05,215.87,31.14,34.54,96.91,46.07,142.72,73.95,9.84,0,-2.64,504.9,31.68,2254.41,19.11,8.26,21.33,0
29,HJ중공업,97230,13-Dec,-0.4,1.49,-3.21,22.63,-0.78,168.88,-4.44,0,0,2.57,-7.52,-11.28,-1.05,-2.75,-2.87,0.38,6.13,10.82,0.89,10.62,1.51,0.51,1,1.19,0.47,84.9,66.58,17.98,307.77,56.46,-4.02,-8.02,-5.38,24.52,230.21,32.72,41.73,99.6,65.15,200.42,75.48,21.58,0,-7.42,473.99,27.6,2117.34,12.86,5.36,14.16,0
30,HJ중공업,97230,14-Dec,-0.88,-3.19,-3.73,-5.07,-0.36,8.98,-3.88,0,0,-0.67,-11.9,-18.64,-2.2,-5.75,-4.56,0.38,4.01,10,0.91,9.67,1.57,0.51,0.93,1.21,0.44,93.12,70.06,12.33,311.31,52.96,-5.71,-11.1,-8.17,24.31,217.82,30.78,40.92,94.56,50.54,180.73,75.69,24.77,0,-3.02,480.42,26.62,2150.08,11,4.5,11.56,0
31,HJ중공업,97230,15-Dec,-0.5,-8.59,1.18,-8.24,23.61,33.26,-12.99,0,0,3.56,-8.38,-17.73,-1.28,-2.55,-4.21,0.5,4.07,13.54,1.15,9.65,2.12,0.66,1.23,1.76,0.55,70.83,45.35,4.75,332.17,51.58,0.21,0.31,0.31,23.14,222.9,26.3,41.08,51.9,74.48,250.64,76.86,35.97,0,-16.92,451.03,23.31,1762.3,10.88,4.95,9.4,0
32,HJ중공업,97230,16-Dec,-0.58,-11.13,-12.12,-2.36,-9.7,-22.77,-34.57,0,0,2.12,-11.89,-29.53,-1.42,-2.82,-5.99,0.5,3.63,17.69,1.09,8.73,2.49,0.63,1.17,1.73,0.52,89.96,64.36,5.26,487.19,59.62,2.53,3.92,3.52,17.03,350.07,32.29,45.13,46.24,53.65,294.57,82.97,28.45,0,-5.04,0,0,0,9.42,4.21,7.87,0
33,HJ중공업,97230,17-Dec,-1.08,-19.97,-25.45,-20.15,-12.83,5.11,-35.5,0,0,0.87,-11.34,-37.73,-2.47,-4.76,-5.87,0.52,3.54,18.47,1.17,8.59,3.33,0.61,1.15,1.7,0.48,56.89,35.58,4.37,628.81,58.98,4.8,7.11,7.03,13.72,429.87,28.16,45.03,46.74,96.67,576.82,86.28,37.46,0,-34.12,261.26,13.51,1328.64,9.62,4.08,7,0
34,HJ중공업,97230,18-Dec,0.62,-35.02,-64.36,-9.15,-30.76,-26.83,-222.45,0,0,8.29,-75.6,0,1.78,3.63,-36.99,0.49,2.76,14.13,1.4,7.12,0,0.48,0.94,1.42,0.37,80.41,56.15,10.7,0,61.15,11.7,23.73,24.1,-25.91,0,43.96,62.95,55.46,34.67,0,125.91,30.17,0,-15.34,0,0,0,61.34,14.28,23,0
35,HJ중공업,97230,19-Dec,0.69,-9.64,-3.7,-24.43,-4.07,-29.94,0,0,35.93,10.9,18.8,0,3.22,5.15,11.77,0.63,3.69,12.67,2.6,8.93,0,0.57,1.08,1.52,0.46,70.48,50.77,6.64,908.28,45.25,12.95,17.69,25.77,9.92,456.22,37.92,52.65,88.36,83.86,753.17,90.08,27.97,0,-22.05,0,0,0,54.33,13.49,20.46,0
36,MH에탄올,23150,11-Dec,0.12,-0.49,2.92,-0.67,-18.64,18.3,-8.46,0,-82.51,16.81,-9.73,-9.74,0.45,1.35,-3.24,0.33,4.99,4.83,0.6,148.03,1,0.5,0.98,1.22,0.36,58.36,45.92,5.22,214.54,8.89,2.62,5.35,20.09,31.79,27.96,26.78,34.04,81716.41,32.19,183.43,68.21,21.31,0,-24.28,689.66,18.92,2665.24,11.62,6.51,19.52,0
37,MH에탄올,23150,12-Dec,1.08,0.13,-4.55,9.48,33.46,111.27,-6.76,0,803.71,17.97,0.48,1.01,4.06,9.12,0.21,0.45,3.94,6.33,0.81,4611.92,1.45,0.64,1.25,1.83,0.47,61.27,36.07,0.73,238.69,56.9,-2.5,-3.95,-3.09,29.53,192.7,21.91,37.21,66557.71,90.04,205.72,70.47,41.13,0,-23.53,661.98,14.56,2676.94,21.39,11.43,25.71,0
38,MH에탄올,23150,13-Dec,0.87,-3.49,-1.99,-13.66,4.07,-39.29,17.05,1640.29,-44.79,12.67,11.3,16.85,2.28,4.84,5.32,0.47,3.76,5.98,0.87,6573.65,1.45,0.7,1.33,2.07,0.5,57.37,40.78,0.14,182.66,57.67,0.72,0.97,0.81,35.38,163.01,23.66,33.29,287248.6,89.08,164.02,64.62,28.92,0,-24.74,667.74,10.79,2402.37,18.55,10.06,20.98,0
39,MH에탄올,23150,14-Dec,5.62,-34.05,-48.75,-33.46,-21.25,-44.05,15.27,0,190.55,24.24,-0.41,-0.38,8.13,17.85,-0.19,0.46,5.03,4.65,0.92,26321.22,0.99,0.84,1.36,1.87,0.55,90.87,68.77,0.02,62.03,34.38,17.21,11.51,19.17,61.72,55.71,25.42,33.59,0,97.51,59.9,38.28,24.32,0,-3.38,671.64,31.87,1608.56,31.73,13.21,23.06,0
40,MH에탄올,23150,15-Dec,12.69,-7.64,2.12,-21.69,2.86,-48.43,9.65,0,26.84,27.71,15.44,14.06,13.48,22.01,9.46,0.61,9.52,4.7,1.38,0,0.91,1.87,1.97,2.48,0.97,109.55,92.01,15.38,36.47,23.57,43.92,18.4,49.79,73.27,32.17,23.92,28.48,0,97.4,35.48,26.73,16.01,183.62,2.48,778.27,45.25,1674.28,44.99,20.83,32.66,0
41,MH에탄올,23150,16-Dec,29.41,-8.43,1.48,-12.41,-2.96,53.72,9.84,4.71,7.05,30.54,16.66,13.41,15.69,24.28,10.76,0.65,10.7,4.65,1.32,0,0.81,3.27,2.32,2.96,1.39,257.95,185.46,17.87,13.77,7.58,146.33,26.21,233.68,87.89,8.63,19.59,27.25,0,93.65,12.02,12.11,28.1,45.89,16.68,860.18,47.99,1675,46.21,23.63,34.95,0
42,MH에탄올,23150,17-Dec,3.46,591.43,941.08,330.09,6.3,1.27,3.63,-17.16,-31.65,28.38,8.29,10.42,2.84,15.62,1.5,0.18,9.33,4.99,0.24,227.16,0.61,0.26,0.99,1.11,0.34,44.64,41.69,7.8,368.17,50.68,1.98,14.99,3.07,21.36,237.29,15.83,16.95,2379.05,33.04,177.74,78.64,6.62,0,-21.02,0,0,0,3.65,2.84,27.32,0
43,MH에탄올,23150,18-Dec,0.1,-12,0.34,-65.11,40.05,16.57,-5.46,-108.83,-84.87,26.47,-16.53,-0.93,0.26,1.69,-2.56,0.15,11.99,6.8,0.19,134.23,0.73,0.2,1.27,1.42,0.33,20.96,16.33,4.89,380.62,49.8,-1.14,-5.45,-1.81,20.81,239.34,5.23,6.72,1679.28,25.28,154.04,79.19,22.11,0,-25.33,0,0,0,4.32,3.83,23.15,0
44,MH에탄올,23150,19-Dec,0.73,2.57,3.08,10.95,11.1,25.01,-7.78,0,537.44,32.96,-9.34,-0.88,1.76,9.68,-1.69,0.18,11,8.08,0.2,139.98,0.95,0.22,2.59,3.39,0.33,11.62,8.73,3.21,468.69,53.23,0.01,0.06,0.02,17.58,302.7,5.46,7.27,1797.11,78.57,355.65,82.42,24.91,0,-55.27,0,0,0,5.62,5,27.91,0
45,SH에너지화학,2360,11-Dec,2.82,9.51,1.39,29.29,14.99,83.05,2.97,0,0,7.17,1.04,3.31,4.16,2.41,1.8,1.73,20.16,6.81,5.25,312.13,2.73,4.71,3.88,4.8,2.27,147.77,115.16,15.37,60.5,27.79,8.32,1.9,11.28,62.31,44.61,37.48,48.09,3032.99,99.37,52.23,37.69,22.07,68.27,15.55,293.03,120.01,939.3,44.34,13.57,8.2,0
46,SH에너지화학,2360,12-Dec,1.72,-0.97,-1.31,0.31,11.97,27.86,-0.29,-81.28,-47.6,7.8,0.11,0.61,2.1,1.13,0.2,1.86,15.32,6.81,5.88,122.34,2.98,4.96,3.85,5.14,2.36,171.22,123.05,7.42,59.82,27.55,6.4,1.28,8.7,62.57,44.03,35.01,48.71,1264.27,86,45.47,37.43,28.13,67.64,20.26,284.79,119.73,915.11,45.27,14,7.49,0
47,SH에너지화학,2360,13-Dec,5.3,6.56,-2.2,16.91,19.57,-15.95,7.81,1146.78,194.26,7.74,1.99,7.35,6,2.77,4.3,2.17,17.73,7.81,7.15,96.33,3.45,5.82,4.23,5.56,2.66,168.09,134.09,15.75,58.75,25.33,6.23,1.1,9.1,62.99,40.2,42.64,53.45,1206.44,98.21,50.48,37.01,20.23,49.93,21.65,268.24,112.79,948.14,66.7,18.86,8.98,0
48,SH에너지화학,2360,14-Dec,26.68,0.23,-2.91,2.16,-0.43,16.36,20.89,238.32,231.12,14.4,7.25,21.7,19.23,9.21,15.13,2.09,17.87,7.43,7.31,95.77,3,6.85,3.87,4.94,2.64,291.69,224.49,37.69,31.46,8.64,57.91,6.65,160.41,76.07,11.36,41.92,54.47,1384.72,0,24.55,23.93,23.04,35.06,35.8,216.82,90.48,779.27,122,33.51,16.07,1
49,SH에너지화학,2360,15-Dec,84.87,4.32,4.91,13.08,-6.27,-14.38,8.99,-22.92,7.89,17.24,5.82,14.62,20.29,10.6,11.13,1.91,16.78,7.11,6.79,130.11,2.46,8.59,3.37,4.21,2.6,399.36,329.69,115.03,26.05,5.96,103.42,11.41,358.77,79.33,7.51,48.75,59.05,2729.66,0,18.64,20.67,17.44,23.27,44.26,221.1,94.6,781.15,112.7,31.5,16.81,0
50,SH에너지화학,2360,16-Dec,210.93,7.76,-2.65,23.47,0.9,-2.75,13.99,42.44,5.02,17.69,8.26,18.66,20.08,11.04,15.02,1.82,18.61,6.05,6.78,167.45,2.23,9.87,2.87,3.39,2.4,673.11,580.63,211.38,19.6,2.86,89.01,8.31,510,83.61,3.42,58.36,67.66,2792.03,0,12.02,16.39,13.74,16.14,57.6,0,0,0,130.53,32.85,18.72,0
51,SH에너지화학,2360,17-Dec,162.17,0.66,-2.2,4.01,-13.87,72.7,3.22,-46.61,-41.16,13.98,5.25,9.21,11.35,7.54,7.91,1.51,11.92,5.24,5.98,114.68,1.78,9.9,2.19,2.68,1.95,1057.37,816.13,399.76,16.36,2.84,73.48,6.88,364.34,85.94,3.3,53.95,69.9,1678.27,0,7.69,14.06,22.82,25.2,63.29,207.04,88.11,832.85,94.63,23.24,15.48,0
52,SH에너지화학,2360,18-Dec,22.72,-2.3,-3.39,-2.1,-2.4,11.35,-1.92,-75.89,-85.19,6.68,1.11,2.21,1.7,1.14,1.64,1.48,8.69,6.5,6.01,133.77,1.72,10.59,2.12,2.8,1.95,1287.95,953.73,441.48,16.17,2.86,56.94,5.29,277.3,86.08,3.32,51.87,70.04,2749.34,0,6.32,13.92,25.95,28.13,64.61,0,0,0,67.41,16.27,10.85,0
53,SH에너지화학,2360,19-Dec,-24.12,0.8,10.49,-2.57,-23.28,-24.72,-5.94,-223.7,-249.05,4.73,-2.19,-2.84,-2.55,-2.22,-2.51,1.15,7.22,6.14,4.45,140.69,1.38,6.79,1.66,2.16,1.54,1110.48,887.83,542.25,24.66,7.1,43.59,7.56,121.45,80.22,8.85,54.13,67.71,1864.22,41.4,7.6,19.78,20.05,22.03,61.61,0,0,0,44.32,11.1,9.73,0
54,SNT에너지,100840,11-Dec,-9.21,8.9,0,18.56,-8.7,183.5,-4.06,0,0,7.22,-2.13,-2.53,-2.49,-3.38,-1.57,0.74,18.73,4.55,1.59,4.55,1.19,1.93,1.46,1.58,0.91,151.52,135.46,21.28,72.18,7.23,-14.12,-8.38,-81.86,58.08,12.45,47.03,52.61,137.93,0,59.78,41.92,10.6,31.18,17.89,666.06,31.4,1502.78,-4.14,-1.83,-2.6,0
55,SNT에너지,100840,12-Dec,77.44,5.89,-0.24,11,18.12,12.87,14.14,0,0,16.85,3.94,5.29,5.32,6.56,3.19,0.81,14.06,3.95,1.88,5.49,1.34,2.05,1.5,1.68,0.94,182.56,162.88,51.29,59.73,1.66,4.27,2.03,96.23,62.6,2.65,49.2,55.14,140.21,0,48.25,37.4,10.78,23.84,24.94,627.13,29.02,1501.55,-3.2,-1.34,-1.7,0
56,SNT에너지,100840,13-Dec,50.81,6.45,-1.57,12.29,-12.98,2.22,8.11,78.15,11.05,19.4,8.06,8.49,5.56,8.37,5.36,0.66,11.41,4.16,1.65,5.18,1.05,1.8,1.17,1.31,0.77,197.1,177.76,71.62,57.28,1.67,20.6,11.65,450.13,63.58,2.62,52.46,58.17,108.13,0,46.42,36.42,9.81,19.92,28.66,575.92,19.65,1491.27,30.03,11.6,18.01,0
57,SNT에너지,100840,14-Dec,41.09,-2.3,-0.25,-5.96,20.92,-0.26,4.82,-30.42,-18.01,16.12,4.64,5.55,4.47,5.68,3.66,0.79,13.66,5.39,2.02,7.05,1.2,2.31,1.38,1.54,0.93,222.54,199.37,50.89,46.6,1.82,-2.4,-0.96,-42,68.21,2.66,50.16,55.99,158.47,0,36.88,31.79,10.41,18.9,30.83,550.41,19.18,1396.84,26.6,10.48,13.15,0
58,SNT에너지,100840,15-Dec,359.1,3.84,-1.13,7.96,7.15,-39.74,11.4,139.96,146.18,22.22,10.39,12.31,10.93,13.04,8.71,0.84,18.29,4.59,2.18,8.57,1.18,2.86,1.47,1.6,1.05,286.28,269.65,49.36,36.64,0,-13.31,-4.34,0,73.18,0,54.83,58.21,216.31,0,27.78,26.82,5.81,8.93,37.88,511.7,15.31,1362.91,45.23,16.98,20.65,0
