,회사명,거래소코드,회계년도,이자보상배율,부실기업
135,(주)갤럭시아에스엠,11420,2015,5.69,
136,(주)갤럭시아에스엠,11420,2016,-18.76,
137,(주)갤럭시아에스엠,11420,2017,-35.52,1.0
138,(주)갤럭시아에스엠,11420,2018,-157.86,1.0
139,(주)갤럭시아에스엠,11420,2019,-8.95,1.0
140,(주)경농,2100,2011,4.52,
141,(주)경농,2100,2012,5.6,
142,(주)경농,2100,2013,4.81,
143,(주)경농,2100,2014,4.53,
144,(주)경농,2100,2015,3.96,
145,(주)경농,2100,2016,3.5,
146,(주)경농,2100,2017,2.8,
147,(주)경농,2100,2018,5.16,
148,(주)경농,2100,2019,2.2,
149,(주)경동나비엔,9450,2011,12.0,
150,(주)경동나비엔,9450,2012,11.7,
151,(주)경동나비엔,9450,2013,14.4,
152,(주)경동나비엔,9450,2014,4.93,
153,(주)경동나비엔,9450,2015,6.98,
154,(주)경동나비엔,9450,2016,25.05,
155,(주)경동나비엔,9450,2017,30.33,
156,(주)경동나비엔,9450,2018,11.32,
157,(주)경동나비엔,9450,2019,11.06,
158,(주)경동도시가스,267290,2017,66.86,
159,(주)경동도시가스,267290,2018,98.82,
160,(주)경동도시가스,267290,2019,29.28,
161,(주)경동인베스트,12320,2011,11.03,
162,(주)경동인베스트,12320,2012,17.71,
163,(주)경동인베스트,12320,2013,27.91,
164,(주)경동인베스트,12320,2014,20.25,
165,(주)경동인베스트,12320,2015,-4.35,
166,(주)경동인베스트,12320,2016,7.92,
167,(주)경동인베스트,12320,2017,9.05,
168,(주)경동인베스트,12320,2018,10.67,
169,(주)경동인베스트,12320,2019,5.29,
170,(주)경방,50,2011,1.15,
171,(주)경방,50,2012,0.36,
172,(주)경방,50,2013,2.58,
173,(주)경방,50,2014,2.47,
174,(주)경방,50,2015,3.9,
175,(주)경방,50,2016,5.54,
176,(주)경방,50,2017,6.35,
177,(주)경방,50,2018,5.13,
178,(주)경방,50,2019,3.59,
179,(주)경보제약,214390,2015,29.2,
180,(주)경보제약,214390,2016,16.24,
181,(주)경보제약,214390,2017,24.47,
182,(주)경보제약,214390,2018,19.43,
183,(주)경보제약,214390,2019,4.77,
184,(주)경인양행,12610,2011,1.77,
185,(주)경인양행,12610,2012,1.26,
186,(주)경인양행,12610,2013,5.73,
187,(주)경인양행,12610,2014,7.16,
188,(주)경인양행,12610,2015,4.19,
189,(주)경인양행,12610,2016,6.44,
190,(주)경인양행,12610,2017,3.12,
191,(주)경인양행,12610,2018,5.68,
192,(주)경인양행,12610,2019,4.66,
193,(주)고려시멘트,198440,2014,,
194,(주)고려시멘트,198440,2015,,
195,(주)고려시멘트,198440,2016,,
196,(주)고려시멘트,198440,2017,16.79,
197,(주)고려시멘트,198440,2018,9.2,
198,(주)고려시멘트,198440,2019,-1.08,
199,(주)고영테크놀러지,98460,2011,22785.6,
200,(주)고영테크놀러지,98460,2012,1627.45,
201,(주)고영테크놀러지,98460,2013,443.96,
202,(주)고영테크놀러지,98460,2014,1673.12,
203,(주)고영테크놀러지,98460,2015,2242.05,
204,(주)고영테크놀러지,98460,2016,2001.96,
