,회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
101,갤럭시아에스엠,11420,2018-12,-157.86,-8.95,1.0,,
102,갤럭시아에스엠,11420,2019-12,-8.95,,1.0,,
104,경동인베스트,12320,2012-12,17.71,27.91,0.0,,
105,경동인베스트,12320,2013-12,27.91,20.25,0.0,,
106,경동인베스트,12320,2014-12,20.25,-4.35,0.0,,
107,경동인베스트,12320,2015-12,-4.35,7.92,1.0,,
108,경동인베스트,12320,2016-12,7.92,9.05,0.0,,
109,경동인베스트,12320,2017-12,9.05,10.67,0.0,,
110,경동인베스트,12320,2018-12,10.67,5.29,0.0,,
111,경동인베스트,12320,2019-12,5.29,,0.0,,
113,경방,50,2012-12,0.36,2.58,1.0,,
114,경방,50,2013-12,2.58,2.47,0.0,,
115,경방,50,2014-12,2.47,3.9,0.0,,
116,경방,50,2015-12,3.9,5.54,0.0,,
117,경방,50,2016-12,5.54,6.35,0.0,,
118,경방,50,2017-12,6.35,5.13,0.0,,
119,경방,50,2018-12,5.13,3.59,0.0,,
120,경방,50,2019-12,3.59,,0.0,,
122,골드앤에스,35290,2012-12,-1.91,-3.83,1.0,,
123,골드앤에스,35290,2013-12,-3.83,-1.41,1.0,,
124,골드앤에스,35290,2014-12,-1.41,1.99,1.0,,
125,골드앤에스,35290,2015-12,1.99,2.42,0.0,,
126,골드앤에스,35290,2016-12,2.42,-26.15,0.0,,
127,골드앤에스,35290,2017-12,-26.15,-4.56,1.0,,
128,골드앤에스,35290,2018-12,-4.56,-1.46,1.0,,
129,골드앤에스,35290,2019-12,-1.46,,1.0,,
131,골드퍼시픽,38530,2012-12,2.66,-11.34,0.0,,
132,골드퍼시픽,38530,2013-12,-11.34,-4.33,1.0,,
133,골드퍼시픽,38530,2014-12,-4.33,-9.59,1.0,,
134,골드퍼시픽,38530,2015-12,-9.59,-17.43,1.0,,
135,골드퍼시픽,38530,2016-12,-17.43,0.62,1.0,,
136,골드퍼시픽,38530,2017-12,0.62,-0.68,1.0,,
137,골드퍼시픽,38530,2018-12,-0.68,-0.89,1.0,,
138,골드퍼시픽,38530,2019-12,-0.89,,1.0,,
140,골프존뉴딘홀딩스,121440,2012-12,31.08,25.98,0.0,,
141,골프존뉴딘홀딩스,121440,2013-12,25.98,22.05,0.0,,
142,골프존뉴딘홀딩스,121440,2014-12,22.05,-1.54,0.0,,
143,골프존뉴딘홀딩스,121440,2015-12,-1.54,5.22,1.0,,
144,골프존뉴딘홀딩스,121440,2016-12,5.22,2.81,0.0,,
145,골프존뉴딘홀딩스,121440,2017-12,2.81,0.15,0.0,,
146,골프존뉴딘홀딩스,121440,2018-12,0.15,-0.36,1.0,,
147,골프존뉴딘홀딩스,121440,2019-12,-0.36,,1.0,,
149,광림,14200,2012-12,1.71,6.18,0.0,,
150,광림,14200,2013-12,6.18,0.7,0.0,,
151,광림,14200,2014-12,0.7,0.43,1.0,,
152,광림,14200,2015-12,0.43,0.16,1.0,,
153,광림,14200,2016-12,0.16,-3.19,1.0,,
154,광림,14200,2017-12,-3.19,-0.23,1.0,,
155,광림,14200,2018-12,-0.23,-2.3,1.0,,
156,광림,14200,2019-12,-2.3,,1.0,,
158,광명전기,17040,2012-12,3.63,11.84,0.0,,
159,광명전기,17040,2013-12,11.84,19.42,0.0,,
