,회사명,거래소코드,회계년도,이자보상배율,부실기업,이보배2,회생여부
89,강원에너지,114190,Dec-15,187.51,0.0,-241.54,
90,강원에너지,114190,Dec-16,-241.54,0.0,-26.56,
91,강원에너지,114190,Dec-17,-26.56,1.0,0.2,
92,강원에너지,114190,Dec-18,0.2,1.0,-8.38,
93,강원에너지,114190,Dec-19,-8.38,1.0,,
94,갤럭시아에스엠,11420,Dec-11,6.31,0.0,3.79,
95,갤럭시아에스엠,11420,Dec-12,3.79,0.0,1.9,
96,갤럭시아에스엠,11420,Dec-13,1.9,0.0,-0.88,
97,갤럭시아에스엠,11420,Dec-14,-0.88,0.0,5.69,
98,갤럭시아에스엠,11420,Dec-15,5.69,0.0,-18.76,
99,갤럭시아에스엠,11420,Dec-16,-18.76,0.0,-35.52,
100,갤럭시아에스엠,11420,Dec-17,-35.52,1.0,-157.86,
101,갤럭시아에스엠,11420,Dec-18,-157.86,1.0,-8.95,
102,갤럭시아에스엠,11420,Dec-19,-8.95,1.0,,
103,경동인베스트,12320,Dec-11,11.03,0.0,17.71,
104,경동인베스트,12320,Dec-12,17.71,0.0,27.91,
105,경동인베스트,12320,Dec-13,27.91,0.0,20.25,
106,경동인베스트,12320,Dec-14,20.25,0.0,-4.35,
107,경동인베스트,12320,Dec-15,-4.35,0.0,7.92,
108,경동인베스트,12320,Dec-16,7.92,0.0,9.05,
109,경동인베스트,12320,Dec-17,9.05,0.0,10.67,
110,경동인베스트,12320,Dec-18,10.67,0.0,5.29,
111,경동인베스트,12320,Dec-19,5.29,0.0,,
112,경방,50,Dec-11,1.15,0.0,0.36,
113,경방,50,Dec-12,0.36,0.0,2.58,
114,경방,50,Dec-13,2.58,0.0,2.47,
115,경방,50,Dec-14,2.47,0.0,3.9,
116,경방,50,Dec-15,3.9,0.0,5.54,
117,경방,50,Dec-16,5.54,0.0,6.35,
118,경방,50,Dec-17,6.35,0.0,5.13,
119,경방,50,Dec-18,5.13,0.0,3.59,
120,경방,50,Dec-19,3.59,0.0,,
121,골드앤에스,35290,Dec-11,1.13,0.0,-1.91,
122,골드앤에스,35290,Dec-12,-1.91,0.0,-3.83,
123,골드앤에스,35290,Dec-13,-3.83,1.0,-1.41,
124,골드앤에스,35290,Dec-14,-1.41,1.0,1.99,
125,골드앤에스,35290,Dec-15,1.99,0.0,2.42,1.0
126,골드앤에스,35290,Dec-16,2.42,0.0,-26.15,
127,골드앤에스,35290,Dec-17,-26.15,0.0,-4.56,
128,골드앤에스,35290,Dec-18,-4.56,1.0,-1.46,
129,골드앤에스,35290,Dec-19,-1.46,1.0,,
130,골드퍼시픽,38530,Dec-11,14.16,0.0,2.66,
131,골드퍼시픽,38530,Dec-12,2.66,0.0,-11.34,
132,골드퍼시픽,38530,Dec-13,-11.34,0.0,-4.33,
133,골드퍼시픽,38530,Dec-14,-4.33,1.0,-9.59,
134,골드퍼시픽,38530,Dec-15,-9.59,1.0,-17.43,
135,골드퍼시픽,38530,Dec-16,-17.43,1.0,0.62,
136,골드퍼시픽,38530,Dec-17,0.62,1.0,-0.68,
137,골드퍼시픽,38530,Dec-18,-0.68,1.0,-0.89,
138,골드퍼시픽,38530,Dec-19,-0.89,1.0,,
139,골프존뉴딘홀딩스,121440,Dec-11,1101.46,0.0,31.08,
140,골프존뉴딘홀딩스,121440,Dec-12,31.08,0.0,25.98,
141,골프존뉴딘홀딩스,121440,Dec-13,25.98,0.0,22.05,
142,골프존뉴딘홀딩스,121440,Dec-14,22.05,0.0,-1.54,
143,골프존뉴딘홀딩스,121440,Dec-15,-1.54,0.0,5.22,
144,골프존뉴딘홀딩스,121440,Dec-16,5.22,0.0,2.81,
145,골프존뉴딘홀딩스,121440,Dec-17,2.81,0.0,0.15,
146,골프존뉴딘홀딩스,121440,Dec-18,0.15,0.0,-0.36,
147,골프존뉴딘홀딩스,121440,Dec-19,-0.36,1.0,,
148,광림,14200,Dec-11,4.55,0.0,1.71,
