회사명,거래소코드,회계년도,부가가치(IFRS연결),유형자산(IFRS연결),건설중인자산(IFRS연결),부가가치(IFRS개별),유형자산(IFRS개별),건설중인자산(IFRS개별)
(주)SNT홀딩스,36530,16-Dec,230370.32,0,11797205,6611.38,35654,0
(주)SNT홀딩스,36530,17-Dec,220383.89,0,6653359,4405.14,19895,0
(주)SNT홀딩스,36530,18-Dec,283495.5,0,14610465,6864.34,2888,0
(주)SNT홀딩스,36530,19-Dec,320323.23,0,23474134,10601.11,59663,0
(주)STX,11810,11-Dec,524043,0,27862000,236828,72801000,0
(주)STX,11810,12-Dec,-139686,0,201250000,92155,69598000,0
(주)STX,11810,13-Dec,-1245149,0,0,-1518511,62152000,0
(주)STX,11810,14-Dec,505161,0,0,390447,57120000,0
(주)STX,11810,15-Dec,79567,0,125000,-7212,53714000,0
(주)STX,11810,16-Dec,-345167,0,234000,-408612,30798000,0
(주)STX,11810,17-Dec,416114,26090000,364000,366717,29631000,0
(주)STX,11810,18-Dec,83521,0,16000,28236,28464000,0
(주)STX,11810,19-Dec,51064,0,69000,-15090,43245000,0
(주)TCC스틸,2710,11-Dec,50799.6,0,1119494,47387.55,75283350,1119494
(주)TCC스틸,2710,12-Dec,49856.28,0,16963339,44247.81,71554979,743100
(주)TCC스틸,2710,13-Dec,40058.31,0,4938140,37086.29,71255687,0
(주)TCC스틸,2710,14-Dec,66638.24,0,3997004,38278.43,68743151,0
(주)TCC스틸,2710,15-Dec,46811.29,106445325,0,-113808.25,50635593,0
(주)TCC스틸,2710,16-Dec,81464.7,0,101346,53606.1,43730610,101346
(주)TCC스틸,2710,17-Dec,61493.36,0,19800,30346.26,45541678,19800
(주)TCC스틸,2710,18-Dec,75995.51,0,306250,44068.24,43204124,306250
(주)TCC스틸,2710,19-Dec,74428.93,0,2512043,42215.18,47129444,2512043
(주)가비아,79940,11-Dec,25788.11,0,0,15017.54,7163470,0
(주)가비아,79940,12-Dec,31058.09,1448018,0,17319.4,23749485,0
(주)가비아,79940,13-Dec,32828.8,0,0,16859.32,22732962,0
(주)가비아,79940,14-Dec,34179.94,2512377,0,19430.85,22313113,0
(주)가비아,79940,15-Dec,41698.24,0,0,22440.14,22210592,0
(주)가비아,79940,16-Dec,45412.89,0,0,23132.9,22429866,0
(주)가비아,79940,17-Dec,48683,0,579154,22812.97,22362004,435654
(주)가비아,79940,18-Dec,62241.08,0,3862712,24805.77,24425180,1738220
(주)가비아,79940,19-Dec,133089.93,0,21744142,29591.96,39724951,9795289
(주)강스템바이오텍,217730,15-Dec,,,,-2880.72,2980005,0
(주)강스템바이오텍,217730,16-Dec,,,,-5090.69,4039297,1068262
(주)강스템바이오텍,217730,17-Dec,-646.49,0,7327062,-2123.85,12480829,7327062
(주)강스템바이오텍,217730,18-Dec,-3330.3,0,9547126,-5971.99,14220013,9547126
(주)강스템바이오텍,217730,19-Dec,-13446.01,0,25963956,-16534.36,22738650,18450622
(주)강원랜드,35250,11-Dec,778291.81,0,111936204,783195.28,1302068954,110537110
(주)강원랜드,35250,12-Dec,712817.68,0,34660762,693820.93,1334113267,22045367
(주)강원랜드,35250,13-Dec,837925.02,0,70878212,824512.27,1327018456,25757113
(주)강원랜드,35250,14-Dec,904075.49,0,72921157,899930.11,1284798892,41557550
(주)강원랜드,35250,15-Dec,1021274.04,0,63789006,1001297.65,1253601276,32826352
(주)강원랜드,35250,16-Dec,1043222,0,52323443,1037898.56,1254129261,52323443
(주)강원랜드,35250,17-Dec,1000137.64,0,93200856,1011578.3,1253403658,93200856
(주)강원랜드,35250,18-Dec,833429.97,0,29571131,846353.62,1299058388,29571131
(주)강원랜드,35250,19-Dec,908009,0,37071729,906619.21,1353732478,36221457
(주)강원에너지,114190,11-Nov,,,,12844.61,3912294,0
(주)강원에너지,114190,12-Dec,,,,18760.61,4416402,203000
(주)강원에너지,114190,13-Dec,,,,12256.79,4787448,585000
(주)강원에너지,114190,14-Dec,,,,8510.74,10004091,261301
(주)강원에너지,114190,15-Dec,7820.6,0,2774080,9171.31,9712091,6048
(주)강원에너지,114190,16-Dec,8145.29,0,4973974,8913.55,9490734,47700
(주)강원에너지,114190,17-Dec,687.17,0,6052413,713.82,9242859,47700
(주)강원에너지,114190,18-Dec,11600.03,0,6052413,11569.08,8853092,47700
(주)강원에너지,114190,19-Dec,-24497.97,0,7635782,-22522.15,9089689,628097
(주)갤럭시아에스엠,11420,11-Dec,16289.29,0,0,14937.6,263856,0
(주)갤럭시아에스엠,11420,12-Dec,11304.39,0,0,9721.11,244196,0
(주)갤럭시아에스엠,11420,13-Dec,4540.45,0,0,3928.36,258052,0
(주)갤럭시아에스엠,11420,14-Dec,5477.95,0,0,3400.02,170073,0
(주)갤럭시아에스엠,11420,15-Dec,10705.78,0,0,10216.63,428742,0
