회사명,거래소코드,회계년도,[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[제조]매출액(수익)(*)(IFRS),[제조]부채(*)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]부채(*)(IFRS연결)
(주)SNT에너지,100840,2011/12,-17274075,195318747,115915976,,,
(주)SNT에너지,100840,2012/12,26635237,230707564,109495724,,,
(주)SNT에너지,100840,2013/12,20128884,200750984,113510608,,,
(주)SNT에너지,100840,2014/12,-24774316,242746888,96799312,,,
(주)SNT에너지,100840,2015/12,2204846,260094045,84796156,,,
(주)SNT에너지,100840,2016/12,35017765,254089906,118242778,,,
(주)SNT에너지,100840,2017/12,-5579426,184091945,66449368,,,
(주)SNT에너지,100840,2018/12,14435813,139516396,49715044,,,
(주)SNT에너지,100840,2019/12,-40057737,202822913,85846184,-40064824,213326726,88942325
(주)SNT홀딩스,036530,2010/12,989988,2068556,624840,68227634,1500160508,761001718
(주)SNT홀딩스,036530,2011/12,9351556,2257851,284900,86981830,1663846065,813820784
(주)SNT홀딩스,036530,2012/12,8670824,8718270,352990,57310654,1668749904,756881039
(주)SNT홀딩스,036530,2013/12,7969284,8826810,484426,94174241,1576368464,774810996
(주)SNT홀딩스,036530,2014/12,6847661,7701882,381380,95278602,1552374806,683347926
(주)SNT홀딩스,036530,2015/12,7958287,8475099,8658519,120263344,1612746929,640062214
(주)SNT홀딩스,036530,2016/12,761622,9818190,318763,143865685,1537700275,679285814
(주)SNT홀딩스,036530,2017/12,6184231,7417869,299279,104208804,1508152132,626881784
(주)SNT홀딩스,036530,2018/12,6691516,7292112,231691,128942884,1401307482,610559077
(주)SNT홀딩스,036530,2019/12,10098608,11015928,233270,89185851,1512114565,610745978
(주)STX,011810,2010/12,61499000,3191730000,1888189000,-90116000,4045884000,4470088000
(주)STX,011810,2011/12,-108220000,4173397000,2137600000,55801000,5967701000,3318233000
(주)STX,011810,2012/12,159192000,4116767000,2103344000,250636000,6159850000,3560390000
(주)STX,011810,2013/12,85353000,1895063000,1608657000,130779000,2449401000,1852183000
(주)STX,011810,2014/12,-78562000,1291351000,1015539000,-76097000,1634606000,1161340000
(주)STX,011810,2015/12,28936000,1362127000,985227000,-15950000,1630827000,1194882000
(주)STX,011810,2016/12,31638000,1465561000,956569000,57833000,1720153000,1038305000
(주)STX,011810,2017/12,93844000,1595494000,475683000,100295000,1803878000,584982000
(주)STX,011810,2018/12,-51274000,1329890000,384545000,-48114000,1502985000,490033000
(주)STX,011810,2019/12,12558000,1237876000,412118000,528000,1471164000,503816000
(주)TCC스틸,002710,2010/12,-13052519,412110088,163202323,-19319095,460900040,189469675
(주)TCC스틸,002710,2011/12,-8210627,456928069,202126588,-10245999,514424043,228887542
(주)TCC스틸,002710,2012/12,10878979,440568155,228887219,-4610373,501337475,321015196
(주)TCC스틸,002710,2013/12,21218485,419483813,234118683,-29220038,500832754,337970494
(주)TCC스틸,002710,2014/12,13870764,401323585,251203934,-21440429,518995240,361962559
(주)TCC스틸,002710,2015/12,36353152,350074629,254095791,30047778,495795871,290382095
(주)TCC스틸,002710,2016/12,-34206656,317235565,158254682,-35273178,444453635,179577101
(주)TCC스틸,002710,2017/12,-7248002,333762378,159269192,-1168958,391370092,177776736
(주)TCC스틸,002710,2018/12,13968719,351301866,169783970,21492009,413176279,192535369
(주)TCC스틸,002710,2019/12,-251282,339334364,172763630,-6746810,437173902,197366953
(주)가비아,079940,2010/12,6500793,26065926,12848144,10252881,40623302,15686573
(주)가비아,079940,2011/12,6750777,33792831,12997135,9650833,52838864,16288697
(주)가비아,079940,2012/12,9005290,38482449,20630538,13224986,69058144,26299269
(주)가비아,079940,2013/12,6245989,40507693,17328806,12813443,70675565,22631067
(주)가비아,079940,2014/12,8696486,43906243,17836566,16223625,80432047,23034370
