회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별),재고자산(IFRS개별)
(주)SNT홀딩스,36530,Dec-12,1668749904,998857779,280540811,8718270,40740917,0
(주)SNT홀딩스,36530,Dec-13,1576368464,1070812404,311174402,8826810,49212139,0
(주)SNT홀딩스,36530,Dec-14,1552374806,994978341,283952471,7701882,47079948,0
(주)SNT홀딩스,36530,Dec-15,1612746929,1140793639,268780766,8475099,100040105,0
(주)SNT홀딩스,36530,Dec-16,1537700275,1205349271,236908975,9818190,97449826,0
(주)SNT홀딩스,36530,Dec-17,1508152132,1187727595,215870141,7417869,98229088,0
(주)SNT홀딩스,36530,Dec-18,1401307482,1168023374,220256725,7292112,89557460,0
(주)SNT홀딩스,36530,Dec-19,1512114565,1266526398,229809615,11015928,31735933,0
(주)STX,11810,Dec-11,5967701000,1430457000,315306000,4173397000,993206000,240418000
(주)STX,11810,Dec-12,6159850000,1484305000,182590000,4116767000,856988000,108537000
(주)STX,11810,Dec-13,2449401000,793607000,94076000,1895063000,640293000,47749000
(주)STX,11810,Dec-14,1634606000,893610000,207648000,1291351000,728283000,148535000
(주)STX,11810,Dec-15,1630827000,902119000,316312000,1362127000,663016000,143454000
(주)STX,11810,Dec-16,1720153000,486347000,226131000,1465561000,441306000,139765000
(주)STX,11810,Dec-17,1803878000,475786000,181620000,1595494000,349891000,103343000
(주)STX,11810,Dec-18,1502985000,422861000,129417000,1329890000,297842000,89120000
(주)STX,11810,Dec-19,1471164000,386401000,118778000,1237876000,292473000,89664000
(주)TCC스틸,2710,Dec-11,514424043,183481284,79633257,456928069,163515113,76580688
(주)TCC스틸,2710,Dec-12,501337475,218440703,100648536,440568155,168674581,75866000
(주)TCC스틸,2710,Dec-13,500832754,220034732,117184576,419483813,150092488,62722660
(주)TCC스틸,2710,Dec-14,518995240,233224033,124343812,401323585,141191905,59114758
(주)TCC스틸,2710,Dec-15,495795871,240184174,48965898,350074629,202116240,45683627
(주)TCC스틸,2710,Dec-16,444453635,120777516,51850499,317235565,97007914,44890754
(주)TCC스틸,2710,Dec-17,391370092,120243911,52771855,333762378,101914014,48077587
