회사명,거래소코드,회계년도,당기자본(IFRS연결),전기자본(IFRS연결),당기자본(IFRS개별),전기자본(IFRS개별)
(주)TCC스틸,2710,Dec-11,225441968,225441968,205616971,205616971
(주)TCC스틸,2710,Dec-12,225998781,225998781,209755733,209755733
(주)TCC스틸,2710,Dec-13,205738102,205738102,210086242,210086242
(주)TCC스틸,2710,Dec-14,189038004,189038004,210093654,210093654
(주)TCC스틸,2710,Dec-15,86012476,86012476,76555951,76555951
(주)TCC스틸,2710,Dec-16,103337634,100863852,92623510,90149728
(주)TCC스틸,2710,Dec-17,100915803,100915803,89627045,89627045
(주)TCC스틸,2710,Dec-18,112246210,112246210,98351707,98351707
(주)TCC스틸,2710,Dec-19,116843135,116843135,97501452,97501452
(주)가비아,79940,Dec-11,48665742,48665742,24298687,24298687
(주)가비아,79940,Dec-12,58945247,58945247,31165211,31165211
(주)가비아,79940,Dec-13,68600227,68600227,34822978,34822978
(주)가비아,79940,Dec-14,75509702,75509702,38147677,38147677
(주)가비아,79940,Dec-15,84096148,84096148,42470259,42470259
(주)가비아,79940,Dec-16,95951841,95951841,45413712,45413712
(주)가비아,79940,Dec-17,99896520,99896520,47662984,47662984
(주)가비아,79940,Dec-18,114187490,114187490,49832912,49832912
(주)가비아,79940,Dec-19,134959139,134959139,54084066,54084066
(주)강스템바이오텍,217730,Dec-15,,,21237036,21237036
(주)강스템바이오텍,217730,Dec-16,,22976911,22976911,22976911
(주)강스템바이오텍,217730,Dec-17,24482163,23404899,24668128,23590864
(주)강스템바이오텍,217730,Dec-18,47581374,47581374,47944961,47944961
(주)강스템바이오텍,217730,Dec-19,68719236,68719236,70845209,70845209
(주)강원랜드,35250,Dec-11,2257362696,2257362696,2278202202,2278202202
(주)강원랜드,35250,Dec-12,2372026990,2372026990,2383160603,2383160603
(주)강원랜드,35250,Dec-13,2517696496,2517696496,2523962938,2523962938
(주)강원랜드,35250,Dec-14,2705357485,2705357485,2716175018,2716175018
(주)강원랜드,35250,Dec-15,2997755205,2997755205,2997442337,2997442337
(주)강원랜드,35250,Dec-16,3252727459,3252727459,3252738063,3252738063
(주)강원랜드,35250,Dec-17,3501235933,3501235933,3500789656,3500789656
(주)강원랜드,35250,Dec-18,3586777089,3586777089,3586452533,3586452533
(주)강원랜드,35250,Dec-19,3717759076,3717759076,3718433001,3718433001
(주)강원에너지,114190,Nov-11,,,24502434,24502434
(주)강원에너지,114190,Dec-12,,,36107930,36107930
(주)강원에너지,114190,Dec-13,,,45877155,45877155
(주)강원에너지,114190,Dec-14,,50445491,50445491,50445491
(주)강원에너지,114190,Dec-15,56583901,56583901,54880924,54880924
(주)강원에너지,114190,Dec-16,55088690,55088690,53746356,53746356
(주)강원에너지,114190,Dec-17,48303010,48303010,47117020,47117020
(주)강원에너지,114190,Dec-18,50203707,50203707,49286354,49286354
(주)강원에너지,114190,Dec-19,21124556,20822913,22904034,22602390
(주)갤럭시아에스엠,11420,Dec-11,25274017,25274017,24539613,24539613
(주)갤럭시아에스엠,11420,Dec-12,25907252,25907252,25153401,25153401
