회사명,거래소코드,회계년도,매출액증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS)
(주)가비아,79940,Dec-11,29.64,0,12.83
(주)가비아,79940,Dec-12,13.88,539.85,28.26
(주)가비아,79940,Dec-13,5.26,-12.35,11.74
(주)가비아,79940,Dec-14,8.39,0,9.55
(주)가비아,79940,Dec-15,10.34,0,11.33
(주)가비아,79940,Dec-16,2.03,0,6.93
(주)가비아,79940,Dec-17,5.94,0,4.95
(주)가비아,79940,Dec-18,5.41,0,4.55
(주)가비아,79940,Dec-19,5.54,0,8.53
(주)강스템바이오텍,217730,Dec-15,0,0,0
(주)강스템바이오텍,217730,Dec-16,-43.23,74.02,8.19
(주)강스템바이오텍,217730,Dec-17,540.04,196.02,7.36
(주)강스템바이오텍,217730,Dec-18,-81.44,-70.9,94.36
(주)강스템바이오텍,217730,Dec-19,-71.82,-93.16,47.76
(주)강원랜드,35250,Dec-11,-3.79,13.87,8.09
(주)강원랜드,35250,Dec-12,2.31,-46.54,4.61
(주)강원랜드,35250,Dec-13,4.95,24.38,5.91
(주)강원랜드,35250,Dec-14,9.98,-19.31,7.62
(주)강원랜드,35250,Dec-15,9.29,34.59,10.36
(주)강원랜드,35250,Dec-16,3.9,-19.25,8.52
(주)강원랜드,35250,Dec-17,-5.41,-0.76,7.63
(주)강원랜드,35250,Dec-18,-10.41,-12.01,2.45
(주)강원랜드,35250,Dec-19,5.68,217.54,3.68
(주)강원에너지,114190,Nov-11,64.02,439.86,27.16
(주)강원에너지,114190,Dec-12,0,0,0
(주)강원에너지,114190,Dec-13,-52.42,-45.21,27.06
(주)강원에너지,114190,Dec-14,1.62,-16.77,9.96
(주)강원에너지,114190,Dec-15,-5.11,-28.95,8.79
(주)강원에너지,114190,Dec-16,-9.02,-72.83,-2.07
(주)강원에너지,114190,Dec-17,86.99,7.8,-12.33
(주)강원에너지,114190,Dec-18,3.36,50.46,4.6
(주)강원에너지,114190,Dec-19,-50.47,-78.15,-53.53
(주)갤럭시아에스엠,11420,Dec-11,-25.23,0,8.59
(주)갤럭시아에스엠,11420,Dec-12,17.12,0,2.5
(주)갤럭시아에스엠,11420,Dec-13,-17.37,0,-10.66
(주)갤럭시아에스엠,11420,Dec-14,6.87,0,4.14
(주)갤럭시아에스엠,11420,Dec-15,62.85,0,116.5
(주)갤럭시아에스엠,11420,Dec-16,-15.1,0,-11.48
(주)갤럭시아에스엠,11420,Dec-17,-19.16,0,-9.71
(주)갤럭시아에스엠,11420,Dec-18,-40.33,0,-33.82
(주)갤럭시아에스엠,11420,Dec-19,30.42,0,-18.65
(주)경농,2100,Dec-11,-15.6,-1.88,-1.57
(주)경농,2100,Dec-12,8.53,-0.43,3.76
(주)경농,2100,Dec-13,6.27,0.8,7.39
(주)경농,2100,Dec-14,-3.18,-0.43,3.87
(주)경농,2100,Dec-15,2.08,20.49,2.4
(주)경농,2100,Dec-16,4.07,5.99,2.12
(주)경농,2100,Dec-17,-0.02,2.73,3.53
(주)경농,2100,Dec-18,2.12,-0.29,2.25
(주)경농,2100,Dec-19,3.51,10.94,2.05
(주)경동나비엔,9450,Dec-11,14.37,24.71,4.76
(주)경동나비엔,9450,Dec-12,7.25,-18.6,6.24
(주)경동나비엔,9450,Dec-13,8.87,10.4,6.11
(주)경동나비엔,9450,Dec-14,2.9,9.48,4.02
(주)경동나비엔,9450,Dec-15,17.24,-4.21,10.25
(주)경동나비엔,9450,Dec-16,12.89,4.82,13.49
(주)경동나비엔,9450,Dec-17,12.59,38.63,5.63
(주)경동나비엔,9450,Dec-18,8.47,31.42,8.25
(주)경동나비엔,9450,Dec-19,6.04,-11.52,5.91
(주)경동도시가스,267290,Dec-17,,,
(주)경동도시가스,267290,Dec-18,0,0,0
(주)경동도시가스,267290,Dec-19,-11.45,2.6,5.94
(주)경동인베스트,12320,Dec-11,40.11,-7.82,13.05
(주)경동인베스트,12320,Dec-12,33.09,28.06,13.56
(주)경동인베스트,12320,Dec-13,10.83,-29.23,10.22
(주)경동인베스트,12320,Dec-14,-9.93,33.59,8.51
(주)경동인베스트,12320,Dec-15,-43.63,-5.51,-2.19
(주)경동인베스트,12320,Dec-16,-24.51,6.06,1.41
(주)경동인베스트,12320,Dec-17,-99.94,0,-44.31
(주)경동인베스트,12320,Dec-18,1118.23,0,0.2
(주)경동인베스트,12320,Dec-19,15.82,100.9,-0.68
(주)경방,50,Dec-11,-0.71,80.04,-0.51
(주)경방,50,Dec-12,-3.75,-29.57,-1.02
(주)경방,50,Dec-13,-0.24,-29.22,2.36
(주)경방,50,Dec-14,-2.95,-2.77,-4.96
(주)경방,50,Dec-15,19.75,8.61,3.1
(주)경방,50,Dec-16,1.99,-10.48,2.75
(주)경방,50,Dec-17,-8.21,-33.22,3
(주)경방,50,Dec-18,-3.13,58.28,2.56
(주)경방,50,Dec-19,-9.15,-60.76,1.58
(주)경보제약,214390,Dec-15,4.86,14.88,79.74
(주)경보제약,214390,Dec-16,4.88,-3.94,5.36
(주)경보제약,214390,Dec-17,2.64,0.83,9.36
(주)경보제약,214390,Dec-18,5.05,11.53,5.3
(주)경보제약,214390,Dec-19,-4.79,16.48,0.1
(주)경인양행,12610,Dec-11,-13.62,-0.81,0.76
(주)경인양행,12610,Dec-12,9.79,-24.7,2.03
(주)경인양행,12610,Dec-13,29.58,56.71,9.85
(주)경인양행,12610,Dec-14,3.98,-5.38,4.69
(주)경인양행,12610,Dec-15,-8.08,8.76,-0.28
(주)경인양행,12610,Dec-16,2.43,5.94,2.75
(주)경인양행,12610,Dec-17,8.2,-3.34,-0.09
(주)경인양행,12610,Dec-18,14.79,34.67,3.87
(주)경인양행,12610,Dec-19,10.14,17.28,1.44
(주)고려시멘트,198440,Dec-14,,,
(주)고려시멘트,198440,Dec-15,,,
(주)고려시멘트,198440,Dec-16,,,
(주)고려시멘트,198440,Dec-17,0,0,0
(주)고려시멘트,198440,Dec-18,-2.15,27.42,11.78
(주)고려시멘트,198440,Dec-19,-17.32,63.62,2.24
(주)고영테크놀러지,98460,Dec-11,12.63,45.44,27.98
(주)고영테크놀러지,98460,Dec-12,25.67,16.63,19.48
(주)고영테크놀러지,98460,Dec-13,3.12,17.97,18.98
(주)고영테크놀러지,98460,Dec-14,30.4,-25.4,18.29
(주)고영테크놀러지,98460,Dec-15,2.23,-6.52,12.86
(주)고영테크놀러지,98460,Dec-16,10.61,0.93,17.97
(주)고영테크놀러지,98460,Dec-17,23.28,1.26,4.61
(주)고영테크놀러지,98460,Dec-18,16.35,52.84,39.09
(주)고영테크놀러지,98460,Dec-19,-4.7,9.5,9.92
(주)골드앤에스,35290,Dec-11,-5.87,-6.66,4.28
(주)골드앤에스,35290,Dec-12,-7.65,-7.75,15.97
(주)골드앤에스,35290,Dec-13,-16.59,18.51,-62.62
(주)골드앤에스,35290,Dec-14,-19.61,-6.15,-7.43
(주)골드앤에스,35290,Dec-15,-24.57,-20.77,65.03
(주)골드앤에스,35290,Dec-16,-28.4,-15.93,-5.93
(주)골드앤에스,35290,Dec-17,-19.45,-46.01,-7.07
(주)골드앤에스,35290,Dec-18,-32.19,22.05,5.82
(주)골드앤에스,35290,Dec-19,-11.95,-61.41,0
(주)골드퍼시픽,38530,Dec-11,4.84,62.34,3.59
(주)골드퍼시픽,38530,Dec-12,-6.64,56.32,5.03
(주)골드퍼시픽,38530,Dec-13,-38.15,-6.26,-25.35
(주)골드퍼시픽,38530,Dec-14,-25.18,-39.01,-1.25
(주)골드퍼시픽,38530,Dec-15,26.08,-52.79,19.01
(주)골드퍼시픽,38530,Dec-16,56.63,-96.75,-90.61
(주)골드퍼시픽,38530,Dec-17,-47.52,880.92,183.89
(주)골드퍼시픽,38530,Dec-18,10.92,48.23,274.44
(주)골드퍼시픽,38530,Dec-19,102.89,339.17,4.89
(주)골프존,215000,Dec-15,,,
(주)골프존,215000,Dec-16,0,0,0
(주)골프존,215000,Dec-17,-12.7,-7.63,56.53
(주)골프존,215000,Dec-18,11.47,-21.75,8.84
(주)골프존,215000,Dec-19,24.78,-7.08,4.1
(주)골프존뉴딘홀딩스,121440,Dec-11,13.82,138.73,117.91
(주)골프존뉴딘홀딩스,121440,Dec-12,31.72,221.27,18.07
