회사명,거래소코드,회계년도,당기매출액(IFRS연결),전기매출액(IFRS연결),당기매출액(IFRS개별),전기매출액(IFRS개별)
(주)STX,11810,Dec-19,1471164000,1463714000,1237876000,1237876000
(주)TCC스틸,2710,Dec-11,514424043,514424043,456928069,456928069
(주)TCC스틸,2710,Dec-12,501337475,501337475,440568155,440568155
(주)TCC스틸,2710,Dec-13,500832754,500832754,419483813,419483813
(주)TCC스틸,2710,Dec-14,518995240,485473138,401323585,398613546
(주)TCC스틸,2710,Dec-15,495795871,496149223,350074629,350427981
(주)TCC스틸,2710,Dec-16,444453635,444453635,317235565,317235565
(주)TCC스틸,2710,Dec-17,391370092,391370092,333762378,333762378
(주)TCC스틸,2710,Dec-18,413176279,413176279,351301866,351301866
(주)TCC스틸,2710,Dec-19,437173902,437173902,339334364,339334364
(주)가비아,79940,Dec-11,52838864,52838864,33792831,33792831
(주)가비아,79940,Dec-12,69058144,69058144,38482449,38482449
(주)가비아,79940,Dec-13,70675565,70675565,40507693,40507693
(주)가비아,79940,Dec-14,80432047,80432047,43906243,43906243
(주)가비아,79940,Dec-15,91648622,91648622,48446932,48446932
(주)가비아,79940,Dec-16,102178978,102178978,49430564,49430564
(주)가비아,79940,Dec-17,116217941,116217941,52365659,52365659
(주)가비아,79940,Dec-18,128728438,128728438,55197652,55197652
(주)가비아,79940,Dec-19,148306878,148306878,58254105,58254105
(주)강스템바이오텍,217730,Dec-15,,,1484593,1484593
(주)강스템바이오텍,217730,Dec-16,,842805,842805,842805
(주)강스템바이오텍,217730,Dec-17,9132939,9132939,5394323,982672
(주)강스템바이오텍,217730,Dec-18,9165454,9165454,1001039,1001039
(주)강스템바이오텍,217730,Dec-19,6004584,6004584,282069,282069
(주)강원랜드,35250,Dec-11,1265686425,1265686425,1263651213,1263651213
(주)강원랜드,35250,Dec-12,1296191223,1296191223,1292896121,1292896121
(주)강원랜드,35250,Dec-13,1361286598,1361286598,1356906162,1356906162
(주)강원랜드,35250,Dec-14,1496541441,1496541441,1492291312,1492291312
(주)강원랜드,35250,Dec-15,1633716839,1633716839,1630976696,1630976696
(주)강원랜드,35250,Dec-16,1696532511,1696532511,1694575212,1694575212
(주)강원랜드,35250,Dec-17,1604470055,1547771676,1602901764,1546203385
(주)강원랜드,35250,Dec-18,1438059299,1438059299,1436042435,1436042435
(주)강원랜드,35250,Dec-19,1520080449,1520080449,1517612252,1517612252
(주)강원에너지,114190,Nov-11,,,50222892,50222892
(주)강원에너지,114190,Dec-12,,,106471214,106471214
(주)강원에너지,114190,Dec-13,,,50660659,50660659
(주)강원에너지,114190,Dec-14,,51481321,51481321,51481321
(주)강원에너지,114190,Dec-15,46188664,46188664,48852892,48852892
(주)강원에너지,114190,Dec-16,42287473,42287473,44448760,44448760
(주)강원에너지,114190,Dec-17,82034829,82034829,83113029,83113029
(주)강원에너지,114190,Dec-18,85905365,85905365,85905365,85905365
(주)강원에너지,114190,Dec-19,42549622,42549622,42549622,42549622
(주)갤럭시아에스엠,11420,Dec-11,47331427,47331427,31931418,31931418
(주)갤럭시아에스엠,11420,Dec-12,55049732,55049732,37398255,37398255
(주)갤럭시아에스엠,11420,Dec-13,46437304,46437304,30903637,30903637
(주)갤럭시아에스엠,11420,Dec-14,43885894,43885894,33027933,33027933
(주)갤럭시아에스엠,11420,Dec-15,62472754,62472754,53784932,53784932
(주)갤럭시아에스엠,11420,Dec-16,52626331,46544660,45665676,45665676
(주)갤럭시아에스엠,11420,Dec-17,37281280,31207760,36917656,30844136
(주)갤럭시아에스엠,11420,Dec-18,22060413,22030258,22030258,22030258
(주)갤럭시아에스엠,11420,Dec-19,28732679,,28732679,28732679
(주)경농,2100,Dec-11,121253605,121253605,120728258,120728258
(주)경농,2100,Dec-12,136970449,,131021366,131021366
(주)경농,2100,Dec-13,196358952,196358952,139237273,139237273
(주)경농,2100,Dec-14,188483147,188483147,134806677,134806677
(주)경농,2100,Dec-15,196418710,196418710,137609256,137609256
(주)경농,2100,Dec-16,203984939,203984939,143209666,143209666
(주)경농,2100,Dec-17,206534382,206534382,143175105,143175105
(주)경농,2100,Dec-18,212654617,212654617,146216658,146216658
(주)경농,2100,Dec-19,227510941,227510941,151342037,151342037
(주)경동나비엔,9450,Dec-11,341246917,341246917,318269213,318269213
(주)경동나비엔,9450,Dec-12,379014259,,341339118,342711994
(주)경동나비엔,9450,Dec-13,414177562,414177562,371601179,371601179
(주)경동나비엔,9450,Dec-14,428985365,428985365,382392117,382392117
(주)경동나비엔,9450,Dec-15,512031120,512031120,448302084,448302084
(주)경동나비엔,9450,Dec-16,583252904,583252904,506082201,506082201
