회사명,거래소코드,회계년도,당기순이익(IFRS연결),전기순이익(IFRS연결),당기순이익(IFRS개별),전기순이익(IFRS개별)
(주)STX,11810,Dec-18,9107000,9107000,5024000,5024000
(주)STX,11810,Dec-19,-33218000,-33218000,-37142000,-37142000
(주)TCC스틸,2710,Dec-11,4557868,4557868,6828699,6828699
(주)TCC스틸,2710,Dec-12,124581,124581,4206491,4206491
(주)TCC스틸,2710,Dec-13,-19955830,-19955830,391783,391783
(주)TCC스틸,2710,Dec-14,-15813610,-15813610,1022624,1022624
(주)TCC스틸,2710,Dec-15,-110218983,-110218983,-140083396,-140083396
(주)TCC스틸,2710,Dec-16,16948843,14475061,15468493,12994711
(주)TCC스틸,2710,Dec-17,1503708,1503708,-2328706,-2328706
(주)TCC스틸,2710,Dec-18,9755131,9755131,7565000,7565000
(주)TCC스틸,2710,Dec-19,5037267,5037267,1996130,1996130
(주)가비아,79940,Dec-11,7014899,7014899,3262397,3262397
(주)가비아,79940,Dec-12,9419144,9419144,5737877,5737877
(주)가비아,79940,Dec-13,9505713,9505713,3786937,3786937
(주)가비아,79940,Dec-14,6752737,6752737,3076978,3076978
(주)가비아,79940,Dec-15,8530281,8530281,4288423,4288423
(주)가비아,79940,Dec-16,10177685,10177685,3544032,3544032
(주)가비아,79940,Dec-17,9669613,9669613,2493743,2493743
(주)가비아,79940,Dec-18,15340647,15340647,2762732,2762732
(주)가비아,79940,Dec-19,21102390,21102390,4654769,4654769
(주)강스템바이오텍,217730,Dec-15,,,-5754141,-5754141
(주)강스템바이오텍,217730,Dec-16,,-8300375,-8300375,-8300375
(주)강스템바이오텍,217730,Dec-17,-11531949,-15614199,-10855842,-14938092
(주)강스템바이오텍,217730,Dec-18,-14294032,-14294032,-13500909,-13500909
(주)강스템바이오텍,217730,Dec-19,-26394472,-26394472,-25001590,-25001590
(주)강원랜드,35250,Dec-11,381175313,381175313,393401121,393401121
(주)강원랜드,35250,Dec-12,306228988,306228988,296503993,296503993
(주)강원랜드,35250,Dec-13,297596347,297596347,293129468,293129468
(주)강원랜드,35250,Dec-14,359348568,359348568,363815729,363815729
(주)강원랜드,35250,Dec-15,441629101,441629101,430459518,430459518
(주)강원랜드,35250,Dec-16,454533659,454533659,454998593,454998593
(주)강원랜드,35250,Dec-17,437540507,437540507,437096330,437096330
(주)강원랜드,35250,Dec-18,297236881,297236881,297320114,297320114
