회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별)
(주)TCC스틸,2710,Dec-11,514424043,472273637,456928069,419062918
(주)TCC스틸,2710,Dec-12,501337475,457927934,440568155,399338479
(주)TCC스틸,2710,Dec-13,500832754,474104834,419483813,385343144
(주)TCC스틸,2710,Dec-14,518995240,483588495,401323585,364984531
(주)TCC스틸,2710,Dec-15,495795871,451936886,350074629,311691285
(주)TCC스틸,2710,Dec-16,444453635,402898839,317235565,281559457
(주)TCC스틸,2710,Dec-17,391370092,356978389,333762378,304470552
(주)TCC스틸,2710,Dec-18,413176279,377890304,351301866,320798763
(주)TCC스틸,2710,Dec-19,437173902,405618477,339334364,312320391
(주)가비아,79940,Dec-11,52838864,29173840,33792831,20761832
(주)가비아,79940,Dec-12,69058144,40302408,38482449,23494026
(주)가비아,79940,Dec-13,70675565,38882747,40507693,24558241
(주)가비아,79940,Dec-14,80432047,45275795,43906243,26874841
(주)가비아,79940,Dec-15,91648622,50078893,48446932,28806524
(주)가비아,79940,Dec-16,102178978,54998617,49430564,28802628
(주)가비아,79940,Dec-17,116217941,60313364,52365659,30561799
(주)가비아,79940,Dec-18,128728438,65751367,55197652,31654603
(주)가비아,79940,Dec-19,148306878,75650385,58254105,34532096
(주)강스템바이오텍,217730,Dec-15,,,1484593,252810
(주)강스템바이오텍,217730,Dec-16,,,842805,57688
(주)강스템바이오텍,217730,Dec-17,9132939,5874047,5394323,2402560
(주)강스템바이오텍,217730,Dec-18,9165454,7988195,1001039,276617
(주)강스템바이오텍,217730,Dec-19,6004584,6428945,282069,141439
(주)강원랜드,35250,Dec-11,1265686425,538388479,1263651213,530019096
(주)강원랜드,35250,Dec-12,1296191223,647845564,1292896121,639097544
(주)강원랜드,35250,Dec-13,1361286598,726091776,1356906162,718286815
(주)강원랜드,35250,Dec-14,1496541441,722297880,1492291312,713323703
(주)강원랜드,35250,Dec-15,1633716839,759645970,1630976696,754752007
(주)강원랜드,35250,Dec-16,1696532511,785177091,1694575212,782103726
(주)강원랜드,35250,Dec-17,1604470055,787533848,1602901764,785131415
(주)강원랜드,35250,Dec-18,1438059299,729593460,1436042435,727185671
(주)강원랜드,35250,Dec-19,1520080449,736659054,1517612252,734363002
(주)강원에너지,114190,Nov-11,,,50222892,37631683
(주)강원에너지,114190,Dec-12,,,106471214,85441450
(주)강원에너지,114190,Dec-13,,,50660659,38917147
(주)강원에너지,114190,Dec-14,,,51481321,40566049
(주)강원에너지,114190,Dec-15,46188664,38265188,48852892,40524653
