회사명,거래소코드,회계년도,기계장치(IFRS연결,기계장치(IFRS),합계_기말인원
(주)강원랜드,35250,Dec-12,453309474,451841848,3184
(주)강원랜드,35250,Dec-13,476102882,474572756,3657
(주)강원랜드,35250,Dec-14,481401114,475738420,3591
(주)강원랜드,35250,Dec-15,493032951,487744949,3620
(주)강원랜드,35250,Dec-16,496003933,490715931,3629
(주)강원랜드,35250,Dec-17,505944287,500656285,3693
(주)강원랜드,35250,Dec-18,197980873,197540429,5194
(주)강원랜드,35250,Dec-19,569705642,564417639,5147
(주)강원에너지,114190,Nov-11,,2654796,94
(주)강원에너지,114190,Dec-12,,2928596,101
(주)강원에너지,114190,Dec-13,,2938096,112
(주)강원에너지,114190,Dec-14,,3214210,147
(주)강원에너지,114190,Dec-15,3189863,3189863,133
(주)강원에너지,114190,Dec-16,2753100,2753100,126
(주)강원에너지,114190,Dec-17,2785907,2785907,137
(주)강원에너지,114190,Dec-18,2775452,2775452,119
(주)강원에너지,114190,Dec-19,4148008,4148008,107
(주)갤럭시아에스엠,11420,Dec-11,327870,0,37
(주)갤럭시아에스엠,11420,Dec-12,2968018,0,40
(주)갤럭시아에스엠,11420,Dec-13,2688615,0,50
(주)갤럭시아에스엠,11420,Dec-14,3945186,0,63
(주)갤럭시아에스엠,11420,Dec-15,3968308,0,93
(주)갤럭시아에스엠,11420,Dec-16,4037582,0,107
(주)갤럭시아에스엠,11420,Dec-17,0,0,126
(주)갤럭시아에스엠,11420,Dec-18,0,0,111
(주)갤럭시아에스엠,11420,Dec-19,0,0,121
(주)경농,2100,Dec-11,39295580,38907853,308
(주)경농,2100,Dec-12,54120673,39704718,306
(주)경농,2100,Dec-13,54986116,39938460,311
(주)경농,2100,Dec-14,55656543,40262627,340
(주)경농,2100,Dec-15,3595133,40970395,346
(주)경농,2100,Dec-16,55250644,42294345,335
(주)경농,2100,Dec-17,65016527,43129019,338
(주)경농,2100,Dec-18,61973976,44384320,350
(주)경농,2100,Dec-19,62738813,44837195,362
(주)경동나비엔,9450,Dec-11,30161622,16809973,699
(주)경동나비엔,9450,Dec-12,30992578,17558925,784
(주)경동나비엔,9450,Dec-13,32023532,17733468,722
(주)경동나비엔,9450,Dec-14,50026310,30248630,763
(주)경동나비엔,9450,Dec-15,56774759,36469813,797
(주)경동나비엔,9450,Dec-16,66681622,40598014,911
(주)경동나비엔,9450,Dec-17,71352733,41689066,975
(주)경동나비엔,9450,Dec-18,83467059,47188057,1073
(주)경동나비엔,9450,Dec-19,99773692,48914617,1167
(주)경동도시가스,267290,Dec-17,0,0,270
(주)경동도시가스,267290,Dec-18,0,0,277
(주)경동도시가스,267290,Dec-19,0,0,278
(주)경동인베스트,12320,Dec-11,0,0,277
(주)경동인베스트,12320,Dec-12,0,0,284
(주)경동인베스트,12320,Dec-13,0,0,289
(주)경동인베스트,12320,Dec-14,0,0,282
(주)경동인베스트,12320,Dec-15,0,0,287
(주)경동인베스트,12320,Dec-16,0,0,286
(주)경동인베스트,12320,Dec-17,0,0,11
(주)경동인베스트,12320,Dec-18,0,0,13
(주)경동인베스트,12320,Dec-19,0,0,12
(주)경방,50,Dec-11,92700116,92574549,593
(주)경방,50,Dec-12,106744814,95699700,579
(주)경방,50,Dec-13,109078984,93720477,676
(주)경방,50,Dec-14,110917893,94243557,679
(주)경방,50,Dec-15,143171748,95135486,615
(주)경방,50,Dec-16,143969302,94580791,574
(주)경방,50,Dec-17,136219559,92317874,503
(주)경방,50,Dec-18,139665159,65861136,462
(주)경방,50,Dec-19,135612059,8914332,259
(주)경보제약,214390,Dec-15,,58569360,398
(주)경보제약,214390,Dec-16,,69389415,416
(주)경보제약,214390,Dec-17,,73063927,410
(주)경보제약,214390,Dec-18,,77841661,450
(주)경보제약,214390,Dec-19,,83101809,494
(주)경인양행,12610,Dec-11,88239582,48004655,378
(주)경인양행,12610,Dec-12,85704545,49032355,367
(주)경인양행,12610,Dec-13,93022172,53660408,431
(주)경인양행,12610,Dec-14,101194068,57918598,440
(주)경인양행,12610,Dec-15,108358322,59400729,469
(주)경인양행,12610,Dec-16,113307279,61830122,486
(주)경인양행,12610,Dec-17,132573912,69754089,517
(주)경인양행,12610,Dec-18,139396613,73819470,619
(주)경인양행,12610,Dec-19,158731820,81620191,617
(주)고려시멘트,198440,Dec-14,,,
(주)고려시멘트,198440,Dec-15,,,
(주)고려시멘트,198440,Dec-16,,,
(주)고려시멘트,198440,Dec-17,,15053519,110
(주)고려시멘트,198440,Dec-18,,15266113,112
(주)고려시멘트,198440,Dec-19,,16701149,97
(주)고영테크놀러지,98460,Dec-11,0,0,162
(주)고영테크놀러지,98460,Dec-12,4182630,0,202
(주)고영테크놀러지,98460,Dec-13,0,0,224
(주)고영테크놀러지,98460,Dec-14,0,0,284
(주)고영테크놀러지,98460,Dec-15,0,0,307
