회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별)
(주)TCC스틸,2710,Dec-12,501337475,71112902,440568155,65092634
(주)TCC스틸,2710,Dec-13,500832754,68316114,419483813,56753518
(주)TCC스틸,2710,Dec-14,518995240,86970515,401323585,60593854
(주)TCC스틸,2710,Dec-15,495795871,67719623,350074629,42872200
(주)TCC스틸,2710,Dec-16,444453635,57654611,317235565,48126701
(주)TCC스틸,2710,Dec-17,391370092,48408783,333762378,43217757
(주)TCC스틸,2710,Dec-18,413176279,42246665,351301866,41140973
(주)TCC스틸,2710,Dec-19,437173902,45242999,339334364,33268239
(주)가비아,79940,Dec-11,52838864,4866865,33792831,1964346
(주)가비아,79940,Dec-12,69058144,6524566,38482449,2041083
(주)가비아,79940,Dec-13,70675565,6448247,40507693,1986939
(주)가비아,79940,Dec-14,80432047,0,43906243,2648057
(주)가비아,79940,Dec-15,91648622,8120801,48446932,2327391
(주)가비아,79940,Dec-16,102178978,14103577,49430564,2458491
(주)가비아,79940,Dec-17,116217941,19164658,52365659,2897556
(주)가비아,79940,Dec-18,128728438,20324111,55197652,2873894
(주)가비아,79940,Dec-19,148306878,25159207,58254105,3227148
(주)강스템바이오텍,217730,Dec-15,,,1484593,298840
(주)강스템바이오텍,217730,Dec-16,,,842805,170110
(주)강스템바이오텍,217730,Dec-17,9132939,440984,5394323,173608
(주)강스템바이오텍,217730,Dec-18,9165454,2038576,1001039,1024620
(주)강스템바이오텍,217730,Dec-19,6004584,1209654,282069,1024806
(주)강원랜드,35250,Dec-11,1265686425,6134126,1263651213,6107094
(주)강원랜드,35250,Dec-12,1296191223,7667585,1292896121,6916800
(주)강원랜드,35250,Dec-13,1361286598,7394704,1356906162,7277032
(주)강원랜드,35250,Dec-14,1496541441,6582920,1492291312,6379925
(주)강원랜드,35250,Dec-15,1633716839,5436891,1630976696,5366515
(주)강원랜드,35250,Dec-16,1696532511,5089200,1694575212,5028255
(주)강원랜드,35250,Dec-17,1604470055,5442780,1602901764,5425603
(주)강원랜드,35250,Dec-18,1438059299,10584690,1436042435,10519131
(주)강원랜드,35250,Dec-19,1520080449,8657399,1517612252,8599415
(주)강원에너지,114190,Nov-11,,,50222892,12650936
(주)강원에너지,114190,Dec-12,,,106471214,42550425
(주)강원에너지,114190,Dec-13,,,50660659,16589758
(주)강원에너지,114190,Dec-14,,,51481321,26216322
(주)강원에너지,114190,Dec-15,46188664,16786020,48852892,16786020
(주)강원에너지,114190,Dec-16,42287473,28125754,44448760,28125754
(주)강원에너지,114190,Dec-17,82034829,47160876,83113029,47160876
(주)강원에너지,114190,Dec-18,85905365,43399528,85905365,43399528
(주)강원에너지,114190,Dec-19,42549622,20063616,42549622,20063616
(주)갤럭시아에스엠,11420,Dec-11,47331427,7628919,31931418,6130238
(주)갤럭시아에스엠,11420,Dec-12,55049732,4791513,37398255,5251377
(주)갤럭시아에스엠,11420,Dec-13,46437304,4956683,30903637,4769683
(주)갤럭시아에스엠,11420,Dec-14,43885894,6615820,33027933,6620157
(주)갤럭시아에스엠,11420,Dec-15,62472754,4611248,53784932,6445375
(주)갤럭시아에스엠,11420,Dec-16,52626331,6431047,45665676,6515454
(주)갤럭시아에스엠,11420,Dec-17,37281280,7542791,36917656,7481985
(주)갤럭시아에스엠,11420,Dec-18,22060413,5719635,22030258,5719122
