회사명,거래소코드,회계년도,부가가치(IFRS연결),매출액(IFRS연결),부가가치(IFRS개별),매출액(IFRS개별)
(주)STX,11810,Dec-17,416114,1803878000,366717,1595494000
(주)STX,11810,Dec-18,83521,1502985000,28236,1329890000
(주)STX,11810,Dec-19,51064,1471164000,-15090,1237876000
(주)TCC스틸,2710,Dec-11,50799.6,514424043,47387.55,456928069
(주)TCC스틸,2710,Dec-12,49856.28,501337475,44247.81,440568155
(주)TCC스틸,2710,Dec-13,40058.31,500832754,37086.29,419483813
(주)TCC스틸,2710,Dec-14,66638.24,518995240,38278.43,401323585
(주)TCC스틸,2710,Dec-15,46811.29,495795871,-113808.25,350074629
(주)TCC스틸,2710,Dec-16,81464.7,444453635,53606.1,317235565
(주)TCC스틸,2710,Dec-17,61493.36,391370092,30346.26,333762378
(주)TCC스틸,2710,Dec-18,75995.51,413176279,44068.24,351301866
(주)TCC스틸,2710,Dec-19,74428.93,437173902,42215.18,339334364
(주)가비아,79940,Dec-11,25788.11,52838864,15017.54,33792831
(주)가비아,79940,Dec-12,31058.09,69058144,17319.4,38482449
(주)가비아,79940,Dec-13,32828.8,70675565,16859.32,40507693
(주)가비아,79940,Dec-14,34179.94,80432047,19430.85,43906243
(주)가비아,79940,Dec-15,41698.24,91648622,22440.14,48446932
(주)가비아,79940,Dec-16,45412.89,102178978,23132.9,49430564
(주)가비아,79940,Dec-17,48683,116217941,22812.97,52365659
(주)가비아,79940,Dec-18,62241.08,128728438,24805.77,55197652
(주)가비아,79940,Dec-19,133089.93,148306878,29591.96,58254105
(주)강스템바이오텍,217730,Dec-15,,,-2880.72,1484593
(주)강스템바이오텍,217730,Dec-16,,,-5090.69,842805
(주)강스템바이오텍,217730,Dec-17,-646.49,9132939,-2123.85,5394323
(주)강스템바이오텍,217730,Dec-18,-3330.3,9165454,-5971.99,1001039
(주)강스템바이오텍,217730,Dec-19,-13446.01,6004584,-16534.36,282069
(주)강원랜드,35250,Dec-11,778291.81,1265686425,783195.28,1263651213
(주)강원랜드,35250,Dec-12,712817.68,1296191223,693820.93,1292896121
(주)강원랜드,35250,Dec-13,837925.02,1361286598,824512.27,1356906162
(주)강원랜드,35250,Dec-14,904075.49,1496541441,899930.11,1492291312
(주)강원랜드,35250,Dec-15,1021274.04,1633716839,1001297.65,1630976696
