회사명,거래소코드,회계년도,매출액(IFRS연결),자본(IFRS연결),매출액(IFRS개별),자본(IFRS개별)
(주)TCC스틸,2710,Dec-11,514424043,225441968,456928069,205616971
(주)TCC스틸,2710,Dec-12,501337475,225998781,440568155,209755733
(주)TCC스틸,2710,Dec-13,500832754,205738102,419483813,210086242
(주)TCC스틸,2710,Dec-14,518995240,189038004,401323585,210093654
(주)TCC스틸,2710,Dec-15,495795871,86012476,350074629,76555951
(주)TCC스틸,2710,Dec-16,444453635,103337634,317235565,92623510
(주)TCC스틸,2710,Dec-17,391370092,100915803,333762378,89627045
(주)TCC스틸,2710,Dec-18,413176279,112246210,351301866,98351707
(주)TCC스틸,2710,Dec-19,437173902,116843135,339334364,97501452
(주)가비아,79940,Dec-11,52838864,48665742,33792831,24298687
(주)가비아,79940,Dec-12,69058144,58945247,38482449,31165211
(주)가비아,79940,Dec-13,70675565,68600227,40507693,34822978
(주)가비아,79940,Dec-14,80432047,75509702,43906243,38147677
(주)가비아,79940,Dec-15,91648622,84096148,48446932,42470259
(주)가비아,79940,Dec-16,102178978,95951841,49430564,45413712
(주)가비아,79940,Dec-17,116217941,99896520,52365659,47662984
(주)가비아,79940,Dec-18,128728438,114187490,55197652,49832912
(주)가비아,79940,Dec-19,148306878,134959139,58254105,54084066
(주)강스템바이오텍,217730,Dec-15,,,1484593,21237036
(주)강스템바이오텍,217730,Dec-16,,,842805,22976911
(주)강스템바이오텍,217730,Dec-17,9132939,24482163,5394323,24668128
(주)강스템바이오텍,217730,Dec-18,9165454,47581374,1001039,47944961
(주)강스템바이오텍,217730,Dec-19,6004584,68719236,282069,70845209
(주)강원랜드,35250,Dec-11,1265686425,2257362696,1263651213,2278202202
(주)강원랜드,35250,Dec-12,1296191223,2372026990,1292896121,2383160603
(주)강원랜드,35250,Dec-13,1361286598,2517696496,1356906162,2523962938
(주)강원랜드,35250,Dec-14,1496541441,2705357485,1492291312,2716175018
(주)강원랜드,35250,Dec-15,1633716839,2997755205,1630976696,2997442337
(주)강원랜드,35250,Dec-16,1696532511,3252727459,1694575212,3252738063
(주)강원랜드,35250,Dec-17,1604470055,3501235933,1602901764,3500789656
(주)강원랜드,35250,Dec-18,1438059299,3586777089,1436042435,3586452533
(주)강원랜드,35250,Dec-19,1520080449,3717759076,1517612252,3718433001
(주)강원에너지,114190,Nov-11,,,50222892,24502434
(주)강원에너지,114190,Dec-12,,,106471214,36107930
(주)강원에너지,114190,Dec-13,,,50660659,45877155
(주)강원에너지,114190,Dec-14,,,51481321,50445491
(주)강원에너지,114190,Dec-15,46188664,56583901,48852892,54880924
(주)강원에너지,114190,Dec-16,42287473,55088690,44448760,53746356
(주)강원에너지,114190,Dec-17,82034829,48303010,83113029,47117020
(주)강원에너지,114190,Dec-18,85905365,50203707,85905365,49286354
(주)강원에너지,114190,Dec-19,42549622,21124556,42549622,22904034
(주)갤럭시아에스엠,11420,Dec-11,47331427,25274017,31931418,24539613
(주)갤럭시아에스엠,11420,Dec-12,55049732,25907252,37398255,25153401
(주)갤럭시아에스엠,11420,Dec-13,46437304,21493102,30903637,22472626
(주)갤럭시아에스엠,11420,Dec-14,43885894,23205508,33027933,23402468
(주)갤럭시아에스엠,11420,Dec-15,62472754,49739042,53784932,50665218
(주)갤럭시아에스엠,11420,Dec-16,52626331,44846832,45665676,44846832
(주)갤럭시아에스엠,11420,Dec-17,37281280,40494336,36917656,40494336
(주)갤럭시아에스엠,11420,Dec-18,22060413,26472162,22030258,26797332
(주)갤럭시아에스엠,11420,Dec-19,28732679,21798750,28732679,21798750
(주)경농,2100,Dec-11,121253605,142986220,120728258,146016982
(주)경농,2100,Dec-12,136970449,151738994,131021366,151500247
(주)경농,2100,Dec-13,196358952,163157512,139237273,162696463
(주)경농,2100,Dec-14,188483147,168915900,134806677,168998955
(주)경농,2100,Dec-15,196418710,174667648,137609256,173056378
(주)경농,2100,Dec-16,203984939,183969132,143209666,176722752
(주)경농,2100,Dec-17,206534382,192152986,143175105,182959158
(주)경농,2100,Dec-18,212654617,201453891,146216658,187066687
(주)경농,2100,Dec-19,227510941,201885272,151342037,190892614
(주)경동나비엔,9450,Dec-11,341246917,168114574,318269213,143268094
(주)경동나비엔,9450,Dec-12,379014259,175875394,341339118,152201349
(주)경동나비엔,9450,Dec-13,414177562,187280988,371601179,161494784
(주)경동나비엔,9450,Dec-14,428985365,190021880,382392117,167984480
(주)경동나비엔,9450,Dec-15,512031120,206076609,448302084,185208256
(주)경동나비엔,9450,Dec-16,583252904,238762190,506082201,210193123
(주)경동나비엔,9450,Dec-17,684660958,256506497,569819524,222028494
(주)경동나비엔,9450,Dec-18,726741615,280103616,618058456,240355951
(주)경동나비엔,9450,Dec-19,774290704,301042624,655419303,254559521
(주)경동도시가스,267290,Dec-17,871548284,294331882,870828897,292628586
(주)경동도시가스,267290,Dec-18,1606531867,320490074,1605687067,318760537
(주)경동도시가스,267290,Dec-19,1422707835,339612043,1421866212,337701666
(주)경동인베스트,12320,Dec-11,1847666903,407862543,1806174764,412912132
(주)경동인베스트,12320,Dec-12,2502642394,446509347,2403814656,468921996
(주)경동인베스트,12320,Dec-13,2788264380,498740561,2664100017,516833582
(주)경동인베스트,12320,Dec-14,2603059058,607451423,2399450987,560802056
(주)경동인베스트,12320,Dec-15,1604168482,576479441,1352478311,548528455
(주)경동인베스트,12320,Dec-16,1181902637,587924566,1021002691,556247783
(주)경동인베스트,12320,Dec-17,195069859,400403090,612436,309789000
(주)경동인베스트,12320,Dec-18,228644016,397867310,7460898,310422538
(주)경동인베스트,12320,Dec-19,271765025,414533638,8641051,308309156
(주)경방,50,Dec-11,348136369,629704391,275746943,676624221
(주)경방,50,Dec-12,333620804,620704205,265409209,669735441
(주)경방,50,Dec-13,347189559,636438555,264782077,685569176
(주)경방,50,Dec-14,329036023,647668814,256979444,651570419
(주)경방,50,Dec-15,357628146,662952918,307744480,671770865
(주)경방,50,Dec-16,377445013,679843399,313876822,690245544
(주)경방,50,Dec-17,360788750,699134073,288103985,710964923
(주)경방,50,Dec-18,351438926,708769347,279085217,729185709
(주)경방,50,Dec-19,343892085,741553199,253552382,740731873
(주)경보제약,214390,Dec-15,,,178032632,122817151
(주)경보제약,214390,Dec-16,,,186726170,129402340
(주)경보제약,214390,Dec-17,,,191661374,141509596
(주)경보제약,214390,Dec-18,,,201343596,149012165
(주)경보제약,214390,Dec-19,,,191706189,149163504
(주)경인양행,12610,Dec-11,233095049,176292506,128707611,158882273
(주)경인양행,12610,Dec-12,218604655,174988685,141304459,162112825
(주)경인양행,12610,Dec-13,260808400,189744314,183106757,178074513
(주)경인양행,12610,Dec-14,277181095,198238667,190395047,186433506
(주)경인양행,12610,Dec-15,263163677,201125304,175006703,185903130
(주)경인양행,12610,Dec-16,274873817,208293196,179267850,191021720
(주)경인양행,12610,Dec-17,299987729,210934933,193975818,190844102
(주)경인양행,12610,Dec-18,331102011,223759383,222659442,198237400
(주)경인양행,12610,Dec-19,358802386,237433141,245244968,201086327
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,87660276,77394108
(주)고려시멘트,198440,Dec-18,,,85775723,86510962
(주)고려시멘트,198440,Dec-19,,,70921781,88445378
(주)고영테크놀러지,98460,Dec-11,86130810,69622726,80200892,70382391
(주)고영테크놀러지,98460,Dec-12,107841666,83401095,100791139,84090906
(주)고영테크놀러지,98460,Dec-13,111902729,98319609,103933681,100051693
(주)고영테크놀러지,98460,Dec-14,142840131,115835240,135531589,118348519
(주)고영테크놀러지,98460,Dec-15,145904431,131475647,138554625,133570714
(주)고영테크놀러지,98460,Dec-16,171793841,157267580,153254768,157572806
(주)고영테크놀러지,98460,Dec-17,203368626,161317171,188934907,164836232
(주)고영테크놀러지,98460,Dec-18,238208865,225866639,219818022,229271175
(주)고영테크놀러지,98460,Dec-19,222057035,243668528,209480760,252020628
(주)골드앤에스,35290,Dec-11,47522791,22436829,47522791,22637807
(주)골드앤에스,35290,Dec-12,43889087,25517817,43889087,26252682
(주)골드앤에스,35290,Dec-13,39548810,13127355,36607591,9813150
