회사명,거래소코드,회계년도,매출액(IFRS연결),자산(IFRS연결),매출액(IFRS개별),자산(IFRS개별)
(주)STX,11810,Dec-19,1471164000,560107000,1237876000,462734000
(주)TCC스틸,2710,Dec-11,514424043,454329510,456928069,407743559
(주)TCC스틸,2710,Dec-12,501337475,547013976,440568155,438642951
(주)TCC스틸,2710,Dec-13,500832754,543708595,419483813,444204925
(주)TCC스틸,2710,Dec-14,518995240,551000563,401323585,461297588
(주)TCC스틸,2710,Dec-15,495795871,376394571,350074629,330651742
(주)TCC스틸,2710,Dec-16,444453635,282914735,317235565,250878191
(주)TCC스틸,2710,Dec-17,391370092,278692540,333762378,248896237
(주)TCC스틸,2710,Dec-18,413176279,304781579,351301866,268135677
(주)TCC스틸,2710,Dec-19,437173902,314210087,339334364,270265082
(주)가비아,79940,Dec-11,52838864,64954440,33792831,37295822
(주)가비아,79940,Dec-12,69058144,85244515,38482449,51795749
(주)가비아,79940,Dec-13,70675565,91231294,40507693,52151784
(주)가비아,79940,Dec-14,80432047,98544072,43906243,55984243
(주)가비아,79940,Dec-15,91648622,105081568,48446932,57657418
(주)가비아,79940,Dec-16,102178978,125796754,49430564,61160981
(주)가비아,79940,Dec-17,116217941,133382584,52365659,64986436
(주)가비아,79940,Dec-18,128728438,151440505,55197652,69315988
(주)가비아,79940,Dec-19,148306878,199916131,58254105,82964911
(주)강스템바이오텍,217730,Dec-15,,,1484593,24982626
(주)강스템바이오텍,217730,Dec-16,,,842805,47441769
(주)강스템바이오텍,217730,Dec-17,9132939,47198979,5394323,44508729
(주)강스템바이오텍,217730,Dec-18,9165454,73194018,1001039,66184838
(주)강스템바이오텍,217730,Dec-19,6004584,113643697,282069,98625925
(주)강원랜드,35250,Dec-11,1265686425,2711401782,1263651213,2730283806
(주)강원랜드,35250,Dec-12,1296191223,2906655321,1292896121,2915385756
(주)강원랜드,35250,Dec-13,1361286598,3102036846,1356906162,3105430200
(주)강원랜드,35250,Dec-14,1496541441,3375127289,1492291312,3380461682
(주)강원랜드,35250,Dec-15,1633716839,3690791830,1630976696,3688060027
(주)강원랜드,35250,Dec-16,1696532511,3978987574,1694575212,3975979890
(주)강원랜드,35250,Dec-17,1604470055,4185657487,1602901764,4182527382
(주)강원랜드,35250,Dec-18,1438059299,4231241354,1436042435,4229630541
(주)강원랜드,35250,Dec-19,1520080449,4438119306,1517612252,4436461953
(주)강원에너지,114190,Nov-11,,,50222892,53719067
(주)강원에너지,114190,Dec-12,,,106471214,89258208
(주)강원에너지,114190,Dec-13,,,50660659,72441333
(주)강원에너지,114190,Dec-14,,,51481321,67037639
(주)강원에너지,114190,Dec-15,46188664,85457457,48852892,80939019
(주)강원에너지,114190,Dec-16,42287473,77186606,44448760,70850137
(주)강원에너지,114190,Dec-17,82034829,93179394,83113029,87781416
(주)강원에너지,114190,Dec-18,85905365,93845576,85905365,89619750
(주)강원에너지,114190,Dec-19,42549622,56602063,42549622,55106032
(주)갤럭시아에스엠,11420,Dec-11,47331427,45110356,31931418,40711969
(주)갤럭시아에스엠,11420,Dec-12,55049732,43979072,37398255,40169876
(주)갤럭시아에스엠,11420,Dec-13,46437304,37636664,30903637,34158874
(주)갤럭시아에스엠,11420,Dec-14,43885894,45274078,33027933,40528250
(주)갤럭시아에스엠,11420,Dec-15,62472754,68686992,53784932,67196553
(주)갤럭시아에스엠,11420,Dec-16,52626331,58444606,45665676,55825556
(주)갤럭시아에스엠,11420,Dec-17,37281280,49831109,36917656,48958128
(주)갤럭시아에스엠,11420,Dec-18,22060413,33253331,22030258,33337692
(주)갤럭시아에스엠,11420,Dec-19,28732679,28241598,28732679,28241598
(주)경농,2100,Dec-11,121253605,173774102,120728258,176741869
(주)경농,2100,Dec-12,136970449,269412832,131021366,203467698
(주)경농,2100,Dec-13,196358952,255984725,139237273,214988593
(주)경농,2100,Dec-14,188483147,284623063,134806677,230870852
(주)경농,2100,Dec-15,196418710,316341853,137609256,265109291
(주)경농,2100,Dec-16,203984939,320915151,143209666,266622289
(주)경농,2100,Dec-17,206534382,335873898,143175105,268967010
(주)경농,2100,Dec-18,212654617,357260541,146216658,285031873
(주)경농,2100,Dec-19,227510941,370874091,151342037,297197088
(주)경동나비엔,9450,Dec-11,341246917,263211016,318269213,224373470
(주)경동나비엔,9450,Dec-12,379014259,299729837,341339118,254627468
(주)경동나비엔,9450,Dec-13,414177562,354779867,371601179,301475800
(주)경동나비엔,9450,Dec-14,428985365,401658957,382392117,331089242
(주)경동나비엔,9450,Dec-15,512031120,402084368,448302084,324848990
