회사명,거래소코드,회계년도,[제조]CASH FLOW 대 차입금비율(IFRS연결),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),[제조]      장기차입금(*)(IFRS연결),[제조]      단기차입금(*)(IFRS연결),[제조]         유동성장기차입금(IFRS연결),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[제조]      장기차입금(*)(IFRS),[제조]      단기차입금(*)(IFRS),[제조]         유동성장기차입금(IFRS)
(주)SIMPAC,009160,2016/12,41.51,35245662,220000,24590628,30000000,30470575,0,10000000,30000000
(주)SIMPAC,009160,2017/12,23.27,-9543549,178750,20000000,35041250,-13628628,0,15000000,35000000
(주)SIMPAC,009160,2018/12,12.26,37360242,123750,105000000,8305000,36290248,0,95000000,8250000
(주)SIMPAC,009160,2019/12,29.05,37470315,68750,126700000,55000,45146571,0,102000000,0
(주)SNT에너지,100840,2011/12,,,,,,-17274075,0,20000000,0
(주)SNT에너지,100840,2012/12,,,,,,26635237,0,0,0
(주)SNT에너지,100840,2013/12,,,,,,20128884,0,0,0
(주)SNT에너지,100840,2014/12,,,,,,-24774316,0,0,0
(주)SNT에너지,100840,2015/12,,,,,,2204846,0,0,0
(주)SNT에너지,100840,2016/12,,,,,,35017765,0,0,0
(주)SNT에너지,100840,2017/12,,,,,,-5579426,0,0,0
(주)SNT에너지,100840,2018/12,,,,,,14435813,0,0,0
(주)SNT에너지,100840,2019/12,-48067.02,-40064824,0,0,0,-40057737,0,0,0
(주)SNT홀딩스,036530,2011/12,91.32,86981830,627000,83747208,422200,9351556,0,0,0
(주)SNT홀딩스,036530,2012/12,105.76,57310654,1230693,61474637,578979,8670824,0,0,0
(주)SNT홀딩스,036530,2013/12,94.02,94174241,741141,74400885,225952,7969284,0,0,0
(주)SNT홀딩스,036530,2014/12,284.03,95278602,496019,27084000,240361,6847661,0,0,0
(주)SNT홀딩스,036530,2015/12,1448.33,120263344,241477,6947267,251293,7958287,0,0,0
(주)SNT홀딩스,036530,2016/12,1852.23,143865685,0,6890307,239718,761622,0,0,0
(주)SNT홀딩스,036530,2017/12,1902.41,104208804,0,6520000,0,6184231,0,0,0
(주)SNT홀딩스,036530,2018/12,1804.58,128942884,0,6460000,0,6691516,0,0,0
(주)SNT홀딩스,036530,2019/12,7957.52,89185851,0,0,0,10098608,0,0,0
(주)STX,011810,2011/12,-0.67,55801000,453951000,867790000,53475000,-108220000,115350000,657305000,11733000
(주)STX,011810,2012/12,5.44,250636000,523076000,974176000,66668000,159192000,97993000,749942000,14742000
(주)STX,011810,2013/12,13.35,130779000,391286000,542454000,18352000,85353000,391256000,474021000,18346000
(주)STX,011810,2014/12,3.07,-76097000,214556000,512227000,40319000,-78562000,214533000,488720000,0
(주)STX,011810,2015/12,-5.1,-15950000,165235000,578844000,36566000,28936000,165217000,500659000,36560000
(주)STX,011810,2016/12,2.65,57833000,30940000,574539000,107410000,31638000,30940000,510241000,107410000
(주)STX,011810,2017/12,22.68,100295000,19343000,253322000,8695000,93844000,19343000,204108000,8695000
(주)STX,011810,2018/12,7.87,-48114000,22595000,305981000,2804000,-51274000,22595000,259918000,2805000
(주)STX,011810,2019/12,-7.16,528000,38017000,264271000,5556000,12558000,34213000,248602000,3220000
(주)TCC스틸,002710,2011/12,-10.31,-10245999,26981943,108093746,7954200,-8210627,25483900,93982325,7514200
(주)TCC스틸,002710,2012/12,-3.27,-4610373,69300233,95311816,39293667,10878979,57343600,51793337,23040300
(주)TCC스틸,002710,2013/12,-6.63,-29220038,119777726,68381264,33982147,21218485,81381440,30522560,32962160
(주)TCC스틸,002710,2014/12,-9.05,-21440429,30545120,121546985,106920460,13870764,28114780,82191918,70666660
(주)TCC스틸,002710,2015/12,2.56,30047778,113039900,40104555,250000,36353152,112083700,29010848,0
(주)TCC스틸,002710,2016/12,-2.23,-35273178,60103220,40670209,482480,-34206656,59537000,30606252,0
(주)TCC스틸,002710,2017/12,-14.19,-1168958,178740,41668435,69684258,-7248002,0,35703547,69207408
(주)TCC스틸,002710,2018/12,8.27,21492009,78588608,41720321,2613540,13968719,74888608,40134438,2434800
(주)TCC스틸,002710,2019/12,5.45,-6746810,8063000,49412479,74888608,-251282,4363000,48254679,74888608
(주)가비아,079940,2011/12,263.28,9650833,953300,0,2826640,6750777,953300,0,2826640
(주)가비아,079940,2012/12,86.47,13224986,9666660,2774106,786640,9005290,9666660,1000000,786640
(주)가비아,079940,2013/12,122.06,12813443,5500000,1000000,4166660,6245989,5500000,0,4166660
(주)가비아,079940,2014/12,161.32,16223625,4675000,3500000,825000,8696486,4675000,3000000,825000
(주)가비아,079940,2015/12,295.19,19257887,5500000,510000,0,10152135,5500000,0,0
(주)가비아,079940,2016/12,197.5,17871404,7200000,2200000,0,9339489,5500000,0,0
(주)가비아,079940,2017/12,199.56,20444884,1700000,2400000,5500000,8670614,0,0,5500000
(주)가비아,079940,2018/12,178.4,21870330,3315000,8214600,330000,9241321,1000000,5500000,0
(주)가비아,079940,2019/12,83.67,36950567,11463170,6645286,0,13243609,4910996,3000000,0
(주)강스템바이오텍,217730,2015/12,,,,,,-3800024,780000,287750,0
(주)강스템바이오텍,217730,2016/12,,,,,,-7796613,520000,260000,0
(주)강스템바이오텍,217730,2017/12,-74.71,-10646869,4260000,1350000,560000,-10267751,4260000,0,260000
(주)강스템바이오텍,217730,2018/12,-63.54,-11476851,4438889,1405000,343333,-11298071,4000000,0,260000
