회사명,거래소코드,회계년도,이자비용(IFRS연결),장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),이자비용(IFRS개별),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별)
(주)SNT홀딩스,36530,Dec-17,0,0,6520000,0,0,0,0,0
(주)SNT홀딩스,36530,Dec-18,0,0,6460000,0,0,0,0,0
(주)SNT홀딩스,36530,Dec-19,0,0,0,0,0,0,0,0
(주)STX,11810,Dec-11,0,453951000,867790000,0,0,115350000,657305000,0
(주)STX,11810,Dec-12,0,523076000,974176000,0,0,97993000,749942000,0
(주)STX,11810,Dec-13,0,391286000,542454000,0,0,391256000,474021000,0
(주)STX,11810,Dec-14,0,214556000,512227000,0,0,214533000,488720000,0
(주)STX,11810,Dec-15,0,165235000,578844000,0,0,165217000,500659000,0
(주)STX,11810,Dec-16,0,30940000,574539000,0,0,30940000,510241000,0
(주)STX,11810,Dec-17,0,19343000,253322000,0,0,19343000,204108000,0
(주)STX,11810,Dec-18,0,22595000,305981000,0,0,22595000,259918000,0
(주)STX,11810,Dec-19,0,38017000,264271000,0,0,34213000,248602000,0
(주)TCC스틸,2710,Dec-11,0,26981943,108093746,0,0,25483900,93982325,0
(주)TCC스틸,2710,Dec-12,0,69300233,95311816,0,0,57343600,51793337,0
(주)TCC스틸,2710,Dec-13,0,119777726,68381264,0,0,81381440,30522560,0
(주)TCC스틸,2710,Dec-14,0,30545120,121546985,0,0,28114780,82191918,0
(주)TCC스틸,2710,Dec-15,0,113039900,40104555,0,0,112083700,29010848,0
(주)TCC스틸,2710,Dec-16,0,60103220,40670209,0,0,59537000,30606252,0
(주)TCC스틸,2710,Dec-17,0,178740,41668435,0,0,0,35703547,0
(주)TCC스틸,2710,Dec-18,0,78588608,41720321,0,0,74888608,40134438,0
(주)TCC스틸,2710,Dec-19,0,8063000,49412479,0,0,4363000,48254679,0
(주)가비아,79940,Dec-11,0,953300,0,0,0,953300,0,0
(주)가비아,79940,Dec-12,0,9666660,2774106,0,0,9666660,1000000,0
(주)가비아,79940,Dec-13,0,5500000,1000000,0,0,5500000,0,0
(주)가비아,79940,Dec-14,0,4675000,3500000,0,0,4675000,3000000,0
(주)가비아,79940,Dec-15,0,5500000,510000,0,0,5500000,0,0
(주)가비아,79940,Dec-16,0,7200000,2200000,0,0,5500000,0,0
(주)가비아,79940,Dec-17,0,1700000,2400000,0,0,0,0,0
(주)가비아,79940,Dec-18,0,3315000,8214600,0,0,1000000,5500000,0
(주)가비아,79940,Dec-19,0,11463170,6645286,0,0,4910996,3000000,0
(주)강스템바이오텍,217730,Dec-15,,,,,0,780000,287750,0
(주)강스템바이오텍,217730,Dec-16,,,,,0,520000,260000,0
(주)강스템바이오텍,217730,Dec-17,0,4260000,1350000,0,0,4260000,0,0
(주)강스템바이오텍,217730,Dec-18,0,4438889,1405000,0,0,4000000,0,0
(주)강스템바이오텍,217730,Dec-19,0,7655556,240000,0,0,4000000,0,0
(주)강원랜드,35250,Dec-11,0,0,0,0,0,0,0,0
(주)강원랜드,35250,Dec-12,0,0,0,0,0,0,0,0
(주)강원랜드,35250,Dec-13,0,0,0,0,0,0,0,0
(주)강원랜드,35250,Dec-14,0,0,0,0,0,0,0,0
(주)강원랜드,35250,Dec-15,0,0,0,0,0,0,0,0
(주)강원랜드,35250,Dec-16,0,940000,0,0,0,0,0,0
(주)강원랜드,35250,Dec-17,0,1400000,0,0,0,0,0,0
(주)강원랜드,35250,Dec-18,0,0,0,0,0,0,0,0
(주)강원랜드,35250,Dec-19,0,0,0,0,0,0,0,0
(주)강원에너지,114190,Nov-11,,,,,0,0,0,0
(주)강원에너지,114190,Dec-12,,,,,0,0,0,0
(주)강원에너지,114190,Dec-13,,,,,0,0,0,0
(주)강원에너지,114190,Dec-14,,,,,0,0,0,0
(주)강원에너지,114190,Dec-15,0,10000000,0,0,0,0,0,0
(주)강원에너지,114190,Dec-16,0,10004000,0,0,0,0,0,0
(주)강원에너지,114190,Dec-17,0,7200000,0,0,0,0,0,0
(주)강원에너지,114190,Dec-18,0,0,7200000,0,0,0,0,0
