회사명,거래소코드,회계년도,부채(IFRS연결),자산(IFRS연결),부채(IFRS개별),자산(IFRS개별)
(주)TCC스틸,2710,Dec-11,228887542,454329510,202126588,407743559
(주)TCC스틸,2710,Dec-12,321015196,547013976,228887219,438642951
(주)TCC스틸,2710,Dec-13,337970494,543708595,234118683,444204925
(주)TCC스틸,2710,Dec-14,361962559,551000563,251203934,461297588
(주)TCC스틸,2710,Dec-15,290382095,376394571,254095791,330651742
(주)TCC스틸,2710,Dec-16,179577101,282914735,158254682,250878191
(주)TCC스틸,2710,Dec-17,177776736,278692540,159269192,248896237
(주)TCC스틸,2710,Dec-18,192535369,304781579,169783970,268135677
(주)TCC스틸,2710,Dec-19,197366953,314210087,172763630,270265082
(주)가비아,79940,Dec-11,16288697,64954440,12997135,37295822
(주)가비아,79940,Dec-12,26299269,85244515,20630538,51795749
(주)가비아,79940,Dec-13,22631067,91231294,17328806,52151784
(주)가비아,79940,Dec-14,23034370,98544072,17836566,55984243
(주)가비아,79940,Dec-15,20985420,105081568,15187159,57657418
(주)가비아,79940,Dec-16,29844914,125796754,15747269,61160981
(주)가비아,79940,Dec-17,33486064,133382584,17323452,64986436
(주)가비아,79940,Dec-18,37253015,151440505,19483076,69315988
(주)가비아,79940,Dec-19,64956993,199916131,28880845,82964911
(주)강스템바이오텍,217730,Dec-15,,,3745591,24982626
(주)강스템바이오텍,217730,Dec-16,,,24464858,47441769
(주)강스템바이오텍,217730,Dec-17,22716816,47198979,19840601,44508729
(주)강스템바이오텍,217730,Dec-18,25612644,73194018,18239878,66184838
(주)강스템바이오텍,217730,Dec-19,44924460,113643697,27780716,98625925
(주)강원랜드,35250,Dec-11,454039086,2711401782,452081605,2730283806
(주)강원랜드,35250,Dec-12,534628331,2906655321,532225153,2915385756
(주)강원랜드,35250,Dec-13,584340350,3102036846,581467261,3105430200
(주)강원랜드,35250,Dec-14,669769805,3375127289,664286664,3380461682
(주)강원랜드,35250,Dec-15,693036625,3690791830,690617690,3688060027
(주)강원랜드,35250,Dec-16,726260115,3978987574,723241827,3975979890
(주)강원랜드,35250,Dec-17,684421554,4185657487,681737727,4182527382
(주)강원랜드,35250,Dec-18,644464265,4231241354,643178007,4229630541
(주)강원랜드,35250,Dec-19,720360229,4438119306,718028952,4436461953
(주)강원에너지,114190,Nov-11,,,29216633,53719067
(주)강원에너지,114190,Dec-12,,,53150277,89258208
(주)강원에너지,114190,Dec-13,,,26564178,72441333
(주)강원에너지,114190,Dec-14,,,16592147,67037639
(주)강원에너지,114190,Dec-15,28873556,85457457,26058095,80939019
(주)강원에너지,114190,Dec-16,22097916,77186606,17103781,70850137
(주)강원에너지,114190,Dec-17,44876384,93179394,40664397,87781416
(주)강원에너지,114190,Dec-18,43641869,93845576,40333396,89619750
